,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
degree,0.8669812741656601,0.9206894102382203,0.6204707067928589,-0.18752014916096074,exp,1.056885468621729,1,delaunay,uniform,5000,,
pagerank,0.8775620741650073,0.9230367881178758,0.7170362581233465,-0.20945129046863087,exp,1.0468264642606944,1,delaunay,uniform,5000,,
betweenness,0.390712907234095,0.6387098974326655,0.3918771122778043,-0.16296641005376955,exp,1.570698151907379,1,delaunay,uniform,5000,,
closeness,0.19228363731478626,0.4709673362223097,0.2426211008394068,-0.35878643919960806,exp,2.1362236491789925,1,delaunay,uniform,5000,,
harmonic,0.35641412896467173,0.5915531055640468,0.3862075839504604,-0.7270217512111501,exp,1.8332967486423066,1,delaunay,uniform,5000,,
clustering,0.9390144463851431,0.9390144463851431,0.6205872049307816,0.22064880575864437,original,1.0,1,delaunay,uniform,5000,,
degree,0.9588557761705203,0.9730909822729497,0.6528758761405171,-0.1795568996064948,exp,1.0158868164663941,2,delaunay,uniform,5000,,
pagerank,0.9631636907074491,0.974451575646698,0.7745905719078816,-0.2189839278236626,pieli,1.013010008399146,2,delaunay,uniform,5000,,
betweenness,0.5732661215625305,0.7257874251619562,0.5696795705785127,-0.07458550000649927,exp,1.2423954418296708,2,delaunay,uniform,5000,,
closeness,0.035560024832857265,0.4857102137127036,0.04939081425887325,-0.2882435075735784,exp,2.7155676341180084,2,delaunay,uniform,5000,,
harmonic,0.24926055420799215,0.6789955024042529,0.20930829663606698,-0.8175495056328806,exp,2.2590758252383583,2,delaunay,uniform,5000,,
clustering,0.9781836222582834,0.9781836222582834,0.6776024022875639,0.23278645656804392,original,1.0,2,delaunay,uniform,5000,,
degree,0.928698516305216,0.9450136521692404,0.23182633616111661,0.5618872183019104,exp,1.0113900212187819,1,knn,uniform,5000,5.0,
pagerank,0.9225155886280938,0.938853793283076,0.05032506347271226,0.6630121655597472,pieli,1.0139537231856817,1,knn,uniform,5000,5.0,
betweenness,0.7110749646432486,0.7706134257595157,0.6861622227596316,0.3057296325292548,exp,1.087322892868918,1,knn,uniform,5000,5.0,
closeness,0.2464854648497366,0.7744021152146325,0.7051878914000544,0.5751162837064193,pieli,3.4576976563102804,1,knn,uniform,5000,5.0,
harmonic,0.4035634942517199,0.879695962466331,0.6008664725059871,0.7870940441489764,exp,2.123787649984599,1,knn,uniform,5000,5.0,
clustering,0.8907491410648536,0.9141755869243373,0.29528363368652766,0.589581088812558,pieli,1.030595641361669,1,knn,uniform,5000,5.0,
degree,0.975171308104914,0.9809367510562226,0.2234870340589808,0.5714868085947876,exp,1.006057717571239,2,knn,uniform,5000,5.0,
pagerank,0.9726112826313354,0.978531286194119,0.013051316096899109,0.669337493404863,pieli,1.006123557183416,2,knn,uniform,5000,5.0,
betweenness,0.86411928758124,0.8691014447227419,0.7757310421637154,0.1673630776798116,pieli,1.0075098047480398,2,knn,uniform,5000,5.0,
closeness,0.18818904788039378,0.8571319428953328,0.5970794477130253,0.39071849746735865,pieli,4.337374967249013,2,knn,uniform,5000,5.0,
harmonic,0.327334829280882,0.9314601457957183,0.5657051296816543,0.6298309116828071,exp,2.2330366634411085,2,knn,uniform,5000,5.0,
clustering,0.9670569144516161,0.9764258217804764,0.28247853878979345,0.5740546937774785,pieli,1.013417630638501,2,knn,uniform,5000,5.0,
degree,0.8654813498273567,0.9137308435209321,0.10460637116486134,0.6161848960257654,pieli,1.0279002131100585,1,knn,uniform,5000,10.0,
pagerank,0.8537148284643515,0.8973791652487666,-0.11386214736299938,0.7137613921724044,pieli,1.0266467103908992,1,knn,uniform,5000,10.0,
betweenness,0.6677807803827678,0.7471950105164132,0.679394589835434,0.5367840296022494,pieli,1.0990442342240747,1,knn,uniform,5000,10.0,
