,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
degree,0.8863908152672654,0.8889159966418987,0.5843617807039398,-0.16828439241079496,pieli,1.000771313759801,1,delaunay,uniform,5000,,
pagerank,0.8946013951705455,0.9168996724776323,0.713306594853538,-0.22490987623241593,exp,1.0314963117630895,1,delaunay,uniform,5000,,
betweenness,0.4179252487376537,0.5081434211462873,0.4192883307215951,-0.15104851876056258,pieli,1.3122294219582868,1,delaunay,uniform,5000,,
closeness,0.6029124821769564,0.4772021786314535,0.6098837981429184,-0.38125883785906467,exp,2.0752429768338563,1,delaunay,uniform,5000,,
harmonic,0.5192157482580521,0.6542109261742772,0.49903507630002064,-0.7016810094312023,exp,1.76473096753563,1,delaunay,uniform,5000,,
clustering,0.9163323815334563,0.917581881466804,0.6132790057588832,0.21272345796023542,pieli,1.0017067017037993,1,delaunay,uniform,5000,,
degree,0.9610265863185969,0.9775031626657019,0.6508827691121423,-0.1771433749187116,exp,1.0211081077641364,2,delaunay,uniform,5000,,
pagerank,0.9652616743346493,0.9780091138503154,0.786815205141634,-0.23188894698771495,exp,1.016887691887624,2,delaunay,uniform,5000,,
betweenness,0.5963227302815043,0.7238487654433101,0.5916334342618418,-0.06226026796624747,exp,1.2245351408202105,2,delaunay,uniform,5000,,
closeness,0.2134115909972618,0.649240597832049,0.17890395108712792,-0.32750947795130286,exp,2.925842831550587,2,delaunay,uniform,5000,,
harmonic,0.3079359508089049,0.7370490360925896,0.2573213029135119,-0.8039861261812045,exp,2.3600119143981693,2,delaunay,uniform,5000,,
clustering,0.9785906658506959,0.9789586886031684,0.6789624223336586,0.22759863343570286,pieli,1.0001216777345672,2,delaunay,uniform,5000,,
degree,0.9301285190359139,0.9469593965999609,0.19357791095957888,0.56281783862458,exp,1.0091428174625474,1,knn,uniform,5000,5.0,
pagerank,0.9248317438138232,0.9408682584479583,0.01384381341614851,0.6112323601948986,exp,1.0097760271648528,1,knn,uniform,5000,5.0,
betweenness,0.6889063204020904,0.7774627640459101,0.6818363143650292,0.32252481624140694,pieli,1.1010618403123391,1,knn,uniform,5000,5.0,
closeness,-0.07429331011267595,0.7192961688847531,0.07397710171081297,0.05225569970129823,pieli,4.735694400913678,1,knn,uniform,5000,5.0,
harmonic,0.26384663234105343,0.8574882983175132,0.4684357780090833,0.7471109322200712,pieli,2.5212160447483676,1,knn,uniform,5000,5.0,
clustering,0.8936323752463672,0.9328957627377754,0.2874436662342054,0.5729694023762095,exp,1.0313221411861224,1,knn,uniform,5000,5.0,
degree,0.9731825139540375,0.9793809650661763,0.22572222585887142,0.5572393678919467,exp,1.004665274298161,2,knn,uniform,5000,5.0,
pagerank,0.96979069506809,0.9758967139271679,0.037965612764005924,0.6464086251957358,exp,1.004479349237804,2,knn,uniform,5000,5.0,
betweenness,0.8736723001210498,0.8776657596748707,0.7795140426652829,0.12770661043625042,pieli,1.0072195335480265,2,knn,uniform,5000,5.0,
closeness,0.2615228593909942,0.8100878149768469,0.01361164441772782,0.15432681613666865,exp,4.361941498640996,2,knn,uniform,5000,5.0,
harmonic,0.41738590555168864,0.9292710967829609,0.5557177033099965,0.6847397076603963,exp,2.4232962553668393,2,knn,uniform,5000,5.0,
clustering,0.960875886640558,0.9740292037123692,0.28865255057552053,0.5712375677780802,exp,1.0130676353748027,2,knn,uniform,5000,5.0,
degree,0.8660563975200082,0.9113389911289427,0.08877500438425198,0.6704587171418489,pieli,1.0735430971151574,1,knn,uniform,5000,10.0,
pagerank,0.8498884561286464,0.8921152386877698,-0.18385724154274644,0.7361024505113203,pieli,1.0672055188364635,1,knn,uniform,5000,10.0,
betweenness,0.6386094274394435,0.7188891885320642,0.6445817172233814,0.44071925023930625,pieli,1.1194263068488068,1,knn,uniform,5000,10.0,
closeness,0.21863709784876795,0.41201885872182825,0.44239637935355913,0.9712875360575253,pieli,5.384860250268478,1,knn,uniform,5000,10.0,
harmonic,0.33305181626631886,0.7390616274645692,0.41087961326959077,0.8799975813487076,exp,3.7287859736784936,1,knn,uniform,5000,10.0,
clustering,0.7914929739601484,0.8954692685302662,0.27260970116709715,0.794870872120742,pieli,1.1682046019650045,1,knn,uniform,5000,10.0,
degree,0.9528045679217043,0.9714151890018817,0.1082262915255463,0.6498825436026353,exp,1.014978720251547,2,knn,uniform,5000,10.0,
