,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
degree,0.8957088848294561,0.9437819004794898,0.5892403155966848,-0.14946073767044818,exp,1.0428879026585034,1,delaunay,uniform,5000,,
pagerank,0.9064759831797056,0.9467633399353617,0.7099306514523596,-0.18977414700309675,exp,1.0338828046131965,1,delaunay,uniform,5000,,
betweenness,0.4616845054179296,0.6717994967155927,0.455694867303151,-0.14863908751158225,exp,1.5591474232567863,1,delaunay,uniform,5000,,
closeness,0.13500407081272853,0.4527957996288505,0.13474794464759932,-0.41060572859480243,exp,1.995095752814645,1,delaunay,uniform,5000,,
harmonic,0.31036200827136107,0.6244794120237473,0.24837667782028472,-0.703507576053507,exp,1.7115932984291926,1,delaunay,uniform,5000,,
clustering,0.9285955807847162,0.9285955807847162,0.6575262420853899,0.23232483510857654,original,1.0,1,delaunay,uniform,5000,,
degree,0.9627480386766203,0.9725367578351631,0.6404398448952476,-0.17683741365988415,exp,1.0090727516545963,2,delaunay,uniform,5000,,
pagerank,0.9659890261840308,0.9733737650912404,0.7734205325591235,-0.21732331180118702,exp,1.0065196131199348,2,delaunay,uniform,5000,,
betweenness,0.6296295755141262,0.7663375316395897,0.6263949323682452,-0.055592843817837134,exp,1.221250688741153,2,delaunay,uniform,5000,,
closeness,0.1077641642543824,0.568815675900102,0.0728067186852395,-0.3438608473368937,exp,2.535807403129473,2,delaunay,uniform,5000,,
harmonic,0.30635747913475153,0.6816277167749367,0.22746951082685837,-0.7487213580450905,exp,2.042218086284318,2,delaunay,uniform,5000,,
clustering,0.9774985941236689,0.9774985941236689,0.6784414316012995,0.22762907158090057,original,1.0,2,delaunay,uniform,5000,,
degree,0.9425122229716552,0.9544854111497321,0.20853824382170932,0.5516752243496948,pieli,1.0206496659332294,1,knn,uniform,5000,5.0,
pagerank,0.9345360217883526,0.947661062265192,0.04063899881340548,0.6459072208768128,pieli,1.019782813629118,1,knn,uniform,5000,5.0,
betweenness,0.6923533112147384,0.7750413531803297,0.6531856929443894,0.34428615041619326,pieli,1.1244572881563009,1,knn,uniform,5000,5.0,
closeness,0.244978630320612,0.6260689523090357,0.4549297979738518,0.42742600467246333,pieli,4.099374764972125,1,knn,uniform,5000,5.0,
harmonic,0.38098192448753054,0.821034095056633,0.5845732416678944,0.7451394576641281,exp,2.5525262072020944,1,knn,uniform,5000,5.0,
clustering,0.884839081908912,0.9130529919562748,0.3268034063002037,0.5496018780883007,exp,1.0520530365448666,1,knn,uniform,5000,5.0,
degree,0.9800386763768556,0.9856579496693385,0.2178673219319085,0.5530544162599607,pieli,1.006743397052986,2,knn,uniform,5000,5.0,
pagerank,0.9776265197928962,0.9830145338216467,0.027815335831917802,0.6447782300568,pieli,1.0064814788867995,2,knn,uniform,5000,5.0,
betweenness,0.8989929631811778,0.9043805507205727,0.816333611276112,0.11237144071886104,exp,1.0079634736519527,2,knn,uniform,5000,5.0,
closeness,0.3008358839404691,0.870347794704437,0.021911804893378774,0.16627990881337013,exp,4.505140404696189,2,knn,uniform,5000,5.0,
harmonic,0.4373163817952552,0.9511768477104959,0.6765692463495105,0.6204037019322743,exp,2.3534048023990053,2,knn,uniform,5000,5.0,
clustering,0.9631443005183269,0.9762468388589183,0.30890531028351087,0.5514745692675213,exp,1.0148185185844152,2,knn,uniform,5000,5.0,
degree,0.8909655648723911,0.9362582967616064,0.07405715299970389,0.6545507830708804,pieli,1.0510067416108915,1,knn,uniform,5000,10.0,
pagerank,0.8791162853854565,0.9236743693174966,-0.19766580323420566,0.7487143047124466,pieli,1.045832322408587,1,knn,uniform,5000,10.0,
betweenness,0.6682960158380817,0.7584094117244342,0.686512223127233,0.5966191473926767,pieli,1.1361829964675976,1,knn,uniform,5000,10.0,
closeness,0.10515511072031787,0.7050123349352818,0.6247866011721548,0.9672725655664898,pieli,6.118433469109925,1,knn,uniform,5000,10.0,
harmonic,0.16978289346513187,0.7909937984900675,0.71051412449138,0.9240727458360133,exp,4.191276651884726,1,knn,uniform,5000,10.0,
clustering,0.7931753576398056,0.9078090143735941,0.2060597523907488,0.7750888833081391,pieli,1.1137942618691914,1,knn,uniform,5000,10.0,
degree,0.955251972740753,0.9696301231162461,0.12488913806960274,0.6377490839680268,pieli,1.014215700319473,2,knn,uniform,5000,10.0,
