,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,dataset,num_edges,num_nodes,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c
0,0,degree,Exponential Saturation Fit,1.0985879692628042,0.0062338153471818,-0.3600724181183909,1.0,0.1170483460559796,2.302817208195502,111.19148414835468,2.046305372708901,1.0028112437662091,0.3300742755674807,1.0187500669119536,0.3353205225914682,1.0165768236618264,0.3346052018410511,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,1654,786,,,
1,1,closeness,Piecewise Linear Fit,1.098612246534358,0.0152165517058417,0.4482619557874404,0.9732824427480916,0.1176470588235294,,,,1.043885021252567,0.3334701703422992,1.0432472094829046,0.3332664207001974,1.0432377816138905,0.3332634089575034,0.030433103411443,-12.655151951930357,0.6221553656320575,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,1654,786,,,
2,2,betweenness,Piecewise Linear Fit,1.0986120076466772,0.0309487827778028,-0.9760871338192624,1.0,0.227735368956743,,,,1.0056785131684942,0.333544247333206,1.0054649781967815,0.3334734261309166,1.0039842501839151,0.3329823265358773,0.0618975657272584,0.0360597459590305,2.7340628125024466e-05,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,1654,786,,,
3,3,harmonic,Piecewise Linear Fit,1.098609583439576,0.0135850500871056,-0.4709663268171642,1.0,0.1183206106870229,,,,1.0356185577574768,0.3341169043909501,1.0340336194057222,0.3336055629402085,1.0299172973154092,0.3322775326688413,0.0271701001798336,0.4832501359680912,0.0073743999001723,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,1654,786,,,
4,4,clustering,Constant Fit,1.0986122871847943,0.0,-0.0,1.0,0.0,,,,0.997955568105752,0.3333076587836613,0.9980702459644548,0.3333459600966859,0.998071506548192,0.3333463811196528,,,,0.5811265212028571,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,1654,786,,,
5,5,pagerank,Exponential Saturation Fit,1.098612191695338,0.0043137804917676,-0.1443988640628452,1.0,0.089058524173028,0.0003253320591605,160.68207032850646,0.0009638388319089,1.0124068375224062,0.3333021112027721,1.013089006215167,0.3335266931169461,1.01200918096503,0.3331711956802817,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,1654,786,,,
6,0,degree,Piecewise Linear Fit,1.0986112640696095,0.0466147180526462,0.1014094403280788,1.0,0.4224137931034483,,,,1.0057050771414024,0.3339991863615029,1.002985114292856,0.3330958744473081,1.0024101890705046,0.3329049391911892,0.0932294361034423,-5.038706984009707,2.551012425424936,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,
7,1,closeness,Constant Fit,1.098612275875172,0.0,-0.0,0.9310344827586208,0.0,,,,0.9978556821174924,0.3332579312518725,0.9981937025655196,0.3333708213192933,0.9981949784416104,0.3333712474288341,,,,0.4715879800521428,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,
8,2,betweenness,Piecewise Linear Fit,1.098612232126356,0.1590759754648228,-0.4299199363826391,1.0,0.8900862068965517,,,,1.002951639913373,0.3334918482055206,1.0022421991446273,0.3332559517736829,1.002230916030122,0.3332522000207965,0.3181520188402166,0.0004684866383043,9.8821159557216e-05,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,
9,3,harmonic,Constant Fit,1.0986121076464148,0.0,-0.0,1.0,0.0,,,,0.9982619085095876,0.3336141514518639,0.9971053234421624,0.3332276264902664,0.9968976469966582,0.3331582220578696,,,,0.0099004096620839,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,
10,4,clustering,Piecewise Linear Fit,1.0986118060605614,0.0288447411356883,0.1642192043811281,1.0,0.3146551724137931,,,,1.0011080898552454,0.3337537618249434,0.99972113287209,0.3332913720837073,0.9987117693539308,0.3329548660913493,0.0576894822682807,-1.8633677693201325,0.3810448007120571,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,
11,5,pagerank,Constant Fit,1.0986122750120852,0.0,-0.0,1.0,0.0,,,,0.9963504074252738,0.3334112190977048,0.9960060446686938,0.3332959841305411,0.9959965197155902,0.333292796771754,,,,0.0021551724137931,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,512,464,,,
12,0,degree,Piecewise Linear Fit,1.0985818639972005,0.076763507319875,0.4339349161572206,1.0,0.6390532544378699,,,,1.0652995357702746,0.3369901045891036,1.0490997420821564,0.3318655645081456,1.046819764674672,0.3311443309027508,0.1535270146385924,-13.2626480514995,3.364262677680041,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,185,169,,,
13,1,closeness,Piecewise Linear Fit,1.098609479108981,0.1045437274662154,-0.182062241731667,0.7692307692307693,0.7538461538461538,,,,1.0281841768627484,0.3344510284884538,1.0230623129147904,0.3327849722470523,1.022997836842148,0.3327639992644938,0.2090874549502726,1.171906868826096,0.5504165088737055,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,185,169,,,
14,2,betweenness,Piecewise Linear Fit,1.098612047652024,0.1149142565369081,0.905892043148924,1.0,0.7810650887573964,,,,1.0088010910551433,0.3336606493567681,1.0073166047791131,0.3331696559793686,1.0073167217391454,0.3331696946638632,0.2298285083270244,-0.0048417650496501,0.0011705755457779,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,185,169,,,
15,3,harmonic,Piecewise Linear Fit,1.098592509883647,0.090694758171305,0.5676991018891782,1.0,0.6982248520710059,,,,1.0743030065085786,0.3362956012538408,1.060574070944634,0.3319979490904563,1.059642870185589,0.331706449655703,0.1813895162240077,-0.152939268092225,0.0383041382448467,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,185,169,,,
