,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,dataset,num_edges,num_nodes,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
0,0,degree,Piecewise Linear Fit,1.0985915743119217,0.0122305982184303,-0.083990982346659,1.0,0.129757785467128,0.0244611964368798,128.44120459924417,17.132437570797812,1.0810108919774857,0.3354588614116284,1.0767728972589563,0.3341437286100101,1.064700444533789,0.3303974099783615,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,11560,1156,,,,
1,1,closeness,Piecewise Linear Fit,1.0986027576665809,0.2012441685504596,-0.2082467995631803,1.0,0.954152249134948,0.4024883375153865,0.0971098268509446,0.0743015675923777,2.985315287894748,0.3353923673503957,2.958031328523961,0.3323270858502585,2.9576170861210347,0.3322805467993457,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,11560,1156,,,,
2,2,betweenness,Piecewise Linear Fit,1.0986099609908124,0.1550499400313138,-0.7511995000126233,1.0,0.8356401384083045,0.3100998807968264,0.0422365113824625,0.0021689802210321,1.1238516556531482,0.3343501926259188,1.11881872715625,0.3328528770291976,1.118630673507168,0.3327969303448836,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,11560,1156,,,,
3,3,harmonic,Exponential Saturation Fit,1.0986048492298237,0.1532816858826268,-0.1662257017930313,1.0,1.0,,,,2.6973169694367747,0.3317488862317319,2.7229222415645027,0.3348981343943636,2.710359206600207,0.3333529793739043,0.0524858155969838,3.361116369798088,0.1059948763139497,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,11560,1156,,,,
4,4,clustering,Piecewise Linear Fit,1.098607464883127,0.0333334901342521,0.1459983577557272,1.0,0.2612456747404844,0.0666669802660091,-2.671910668828797,0.6990991060996219,1.3018514391991212,0.3340831832550096,1.3017104617204636,0.3340470053906089,1.293226397476755,0.3318698113543816,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,11560,1156,,,,
5,5,pagerank,Piecewise Linear Fit,1.0985908359298855,0.0117414167358049,-0.0641973227451143,1.0,0.1237024221453287,0.0234828339945294,0.0044907156796948,0.0007686053622932,1.0743588648654927,0.3354889273036113,1.0701290284417964,0.3341680806751123,1.0578796885390631,0.3303429920212762,,,,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,11560,1156,,,,
6,0,degree,Piecewise Linear Fit,1.0985910445962892,0.0190072050673489,-0.0991205754371734,1.0,0.1706081081081081,0.0380144101347371,96.76678471345024,16.716579753232644,1.0740966958216027,0.3355329760492204,1.069476228956678,0.3340896060025979,1.0575928994238692,0.3303774179481817,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
7,1,closeness,Piecewise Linear Fit,1.0985114213457858,0.1860133529893769,-0.2106984942270376,1.0,0.9256756756756755,0.372026706238023,0.1434905429892548,0.0999882344250318,2.6279206276063403,0.3400382778589015,2.551183844681468,0.3301089659763074,2.549203776281762,0.3298527561647911,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
8,2,betweenness,Piecewise Linear Fit,1.0985862032185134,0.1818339957903012,-0.7901246794085073,1.0,0.9155405405405406,0.3636679921842425,0.0602458351230623,0.0029098315606888,1.1611703016781896,0.3367403968726908,1.143759810053951,0.3316913391670111,1.143335414061562,0.331568263960298,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
9,3,harmonic,Exponential Saturation Fit,1.0986110268240474,0.1520650595999656,-0.1728140560231071,1.0,1.0,,,,2.427975050106425,0.3331525674110889,2.434538533817725,0.3340531703433491,2.425363766006218,0.3327942622455619,0.072210393541752,3.474446071265985,0.1418568892101769,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
10,4,clustering,Exponential Saturation Fit,1.0985995789003111,0.023284165730505,0.1640187711476378,1.0,0.3885135135135135,,,,1.2030683940247735,0.3338110537908574,1.2077500097671083,0.3351100448475208,1.1932216073532609,0.3310789013616216,-0.2235189838095556,29.76901936601513,0.7931415014371698,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
11,5,pagerank,Piecewise Linear Fit,1.0985867680376618,0.0185080906587784,-0.0775822289740874,1.0,0.1672297297297297,0.0370161818723103,0.0066725464646892,0.0014683129360476,1.0734806614943249,0.3358050705472268,1.0679542440329162,0.3340763025572023,1.0553025938350653,0.3301186268955708,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,5920,592,,,,
12,0,degree,Exponential Saturation Fit,1.0986111225431725,0.006436404475301,-0.1084132998564396,1.0,0.1268462206776716,,,,1.0277239584877893,0.3336403311559992,1.028042211839843,0.3337436489320359,1.024568736807019,0.3326160199119647,3.960049788183622,107.6916752233046,16.283646599242765,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,11510,1151,,,,
