,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c
0,0,degree,Michaelis-Menten Fit,1.098527352598924,9.99995140475722e-07,-0.1120408939326055,1.0,0.0650887573964497,2.0418492272078925,1.0000000000004622e-06,8.091127023331358,0.9923399665644246,0.3272150731662196,1.0189917111145792,0.3360032433869341,1.0213524739472657,0.3367816834468461,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
1,1,closeness,Michaelis-Menten Fit,1.0982684285843791,0.0951427325943731,-0.2352284737603459,1.0,1.0,0.0747680352366394,0.1769575178460222,0.0849971702127495,1.3239996834038568,0.3210470431213706,1.3965450738333882,0.3386380466400491,1.403460468075867,0.3403149102385801,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
2,2,betweenness,Michaelis-Menten Fit,1.098612173131435,0.0640339019110725,-0.9120616056636792,1.0,1.0,0.1024256224743949,0.0929603271611672,0.0040279979653913,1.0319843952471834,0.3333949016943365,1.0311139522212815,0.3331136946640872,1.0322831055848534,0.3334914036415763,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
3,3,harmonic,Michaelis-Menten Fit,1.0983142113950706,0.0633319048408565,-0.1883933878003762,1.0,1.0,0.0801380665397458,0.0914881327291988,0.1412258389247599,1.411016442136759,0.3219354977900739,1.480802194475363,0.3378577154530809,1.491097978121826,0.3402067867568451,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
4,4,clustering,Michaelis-Menten Fit,1.0983661471938004,0.0085717888333569,0.1982846997782755,1.0,0.6745562130177515,-0.3044799267578695,0.0089443587828112,0.9004556831277947,1.038520998837953,0.3229066002178666,1.0879382478636206,0.3382718705329139,1.089706041147166,0.3388215292492194,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
5,5,pagerank,Michaelis-Menten Fit,1.098612000693706,9.99994949622704e-07,-0.093894923158775,1.0,0.0650887573964497,0.0010272910362057,1.0000000037348736e-06,0.0049567714682056,1.0223948664111977,0.3330633845447752,1.0230136648917834,0.3332649691996536,1.0242620294780784,0.3336716462555711,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,845,169,,,,,,,
6,0,degree,Exponential Saturation Fit,1.0985969920163865,0.0060268322655502,-0.0678900091842163,1.0,0.1366782006920415,,,,1.0069843389380408,0.3309920862895157,1.020690169099666,0.3354971427676635,1.014646987399017,0.3335107709428206,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,1.2831275425974749,115.01019935829645,8.80848313552211,,,,
7,1,closeness,Piecewise Linear Fit,1.0986010741373682,0.1787939270019064,-0.2027407785004249,1.0,0.8979238754325259,,,,2.8119740788424004,0.3355586062776738,2.785412544955372,0.3323889642248574,2.7825923910021038,0.3320524294974687,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,,,,0.3575878545080632,0.0709147248765936,0.0498594664964226,
8,2,betweenness,Piecewise Linear Fit,1.0986104168950093,0.1525523420058185,-0.7253503039475088,1.0,0.828719723183391,,,,1.0863529829519432,0.3342445140297266,1.0820373579242537,0.3329167006829127,1.081784119295576,0.3328387852873606,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,,,,0.3051046844989576,0.0626086086301868,0.0036164648792884,
9,3,harmonic,Exponential Saturation Fit,1.0986084023660525,0.1285039575426736,-0.1766121240925996,1.0,1.0,,,,2.3203241682513283,0.3336616310010175,2.324561842876633,0.3342710068143102,2.3092374261103235,0.3320673621846722,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,0.0340611437394344,4.6093598682941685,0.0709757041657006,,,,
10,4,clustering,Michaelis-Menten Fit,1.0986111374960323,0.019668935435716,0.1951413972535618,1.0,0.9558823529411764,-0.2092756924443401,0.021398361290382,0.6138657532474449,1.1059949258086696,0.3326644812497853,1.1086010417435757,0.3334483566413731,1.1100599189240123,0.3338871621088415,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,,,,,,,
11,5,pagerank,Piecewise Linear Fit,1.098604292498232,0.0112771012468623,-0.0483241210197814,1.0,0.1228373702422145,,,,1.0221316713250463,0.3348395356418844,1.0182305157257152,0.3335615582873099,1.0122393206105995,0.3315989060708058,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,5780,1156,,,,0.0225542031266368,0.0035635598602186,0.000791419271503,
12,0,degree,Exponential Saturation Fit,1.098511748680099,0.0102550937369446,-0.08739108609002,1.0,0.2222222222222222,,,,1.0056142610403975,0.3267846994473545,1.039290095399455,0.3377280082646719,1.032394742144178,0.3354872922879735,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1710,342,1.639144121807518,67.59052604880945,8.558639122501798,,,,
13,1,closeness,Piecewise Linear Fit,1.098581748643026,0.1954094949134159,-0.2008899979158643,1.0,0.9619883040935672,,,,2.349262432631755,0.3370208938531201,2.310767515398968,0.3314984834002096,2.310643014624247,0.3314806227466703,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1710,342,,,,0.3908189901632693,0.1161639237318351,0.0902953088107204,
14,2,betweenness,Piecewise Linear Fit,1.0986076133857003,0.187341318678296,-0.7108981022343017,1.0,0.9473684210526316,,,,1.1344500462572198,0.3347753448420714,1.1271223309199097,0.3326129416256002,1.1271181692918493,0.3326117135323284,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1710,342,,,,0.3746826377088712,0.106359550142184,0.0081031457402307,
15,3,harmonic,Exponential Saturation Fit,1.098594268897406,0.1476342106242938,-0.1471809955473842,1.0,1.0,,,,1.9125652272415976,0.3305096952645098,1.9378611132330457,0.334881068042492,1.936288102836784,0.334609236692998,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1710,342,0.0550369577802034,3.593607617196968,0.1312966229256215,,,,
16,4,clustering,Exponential Saturation Fit,1.0986120229287697,0.0239184740213763,0.1309268680609806,1.0,0.3888888888888889,,,,1.0594330543198316,0.3330123438148307,1.06130297056122,0.3336001159140145,1.0606266903368622,0.3333875402711546,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1710,342,-0.141850042695365,28.979538338300426,0.6126392972330884,,,,
17,5,pagerank,Piecewise Linear Fit,1.0986077444401787,0.014727161900056,-0.0562900687912231,1.0,0.1842105263157894,,,,1.029575087031673,0.334259626365088,1.0281688884851876,0.3338030929789718,1.02242187708043,0.3319372806559401,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1710,342,,,,0.0294543240748371,0.0107213777048883,0.0026471368826832,
18,0,degree,Exponential Saturation Fit,1.098589187484333,0.0061554238934799,-0.0652641894387349,1.0,0.2023809523809523,,,,0.997784637060767,0.3301835472348038,1.0135698099839945,0.3354071237421144,1.0105545651302492,0.3344093290230818,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,2100,420,1.2423332206761148,112.60754618283032,8.89655843423479,,,,
19,1,closeness,Exponential Saturation Fit,1.0986047129071146,0.2006347498047313,-0.2094629095954463,1.0,1.0,,,,1.9154882964140276,0.3315000294797394,1.931648447235928,0.334296752635859,1.931107980551789,0.3342032178844015,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,2100,420,0.0848356203845992,1.42097202710537,0.0794231243615725,,,,
20,2,betweenness,Piecewise Linear Fit,1.098608184961838,0.1962711008752367,-0.7679318471544615,1.0,0.9642857142857144,,,,1.0931913985928836,0.3346842954097675,1.0865722984747326,0.3326578352106281,1.0865724100820937,0.3326578693796043,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,2100,420,,,,0.3925422021116559,0.1086825216570612,0.006446276482576,
21,3,harmonic,Piecewise Linear Fit,1.0986054741820563,0.1259097451068012,-0.12370058535099,1.0,0.7714285714285715,,,,1.67985636479206,0.334953703764537,1.6704279650447904,0.3330737350469071,1.6649053692534792,0.3319725611885558,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,2100,420,,,,0.251819490407085,0.130151090338879,0.1160881586233142,
22,4,clustering,Michaelis-Menten Fit,1.098612215558291,0.0076879372489513,0.1122856305674041,1.0,0.5071428571428571,-0.1380503048135217,0.0079410733476201,0.6726789819213007,1.031703441014615,0.3331559117680276,1.032442259806548,0.3333944898695173,1.032612917506996,0.3334495983624551,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,2100,420,,,,,,,
23,5,pagerank,Piecewise Linear Fit,1.0986103094104986,0.0103061546350031,-0.0505608312267722,1.0,0.1761904761904762,,,,1.015664951992196,0.3340904978670597,1.013669141955858,0.3334340006950539,1.0107552186080495,0.3324755014378863,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,2100,420,,,,0.0206123094531989,0.0112517175322419,0.0021775513665107,
24,0,degree,Piecewise Linear Fit,1.0986119482122871,0.0065713673530529,-0.0566530267455326,1.0,0.0732600732600732,,,,1.0086096190370508,0.3335954776916663,1.00817314351071,0.3334511143433876,1.0066683526057916,0.3329534079649459,glioma_mibitof:CHOP_1101_R8C2_whole_cell.tiff,9555,1911,,,,0.0131427347061218,82.06415017964355,8.979611867225946,
25,1,closeness,Exponential Saturation Fit,1.0986122879865676,0.2360521241699653,-0.2681825221843797,1.0,1.0,,,,2.9955001259911764,0.3333173079687648,2.995768993912452,0.3333472256212266,2.995663314675749,0.3333354664100084,glioma_mibitof:CHOP_1101_R8C2_whole_cell.tiff,9555,1911,0.1533001350060417,0.4028375087529887,0.0379461394397714,,,,
