,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,dataset,num_edges,num_nodes
0,0,degree,Exponential Saturation Fit,1.098608934291398,0.0052586972676123,-0.3020595166195806,1.0,0.1017811704834605,1.1784055882181277,131.809675493007,1.3614154174535726,1.0010486047071825,0.3321303669081031,1.0070279601329513,0.3341142121500786,1.005946555136011,0.3337554209418184,,,,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786
1,1,closeness,Piecewise Linear Fit,1.098612034184531,0.0092312282426354,0.1311748131812694,0.8982188295165394,0.0793201133144475,,,,1.0055965091988683,0.3336045499048265,1.0048892848657676,0.333369929703615,1.0038511191631765,0.3330255203915585,0.0184624564850747,-9.413072492909691,0.7493249002224968,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786
2,2,betweenness,Piecewise Linear Fit,1.098612149661652,0.1168459521306349,0.4322664806712487,1.0,0.7086513994910941,,,,1.0044880777708445,0.3335818710054802,1.003376334131142,0.3332126704827289,1.0033546173070151,0.3332054585117909,0.2336917242891416,-0.0001298489418767,5.0271701931877417e-05,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786
3,3,harmonic,Piecewise Linear Fit,1.0986113530960693,0.0092312994688162,-0.3445341285423018,1.0,0.0877862595419847,,,,1.009799318891335,0.3338180262066766,1.0087139726685528,0.3334592339921624,1.0064860782049383,0.332722739801161,0.0184625989490629,0.1615215027959645,0.002836684364065,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786
4,4,clustering,Constant Fit,1.0986122506394518,0.0,-0.0,1.0,0.0,,,,0.997743381674933,0.3332092382434062,0.9984012357124104,0.3334289370624905,0.9982002781347034,0.3333618246941032,,,,0.4513177026535805,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786
5,5,pagerank,Michaelis-Menten Fit,1.0986110152867994,0.0028413307258087,-0.1234543327348413,1.0,0.2010178117048346,,,,0.9994332222121146,0.3328692023062951,0.9999836361742812,0.3330525220643867,1.0030634410450596,0.3340782756293182,,,,,0.0002855554711855,0.002876234471138,0.0010075566859489,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786
6,0,degree,Michaelis-Menten Fit,1.098604815717006,0.0073773682773976,-0.3340984475741094,1.0,0.4244532803180914,,,,1.0113951441011375,0.3315123201821893,1.0196047668699606,0.3342032477665133,1.0198524481367168,0.3342844320512974,,,,,1.9405258631264295,0.0076265904649769,1.9017376637853167,glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,1818,1006
7,1,closeness,Michaelis-Menten Fit,1.0986122739065471,0.0740942986721378,0.4407588275534826,0.9771371769383698,1.0,,,,1.0206581181157708,0.3332963864955061,1.0206366665457764,0.3332893814752776,1.0210189981178908,0.3334142320292164,,,,,-0.2318694942207684,0.1102923254182002,0.3045715006850994,glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,1818,1006
8,2,betweenness,Piecewise Linear Fit,1.098611583824582,0.1175318213393334,-1.205506116049421,1.0,0.679920477137177,,,,1.034812706128053,0.3338919134073745,1.0323141198023262,0.3330857213649208,1.0321177636368433,0.3330223652277047,0.2350636430323854,0.0664550160216028,-0.001331492068041,,,,,glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,1818,1006
9,3,harmonic,Piecewise Linear Fit,1.0986112124122724,0.062510090975431,-0.3851649611808724,1.0,0.3817097415506958,,,,1.0602104489226458,0.3339938151788583,1.0576302970771594,0.3331810003650726,1.0565008158488427,0.3328251844560691,0.1250201820330841,0.1520517703963129,0.0151723708170684,,,,,glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,1818,1006
