,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,dataset,num_edges,num_nodes,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
0,0,degree,Piecewise Linear Fit,1.09861195095888,0.0784311658946554,0.1908303985250753,1.0,0.5721231766612642,0.1568623317819232,-2.123328106837038,1.039221527701325,1.0068368759633712,0.3337041107930864,1.0054525504344651,0.3332452925567859,1.0048651227939829,0.3330505966501279,,,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,,,,
1,1,closeness,Piecewise Linear Fit,1.0986119999826245,0.0828477554437688,-0.1140184178718629,0.5307941653160454,0.6244274809160305,0.1656955109056597,0.9143289872525082,0.5886171597175925,1.009599641624589,0.333688408724403,1.00811239369846,0.3331968501170226,1.0078639668042195,0.3331147411585745,,,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,,,,
2,2,betweenness,Piecewise Linear Fit,1.09861210923907,0.0818709624019742,0.4254933284668765,1.0,0.5883306320907618,0.1637409847274905,-1.741793695925871e-05,4.77740440279092e-06,1.00283119691902,0.3336140240525828,1.0016466390710834,0.3332199546303437,1.0014845175617906,0.3331660213170734,,,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,,,,
3,3,harmonic,Piecewise Linear Fit,1.0986113375082829,0.080073149441726,0.2688467386683928,1.0,0.5810372771474879,0.1601462949428004,-0.0040639548473744,0.0015358194207473,1.0126970773446804,0.3339667321341759,1.0102024652785646,0.3331440602233932,1.0094296683528197,0.3328892076424308,,,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,,,,
4,4,clustering,Exponential Saturation Fit,1.098611983467416,0.0049675516483002,0.5493191243089677,1.0,0.1215559157212317,,,,1.002044099074905,0.3329664701245894,1.0037839059476588,0.3335445857520893,1.003616455556185,0.3334889441233212,-0.0963591490711931,139.5349720414332,0.1358873792997935,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,,,,
5,5,pagerank,Piecewise Linear Fit,1.0986122341443731,0.0813818017497388,0.0918501399479257,1.0,0.5858995137763371,0.1627635862253297,-0.0009422381009193,0.0009115302887282,1.0021767548163938,0.3334833467226903,1.0016087800537528,0.3332943480018666,1.0013922788506648,0.3332223052754431,,,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,,,,
6,0,degree,Piecewise Linear Fit,1.0986121722044595,0.1268470521835551,0.3198960336185951,1.0,0.8194444444444444,0.2536941043226399,-0.5704791998746436,0.29857336425338,1.000608635388218,0.3335603126294407,0.9996281957654112,0.3332334758067993,0.9995464089460872,0.3332062115637598,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,,
7,1,closeness,Michaelis-Menten Fit,1.0986121857603306,0.0051959906898178,-0.1137938239987243,0.2138888888888888,0.5194805194805194,,,,1.000505654136392,0.3332566197471121,1.000332057388538,0.3331987967201759,1.0013701812863638,0.3335445835327119,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,0.1949326601075618,0.005326832974877,0.7496123988253379,
8,2,betweenness,Constant Fit,1.0986121899054064,0.0,-0.0,1.0,0.0,,,,0.9973347338555862,0.3335416455518472,0.9964585987046636,0.3332486370462326,0.9963422236923684,0.3332097174019202,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,,4.808415251244068e-07
9,3,harmonic,Piecewise Linear Fit,1.098612064159472,0.1239665810890672,0.3440465603040872,1.0,0.8138888888888889,0.2479331494359084,-0.0019457602128272,0.000942303904455,1.0013338829552132,0.333648069814112,0.9999876146917628,0.3331994883617131,0.9998464201326605,0.3331524418241748,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,,
10,4,clustering,Constant Fit,,0.0,-0.0,1.0,0.0,,,,0.0,,,,,,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,,0.0
11,5,pagerank,Constant Fit,1.0986122597176962,0.0,-0.0,1.0,0.0,,,,0.9996440316003892,0.3334467102656031,0.9991436398062312,0.3332797968520966,0.9991247410569314,0.3332734928823003,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,,0.0027777777777777
12,0,degree,Michaelis-Menten Fit,1.0986117217217035,0.0054353849025369,-0.2097875890523327,1.0,0.3612512613521695,,,,1.004378825415012,0.332837727092613,1.0064148200396137,0.3335124285160975,1.006829489363684,0.3336498443912895,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,3267,1982,1.1916528200001626,0.0055870927850014,2.213425326255539,
13,1,closeness,Piecewise Linear Fit,1.0986122394172748,0.052251585568302,0.2473246165566393,0.9742684157416752,0.3552563438632832,0.1045031711190433,-0.5950931644156626,0.1568182431587948,1.003563016299844,0.3334417517219011,1.0033359396136468,0.3333663036964249,1.0028111692205712,0.3331919445816739,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,3267,1982,,,,
