,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c
degree,Piecewise Linear Fit,0.9999995734641801,0.01077375100442749,-0.14219324451074952,1.0,0.14463840399002495,1.0139100821132234,0.021547502008887665,65.92459334586515,4.284744124945288,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,2231,802,,,,,,,
pagerank,Piecewise Linear Fit,0.999998324590167,0.009794318316958638,-0.07564058995814671,1.0,0.13840399002493767,1.0105006051320822,0.019588636849788107,0.009074239360432643,0.0010861014400425412,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,2231,802,,,,,,,
betweenness,Piecewise Linear Fit,0.9999989618410313,0.14376834584515577,-0.7725607629356385,1.0,0.8154613466334164,1.1000628123057528,0.2875366919573487,0.10767668084637329,0.004557405519833173,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,2231,802,,,,,,,
closeness,Piecewise Linear Fit,0.9999925840522625,0.17869764700269103,-0.22239566387851545,0.9987531172069826,0.9138576779026217,2.261495721033713,0.3573952944682952,0.07720569304625538,0.04823924679845968,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,2231,802,,,,,,,
clustering,Piecewise Linear Fit,0.9999999834115518,0.026987242347601182,0.09463857827382666,1.0,0.2730673316708229,1.0115871089200181,0.053974484692548716,-2.0339411641542027,0.6348913899204516,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,2231,802,,,,,,,
degree,Exponential Saturation Fit,0.9999219085907467,0.007041162585193771,-0.21830511410578715,1.0,0.17391304347826086,1.0398918975218159,,,,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,7919,1495,3.9130200378501145,98.44214959500393,7.005762930695577,,,,
pagerank,Piecewise Linear Fit,0.999983527984628,0.008353241311509699,-0.12858384866030273,1.0,0.12441471571906354,1.0548796155539326,0.01670648280282511,0.00929140841441808,0.0005259878666010658,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,7919,1495,,,,,,,
betweenness,Exponential Saturation Fit,0.9999998855649973,0.14164068369710942,-0.9791138747559941,1.0,1.0,1.216415985939921,,,,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,7919,1495,0.021076949850921265,3.957489315348335,0.00019292610614200822,,,,
closeness,Exponential Saturation Fit,0.999999870872824,0.21098769496584174,-0.26516697944782736,1.0,1.0,3.0266819537103262,,,,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,7919,1495,0.09383045698627832,1.192504780846236,0.05784158173127564,,,,
clustering,Piecewise Linear Fit,0.999985054284146,0.01717733423959222,0.15404581795995217,1.0,0.19063545150501673,1.1991157942407373,0.0343546684785639,-5.536290393297666,0.7124391341995099,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,7919,1495,,,,,,,
degree,Piecewise Linear Fit,0.9999999786589945,0.01466893455166316,-0.17957688071713074,1.0,0.17589175891758918,1.0194906801181416,0.029337869103370693,66.14220562461458,4.432662959046554,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,2503,813,,,,,,,
pagerank,Piecewise Linear Fit,0.9999985535935888,0.010648020358896964,-0.09982048739661031,1.0,0.14391143911439114,1.0161446433811427,0.02129604091751494,0.010662893753471441,0.0010238901758245977,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,2503,813,,,,,,,
betweenness,Piecewise Linear Fit,0.9999997598204041,0.16241413095836577,-0.7353888884354591,1.0,0.8966789667896679,1.0600860252389026,0.3248282622539939,0.09631320335971613,0.0056286034243843265,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,2503,813,,,,,,,
closeness,Piecewise Linear Fit,0.9999995987170572,0.03000774555031055,0.18631163847756851,0.997539975399754,0.27373612823674476,1.0058384671813465,0.06001549108803513,-0.4768455911475071,0.0911108179965498,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,2503,813,,,,,,,
clustering,Piecewise Linear Fit,0.9999998131870751,0.031403336157513374,0.10771209576391949,1.0,0.28413284132841327,1.0161597809409637,0.0628066723119618,-2.0491905201203435,0.6617905298295308,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,2503,813,,,,,,,
degree,Exponential Saturation Fit,0.9999999992842605,0.006108734873077991,-0.18487229235711578,1.0,0.14502529510961215,1.008906151276494,,,,glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,2045,593,2.2068812723201217,113.4682049419799,4.865223581078687,,,,
pagerank,Piecewise Linear Fit,0.9999999757180738,0.005886782292655289,-0.08330802666688161,1.0,0.09274873524451939,1.0076153368567065,0.011773564638183314,0.022267743739738288,0.0014424167525974273,glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,2045,593,,,,,,,
betweenness,Piecewise Linear Fit,0.9999991041979004,0.14558823490244927,-0.4187948687725938,1.0,0.8701517706576728,1.007226638155959,0.29117647045131406,0.045044786237682204,0.009101205016868388,glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,2045,593,,,,,,,
closeness,Piecewise Linear Fit,0.9999999485444243,0.10493828680104536,0.36532608983077,0.984822934232715,0.7071917808219178,1.0235896679802536,0.20987657355655126,-0.46086781831341433,0.18074490057449724,glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,2045,593,,,,,,,
clustering,Piecewise Linear Fit,0.9999999341166678,0.16046655097439166,0.05651364366035999,1.0,0.9190556492411467,1.0019868982358366,0.3209331017953314,-0.20914185684127995,0.6274039929607483,glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,2045,593,,,,,,,
degree,Exponential Saturation Fit,0.999999114149019,0.010010606738309107,-0.26640419704564106,1.0,0.2115732368896926,1.0553733478341139,,,,glioma_mibitof:CHOP_907_R11C4_whole_cell.tiff,4389,1106,3.4831113955661372,69.24127564402882,4.795712547549336,,,,
pagerank,Piecewise Linear Fit,0.9999956188078739,0.006378502667367791,-0.15308537223515956,1.0,0.10216998191681737,1.0472769549009118,0.012757005401318541,0.019159566550918997,0.0006760990579876444,glioma_mibitof:CHOP_907_R11C4_whole_cell.tiff,4389,1106,,,,,,,
betweenness,Exponential Saturation Fit,0.9999997466947922,0.1917981622105662,-0.923154396650804,1.0,1.0,1.138810470848777,,,,glioma_mibitof:CHOP_907_R11C4_whole_cell.tiff,4389,1106,0.048081743533874635,1.7980126773761806,0.001167421087906459,,,,
closeness,Piecewise Linear Fit,0.9999988144673261,0.19316841768591755,-0.2429864914594452,0.9990958408679927,0.951131221719457,2.9624327105671604,0.3863368357927815,0.0917781757960003,0.05523279780872086,glioma_mibitof:CHOP_907_R11C4_whole_cell.tiff,4389,1106,,,,,,,
clustering,Piecewise Linear Fit,0.9999984335068732,0.019917014938134893,0.1281064107109388,1.0,0.19529837251356238,1.0500456317515596,0.039834029875258956,-3.9407297287078173,0.6911623986659106,glioma_mibitof:CHOP_907_R11C4_whole_cell.tiff,4389,1106,,,,,,,
degree,Exponential Saturation Fit,0.9999885170815462,0.005892140821439521,-0.2667784940643219,1.0,0.1542056074766355,1.0117972804486555,,,,glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,797,428,1.628201905830976,117.63927602958813,2.2374979241134243,,,,
pagerank,Piecewise Linear Fit,0.999996455420805,0.00906418364895617,-0.06882319413425693,1.0,0.1261682242990654,1.001639928643776,0.018128367405846765,0.016795722044665465,0.0020597982849251094,glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,797,428,,,,,,,
betweenness,Piecewise Linear Fit,0.9999982029250538,0.04103042450691719,-0.9123294215161843,1.0,0.3855140186915888,1.0121553142125046,0.08206084934585842,0.02471533360058357,9.744834273749769e-05,glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,797,428,,,,,,,
closeness,Piecewise Linear Fit,0.9999039923546139,0.016112937749705743,0.3107093584554482,0.9649532710280374,0.16707021791767554,1.0302375632251306,0.032225875499025704,-8.353366029233872,0.5677907421757545,glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,797,428,,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,797,428,,,,0.5449919758330973,,,
degree,Piecewise Linear Fit,0.9999983722605885,0.11679811769612543,-0.13986537364008458,1.0,0.7357142857142858,1.0100670939471739,0.23359623539822694,3.9088403141794514,2.807630774660067,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,699,420,,,,,,,
pagerank,Michaelis-Menten Fit,0.9999814760433263,0.00018140820020535862,-0.1481568673318661,1.0,0.07380952380952381,1.0125130291243105,,,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,699,420,,,,,0.0006252605629757928,0.00018154481269298773,0.0017968236013051239
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,699,420,,,,0.0006531842733324959,,,
closeness,Constant Fit,,0,0,0.95,0.0,,,,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,699,420,,,,0.42041206403183723,,,
clustering,Piecewise Linear Fit,0.9999999635275046,0.07972423123042251,-0.12252521753969706,1.0,0.5238095238095238,1.0017662214772067,0.15944846248435207,0.6783024618899783,0.3872780611485021,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,699,420,,,,,,,
degree,Exponential Saturation Fit,0.999999744074816,0.02519300660376948,-0.3402306011034132,1.0,0.3568812140240712,1.0325447519010564,,,,glioma_mibitof:CHOP_1101_R8C2_whole_cell.tiff,17698,1911,10.13412623521314,27.513430115325693,9.825951335974587,,,,
pagerank,Piecewise Linear Fit,0.9999932760212533,0.011035526890296476,-0.13984934063046456,1.0,0.09942438513867086,1.0433929020527228,0.022071054153651487,0.005916244189941725,0.0004015625663506407,glioma_mibitof:CHOP_1101_R8C2_whole_cell.tiff,17698,1911,,,,,,,
betweenness,Exponential Saturation Fit,0.9999998259118729,0.20329174465956446,-0.9940744180832859,1.0,1.0,1.1677493254851055,,,,glioma_mibitof:CHOP_1101_R8C2_whole_cell.tiff,17698,1911,0.024515907274366536,1.496763091587214,3.833830968421941e-05,,,,
closeness,Piecewise Linear Fit,0.9999966360506869,0.06202097735311541,0.2020149096980745,0.9994767137624281,0.4036649214659686,1.0143202610614033,0.12404195467325142,-0.37611989012073443,0.13880059792989016,glioma_mibitof:CHOP_1101_R8C2_whole_cell.tiff,17698,1911,,,,,,,
clustering,Exponential Saturation Fit,0.9999999359872156,0.01054152854661785,0.14583351790500565,1.0,0.17006802721088435,1.0989897174134005,,,,glioma_mibitof:CHOP_1101_R8C2_whole_cell.tiff,17698,1911,-0.2027156977897488,65.75395380166479,0.7963822187630235,,,,
degree,Piecewise Linear Fit,0.9999942113738175,0.02466813304103558,-0.364603276791099,1.0,0.17027863777089783,1.095316869293924,0.049336266082110065,126.80286388333037,5.4511702705928045,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,7162,1292,,,,,,,
pagerank,Piecewise Linear Fit,0.9999952944899321,0.016939402360121248,-0.15577547105589049,1.0,0.12461300309597523,1.067529564525171,0.033878805258855775,0.006290005460662347,0.0005774414681252172,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,7162,1292,,,,,,,
betweenness,Piecewise Linear Fit,0.9999999809340318,0.15172054472542926,-0.9451725989604961,1.0,0.8421052631578947,1.1958498035095997,0.30344109001592057,0.05370048473933732,0.0004726167300889481,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,7162,1292,,,,,,,
closeness,Piecewise Linear Fit,0.9999999999999791,0.23644014526443513,-0.13326000129806206,0.9984520123839009,0.9992248062015504,1.0032706166921246,0.4728802914846768,0.04947447745983804,0.07608367117589077,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,7162,1292,,,,,,,
clustering,Exponential Saturation Fit,0.9999999922079843,0.02566795462736845,0.08594811541216281,1.0,0.37925696594427244,1.021066972197963,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,7162,1292,-0.1021933027929636,27.00426840185924,0.6456005943563935,,,,
degree,Piecewise Linear Fit,0.9999990559133612,0.018719183716526474,-0.22701708049245314,1.0,0.1798196166854566,1.0299282757872263,0.037438367433075326,167.16305330756106,10.654634718036197,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,14410,1774,,,,,,,
pagerank,Piecewise Linear Fit,0.9999963905921269,0.009544701793939698,-0.13293156785698879,1.0,0.11104847801578353,1.0352342043314415,0.019089403858909733,0.00704327185865354,0.00043849234948634683,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,14410,1774,,,,,,,
betweenness,Piecewise Linear Fit,0.9999971856210712,0.1652791376998611,-0.9011009579363749,1.0,0.9177001127395716,1.0869683231370628,0.33055827619004513,0.04182572290255583,0.0007587174983728335,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,14410,1774,,,,,,,
closeness,Piecewise Linear Fit,0.9999995336349982,0.057218090336414285,0.11532402496411498,0.9983089064261556,0.427442123094297,1.0039051787778075,0.11443618060822634,-0.17713943487391282,0.09802342643356377,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,14410,1774,,,,,,,
clustering,Piecewise Linear Fit,0.999998150384569,0.016933547071531305,0.11010707896734018,1.0,0.16629086809470123,1.0515034577001838,0.033867094142328906,-4.615967981744113,0.7880619477281299,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,14410,1774,,,,,,,
degree,Piecewise Linear Fit,0.9999963193495061,0.01097955699653119,-0.36844825276744314,1.0,0.1005089058524173,1.0340296873655082,0.021959113993075912,162.36130439941232,3.055623130449794,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,2507,786,,,,,,,
pagerank,Piecewise Linear Fit,0.9999975997063274,0.012268631152302355,-0.12149182935008888,1.0,0.10941475826972011,1.0205924639960107,0.024537262519636574,0.011410987857437802,0.0010123205873279223,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,2507,786,,,,,,,
betweenness,Piecewise Linear Fit,0.999996388190682,0.15723131772328963,-0.8849861633067346,1.0,0.8587786259541985,1.0654182676584965,0.31446263578018224,0.09426251818073117,0.0019261570359765988,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,2507,786,,,,,,,
closeness,Michaelis-Menten Fit,0.9999990303840549,0.014581714481539361,0.7307007779521794,0.9910941475826972,0.8292682926829268,1.0785648099910121,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,2507,786,,,,,-0.3527457075275673,0.015550086990392243,0.4043222575869713
clustering,Constant Fit,,0,0,1.0,0.0,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,2507,786,,,,0.60658418316703,,,
degree,Exponential Saturation Fit,0.999957050300468,0.009268166899674564,-0.23041038937063968,1.0,0.19750519750519752,1.036399269249701,,,,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,3321,962,2.686399111922831,74.78794760882646,4.486396755293521,,,,
pagerank,Piecewise Linear Fit,0.9999985948918133,0.007358574862927034,-0.12705269052916332,1.0,0.11434511434511435,1.0327458310986897,0.014717149816647195,0.016209541476640502,0.0008195370331817396,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,3321,962,,,,,,,
betweenness,Piecewise Linear Fit,0.9999999883119607,0.22499999840359733,-0.8807883429205537,1.0,0.9896049896049897,1.1453752380502307,0.44999999733688456,0.08495534782925385,0.0025871427728351684,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,3321,962,,,,,,,
closeness,Piecewise Linear Fit,0.999999999999963,0.2440120978088831,-0.19894624775652556,0.997920997920998,0.9989583333333333,1.009928613271831,0.48802419649011614,0.05594363489780153,0.05496521695066515,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,3321,962,,,,,,,
clustering,Piecewise Linear Fit,0.9999995648631269,0.016666664379925707,0.09396523218303479,1.0,0.17671517671517672,1.0144269105353407,0.03333332875886805,-3.389637011208423,0.6577157041082353,glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,3321,962,,,,,,,
degree,Piecewise Linear Fit,0.9999987990128049,0.17026473031538505,-0.20210631775087476,1.0,0.8830715532286213,1.0225639230240686,0.3405294606323935,20.97645446319026,14.100090989281531,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,15022,1719,,,,,,,
pagerank,Piecewise Linear Fit,0.99999627749998,0.009521733778815262,-0.12333873734195559,1.0,0.12100058173356602,1.0299983944159146,0.019043467836599434,0.006826376585264061,0.0004619963619092385,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,15022,1719,,,,,,,
betweenness,Michaelis-Menten Fit,0.9999988381513716,0.12578927719103802,-0.9419555616568341,1.0,1.0,1.0680407757417376,,,,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,15022,1719,,,,,0.020929641452439723,0.2568696663571399,0.0004239588361154718
closeness,Piecewise Linear Fit,0.9999972834320456,0.1829089134268477,-0.23392622559765763,0.9994182664339732,0.919674039580908,2.5052195323120854,0.3658178272292775,0.09740021578461867,0.05834269285225683,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,15022,1719,,,,,,,
clustering,Piecewise Linear Fit,0.999993655432226,0.016612988177881306,0.1036990149047134,1.0,0.17975567190226877,1.0470250533676502,0.03322597635497011,-4.192639756473463,0.7413295781562003,glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,15022,1719,,,,,,,
degree,Exponential Saturation Fit,0.9999804618152575,0.006580936839417702,-0.2659340026031951,1.0,0.16399622997172478,1.039116871925916,,,,glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,3965,1061,3.2615630269638776,105.3265207436053,4.501497538858578,,,,
pagerank,Exponential Saturation Fit,0.9998665168287891,0.0038269104667663627,-0.15228975845378354,1.0,0.12629594721960416,1.040786782118044,,,,glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,3965,1061,0.0002537417979271128,181.12438022216384,0.0007062178959574159,,,,
betweenness,Piecewise Linear Fit,0.9999996393893338,0.18743866416607352,-0.870227433936561,1.0,0.9547596606974552,1.205744810043174,0.37487732884182734,0.0735514645178412,0.0020558935169906873,glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,3965,1061,,,,,,,
closeness,Michaelis-Menten Fit,0.999999625552757,0.09766292842169452,-0.22213261395728642,1.0,1.0,1.0225402723037897,,,,glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,3965,1061,,,,,0.0400071092959268,0.16137872950148568,0.05281904451098615
clustering,Exponential Saturation Fit,0.9999994299068269,0.010130032102002915,0.14335692189935467,1.0,0.21960414703110273,1.043322112199728,,,,glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,3965,1061,-0.16729574021268487,68.42497379851724,0.6671416351154735,,,,
degree,Piecewise Linear Fit,0.9999847184202755,0.07923913024004477,0.40256718278949155,1.0,0.6627218934911243,1.0630902728744718,0.1584782604791239,-16.410712193514843,4.5305657093602525,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,258,169,,,,,,,
pagerank,Piecewise Linear Fit,0.9999952521855127,0.06312654704405159,0.14342519992551642,1.0,0.5976331360946746,1.0204830318480205,0.1262530931803229,-0.013907891453152866,0.006999316243033099,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,258,169,,,,,,,
betweenness,Piecewise Linear Fit,0.9999990221257501,0.08590324147461138,0.886624063115711,1.0,0.6804733727810651,1.0219789433942275,0.17180648226004755,-0.02492929026550205,0.00455685610844452,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,258,169,,,,,,,
closeness,Constant Fit,,0,0,0.8461538461538461,0.0,,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,258,169,,,,0.5487117938628497,,,
clustering,Piecewise Linear Fit,0.9999930212672485,0.054528665529032114,0.29135315406719514,1.0,0.5739644970414202,1.026397611995987,0.10905733105401415,-2.692719945620011,0.6507907332642789,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,258,169,,,,,,,
degree,Michaelis-Menten Fit,0.9999987240096954,0.010548923503125647,-0.33529530553703824,1.0,0.6693735498839907,1.0354579204716,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,2888,862,,,,,3.717472260410602,0.011038487258661302,3.601277579965251
pagerank,Piecewise Linear Fit,0.9999987411352564,0.005723466889799012,-0.16677218040192449,1.0,0.09744779582366589,1.0309755784798171,0.011446933818384433,0.029512747491528428,0.000843934900698289,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,2888,862,,,,,,,
betweenness,Piecewise Linear Fit,0.9999993441999623,0.1612745092403216,-0.9760374449682321,1.0,0.8921113689095128,1.0952110164630868,0.3225490187459137,0.12159250272542856,0.00048143662484628817,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,2888,862,,,,,,,
closeness,Constant Fit,,0,0,0.9918793503480279,0.0,,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,2888,862,,,,0.0699488730627665,,,
clustering,Piecewise Linear Fit,0.9999995464002769,0.011237321588882469,0.09062097319835144,1.0,0.13805104408352667,1.0068473892635665,0.022474643177302064,-4.855201566181854,0.65662164904462,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,2888,862,,,,,,,
degree,Michaelis-Menten Fit,0.9999996371030789,0.05343303318925401,-0.213050695646067,1.0,1.0,1.0419245738627134,,,,glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,4584,1125,,,,,3.6839104066059085,0.06849369109932849,5.963260489442242
pagerank,Piecewise Linear Fit,0.999998427786283,0.012669566384367083,-0.09602978114568042,1.0,0.1448888888888889,1.0245293364674746,0.02533913317401043,0.006252310917799875,0.0007456765399503774,glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,4584,1125,,,,,,,
betweenness,Piecewise Linear Fit,0.9999999990935311,0.1737640717563898,-0.8111198817680801,1.0,0.8906666666666667,1.1229191794991276,0.34752814406980587,0.06238989970499851,0.002524500514041824,glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,4584,1125,,,,,,,
closeness,Piecewise Linear Fit,0.9999971193154694,0.19337407521550595,-0.24417828013374684,1.0,0.9404444444444444,3.1439179315590953,0.3867481508632985,0.08946571239400124,0.053550953964008996,glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,4584,1125,,,,,,,
clustering,Piecewise Linear Fit,0.9999997266832175,0.013939850230869667,0.09978304436599388,1.0,0.15022222222222223,1.022008391956998,0.02787970046112826,-4.562500849240413,0.7009892141732468,glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,4584,1125,,,,,,,
degree,Piecewise Linear Fit,0.9999999972381317,0.17627046840020538,-0.10158374603442072,1.0,0.9132546842470507,1.0277475883370975,0.3525409368062947,5.991602997983924,9.340625597319043,glioma_mibitof:Brainiaqc_R6C2_whole_cell.tiff,7419,1441,,,,,,,
pagerank,Piecewise Linear Fit,0.9999966496506272,0.0071043606165086945,-0.11155445608763896,1.0,0.09437890353920889,1.026251111842026,0.014208721376310659,0.009915831698460041,0.0005610453936547012,glioma_mibitof:Brainiaqc_R6C2_whole_cell.tiff,7419,1441,,,,,,,
betweenness,Piecewise Linear Fit,0.999999683716265,0.1464551376339596,-0.8341042004008807,1.0,0.8119361554476058,1.1644252956050067,0.2929102758495751,0.05035800514528241,0.001466858416372113,glioma_mibitof:Brainiaqc_R6C2_whole_cell.tiff,7419,1441,,,,,,,
closeness,Piecewise Linear Fit,0.9999967111791006,0.18778086399301047,-0.2375299478935671,1.0,0.9354614850798056,2.8959508765458097,0.37556172837937285,0.09547728672421804,0.05755139017479734,glioma_mibitof:Brainiaqc_R6C2_whole_cell.tiff,7419,1441,,,,,,,
clustering,Exponential Saturation Fit,0.9999994650634253,0.01270672557531858,0.15933038143768186,1.0,0.2539902845246357,1.0971946077729524,,,,glioma_mibitof:Brainiaqc_R6C2_whole_cell.tiff,7419,1441,-0.21484340028977258,54.5496301871312,0.7816289616057832,,,,
degree,Piecewise Linear Fit,0.9999966976946489,0.016701497780878167,-0.3070118018253247,1.0,0.17227456258411844,1.0423953785496034,0.033402995561795254,85.7902872642253,3.2341809165812316,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,2149,743,,,,,,,
pagerank,Piecewise Linear Fit,0.9999918863168946,0.010954271391237998,-0.1449097423454801,1.0,0.13324360699865412,1.0325273325199378,0.021908542920287804,0.01589743316228813,0.0010276018082673824,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,2149,743,,,,,,,
betweenness,Piecewise Linear Fit,0.9999992103206371,0.055872327720114745,-0.72039523297616,1.0,0.4387617765814266,1.019105984452405,0.11174465549563357,0.2016903515345409,0.004373766807445618,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,2149,743,,,,,,,
closeness,Exponential Saturation Fit,0.9999999950354401,0.09775344510605014,0.5240294585854218,0.9919246298788694,0.994572591587517,1.020866195163657,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,2149,743,-0.10509228807670319,6.722039025291249,0.14721059990453927,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,2149,743,,,,0.5523192673932916,,,
degree,Piecewise Linear Fit,0.9999839142988844,0.01652491469417272,-0.257037255023035,1.0,0.1660939289805269,1.0766743408857546,0.03304982938836462,172.35158230896295,8.232381037049247,glioma_mibitof:CHOP_907_R10C1_whole_cell.tiff,11646,1746,,,,,,,
pagerank,Piecewise Linear Fit,0.9999649501841614,0.010622998349764379,-0.15933618504257796,1.0,0.12485681557846506,1.0929168629414607,0.0212459969799706,0.007575901077840687,0.00042460910579334034,glioma_mibitof:CHOP_907_R10C1_whole_cell.tiff,11646,1746,,,,,,,
betweenness,Piecewise Linear Fit,0.9999977670777738,0.16225490165644332,-0.9281278365707446,1.0,0.9020618556701031,1.193352179116869,0.32450980401577395,0.04616811141921746,0.0005800865793539701,glioma_mibitof:CHOP_907_R10C1_whole_cell.tiff,11646,1746,,,,,,,
closeness,Piecewise Linear Fit,0.9999920423241683,0.1781496055451912,-0.20285011381746043,1.0,0.9381443298969072,2.2217669857029767,0.3562992115016532,0.08663369941163923,0.06065078940974695,glioma_mibitof:CHOP_907_R10C1_whole_cell.tiff,11646,1746,,,,,,,
clustering,Piecewise Linear Fit,0.9999939656328753,0.016281794351577054,0.12840078947381284,1.0,0.16552119129438717,1.1375912077634105,0.032563588702500056,-4.978990664898125,0.7124251858475664,glioma_mibitof:CHOP_907_R10C1_whole_cell.tiff,11646,1746,,,,,,,
degree,Piecewise Linear Fit,0.9999955178429235,0.015188632586229154,-0.29015529440397775,1.0,0.15416474919466175,1.0674158046413345,0.030377265172467346,335.5789925402551,12.469421070435642,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,23618,2173,,,,,,,
pagerank,Piecewise Linear Fit,0.9999930571402447,0.013047858492383995,-0.1329351453565684,1.0,0.13391624482282558,1.0479281831301794,0.026095717603234717,0.004219421413427923,0.00035909045282639276,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,23618,2173,,,,,,,
betweenness,Michaelis-Menten Fit,0.9999999999556353,0.12017819902472546,0.3162790709970204,1.0,1.0,1.0011711706347042,,,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,23618,2173,,,,,-0.002707709931979769,0.231956453433138,0.003845887397724381
closeness,Piecewise Linear Fit,0.9999976866322255,0.1427872857942696,-0.1920505430180556,1.0,0.8485964104924069,1.015585974989371,0.28557457179388135,0.13907261436080764,0.08354102723157533,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,23618,2173,,,,,,,
