,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c
betweenness,Piecewise Linear Fit,0.9999967541539679,0.14150445722418878,-0.7962808321075817,1.0,0.8267148014440433,1.0108186386708615,0.28300898237627725,0.0004166313337155388,1.5082951874378209e-05,,glioma_mibitof:CHOP_907_R5C14_whole_cell.tiff,263,277,,,,,,
closeness,Constant Fit,,0,0,0.8628158844765343,0.0,,,,,0.7278192120146361,glioma_mibitof:CHOP_907_R5C14_whole_cell.tiff,263,277,,,,,,
clustering,Piecewise Linear Fit,0.9999997895304453,0.04652301664674589,0.2147152188110834,1.0,0.47653429602888087,1.0056532090298993,0.09304603328883461,-1.997903749109898,0.5258405506446365,,glioma_mibitof:CHOP_907_R5C14_whole_cell.tiff,263,277,,,,,,
degree,Piecewise Linear Fit,0.9999983983816781,0.1687866927522692,-0.20305329766670882,1.0,0.9040139616055847,1.0323814437975483,0.33757338551109867,5.1458116713645135,3.40887692929905,,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1201,573,,,,,,
pagerank,Exponential Saturation Fit,0.9999998563943978,0.0024473409890524416,-0.17236726013512696,1.0,0.09773123909249563,1.0199081392224576,,,,,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1201,573,0.0005226380655267871,283.224525034973,0.001254740478423186,,,
betweenness,Michaelis-Menten Fit,0.9999998951734248,0.041648291614582444,-0.6012757503630589,1.0,1.0,1.0115833189385324,,,,,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1201,573,,,,0.001012355808912948,0.051022009336152314,0.0003017093219199661
closeness,Piecewise Linear Fit,0.9999993029457938,0.03473580776763754,0.20388385183335858,0.9720767888307156,0.3141831238779174,1.0118254187403204,0.06947161553125265,-1.7271159443766486,0.35424249286793935,,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1201,573,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.5146814984511319,glioma_mibitof:CHOP_907_R7C13_whole_cell.tiff,1201,573,,,,,,
degree,Piecewise Linear Fit,0.9999938545543556,0.046055971053494016,0.09389224011378665,1.0,0.38,1.0031398141837586,0.09211194210483704,-4.282073647361619,2.297655519174876,,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,352,350,,,,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0028571428571428567,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,352,350,,,,,,
betweenness,Michaelis-Menten Fit,0.9999957292960056,0.2365265321501815,-0.4337758870385357,1.0,1.0,1.001752469831178,,,,,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,352,350,,,,2.1139367578161865,8910.33507362433,7.324684918948052e-05
closeness,Piecewise Linear Fit,0.9999988254265473,0.01224289881252906,-0.1075714030175769,0.84,0.24149659863945577,1.003021511472641,0.024485797625577798,4.711837641836386,0.4785763385505872,,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,352,350,,,,,,
clustering,Piecewise Linear Fit,0.9999985006197561,0.026444662127970725,0.19881038403300952,1.0,0.3028571428571429,1.0032320820800156,0.052889324253963775,-2.6743523158343683,0.4264499565975979,,glioma_mibitof:CHOP_907_R4C14_whole_cell.tiff,352,350,,,,,,
degree,Exponential Saturation Fit,0.999980154038572,0.005232593180174119,-0.29490809888669284,1.0,0.17192982456140352,1.0179901847441946,,,,,glioma_mibitof:CHOP_907_R7C4_whole_cell.tiff,1028,570,1.7115375379943554,132.46724074170302,2.04604631242325,,,
pagerank,Piecewise Linear Fit,0.9999986401121167,0.006601882752616411,-0.15252747052878082,1.0,0.12631578947368421,1.0199968346719,0.013203765541906075,0.03600380330281723,0.0013206682396997825,,glioma_mibitof:CHOP_907_R7C4_whole_cell.tiff,1028,570,,,,,,
betweenness,Piecewise Linear Fit,0.9999960416555964,0.09243916374328537,-1.0436069537298112,1.0,0.6070175438596491,1.035788542745083,0.18487832949663477,0.0091976337011331,-3.5526425936405454e-05,,glioma_mibitof:CHOP_907_R7C4_whole_cell.tiff,1028,570,,,,,,
closeness,Michaelis-Menten Fit,0.9999986994488187,0.20408356572161915,0.4904054679347053,0.9754385964912281,1.0,1.0433247009584983,,,,,glioma_mibitof:CHOP_907_R7C4_whole_cell.tiff,1028,570,,,,-0.9871769166314416,1.2515052069287642,0.42064279975163266
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.4944615326194274,glioma_mibitof:CHOP_907_R7C4_whole_cell.tiff,1028,570,,,,,,
degree,Michaelis-Menten Fit,0.9999992175734402,0.002755161782340794,-0.10329078474478721,1.0,0.2633788037775446,1.001582143856662,,,,,glioma_mibitof:CHOP_907_R3C9_whole_cell.tiff,1946,953,,,,0.7809848346626593,0.002786475684946072,3.3708672634835133
pagerank,Piecewise Linear Fit,0.9999968291310757,0.0062267989866758465,-0.11288480622809187,1.0,0.1080797481636936,1.0157382832830055,0.012453598045096492,0.01735818966659192,0.0008494029757702773,,glioma_mibitof:CHOP_907_R3C9_whole_cell.tiff,1946,953,,,,,,
betweenness,Piecewise Linear Fit,0.9999986377339987,0.1374783912600851,-0.7142385751047762,1.0,0.8037775445960126,1.0647841658090917,0.27495678273278923,0.12931900896152798,0.007113070400166594,,glioma_mibitof:CHOP_907_R3C9_whole_cell.tiff,1946,953,,,,,,
closeness,Piecewise Linear Fit,0.9999992627019583,0.16858046018420397,-0.3165844950379443,0.993704092339979,0.9039070749736009,1.0440400479108252,0.33716092077430687,0.08306523721478465,0.03022885733412913,,glioma_mibitof:CHOP_907_R3C9_whole_cell.tiff,1946,953,,,,,,
clustering,Michaelis-Menten Fit,0.9999990296669857,0.002517013586885127,0.24727531368533065,1.0,0.24763903462749212,1.0172929298804396,,,,,glioma_mibitof:CHOP_907_R3C9_whole_cell.tiff,1946,953,,,,-0.2762644294210098,0.002543122429540281,0.6931542730880803
degree,Constant Fit,,0,0,1.0,0.0,,,,,2.021321961620469,glioma_mibitof:CHOP_907_R8C6_whole_cell.tiff,474,469,,,,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0021321961620469087,glioma_mibitof:CHOP_907_R8C6_whole_cell.tiff,474,469,,,,,,
betweenness,Piecewise Linear Fit,0.9999962007774151,0.029556649389042646,-0.8785134345697748,1.0,0.2921108742004264,1.00478510463675,0.05911329983407991,0.005597878819554479,2.288008314418109e-05,,glioma_mibitof:CHOP_907_R8C6_whole_cell.tiff,474,469,,,,,,
closeness,Piecewise Linear Fit,0.9999995157454017,0.024118512650948033,0.11869315194385405,0.8742004264392325,0.2682926829268293,1.004311475910088,0.04823702530012438,-2.7226103180052403,0.6189012000269333,,glioma_mibitof:CHOP_907_R8C6_whole_cell.tiff,474,469,,,,,,
clustering,Piecewise Linear Fit,0.9999999725122164,0.060843960023835145,0.25386278505033855,1.0,0.4840085287846482,1.0091212147058792,0.1216879200383336,-1.3033289765027574,0.39167197279831195,,glioma_mibitof:CHOP_907_R8C6_whole_cell.tiff,474,469,,,,,,
degree,Piecewise Linear Fit,0.9999997967659894,0.17175196810945761,-0.1533400071005103,1.0,0.8926458157227388,1.0234066778209814,0.34350393622544706,5.258833541005235,4.987061295688899,,glioma_mibitof:CHOP_907_R6C2_whole_cell.tiff,3441,1183,,,,,,
pagerank,Piecewise Linear Fit,0.9999987459948069,0.006334322236989934,-0.10840358735417163,1.0,0.10397295012679628,1.0182165881750322,0.01266864456967719,0.013238244735722769,0.0006896919997835738,,glioma_mibitof:CHOP_907_R6C2_whole_cell.tiff,3441,1183,,,,,,
betweenness,Piecewise Linear Fit,0.9999979040633656,0.09516456941903584,-0.7034604165624626,1.0,0.6187658495350803,1.0509593815136464,0.190329139028967,0.09970340570136209,0.003999707971234887,,glioma_mibitof:CHOP_907_R6C2_whole_cell.tiff,3441,1183,,,,,,
closeness,Piecewise Linear Fit,0.9999999994593305,0.016946315936168906,-0.2604149824724557,0.9957734573119188,0.18251273344651953,1.0024309746598656,0.03389263187669714,0.7774748284387456,0.03741827593256146,,glioma_mibitof:CHOP_907_R6C2_whole_cell.tiff,3441,1183,,,,,,
clustering,Piecewise Linear Fit,0.999999522105089,0.026574802514571737,0.07606645758165567,1.0,0.2485207100591716,1.0041780985017208,0.05314960502522722,-1.357159911055658,0.5102076555590818,,glioma_mibitof:CHOP_907_R6C2_whole_cell.tiff,3441,1183,,,,,,
degree,Piecewise Linear Fit,0.9999999723717783,0.013550242234352628,-0.30097665214818425,1.0,0.1525974025974026,1.023788473072027,0.027100484468751632,58.43790014702172,1.8390796366984565,,glioma_mibitof:CHOP_907_R6C13_whole_cell.tiff,1003,616,,,,,,
pagerank,Michaelis-Menten Fit,0.9999998136028836,0.0007787501232510882,-0.2130944453004831,1.0,0.10714285714285714,1.0173382108042694,,,,,glioma_mibitof:CHOP_907_R6C13_whole_cell.tiff,1003,616,,,,0.0005831505453790955,0.0007812190300609342,0.0010750120685497574
betweenness,Piecewise Linear Fit,0.9999980118389784,0.08591383109494513,-0.9985405340368897,1.0,0.5746753246753247,1.0193178806004735,0.17182766427143412,0.008254818415085718,1.0365206009934463e-06,,glioma_mibitof:CHOP_907_R6C13_whole_cell.tiff,1003,616,,,,,,
closeness,Exponential Saturation Fit,0.9999999671172014,0.05097427450858665,0.28120135159285725,0.9464285714285714,0.6826758147512865,1.0280144440273562,,,,,glioma_mibitof:CHOP_907_R6C13_whole_cell.tiff,1003,616,-0.1986194673262242,13.573609767919876,0.45190965400145544,,,
clustering,Michaelis-Menten Fit,0.9999962554889885,9.999959416337036e-07,-0.5435179923016025,1.0,0.03409090909090909,1.01024726408798,,,,,glioma_mibitof:CHOP_907_R6C13_whole_cell.tiff,1003,616,,,,0.32144319547730477,1.0000000000026059e-06,0.13498425034045966
degree,Michaelis-Menten Fit,0.9999999954273948,0.24097709324661587,0.10751338022462074,1.0,1.0,1.0078453033975288,,,,,glioma_mibitof:CHOP_907_R8C4_whole_cell.tiff,2237,1019,,,,-215878.2003192726,114758.72317172783,4.669650707389103
pagerank,Piecewise Linear Fit,0.9999989637139107,0.007345738373119402,-0.09335004760440667,1.0,0.13150147203140333,1.0153179567677597,0.014691476873213101,0.011570433726297819,0.0008254868745720385,,glioma_mibitof:CHOP_907_R8C4_whole_cell.tiff,2237,1019,,,,,,
betweenness,Michaelis-Menten Fit,0.9999999630548577,0.17888890287408218,-0.742869618322712,1.0,1.0,1.0673296863930384,,,,,glioma_mibitof:CHOP_907_R8C4_whole_cell.tiff,2237,1019,,,,0.0917695120120271,0.6943005906801984,0.006507499087936904
closeness,Piecewise Linear Fit,0.9999998058882387,0.14201762920928424,-0.26853959981761366,1.0,0.8331697742885181,1.0049374601511896,0.2840352586935669,0.1032861266275081,0.03995459485763289,,glioma_mibitof:CHOP_907_R8C4_whole_cell.tiff,2237,1019,,,,,,
clustering,Michaelis-Menten Fit,0.99999956549143,0.008619737094122386,0.19680756126412827,1.0,0.6290480863591756,1.0188537706409364,,,,,glioma_mibitof:CHOP_907_R8C4_whole_cell.tiff,2237,1019,,,,-0.19950321061094048,0.00893950189466108,0.5955534755979376
degree,Piecewise Linear Fit,0.9999999999999589,0.23676471996881132,0.09864222668789357,1.0,0.9990253411306043,1.0037576561005215,0.47352943991184593,-1.8370358209520847,4.844266576536731,,glioma_mibitof:CHOP_907_R9C4_whole_cell.tiff,2340,1026,,,,,,
pagerank,Piecewise Linear Fit,0.999999776820732,0.006314253095421031,-0.09996069940462515,1.0,0.1101364522417154,1.0143133116406953,0.012628506279569046,0.014232994304191114,0.0008091898469427321,,glioma_mibitof:CHOP_907_R9C4_whole_cell.tiff,2340,1026,,,,,,
betweenness,Piecewise Linear Fit,0.9999949847839792,0.10526088388662944,-0.789642622276173,1.0,0.6861598440545809,1.0700090404788816,0.2105217679292828,0.13492917461574216,0.0037835548743636576,,glioma_mibitof:CHOP_907_R9C4_whole_cell.tiff,2340,1026,,,,,,
closeness,Piecewise Linear Fit,0.9999997210691167,0.02809194652049052,0.28269738783088705,0.9873294346978557,0.26554787759131293,1.0068828226295958,0.056183893032686776,-0.6773821803041389,0.08634118701153588,,glioma_mibitof:CHOP_907_R9C4_whole_cell.tiff,2340,1026,,,,,,
clustering,Piecewise Linear Fit,0.9999999528105958,0.023518896165287344,0.10212560598981311,1.0,0.23684210526315788,1.0061490723562343,0.047037792328245044,-2.019107755101164,0.5124752282633313,,glioma_mibitof:CHOP_907_R9C4_whole_cell.tiff,2340,1026,,,,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,2.5755395683453237,glioma_mibitof:CHOP_907_R6C11_whole_cell.tiff,716,556,,,,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0017985611510791364,glioma_mibitof:CHOP_907_R6C11_whole_cell.tiff,716,556,,,,,,
betweenness,Michaelis-Menten Fit,0.9999953447283592,0.24338877091221575,-0.46832321442993563,1.0,1.0,1.0032429151542228,,,,,glioma_mibitof:CHOP_907_R6C11_whole_cell.tiff,716,556,,,,680.2967609305302,931947.9591785471,0.00020170147323643876
closeness,Michaelis-Menten Fit,0.9999854035408441,0.2433887436770972,0.2257630482763612,0.9424460431654677,1.0,1.0106436521026385,,,,,glioma_mibitof:CHOP_907_R6C11_whole_cell.tiff,716,556,,,,-212324.24471392058,652409.8661743752,0.4300639696906785
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.38086673518328196,glioma_mibitof:CHOP_907_R6C11_whole_cell.tiff,716,556,,,,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,2.5018587360594795,glioma_mibitof:CHOP_907_R2C8_whole_cell.tiff,673,538,,,,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0018587360594795538,glioma_mibitof:CHOP_907_R2C8_whole_cell.tiff,673,538,,,,,,
betweenness,Exponential Saturation Fit,0.9999998950695665,0.012598620642285806,-0.9954417246310682,1.0,0.2955390334572491,1.002361133615825,,,,,glioma_mibitof:CHOP_907_R2C8_whole_cell.tiff,673,538,0.0006008239061807652,55.01769072959552,1.3755809107950514e-06,,,
closeness,Piecewise Linear Fit,0.9999999994931101,0.21476804437600724,-0.1284947849998427,0.9144981412639405,0.9817073170731707,1.0021979271397232,0.42953608891206096,0.268382255664078,0.39093805644992397,,glioma_mibitof:CHOP_907_R2C8_whole_cell.tiff,673,538,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.3677597804921225,glioma_mibitof:CHOP_907_R2C8_whole_cell.tiff,673,538,,,,,,
degree,Exponential Saturation Fit,0.9999916824453342,0.00485016551870137,-0.32964035451252977,1.0,0.12104539202200826,1.0226140486718063,,,,,glioma_mibitof:CHOP_941_R2C6_whole_cell.tiff,1326,727,1.8750214522420596,142.91206719316298,1.9065304031604056,,,
pagerank,Piecewise Linear Fit,0.9999986723611307,0.006320600606867446,-0.1424215378789465,1.0,0.09766162310866575,1.0178123327250337,0.012641201259489513,0.027628252662144567,0.0010515016117543432,,glioma_mibitof:CHOP_941_R2C6_whole_cell.tiff,1326,727,,,,,,
betweenness,Piecewise Linear Fit,0.9999995276243644,0.16456953353059908,-0.9010680518785757,1.0,0.8693259972489684,1.0420464091677863,0.32913906852231134,0.022526596868233918,0.0004070276787493617,,glioma_mibitof:CHOP_941_R2C6_whole_cell.tiff,1326,727,,,,,,
closeness,Piecewise Linear Fit,0.9999998009333977,0.07443682314837986,0.2029238294645658,0.9738651994497937,0.5141242937853108,1.0057212599147756,0.14887364627356084,-0.6417267444632155,0.28316726594379493,,glioma_mibitof:CHOP_941_R2C6_whole_cell.tiff,1326,727,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.509255256435449,glioma_mibitof:CHOP_941_R2C6_whole_cell.tiff,1326,727,,,,,,
degree,Piecewise Linear Fit,0.9999999999999628,0.2441291573396384,-0.17544876108350135,1.0,0.9987937273823885,1.0180361317813666,0.48825831469418784,3.2744660842410904,3.7568814535043673,,glioma_mibitof:CHOP_907_R7C8_whole_cell.tiff,1767,829,,,,,,
pagerank,Exponential Saturation Fit,0.9999954124102542,0.0037874341210867284,-0.08143183351224902,1.0,0.13751507840772015,1.0052135614211393,,,,,glioma_mibitof:CHOP_907_R7C8_whole_cell.tiff,1767,829,0.0001836492064406001,183.0121960894024,0.001035800739206702,,,
betweenness,Piecewise Linear Fit,0.9999999997882162,0.1511285562830071,-0.6906808932869428,1.0,0.850422195416164,1.0216917803013261,0.3022571136691894,0.02739883271168829,0.0018544190901997508,,glioma_mibitof:CHOP_907_R7C8_whole_cell.tiff,1767,829,,,,,,
closeness,Piecewise Linear Fit,0.9999999404013992,0.0789232085070832,0.31247356095252576,0.9903498190591074,0.5578562728380024,1.0234372065715467,0.15784641699011517,-0.6562924918072763,0.21756020285393296,,glioma_mibitof:CHOP_907_R7C8_whole_cell.tiff,1767,829,,,,,,
clustering,Exponential Saturation Fit,0.9999977075714405,0.0019300435674766338,0.1269524529500281,1.0,0.09408926417370325,1.0026196348631495,,,,,glioma_mibitof:CHOP_907_R7C8_whole_cell.tiff,1767,829,-0.15026036625096548,359.13551015414987,0.6669279891017752,,,
degree,Piecewise Linear Fit,0.9999997531132165,0.13013382037023485,0.097519911913482,1.0,0.8070422535211268,1.0052173801380535,0.2602676407303379,-2.568879381757545,3.7622963443731097,,glioma_mibitof:CHOP_907_R9C14_whole_cell.tiff,1215,710,,,,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0014084507042253522,glioma_mibitof:CHOP_907_R9C14_whole_cell.tiff,1215,710,,,,,,
betweenness,Piecewise Linear Fit,0.9999994486860452,0.03257643924970735,-0.6931968189958385,1.0,0.3126760563380282,1.006970752213453,0.06515287890436576,0.016089075152948752,0.0002319732455006471,,glioma_mibitof:CHOP_907_R9C14_whole_cell.tiff,1215,710,,,,,,
closeness,Michaelis-Menten Fit,0.9999978583635329,0.23994067781142658,0.21225997307003563,0.9647887323943662,1.0,1.0028663381318543,,,,,glioma_mibitof:CHOP_907_R9C14_whole_cell.tiff,1215,710,,,,-33153.07077176917,130567.92685379481,0.34795092577150705
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.4790400991809442,glioma_mibitof:CHOP_907_R9C14_whole_cell.tiff,1215,710,,,,,,
degree,Piecewise Linear Fit,0.9999979033158409,0.007894933469807379,-0.2456981767033205,1.0,0.11602209944751381,1.0336571808723383,0.015789866939625606,145.45773069885047,3.525563215434964,,glioma_mibitof:CHOP_907_R9C8_whole_cell.tiff,3582,1267,,,,,,
pagerank,Piecewise Linear Fit,0.9999957744155091,0.00797593996662038,-0.13151512517922706,1.0,0.11602209944751381,1.0309433475646261,0.015951880069561317,0.011701742197067506,0.0006163379755077552,,glioma_mibitof:CHOP_907_R9C8_whole_cell.tiff,3582,1267,,,,,,
betweenness,Piecewise Linear Fit,0.9999998817746826,0.17598038961602608,-0.8194723032161166,1.0,0.914759273875296,1.1421016148683156,0.3519607796952001,0.0759931582330517,0.002946105695093051,,glioma_mibitof:CHOP_907_R9C8_whole_cell.tiff,3582,1267,,,,,,
closeness,Michaelis-Menten Fit,0.9999997670022052,0.24264607563033708,-0.1360574137709877,0.9984214680347278,1.0,1.0010671425533948,,,,,glioma_mibitof:CHOP_907_R9C8_whole_cell.tiff,3582,1267,,,,1928.8499977982601,59883.81307157595,0.04962759062805429
clustering,Piecewise Linear Fit,0.9999999194249052,0.01202840052174176,0.11650845143660953,1.0,0.1404893449092344,1.0130811556061512,0.024056801043010015,-5.080691745534768,0.5856461761296887,,glioma_mibitof:CHOP_907_R9C8_whole_cell.tiff,3582,1267,,,,,,
degree,Exponential Saturation Fit,0.9999995376327373,0.009214441449387357,-0.23218850230869778,1.0,0.185,1.010798891018847,,,,,glioma_mibitof:CHOP_941_R1C3_whole_cell.tiff,799,600,1.038879832107285,75.22400400186737,1.7177075347336948,,,
pagerank,Piecewise Linear Fit,0.9999997903352013,0.003241759700993038,-0.11636806208328693,1.0,0.07,1.003730352724814,0.00648351941395765,0.054157641222364286,0.0013331473298967141,,glioma_mibitof:CHOP_941_R1C3_whole_cell.tiff,799,600,,,,,,
betweenness,Piecewise Linear Fit,0.9999999898935616,0.16037366415366308,0.4580563686354002,1.0,0.8733333333333333,1.0044491226767178,0.32074727163108807,-0.0005659291068214184,0.00028890184775976483,,glioma_mibitof:CHOP_941_R1C3_whole_cell.tiff,799,600,,,,,,
closeness,Piecewise Linear Fit,0.9999980756489399,0.022064379033472414,0.2073063129308095,0.9433333333333334,0.20318021201413428,1.0185971444586772,0.0441287580659695,-4.524493524611409,0.5813887507817218,,glioma_mibitof:CHOP_941_R1C3_whole_cell.tiff,799,600,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.44517460317460317,glioma_mibitof:CHOP_941_R1C3_whole_cell.tiff,799,600,,,,,,
degree,Exponential Saturation Fit,0.9999999479191974,0.011483816660166025,-0.38663822733600123,1.0,0.23853211009174313,1.0078833667246996,,,,,glioma_mibitof:CHOP_941_R1C2_whole_cell.tiff,121,218,0.6710812794093548,60.3586073273904,0.5323007064478411,,,
pagerank,Piecewise Linear Fit,0.9999997752930093,0.17349597669494501,-0.17844484419349188,1.0,0.8944954128440367,1.0116865193166833,0.34699196064832255,0.00478053570863484,0.003818551912571183,,glioma_mibitof:CHOP_941_R1C2_whole_cell.tiff,121,218,,,,,,
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,2.955540836570727e-05,glioma_mibitof:CHOP_941_R1C2_whole_cell.tiff,121,218,,,,,,
closeness,Piecewise Linear Fit,0.9999980922668522,0.02820622082215234,0.07952983412887916,0.6697247706422018,0.23972602739726026,1.0038166954346253,0.05641244164202575,-2.4754153127316876,0.9477581923490866,,glioma_mibitof:CHOP_941_R1C2_whole_cell.tiff,121,218,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.1559633027522936,glioma_mibitof:CHOP_941_R1C2_whole_cell.tiff,121,218,,,,,,
degree,Exponential Saturation Fit,0.9999910775771369,0.004212090202277321,-0.2267145731513535,1.0,0.1440162271805274,1.0077473788131661,,,,,glioma_mibitof:CHOP_907_R7C1_whole_cell.tiff,725,493,1.1192813511882667,164.56133349087423,1.9088405861251314,,,
pagerank,Exponential Saturation Fit,0.9999800551241397,0.0002083304408439545,-0.1706451417982748,1.0,0.04665314401622718,1.0102484500053177,,,,,glioma_mibitof:CHOP_907_R7C1_whole_cell.tiff,725,493,0.0005986722183134716,3327.1518589204206,0.0014548075920353771,,,
betweenness,Piecewise Linear Fit,0.9999989732759699,0.08284312922152093,-0.44593064484109063,1.0,0.5821501014198783,1.0093761789258893,0.1656862734335856,0.0011052718400066535,0.00011376855990200432,,glioma_mibitof:CHOP_907_R7C1_whole_cell.tiff,725,493,,,,,,
closeness,Piecewise Linear Fit,0.9999989496504935,0.05879879496225877,0.14175240086132584,0.9391480730223124,0.45788336933045354,1.0101910905167077,0.11759758991327418,-1.0459285878531612,0.49534977411895537,,glioma_mibitof:CHOP_907_R7C1_whole_cell.tiff,725,493,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.471785955761615,glioma_mibitof:CHOP_907_R7C1_whole_cell.tiff,725,493,,,,,,
degree,Exponential Saturation Fit,0.9999990192163375,0.004664853443887245,-0.254770507227915,1.0,0.14953271028037382,1.0096858611525608,,,,,glioma_mibitof:CHOP_941_R1C7_whole_cell.tiff,1350,642,1.7662133218544176,148.58927270515161,2.583176271596266,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.001557632398753894,glioma_mibitof:CHOP_941_R1C7_whole_cell.tiff,1350,642,,,,,,
betweenness,Piecewise Linear Fit,0.9999999992553147,0.21008814611286808,-0.9774856879144522,1.0,0.9968847352024922,1.048570480723547,0.42017629738428586,0.00814524074488539,3.941424417265285e-05,,glioma_mibitof:CHOP_941_R1C7_whole_cell.tiff,1350,642,,,,,,
closeness,Piecewise Linear Fit,0.9999994694589919,0.10157758143358145,0.3360826474577748,0.9532710280373832,0.6993464052287581,1.0386814785292586,0.20315516284384302,-0.8711676675124252,0.35179272209786805,,glioma_mibitof:CHOP_941_R1C7_whole_cell.tiff,1350,642,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.5071873263462048,glioma_mibitof:CHOP_941_R1C7_whole_cell.tiff,1350,642,,,,,,
degree,Exponential Saturation Fit,0.9999911476806895,0.004612837870850005,-0.2688434028935053,1.0,0.13706563706563707,1.013770725062961,,,,,glioma_mibitof:CHOP_907_R4C4_whole_cell.tiff,773,518,1.3093662457551076,150.26480441981084,1.7805007641655881,,,
pagerank,Michaelis-Menten Fit,0.9999922691925845,9.999952140810132e-07,-0.1364870126348079,1.0,0.04054054054054054,1.005250882797975,,,,,glioma_mibitof:CHOP_907_R4C4_whole_cell.tiff,773,518,,,,0.000468257106765202,1.0000000000473006e-06,0.0014812588773789777
betweenness,Piecewise Linear Fit,0.9999999999950662,0.2290076324816495,-0.9884071780260099,1.0,0.9980694980694981,1.0603650988758946,0.458015271270564,0.007261709403533258,1.9504777078335993e-05,,glioma_mibitof:CHOP_907_R4C4_whole_cell.tiff,773,518,,,,,,
closeness,Michaelis-Menten Fit,0.9999726447170872,0.21024818492161673,0.6736707576988364,0.9382239382239382,1.0,1.0597472400702115,,,,,glioma_mibitof:CHOP_907_R4C4_whole_cell.tiff,773,518,,,,-2.2805728325486045,2.5666233653216244,0.4289856280350012
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.40360053931482504,glioma_mibitof:CHOP_907_R4C4_whole_cell.tiff,773,518,,,,,,
degree,Piecewise Linear Fit,0.9999990963801284,0.10056951610667565,0.0881006807513822,1.0,0.6766417290108063,1.010998728838525,0.2011390322094545,-5.161893165642551,6.4115818396601965,,glioma_mibitof:CHOP_941_R3C7_whole_cell.tiff,3495,1203,,,,,,
pagerank,Piecewise Linear Fit,0.9999971642132104,0.0065034481820418115,-0.1082437146643829,1.0,0.13050706566916043,1.0220375902426935,0.0130068964664356,0.012708005149295848,0.0006808705175453095,,glioma_mibitof:CHOP_941_R3C7_whole_cell.tiff,3495,1203,,,,,,
betweenness,Piecewise Linear Fit,0.9999989376505309,0.1625857000447097,-0.8897344858610899,1.0,0.8861180382377389,1.0448607139947252,0.3251714004481014,0.09065729766645017,0.0018266880430715742,,glioma_mibitof:CHOP_941_R3C7_whole_cell.tiff,3495,1203,,,,,,
closeness,Piecewise Linear Fit,0.999999998080937,0.08928368318247433,0.14188748716321967,0.9950124688279302,0.6349206349206349,1.0005230281555437,0.17856736622362185,-0.1263506220525719,0.09078805208130399,,glioma_mibitof:CHOP_941_R3C7_whole_cell.tiff,3495,1203,,,,,,
clustering,Piecewise Linear Fit,0.999999988626502,0.018127243592951436,0.05952294618154429,1.0,0.22610141313383209,1.0026823087336136,0.03625448718389906,-1.8092908348009027,0.583802703114686,,glioma_mibitof:CHOP_941_R3C7_whole_cell.tiff,3495,1203,,,,,,
degree,Exponential Saturation Fit,0.9999861698577244,0.005141496490824043,-0.30040577959161824,1.0,0.14082503556187767,1.017473928899695,,,,,glioma_mibitof:CHOP_941_R4C7_whole_cell.tiff,1157,703,1.5733756852592735,134.8142864112497,1.83206284746716,,,
pagerank,Michaelis-Menten Fit,0.9999760052845845,0.00046339260966302116,-0.22376964212191539,1.0,0.08534850640113797,1.0145587495964439,,,,,glioma_mibitof:CHOP_941_R4C7_whole_cell.tiff,1157,703,,,,0.0005286238835146159,0.00046430262547542963,0.0009159675180716031
