,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
degree,Piecewise Linear Fit,0.9999697170068026,0.013829194271427396,-0.09121114392097886,1.0,0.15450121654501217,1.107841558155626,0.027658388542869766,184.48434544403338,25.419762451703864,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,12330,822,,,,,,,
pagerank,Piecewise Linear Fit,0.9999702649997981,0.01372546369184187,-0.07008614639439584,1.0,0.15328467153284672,1.101527086761058,0.02745092785023798,0.005883759058016929,0.0010715006247766323,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,12330,822,,,,,,,
betweenness,Piecewise Linear Fit,0.999999147553345,0.14070076033878928,-0.7645552246247892,1.0,0.7883211678832117,1.1855198240084828,0.28140152133439905,0.04284298677632387,0.0018563350755084443,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,12330,822,,,,,,,
closeness,Piecewise Linear Fit,0.9999976241061701,0.18057950210634505,-0.19284758970457683,1.0,0.9111922141119222,2.2030660287227426,0.3611590044664047,0.14234838555334572,0.10758762735456995,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,12330,822,,,,,,,
clustering,Michaelis-Menten Fit,0.999980205480615,0.0236894862575033,0.171147200936608,1.0,1.0,1.3395704385594798,,,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,12330,822,,,,-0.23964257551381227,0.02621871601390173,0.7783758951317055,
degree,Piecewise Linear Fit,0.9999303797090575,0.023711289872282198,-0.090870585525863,1.0,0.2577777777777778,1.1945876290512567,0.04742257974460796,108.8463935669121,25.820913739177957,glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,6750,450,,,,,,,
pagerank,Piecewise Linear Fit,0.9999283339449909,0.020670424669195754,-0.07038884597964604,1.0,0.2511111111111111,1.1800670385746699,0.04134084990923678,0.00724204124134109,0.0019770054605439224,glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,6750,450,,,,,,,
betweenness,Piecewise Linear Fit,0.9999933567772784,0.1745034071944262,-0.81086400290959,1.0,0.9266666666666666,1.304956890627663,0.34900681499698266,0.05739013994254761,0.0023359705246888676,glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,6750,450,,,,,,,
closeness,Piecewise Linear Fit,0.9999802212496828,0.19762930600860024,-0.1967748635252718,1.0,0.9577777777777777,2.694985350327412,0.3952586122299715,0.18576713648881085,0.14986075061380771,glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,6750,450,,,,,,,
clustering,Exponential Saturation Fit,0.9999717537222857,0.04337994589758081,0.15062450356087392,1.0,0.6533333333333333,1.491013699910689,,,,glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,6750,450,-0.1970380537812724,15.969968831857306,0.7523103011296969,,,,
