,data_source,#nodes in ROI,node density in ROI,% new edges,P_MWU,P_fisher,border_size,k,img_size,P_MWU_adj,P_fisher_adj
glioma_mibitof:CHOP_907_R8C5_whole_cell.tiff,glioma_mibitof,548,0.000526720492118416,6.715328467153285,1.5142511782432244e-185,1.848458176970285e-158,0.125,10,"(1020, 1020)",2.605513184382143e-185,3.721943834092972e-158
glioma_mibitof:CHOP_907_R8C6_whole_cell.tiff,glioma_mibitof,237,0.00022914380465732367,9.620253164556962,1.0612997299983161e-109,8.714130525594066e-90,0.125,10,"(1019, 1015)",1.4158218952519184e-109,1.2788641744093172e-89
glioma_mibitof:CHOP_907_R8C7_whole_cell.tiff,glioma_mibitof,638,0.0006144304480141762,8.557993730407523,1.092496016199363e-268,2.160629341846931e-127,0.125,10,"(1020, 1018)",2.5087243077872137e-268,3.767529555883845e-127
glioma_mibitof:CHOP_907_R8C8_whole_cell.tiff,glioma_mibitof,539,0.0005180699730872741,6.437847866419295,2.6184999757179105e-180,3.62891990099315e-112,0.125,10,"(1020, 1020)",4.439508916485904e-180,5.878172640457265e-112
glioma_mibitof:CHOP_907_R8C9_whole_cell.tiff,glioma_mibitof,225,0.00021732957015108752,9.11111111111111,5.8535007671486905e-105,7.24542769321651e-76,0.125,10,"(1021, 1014)",7.703532615172929e-105,1.0056653638184516e-75
glioma_mibitof:CHOP_907_R98C2_whole_cell.tiff,glioma_mibitof,1354,0.000324559675114327,4.158050221565731,1.4746300299727125e-211,6.5200461000338145e-124,0.125,10,"(2043, 2042)",2.764267457145727e-211,1.1175688238422393e-123
glioma_mibitof:CHOP_907_R98C3_whole_cell.tiff,glioma_mibitof,6097,0.0014614780560160544,2.1207151057897327,0.0,0.0,0.125,10,"(2044, 2041)",0.0,0.0
glioma_mibitof:CHOP_907_R99C1_whole_cell.tiff,glioma_mibitof,4756,0.0011394760901690718,2.3486122792262405,0.0,0.0,0.125,10,"(2044, 2042)",0.0,0.0
glioma_mibitof:CHOP_907_R99C2_whole_cell.tiff,glioma_mibitof,6169,0.0014780136780354804,2.1899821689090615,0.0,0.0,0.125,10,"(2045, 2041)",0.0,0.0
glioma_mibitof:CHOP_907_R99C3_whole_cell.tiff,glioma_mibitof,5143,0.0012334034332406902,2.4265992611316354,0.0,0.0,0.125,10,"(2043, 2041)",0.0,0.0
glioma_mibitof:CHOP_907_R9C10_whole_cell.tiff,glioma_mibitof,635,0.0006091477686965197,6.535433070866143,9.425654944628117e-202,1.12115901772858e-149,0.125,10,"(1020, 1022)",1.704477150670157e-201,2.1640170657394037e-149
glioma_mibitof:CHOP_907_R9C11_whole_cell.tiff,glioma_mibitof,382,0.0003660890382208456,7.853403141361256,3.0569487138959345e-131,4.2338094117878755e-91,0.125,10,"(1022, 1021)",4.3913757283794866e-131,6.239823875891239e-91
glioma_mibitof:CHOP_907_R9C12_whole_cell.tiff,glioma_mibitof,398,0.00038179655423813363,6.909547738693467,9.121462476766744e-129,2.4676202724940514e-73,0.125,10,"(1022, 1020)",1.3001518628453922e-128,3.3711190336828186e-73
glioma_mibitof:CHOP_907_R9C13_whole_cell.tiff,glioma_mibitof,272,0.0002619515389652914,6.0661764705882355,5.806747948607592e-66,4.662051744863426e-63,0.125,10,"(1018, 1020)",6.537301313446831e-66,6.063968179595368e-63
