,data_source,node density in ROI,% new edges,P,border_size,P_adj
glioma_mibitof:Brainiaqc_R8C5_whole_cell.tiff,glioma_mibitof,0.0004659968451175031,2.8900739721314297,4.8672650311182877e-82,0.125,1.6945895977906815e-81
glioma_mibitof:Brainiaqc_R9C1_whole_cell.tiff,glioma_mibitof,0.0005838193693598535,4.722222222222222,2.128790616517274e-40,0.125,2.9158829365716874e-40
glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,glioma_mibitof,0.00046599673347071254,2.323580034423408,1.574689461554321e-69,0.125,4.067622157513767e-69
glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,glioma_mibitof,0.0001455718226671396,4.215196894065446,1.27092376919948e-36,0.125,1.635391401405017e-36
glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,glioma_mibitof,7.717162392176096e-05,6.4482029598308666,7.867790034463074e-31,0.125,9.435909476815738e-31
glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,glioma_mibitof,0.00010850566810084593,4.801200300075019,1.666570139753877e-29,0.125,1.9427766130837467e-29
glioma_mibitof:CHOP_1101_R1C2_whole_cell.tiff,glioma_mibitof,0.0005714551443667323,2.582818641212802,1.2120830511285851e-93,0.125,5.951785170871967e-93
glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,glioma_mibitof,0.000614432223214174,3.54122621564482,2.7999490557825263e-36,0.125,3.57199383219315e-36
glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,glioma_mibitof,0.00021972441169306988,2.2266401590457257,1.5036248738207246e-29,0.125,1.7567603744639442e-29
glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,glioma_mibitof,0.0003837148538178309,2.907949790794979,1.134686102138279e-69,0.125,2.9530205808148713e-69
glioma_mibitof:CHOP_1101_R2C3_whole_cell.tiff,glioma_mibitof,0.0006679687425129041,2.531190019193858,3.9290429550819e-113,0.125,3.1222394780459982e-112
glioma_mibitof:CHOP_1101_R3C2_whole_cell.tiff,glioma_mibitof,0.0006235364879163425,2.519928002057084,1.0339737824685047e-102,0.125,6.8124475161374274e-102
glioma_mibitof:CHOP_1101_R3C3_whole_cell.tiff,glioma_mibitof,0.00048050583106720187,1.7791636096845194,3.3382910397216978e-52,0.125,5.811305973829912e-52
glioma_mibitof:CHOP_1101_R4C1_whole_cell.tiff,glioma_mibitof,0.0004887562078276814,2.2346368715083798,3.6125562387021454e-67,0.125,8.890475282479747e-67
glioma_mibitof:CHOP_1101_R4C2_whole_cell.tiff,glioma_mibitof,0.00037682979593466195,1.9692603266090298,6.990941842921132e-44,0.125,1.0279054319888275e-43
glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,glioma_mibitof,0.0002120345034044116,3.6039453717754175,5.879480901566608e-46,0.125,9.000793556662999e-46
glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,glioma_mibitof,0.00030565174587940836,2.318840579710145,5.075329709561373e-48,0.125,7.993068423076232e-48
glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,glioma_mibitof,0.00022484267005704484,3.2639885222381633,2.132003523588864e-41,0.125,2.9790814336322247e-41
glioma_mibitof:CHOP_1101_R7C1_whole_cell.tiff,glioma_mibitof,0.0008529299581585147,1.623650868137025,3.417522958837878e-103,0.125,2.2805393590706612e-102
glioma_mibitof:CHOP_1101_R7C2_whole_cell.tiff,glioma_mibitof,0.0004292809927086983,3.103383810057955,6.1392669379770576e-86,0.125,2.4208245766795897e-85
glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,glioma_mibitof,0.00023837008686090625,5.394190871369295,4.1093093850938596e-21,0.125,4.303612746360873e-21
glioma_mibitof:CHOP_1101_R8C1_whole_cell.tiff,glioma_mibitof,0.001434870861622454,1.6901879846042283,8.157702335617451e-183,0.125,4.043889586370365e-181
glioma_mibitof:CHOP_1101_R8C2_whole_cell.tiff,glioma_mibitof,0.000278946054425688,3.2583621683967703,1.0322032671878392e-56,0.125,2.0009750486825712e-56
glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,glioma_mibitof,0.00015284136170376128,4.287983059820011,8.467106461786912e-41,0.125,1.1674513677775067e-40
glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,glioma_mibitof,0.0002649834864495447,3.397027600849257,1.0887950782747492e-51,0.125,1.867274590583219e-51
glioma_mibitof:CHOP_1101_R98C3_whole_cell.tiff,glioma_mibitof,0.0014051475093269004,1.6573641644834263,2.345925278953211e-177,0.125,8.421062811690664e-176
glioma_mibitof:CHOP_1101_R99C1_whole_cell.tiff,glioma_mibitof,0.0012276477104334227,1.7088442473258545,6.830612181435691e-160,0.125,1.2697620144418847e-158
glioma_mibitof:CHOP_1101_R99C2_whole_cell.tiff,glioma_mibitof,0.0014602788336753915,1.655066586288157,2.547346510896804e-184,0.125,1.473215398801985e-182
glioma_mibitof:CHOP_1101_R99C3_whole_cell.tiff,glioma_mibitof,0.0012500059808898607,1.853271983640082,1.7562356062790356e-169,0.125,4.459125039357259e-168
glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,glioma_mibitof,0.00023382618296862844,4.061962134251291,3.2332261122645976e-54,0.125,5.853545013682515e-54
glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,glioma_mibitof,0.00019348581744157016,3.963287442636629,4.0658422060740424e-48,0.125,6.422673348289952e-48
glioma_mibitof:CHOP_1101_R9C3_whole_cell.tiff,glioma_mibitof,0.00023982178363614432,3.656491110365649,5.741841330655948e-59,0.125,1.1606323932452122e-58
glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,glioma_mibitof,0.0005517114107183879,4.638872577803876,5.231509873480998e-44,0.125,7.73579798053085e-44
glioma_mibitof:CHOP_907_R10C11_whole_cell.tiff,glioma_mibitof,0.0003913894324853229,5.647840531561462,1.6037710833229748e-30,0.125,1.9102124688091726e-30
glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,glioma_mibitof,0.0007009659887461351,3.830179972311952,2.655707646175424e-49,0.125,4.312935506503302e-49
glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,glioma_mibitof,0.0006084198385236447,4.268943436499466,3.871785487638841e-41,0.125,5.3597456019043e-41
glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,glioma_mibitof,0.00043882391350271745,4.376854599406528,1.080585657622298e-30,0.125,1.2929766317066807e-30
glioma_mibitof:CHOP_907_R10C1_whole_cell.tiff,glioma_mibitof,0.0008626679018063918,4.132231404958678,1.2563713941648077e-57,0.125,2.477050419177206e-57
glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,glioma_mibitof,0.0002198924927358659,7.473841554559043,1.4105181689898027e-21,0.125,1.4816845750942328e-21
glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,glioma_mibitof,0.0004911572472126105,5.019815059445178,1.252032605196321e-38,0.125,1.6624565586854212e-38
glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,glioma_mibitof,0.000224612952358918,4.992657856093979,3.861576475959112e-18,0.125,3.952705124359327e-18
glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,glioma_mibitof,0.00016307893020221786,8.55397148676171,5.602298811940277e-19,0.125,5.791452892978976e-19
glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,glioma_mibitof,7.823788954741796e-05,8.771929824561402,2.029557052065443e-08,0.125,2.0334638028875132e-08
glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,glioma_mibitof,0.000660322952710496,3.729146221786065,1.4633445588303037e-44,0.125,2.188709318595325e-44
glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,glioma_mibitof,0.0003792898158283882,5.736301369863014,8.318719022648276e-32,0.125,1.0104768381069844e-31
glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,glioma_mibitof,0.00047578037593377904,4.377564979480164,1.8734919076834422e-29,0.125,2.1791118166463278e-29
glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,glioma_mibitof,0.0003316035482540833,6.70611439842209,2.3045593047042655e-32,0.125,2.8124809334081365e-32
glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,glioma_mibitof,0.0007293030316389097,4.541446208112874,1.0554207628674827e-55,0.125,1.9796270525136025e-55
glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,glioma_mibitof,0.00046328335255670897,5.1120448179271705,2.718993274098303e-36,0.125,3.472971777099795e-36
glioma_mibitof:CHOP_907_R11C14_whole_cell.tiff,glioma_mibitof,0.0007535570487860907,4.120171673819742,8.455727945017892e-54,0.125,1.5124420602686641e-53
glioma_mibitof:CHOP_907_R11C1_whole_cell.tiff,glioma_mibitof,0.0009659755536097209,3.7458193979933108,7.41681886183993e-62,0.125,1.608522590661535e-61
glioma_mibitof:CHOP_907_R11C2_whole_cell.tiff,glioma_mibitof,0.0002475063971254588,6.640106241699867,3.615515823391161e-27,0.125,4.042698144092587e-27
glioma_mibitof:CHOP_907_R11C3_whole_cell.tiff,glioma_mibitof,0.0007814302191464822,3.9751552795031055,5.55888184594173e-51,0.125,9.440123983075595e-51
glioma_mibitof:CHOP_907_R11C4_whole_cell.tiff,glioma_mibitof,0.0005736541191819194,4.6223224351747465,3.181352251216313e-42,0.125,4.4997115401035074e-42
glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,glioma_mibitof,0.0001624376801592466,9.127789046653144,1.1741167443600126e-17,0.125,1.200643939959502e-17
glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,glioma_mibitof,5.6857170865601413e-05,10.759493670886076,1.5980180763538115e-07,0.125,1.5995546321964596e-07
glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,glioma_mibitof,0.0007694826457105436,4.329550231189575,1.14231044873594e-56,0.125,2.206206265554942e-56
glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,glioma_mibitof,0.00040176893672523714,4.715447154471545,4.0071438436456664e-30,0.125,4.74026902413084e-30
glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,glioma_mibitof,0.0003681276432141484,5.319148936170213,3.1451892504663607e-31,0.125,3.789516214971622e-31
glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,glioma_mibitof,0.00040737277305291707,5.36,5.965391409492176e-38,0.125,7.80147293628311e-38
glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,glioma_mibitof,0.0006110657581580157,4.02755696873344,3.061321956477483e-38,0.125,4.054498927090407e-38
glioma_mibitof:CHOP_907_R12C13_whole_cell.tiff,glioma_mibitof,0.0002652828386032666,6.5594059405940595,7.271547203504684e-24,0.125,7.819918015339232e-24
glioma_mibitof:CHOP_907_R12C14_whole_cell.tiff,glioma_mibitof,0.00037913457745642826,6.3247863247863245,7.451988055574208e-36,0.125,9.448866706276189e-36
glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,glioma_mibitof,0.00023740891715582195,5.809128630705394,7.149181255306239e-24,0.125,7.696274753644049e-24
glioma_mibitof:CHOP_907_R12C3_whole_cell.tiff,glioma_mibitof,0.0008163539388358083,3.708086785009862,1.8775481901978563e-53,0.125,3.341072933326442e-53
glioma_mibitof:CHOP_907_R12C4_whole_cell.tiff,glioma_mibitof,0.0006045751633986928,4.772117962466488,2.8627152113351635e-48,0.125,4.549750435114359e-48
glioma_mibitof:CHOP_907_R12C5_whole_cell.tiff,glioma_mibitof,0.0003364090734332949,6.280193236714976,3.830085020729473e-30,0.125,4.541137251229364e-30
glioma_mibitof:CHOP_907_R12C6_whole_cell.tiff,glioma_mibitof,0.0008714580148109302,3.869047619047619,4.0751675450736436e-55,0.125,7.508406043224182e-55
glioma_mibitof:CHOP_907_R12C7_whole_cell.tiff,glioma_mibitof,0.00039081254441051644,5.403158769742311,5.706037940958361e-35,0.125,7.165241853483298e-35
glioma_mibitof:CHOP_907_R12C8_whole_cell.tiff,glioma_mibitof,0.00040154792412181757,5.024311183144246,2.2051146203246643e-32,0.125,2.6942773706079524e-32
glioma_mibitof:CHOP_907_R12C9_whole_cell.tiff,glioma_mibitof,0.0007420222991157248,4.3535045711797995,1.5953514011148845e-55,0.125,2.9709495680869315e-55
glioma_mibitof:CHOP_907_R13C10_whole_cell.tiff,glioma_mibitof,0.000326155977602032,5.210420841683367,7.63967834835509e-25,0.125,8.318938452549842e-25
glioma_mibitof:CHOP_907_R13C11_whole_cell.tiff,glioma_mibitof,0.0004445852777937816,5.109489051094891,4.529097128038261e-37,0.125,5.886129975390549e-37
glioma_mibitof:CHOP_907_R13C13_whole_cell.tiff,glioma_mibitof,7.785474611182825e-05,10.619469026548673,1.8350424426242595e-08,0.125,1.840346033498896e-08
glioma_mibitof:CHOP_907_R13C14_whole_cell.tiff,glioma_mibitof,0.00038179655423813363,6.37213254035684,1.9737510759556456e-30,0.125,2.3481998515083737e-30
glioma_mibitof:CHOP_907_R13C2_whole_cell.tiff,glioma_mibitof,0.00025446025618866547,6.459948320413436,3.0387282162294433e-24,0.125,3.2848557353009868e-24
glioma_mibitof:CHOP_907_R13C3_whole_cell.tiff,glioma_mibitof,0.0007160707420222991,4.645917907081642,1.8802457630300952e-56,0.125,3.608433215191037e-56
glioma_mibitof:CHOP_907_R13C4_whole_cell.tiff,glioma_mibitof,0.0005469050365244137,4.389086595492289,3.51272534655349e-43,0.125,5.100065670519084e-43
glioma_mibitof:CHOP_907_R13C5_whole_cell.tiff,glioma_mibitof,0.0003248753603184932,5.522088353413655,3.414132841309859e-30,0.125,4.052579575602694e-30
glioma_mibitof:CHOP_907_R13C6_whole_cell.tiff,glioma_mibitof,0.0010488364470665355,3.424868867633447,1.2928806434470767e-63,0.125,2.945051968989949e-63
glioma_mibitof:CHOP_907_R13C7_whole_cell.tiff,glioma_mibitof,0.0004513820340366971,4.956896551724138,1.4694591238332498e-36,0.125,1.888527096185695e-36
glioma_mibitof:CHOP_907_R13C8_whole_cell.tiff,glioma_mibitof,0.0004536721007997893,5.5,1.9774468880458075e-41,0.125,2.7705547919995764e-41
glioma_mibitof:CHOP_907_R13C9_whole_cell.tiff,glioma_mibitof,0.0006978112180362093,4.490740740740741,1.0008564136905185e-51,0.125,1.719292948270346e-51
glioma_mibitof:CHOP_907_R1C10_whole_cell.tiff,glioma_mibitof,0.00040233527299264463,4.368932038834951,5.789243260664164e-29,0.125,6.651878845862467e-29
glioma_mibitof:CHOP_907_R1C11_whole_cell.tiff,glioma_mibitof,0.0009237387413339479,2.3418385180006993,4.824755071416976e-38,0.125,6.341628824930646e-38
glioma_mibitof:CHOP_907_R1C12_whole_cell.tiff,glioma_mibitof,0.00046141744368980467,4.768583450210379,2.081147041615626e-36,0.125,2.6647897543934398e-36
glioma_mibitof:CHOP_907_R1C13_whole_cell.tiff,glioma_mibitof,0.0004528551897396226,4.220314735336195,7.376409676964181e-27,0.125,8.221458751305902e-27
glioma_mibitof:CHOP_907_R1C14_whole_cell.tiff,glioma_mibitof,0.0003489042675893887,6.7164179104477615,8.032101971820984e-28,0.125,9.068783245841262e-28
glioma_mibitof:CHOP_907_R1C1_whole_cell.tiff,glioma_mibitof,0.00012988512382381805,5.88235294117647,3.700783886975545e-12,0.125,3.729444362382906e-12
glioma_mibitof:CHOP_907_R1C2_whole_cell.tiff,glioma_mibitof,0.00044213763936947327,5.212922173274596,1.1448808433925954e-41,0.125,1.610568862123908e-41
glioma_mibitof:CHOP_907_R1C3_whole_cell.tiff,glioma_mibitof,0.00045115304306583555,4.486251808972503,2.191785787805875e-33,0.125,2.703375598466725e-33
glioma_mibitof:CHOP_907_R1C4_whole_cell.tiff,glioma_mibitof,0.00040561361554557434,5.6089743589743595,1.0176528968774698e-35,0.125,1.2887793986002993e-35
glioma_mibitof:CHOP_907_R1C5_whole_cell.tiff,glioma_mibitof,0.0010794917729642151,3.6505086774386597,2.640056230568692e-67,0.125,6.512555772564e-67
glioma_mibitof:CHOP_907_R1C7_whole_cell.tiff,glioma_mibitof,0.0002707841216800138,6.642512077294686,1.8961364591418197e-27,0.125,2.1270237650502524e-27
glioma_mibitof:CHOP_907_R1C8_whole_cell.tiff,glioma_mibitof,0.00036921285362011757,5.048715677590788,4.6590845863999615e-29,0.125,5.365162670843319e-29
glioma_mibitof:CHOP_907_R1C9_whole_cell.tiff,glioma_mibitof,0.0005525492569843282,5.14018691588785,8.861566499981628e-41,0.125,1.2202236410688988e-40
glioma_mibitof:CHOP_907_R2C10_whole_cell.tiff,glioma_mibitof,0.00035922030894872684,5.914467697907188,4.463100269710002e-33,0.125,5.4918290552814555e-33
glioma_mibitof:CHOP_907_R2C11_whole_cell.tiff,glioma_mibitof,0.0009650134563629374,3.5427807486631018,8.35483215335111e-61,0.125,1.7677602178127043e-60
glioma_mibitof:CHOP_907_R2C12_whole_cell.tiff,glioma_mibitof,0.0005060078852895457,4.487179487179487,1.1244268657773651e-33,0.125,1.390176208164177e-33
glioma_mibitof:CHOP_907_R2C13_whole_cell.tiff,glioma_mibitof,0.0003779594029392579,5.821917808219178,1.1280009994709063e-30,0.125,1.3481619293331958e-30
glioma_mibitof:CHOP_907_R2C14_whole_cell.tiff,glioma_mibitof,0.00021605116091490465,7.435508345978755,5.717631988619594e-22,0.125,6.036566835854967e-22
glioma_mibitof:CHOP_907_R2C1_whole_cell.tiff,glioma_mibitof,0.0002285345557691532,7.060518731988473,5.328408707503149e-24,0.125,5.742105035725443e-24
glioma_mibitof:CHOP_907_R2C2_whole_cell.tiff,glioma_mibitof,0.0003954280436414016,5.605935696619951,2.013297627970178e-29,0.125,2.339110302139459e-29
glioma_mibitof:CHOP_907_R2C3_whole_cell.tiff,glioma_mibitof,0.00035397720732128465,6.238532110091743,1.6485647858373617e-31,0.125,1.9932124762563222e-31
glioma_mibitof:CHOP_907_R2C4_whole_cell.tiff,glioma_mibitof,0.00047528425654574176,5.471956224350205,1.0788815499809885e-40,0.125,1.4836402820742523e-40
glioma_mibitof:CHOP_907_R2C5_whole_cell.tiff,glioma_mibitof,0.0005223636957231473,5.145691258524489,4.7374866276331165e-40,0.125,6.438281435203753e-40
glioma_mibitof:CHOP_907_R2C6_whole_cell.tiff,glioma_mibitof,0.000553215480797169,4.862331575864089,1.2676371637303389e-43,0.125,1.858606038652511e-43
glioma_mibitof:CHOP_907_R2C7_whole_cell.tiff,glioma_mibitof,0.0005334491863217862,4.747413268411442,6.645015777745247e-37,0.125,8.57182332668253e-37
glioma_mibitof:CHOP_907_R2C8_whole_cell.tiff,glioma_mibitof,0.0002506420291978684,6.290956749672345,6.963255099467942e-25,0.125,7.598268929293636e-25
glioma_mibitof:CHOP_907_R2C9_whole_cell.tiff,glioma_mibitof,0.0005978272992928685,3.1625553447185326,3.273717086959918e-27,0.125,3.6644510618551346e-27
glioma_mibitof:CHOP_907_R3C10_whole_cell.tiff,glioma_mibitof,0.0004417045956482495,4.642593957258659,9.066959125120192e-33,0.125,1.1117437513839953e-32
glioma_mibitof:CHOP_907_R3C11_whole_cell.tiff,glioma_mibitof,0.0006308693898715216,4.710701484895034,4.3443451766382575e-49,0.125,7.011571052527792e-49
glioma_mibitof:CHOP_907_R3C12_whole_cell.tiff,glioma_mibitof,0.0003360795836454072,5.614714424007745,3.5730610191001395e-28,0.125,4.06508909386147e-28
glioma_mibitof:CHOP_907_R3C13_whole_cell.tiff,glioma_mibitof,0.00021605157583218265,7.00152207001522,3.206296157120131e-23,0.125,3.419830224961123e-23
glioma_mibitof:CHOP_907_R3C14_whole_cell.tiff,glioma_mibitof,0.0002506193466612894,5.366492146596859,1.4532287504149282e-20,0.125,1.5158428148115635e-20
glioma_mibitof:CHOP_907_R3C1_whole_cell.tiff,glioma_mibitof,0.0010835405942121194,3.433860853986265,5.586543983455438e-66,0.125,1.3462019182354423e-65
glioma_mibitof:CHOP_907_R3C2_whole_cell.tiff,glioma_mibitof,0.0005713352921971923,4.4733861834654585,8.606219944934442e-46,0.125,1.3155763528159697e-45
glioma_mibitof:CHOP_907_R3C3_whole_cell.tiff,glioma_mibitof,0.0003566915331621214,6.5048543689320395,1.272948019250008e-29,0.125,1.4905949246785807e-29
glioma_mibitof:CHOP_907_R3C4_whole_cell.tiff,glioma_mibitof,7.793107429429082e-05,7.017543859649122,9.615854878388013e-07,0.125,9.615854878388013e-07
glioma_mibitof:CHOP_907_R3C5_whole_cell.tiff,glioma_mibitof,0.0006337500720170537,4.44104134762634,4.018582675989893e-48,0.125,6.35766651323021e-48
glioma_mibitof:CHOP_907_R3C6_whole_cell.tiff,glioma_mibitof,0.00015474817377931566,6.223175965665236,9.60150600553856e-13,0.125,9.68524006954035e-13
glioma_mibitof:CHOP_907_R3C7_whole_cell.tiff,glioma_mibitof,0.0005886193850703846,5.107084019769357,2.228637419290468e-45,0.125,3.391829756551721e-45
glioma_mibitof:CHOP_907_R3C9_whole_cell.tiff,glioma_mibitof,0.0004796236828370654,5.53306342780027,1.310916227748555e-42,0.125,1.87196679435699e-42
glioma_mibitof:CHOP_907_R4C10_whole_cell.tiff,glioma_mibitof,0.00046520569011918495,5.017421602787456,7.018209314934223e-40,0.125,9.512963407352248e-40
glioma_mibitof:CHOP_907_R4C11_whole_cell.tiff,glioma_mibitof,0.0006888722122803979,4.415218412400188,7.233663956908466e-51,0.125,1.2204609690667281e-50
glioma_mibitof:CHOP_907_R4C12_whole_cell.tiff,glioma_mibitof,0.0002839491961168029,6.199770378874857,4.732936039958419e-27,0.125,5.280800018860358e-27
glioma_mibitof:CHOP_907_R4C13_whole_cell.tiff,glioma_mibitof,0.0002043283066651318,8.16,8.436230307402496e-23,0.125,8.979668456038853e-23
