,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8987637058508633,0.9357248361050532,0.6143999618292357,-0.18113315028602492,1,delaunay,uniform,5000,,
closeness,0.35161729868415736,0.5395394776549711,0.4150973845514502,-0.7694598935679581,1,delaunay,uniform,5000,,
betweenness,0.43774303697297073,0.6086956736993334,0.43494223677378296,-0.1694741368039323,1,delaunay,uniform,5000,,
harmonic,0.381484986318103,0.71536456199665,0.35970321828657525,-0.6778451659008856,1,delaunay,uniform,5000,,
clustering,0.9184082697242941,0.9184082697242941,0.6388613423443961,0.21726793022322477,1,delaunay,uniform,5000,,
pagerank,0.9091189903270391,0.9375853041517439,0.7427521761092089,-0.24421987027471004,1,delaunay,uniform,5000,,
degree,0.9586755462711456,0.9707566518339125,0.6414598488274506,-0.17861802766960186,2,delaunay,uniform,5000,,
closeness,0.2527829323074892,0.685574633828862,0.1315620310967759,-0.5313524466784918,2,delaunay,uniform,5000,,
betweenness,0.6078472008095746,0.7354576532707231,0.6057693930343456,-0.061966875857191156,2,delaunay,uniform,5000,,
harmonic,0.32219293426755236,0.7696227582220483,0.20329691921714235,-0.8218367819087968,2,delaunay,uniform,5000,,
clustering,0.9775929766658531,0.9775929766658531,0.6996875267880621,0.23366814893354126,2,delaunay,uniform,5000,,
pagerank,0.962634956827813,0.9718762473738968,0.7801580560006641,-0.21829540175460485,2,delaunay,uniform,5000,,
degree,0.9179031209154168,0.9357961743215091,0.21322556447856217,0.5528537922382524,1,knn,uniform,5000,5.0,
closeness,0.41229187157335023,0.5739016607504313,0.15907845593712844,0.0669615471296905,1,knn,uniform,5000,5.0,
betweenness,0.7138650578633814,0.7580503513183063,0.6587147584523444,0.3592494696453372,1,knn,uniform,5000,5.0,
harmonic,0.41931091460295866,0.7599550399941628,0.4052954755351932,0.6302762915471324,1,knn,uniform,5000,5.0,
clustering,0.8803615433599966,0.9074795705873997,0.2870462778709212,0.5211929174558558,1,knn,uniform,5000,5.0,
pagerank,0.9102498553320214,0.926913134179002,0.008363522384335392,0.6578914861922679,1,knn,uniform,5000,5.0,
degree,0.9757597025902062,0.9822010526557968,0.21361229176949717,0.5476831070653347,2,knn,uniform,5000,5.0,
closeness,0.24705147849461087,0.8058303076961074,0.6303410002489629,0.9421880045619577,2,knn,uniform,5000,5.0,
betweenness,0.8302560076197736,0.8348359898787994,0.7450108021104863,0.13158074365195943,2,knn,uniform,5000,5.0,
harmonic,0.500858279013321,0.9196889868176593,0.594603278219979,0.635105363913067,2,knn,uniform,5000,5.0,
clustering,0.9651494070210579,0.9744333461085519,0.3134370082799205,0.5293047622228612,2,knn,uniform,5000,5.0,
pagerank,0.9737244964298556,0.9792768997327287,0.021040719098187707,0.6460803471283035,2,knn,uniform,5000,5.0,
degree,0.8620600440285857,0.9168132848286219,0.07111454939679754,0.6267076306225967,1,knn,uniform,5000,10.0,
closeness,0.06722425011272776,0.7048941986766404,0.7441623009627933,0.9635175996671972,1,knn,uniform,5000,10.0,
betweenness,0.673029731161175,0.7628748067511244,0.6924897351486765,0.5210207436607585,1,knn,uniform,5000,10.0,
harmonic,0.12857414335551567,0.7855040262128987,0.687300290105735,0.8751224256766748,1,knn,uniform,5000,10.0,
clustering,0.8229278460960581,0.9283968521610751,0.23006342064668717,0.7637854821820429,1,knn,uniform,5000,10.0,
pagerank,0.851109448100539,0.9022096911580657,-0.1787016476234187,0.7330637748687169,1,knn,uniform,5000,10.0,
degree,0.9397751550096842,0.9586039318357137,0.08589776559994285,0.6304563152154075,2,knn,uniform,5000,10.0,
closeness,-0.26656422910411864,0.6390948728371206,0.6242341374489242,0.963582446883937,2,knn,uniform,5000,10.0,
betweenness,0.7519472500541851,0.7581406149527316,0.6826959842901451,0.22068195291951398,2,knn,uniform,5000,10.0,
harmonic,0.09703702280165785,0.8842987921925965,0.5969361616685029,0.8858368106288232,2,knn,uniform,5000,10.0,
clustering,0.9317017040643173,0.9580465893348287,0.25713919723551615,0.7805001329341485,2,knn,uniform,5000,10.0,
pagerank,0.935815895043826,0.953601073089273,-0.20127730181287695,0.7202107577921957,2,knn,uniform,5000,10.0,
degree,0.812259152721222,0.8875506460266558,0.034657578563743324,0.6791781353734392,1,knn,uniform,5000,15.0,
closeness,0.3100377413696434,0.6986397297942841,0.6241264871043128,0.9789811764623233,1,knn,uniform,5000,15.0,
betweenness,0.7050389132411772,0.7812271445641035,0.7223734549997869,0.5545493570843834,1,knn,uniform,5000,15.0,
harmonic,0.23114208355244215,0.7555764349799856,0.6839726265397938,0.9207065476152889,1,knn,uniform,5000,15.0,
clustering,0.69423792536767,0.9052013038741329,0.12120150193266112,0.8420405528390755,1,knn,uniform,5000,15.0,
pagerank,0.7967811895049454,0.8697670849117609,-0.21793037916638336,0.7735212468103108,1,knn,uniform,5000,15.0,
degree,0.9316525365498411,0.9611206303054076,0.03949906257195432,0.6872726505723687,2,knn,uniform,5000,15.0,
closeness,0.20363443650998692,0.6940704276255765,0.43847326047010493,0.9794320904878864,2,knn,uniform,5000,15.0,
betweenness,0.7354856182385796,0.7392675564937661,0.6572300956396349,0.23175063402989957,2,knn,uniform,5000,15.0,
harmonic,0.235535937091657,0.880409411550257,0.6447660479582592,0.9057728807734597,2,knn,uniform,5000,15.0,
clustering,0.8956963943522844,0.9655112989794535,0.16824420489664646,0.8281226933200893,2,knn,uniform,5000,15.0,
pagerank,0.9261515702466935,0.953035538428205,-0.29131408076627097,0.7637387092352248,2,knn,uniform,5000,15.0,
degree,0.9731050545260349,0.9852419474368207,0.5117866604137634,0.8217065375379953,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.5746461387180164,0.5877547387045944,0.22329705740041014,0.21490995780143238,1,rnn,uniform,5000,,0.05
harmonic,0.9156603805231581,0.9360087352466205,-0.013645661825734652,0.6324946939249412,1,rnn,uniform,5000,,0.05
clustering,0.960530952406965,0.960530952406965,0.6041115732674008,0.6158808236031121,1,rnn,uniform,5000,,0.05
pagerank,0.9687327193837701,0.9754436962812078,0.5619609522818202,0.6418179254967189,1,rnn,uniform,5000,,0.05
degree,0.9921911160002903,0.9956983219314196,0.4137908722544471,0.8909753779971128,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9978098174835013,0.9931227041739201,0.1483506987203979,0.39399803323765176,2,rnn,uniform,5000,,0.05
harmonic,0.980689157847622,0.9872382677956888,0.018912968171322136,0.8339454817141679,2,rnn,uniform,5000,,0.05
clustering,0.9849832044806954,0.9849832044806954,0.5120563297567248,0.7006426719793097,2,rnn,uniform,5000,,0.05
pagerank,0.991941743245293,0.9923470547610734,0.5038318425909356,0.7978933046067268,2,rnn,uniform,5000,,0.05
degree,0.9263569467296688,0.9673101635798592,0.2493399278864472,0.9712766058435579,1,rnn,uniform,5000,,0.1
closeness,0.20298927906201852,0.6938919500342325,0.3530669858121326,0.9949119414287704,1,rnn,uniform,5000,,0.1
