,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8657052521676505,0.9258315104955008,0.6142670730260749,-0.18633316630826394,1,delaunay,uniform,5000,,
closeness,0.23105008332315513,0.6301817241729528,0.16788221289275868,-0.7959318615208351,1,delaunay,uniform,5000,,
betweenness,0.4204391605279092,0.5981809366088771,0.41368032838268276,-0.14569257176365197,1,delaunay,uniform,5000,,
harmonic,0.3270306394581278,0.6996204159837102,0.2827814394009975,-0.717373597215628,1,delaunay,uniform,5000,,
clustering,0.9243713419832253,0.9243713419832253,0.6234536685019908,0.2312333861849628,1,delaunay,uniform,5000,,
pagerank,0.8764435142551835,0.9279127032949864,0.7250570515642663,-0.2363082726120384,1,delaunay,uniform,5000,,
degree,0.9612549817580902,0.9735295487535596,0.6484929135048485,-0.18581986943662016,2,delaunay,uniform,5000,,
closeness,0.26898804767875584,0.6125928862182728,0.25844438054634067,-0.9038187820035493,2,delaunay,uniform,5000,,
betweenness,0.6532298394064613,0.8003643704506326,0.6492902977636451,-0.0671713709746444,2,delaunay,uniform,5000,,
harmonic,0.330841546927655,0.7504577999260866,0.29873644602151295,-0.8329265508191315,2,delaunay,uniform,5000,,
clustering,0.976803669092805,0.976803669092805,0.6729003904844117,0.24874626277467016,2,delaunay,uniform,5000,,
pagerank,0.965455581151873,0.9746282473974042,0.7819533807843945,-0.2338890113560401,2,delaunay,uniform,5000,,
degree,0.924571786567451,0.943999816191923,0.20163522061510494,0.5751040648303996,1,knn,uniform,5000,5.0,
closeness,-0.09419802099011707,0.6375942492868722,0.6714170697909909,0.934491976302787,1,knn,uniform,5000,5.0,
betweenness,0.6766968555188546,0.7520009795085043,0.6407166004226621,0.29782184560642805,1,knn,uniform,5000,5.0,
harmonic,0.2926077551121117,0.8577218923179416,0.595189999599077,0.72322729248366,1,knn,uniform,5000,5.0,
clustering,0.8761705173893193,0.9120448797051784,0.3219496409515631,0.5110791798378453,1,knn,uniform,5000,5.0,
pagerank,0.9177535590846031,0.9349650774065653,-0.013568842886047448,0.6559043941242825,1,knn,uniform,5000,5.0,
degree,0.9777062898657913,0.9844923068095883,0.22667242895693712,0.5632556306035237,2,knn,uniform,5000,5.0,
closeness,-0.014455861608344372,0.885777735148646,-0.016667401869620173,0.08662783939234187,2,knn,uniform,5000,5.0,
betweenness,0.9038704771844028,0.9104100841698758,0.8331350010306611,0.10176868515129395,2,knn,uniform,5000,5.0,
harmonic,0.2915196075205677,0.9223026859475916,0.5611952635257957,0.5149727299566373,2,knn,uniform,5000,5.0,
clustering,0.97091474534031,0.9808933339609027,0.3136577311883077,0.5428627032933957,2,knn,uniform,5000,5.0,
pagerank,0.9747241030872082,0.9812861458694387,0.007577936862402767,0.6661527908230518,2,knn,uniform,5000,5.0,
degree,0.8606335068688714,0.9029806333518827,0.0688928184368207,0.6068107649784649,1,knn,uniform,5000,10.0,
closeness,-0.15508518382665193,0.6693535174289,0.6379490760720049,0.971095477937978,1,knn,uniform,5000,10.0,
betweenness,0.5836958261252708,0.6786222490933448,0.6146212127836412,0.5454409408310186,1,knn,uniform,5000,10.0,
harmonic,0.0038670806099895434,0.762648871644024,0.6535986795127144,0.896312718481468,1,knn,uniform,5000,10.0,
clustering,0.8204101912617359,0.8980269074136308,0.2129868639816384,0.7838960704428141,1,knn,uniform,5000,10.0,
pagerank,0.8498434526574711,0.8882205175721531,-0.19359092817847906,0.7257019729200666,1,knn,uniform,5000,10.0,
degree,0.9587665223967079,0.9762781364661799,0.16137038199779993,0.6269475709260766,2,knn,uniform,5000,10.0,
closeness,-0.2661718203205137,0.7301490173044798,0.7194362178089249,0.972094704569502,2,knn,uniform,5000,10.0,
betweenness,0.808511301064117,0.8128532767273416,0.7228784583677663,0.21458874103164804,2,knn,uniform,5000,10.0,
harmonic,0.026289087432924383,0.8744766556697299,0.6361095748782284,0.8822785186358084,2,knn,uniform,5000,10.0,
clustering,0.9162405019635615,0.9673579385917164,0.24119701060307927,0.7752925741861564,2,knn,uniform,5000,10.0,
pagerank,0.954218677470183,0.9718472132086611,-0.16485925604678495,0.7255896273977982,2,knn,uniform,5000,10.0,
degree,0.8029856566551975,0.8741874559268292,0.06975877101519593,0.7109856554175658,1,knn,uniform,5000,15.0,
closeness,0.14613019316098141,0.3966708358494935,0.5844787554609523,0.9819399159161398,1,knn,uniform,5000,15.0,
betweenness,0.700704976753676,0.7811955680970207,0.719703202846419,0.6228441868363348,1,knn,uniform,5000,15.0,
harmonic,0.07945640345963946,0.6002092586224212,0.6701790936568317,0.9145536389123554,1,knn,uniform,5000,15.0,
clustering,0.7339520959791996,0.8913330746397489,0.162885003547376,0.8579364212277103,1,knn,uniform,5000,15.0,
pagerank,0.7911519791252895,0.8522675579397619,-0.27112044761977655,0.7888460204087592,1,knn,uniform,5000,15.0,
degree,0.9239383700253773,0.9559604879118926,0.057642676193907366,0.6760637968474961,2,knn,uniform,5000,15.0,
closeness,0.4266279728829115,0.6553016205242275,0.2352560252740219,0.9765688042199593,2,knn,uniform,5000,15.0,
betweenness,0.7344333837099197,0.7358622833456638,0.6595139145548415,0.2099315429325766,2,knn,uniform,5000,15.0,
harmonic,0.40679592230542316,0.8937667200120512,0.5390988546902035,0.9178745287814154,2,knn,uniform,5000,15.0,
clustering,0.8995732844021004,0.9700858350213093,0.15180574186135998,0.8393855247460266,2,knn,uniform,5000,15.0,
pagerank,0.9193830501311082,0.9491836480998108,-0.2847587721372238,0.7634003132126005,2,knn,uniform,5000,15.0,
degree,0.9704376443158669,0.9856784247910306,0.5049356836951311,0.8400170084808273,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.7298261664889831,0.7413995284156892,0.2486938095936347,0.475201944744732,1,rnn,uniform,5000,,0.05
harmonic,0.889410543030945,0.9350498734793294,-0.07452843609367696,0.7899631595984287,1,rnn,uniform,5000,,0.05
clustering,0.9672866494758661,0.9672866494758661,0.6078724446140908,0.604953297864086,1,rnn,uniform,5000,,0.05
pagerank,0.9614188679737734,0.9727387370138776,0.5412643816031294,0.6865796856547988,1,rnn,uniform,5000,,0.05
degree,0.9892503818078648,0.9940558322596745,0.42996713082318255,0.8966256009857252,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9974638895265895,0.9948388792208664,0.8620883603330225,0.4225647503675568,2,rnn,uniform,5000,,0.05
harmonic,0.9799322702810735,0.9857473339869105,0.28726657345023554,0.8261770320182065,2,rnn,uniform,5000,,0.05
clustering,0.9835362050031143,0.9848588963499476,0.5085906613056967,0.6951830938862538,2,rnn,uniform,5000,,0.05
pagerank,0.9875131095023715,0.9875131095023715,0.5050600586112515,0.8022346267696684,2,rnn,uniform,5000,,0.05
degree,0.9049457286879286,0.9735258891231621,0.24835644109238597,0.9756550163369937,1,rnn,uniform,5000,,0.1
closeness,,,,,1,rnn,uniform,5000,,0.1
betweenness,0.6636529583185398,0.7770572703840521,0.3613847463180617,0.7807270117967555,1,rnn,uniform,5000,,0.1
