,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.9017138215358873,0.9388079396143196,0.6085980162729538,-0.1659021577760994,1,delaunay,uniform,5000,,
closeness,0.22756367867364702,0.5081817333665879,0.27814710785332625,-0.7328827353721066,1,delaunay,uniform,5000,,
betweenness,0.433754655104729,0.6974694535472117,0.42881983792609313,-0.11838414166855052,1,delaunay,uniform,5000,,
harmonic,0.35317238854162897,0.6401268888886119,0.36699776572328313,-0.6561747231984363,1,delaunay,uniform,5000,,
clustering,0.9351097719316515,0.9351097719316515,0.6406103966353393,0.1664705024251958,1,delaunay,uniform,5000,,
pagerank,0.9111772720940188,0.9405463878821044,0.7271190105480645,-0.1948669325286554,1,delaunay,uniform,5000,,
degree,0.9636542586863385,0.9735885049980701,0.653853750082408,-0.1778616839068054,2,delaunay,uniform,5000,,
closeness,0.3540525476971532,0.6055702304840185,0.32257426938475753,-0.8742128876298809,2,delaunay,uniform,5000,,
betweenness,0.6332715750982556,0.750470959971047,0.6306598172166695,-0.08227959339248182,2,delaunay,uniform,5000,,
harmonic,0.40998766775297224,0.7492146142977063,0.3722163750709916,-0.7998345121836452,2,delaunay,uniform,5000,,
clustering,0.9774544574847539,0.977413355900541,0.6969689565334023,0.2406009647444105,2,delaunay,uniform,5000,,
pagerank,0.9675333977977079,0.974593153154212,0.7903089640333609,-0.22830860542855796,2,delaunay,uniform,5000,,
degree,0.9092653202793557,0.9355044777043329,0.20898772495540902,0.5378168252447155,1,knn,uniform,5000,5.0,
closeness,0.06147090134168867,0.7708882531002701,-0.02940478083347585,0.06351836650571788,1,knn,uniform,5000,5.0,
betweenness,0.703718192121266,0.7678496858861368,0.7126858391897056,0.3548221103381265,1,knn,uniform,5000,5.0,
harmonic,0.18628081321467538,0.8314449915453901,0.4718629631773876,0.6409601893929375,1,knn,uniform,5000,5.0,
clustering,0.8637272067046775,0.9086957360233838,0.3087374150026154,0.5261127571201338,1,knn,uniform,5000,5.0,
pagerank,0.9009226275291924,0.9267403941947003,0.036233233695381464,0.657039915707397,1,knn,uniform,5000,5.0,
degree,0.9750238852599835,0.9791223243335241,0.19444696528149663,0.5693080354605855,2,knn,uniform,5000,5.0,
closeness,0.3153110550264838,0.8444758504043279,0.05893864424878816,0.13265019087847274,2,knn,uniform,5000,5.0,
betweenness,0.8649388040006822,0.8714139497769708,0.7657658010110049,0.1585979458092786,2,knn,uniform,5000,5.0,
harmonic,0.4950566986194379,0.9409091690009552,0.4296868947522263,0.6206447454328001,2,knn,uniform,5000,5.0,
clustering,0.9649953739618631,0.9759099466064218,0.27809196979760703,0.5727001539041221,2,knn,uniform,5000,5.0,
pagerank,0.9730770892623071,0.9771060256682934,-0.01288365555496459,0.6626110794351352,2,knn,uniform,5000,5.0,
degree,0.8745464279120252,0.9232962248647633,0.1052241513391467,0.6273768402896577,1,knn,uniform,5000,10.0,
closeness,0.060708428495004615,0.7501565286269909,0.650395908342779,0.960356993884436,1,knn,uniform,5000,10.0,
betweenness,0.6825027545809313,0.7602133780902081,0.7011494267675284,0.5476178544232178,1,knn,uniform,5000,10.0,
harmonic,0.1699763012679345,0.8049900452774796,0.7192554809265774,0.8670483956316879,1,knn,uniform,5000,10.0,
clustering,0.7904120996184449,0.9038160256654654,0.2641611233013767,0.7239134482644394,1,knn,uniform,5000,10.0,
pagerank,0.864729261503467,0.9084362976636063,-0.1542141323428086,0.7242673372606931,1,knn,uniform,5000,10.0,
degree,0.9519709581766964,0.9681946480034097,0.13170051024317947,0.6521067327952175,2,knn,uniform,5000,10.0,
closeness,-0.06291942404751609,0.7511499481421334,0.5887442718564785,0.9722041848058323,2,knn,uniform,5000,10.0,
betweenness,0.7918733476079567,0.795569119409394,0.7167189401690869,0.24202282945195094,2,knn,uniform,5000,10.0,
harmonic,0.20670864391015084,0.9087510025453899,0.6449647564298173,0.8889186723474058,2,knn,uniform,5000,10.0,
clustering,0.9295774492332456,0.9679702674378479,0.24391175959338324,0.7774075979661534,2,knn,uniform,5000,10.0,
pagerank,0.9481348894416698,0.962573954782376,-0.1913250777864492,0.7360825427937063,2,knn,uniform,5000,10.0,
degree,0.8040912552266034,0.8723121533727335,0.028830103409389882,0.6512461558558902,1,knn,uniform,5000,15.0,
closeness,0.24151091862366508,0.5840832582632846,0.5816554874202475,0.9748055577690866,1,knn,uniform,5000,15.0,
betweenness,0.6654022151204703,0.7243590387424355,0.6745789477529331,0.6251689704395498,1,knn,uniform,5000,15.0,
harmonic,0.23897839502812737,0.6778033179022613,0.6358579351318503,0.8755220937498144,1,knn,uniform,5000,15.0,
clustering,0.7324432762429738,0.9162147551840163,0.1284577118441814,0.8498371709438821,1,knn,uniform,5000,15.0,
pagerank,0.7886328421353547,0.8499696874311395,-0.23559775209162692,0.7505168383799274,1,knn,uniform,5000,15.0,
degree,0.9327112876277208,0.9583900186783216,0.05248942473334638,0.6881325917559659,2,knn,uniform,5000,15.0,
closeness,0.3434638461209294,0.6790063432995551,0.264127052549588,0.9719826188818191,2,knn,uniform,5000,15.0,
betweenness,0.707904353535862,0.739574901201054,0.6330906107516363,0.20319435541439873,2,knn,uniform,5000,15.0,
harmonic,0.3994523418827082,0.8815106157307933,0.5525505470646443,0.9002949153451366,2,knn,uniform,5000,15.0,
clustering,0.9028379284467305,0.9720131891351689,0.1860529560331416,0.841479536476398,2,knn,uniform,5000,15.0,
pagerank,0.9262957915274813,0.9503561752439376,-0.30227277378576256,0.765843402405828,2,knn,uniform,5000,15.0,
degree,0.9649277340904125,0.9748347861611715,0.49508928268526764,0.8292960014062661,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.7957874509960056,0.8189534255871885,0.4316740439479506,0.3902447861666255,1,rnn,uniform,5000,,0.05
harmonic,0.8983074490472261,0.9382422219902908,-0.04275885642107716,0.7150452556171334,1,rnn,uniform,5000,,0.05
