,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8855996380114499,0.9073902774052827,0.6025655810772577,-0.17166446146110567,1,delaunay,uniform,5000,,
closeness,-0.03299953709198897,0.40483316845011275,-0.02654210056451662,-0.7487499950879477,1,delaunay,uniform,5000,,
betweenness,0.40877739509818745,0.49100822245300907,0.40342637033493933,-0.1436092260326824,1,delaunay,uniform,5000,,
harmonic,0.2187582713150618,0.5695388565412371,0.24520972914402261,-0.6197889573781888,1,delaunay,uniform,5000,,
clustering,0.9281017641151751,0.927858335250404,0.6659050721547157,0.24421685926945944,1,delaunay,uniform,5000,,
pagerank,0.8962441494418965,0.9134206682812813,0.7183933017879719,-0.2153299462031174,1,delaunay,uniform,5000,,
degree,0.9617486359814453,0.9746968968751047,0.657831249776839,-0.18660205970541383,2,delaunay,uniform,5000,,
closeness,0.4946104033532747,0.6127425069674488,0.4743750404365531,-0.8696220988407284,2,delaunay,uniform,5000,,
betweenness,0.6537267672669536,0.744115030400775,0.6517901986662973,-0.07406018123253391,2,delaunay,uniform,5000,,
harmonic,0.4254189858590736,0.7467225382375591,0.37311656569479845,-0.8108032478728824,2,delaunay,uniform,5000,,
clustering,0.9724615755930726,0.9727390821884132,0.6856166252579314,0.23383653903641693,2,delaunay,uniform,5000,,
pagerank,0.9655670735465454,0.9756453276783381,0.7874596359386913,-0.2398939095668916,2,delaunay,uniform,5000,,
degree,0.9334918802982488,0.9447761939391386,0.1758933551084695,0.5594097268484415,1,knn,uniform,5000,5.0,
closeness,0.3334826166324053,0.7939430672849818,0.6547142553178799,0.949900527695333,1,knn,uniform,5000,5.0,
betweenness,0.7170298105839319,0.7878876602075846,0.694317461212647,0.32951779124802666,1,knn,uniform,5000,5.0,
harmonic,0.4983941691066676,0.8897074819578419,0.5069099442052991,0.7296445139901357,1,knn,uniform,5000,5.0,
clustering,0.8969798945675005,0.9273628836397751,0.24830324108135943,0.5286178947456985,1,knn,uniform,5000,5.0,
pagerank,0.9257061466312622,0.9366142173006383,-0.025656980104239793,0.6614592159238166,1,knn,uniform,5000,5.0,
degree,0.9730252744448404,0.9793802043121127,0.2545066688493374,0.540694445678323,2,knn,uniform,5000,5.0,
closeness,0.28882053709248673,0.862545534298406,0.015843145283299265,0.15911685254104205,2,knn,uniform,5000,5.0,
betweenness,0.8761835030855376,0.8819966999961015,0.7935869110850836,0.136586027961541,2,knn,uniform,5000,5.0,
harmonic,0.45026789214284196,0.9363288232278495,0.5641018082254303,0.5968105412043513,2,knn,uniform,5000,5.0,
clustering,0.9575466468674059,0.9673756064231861,0.33126517732627386,0.5420785038904655,2,knn,uniform,5000,5.0,
pagerank,0.9709260789364662,0.9769504238862776,0.03494621353149553,0.6658769364192743,2,knn,uniform,5000,5.0,
degree,0.8596985070622188,0.9125773063339038,0.15162840168649988,0.6230593285315826,1,knn,uniform,5000,10.0,
closeness,-0.3410985382900673,0.5770002271352346,0.6190935954463799,0.9754290353087953,1,knn,uniform,5000,10.0,
betweenness,0.6858692702039556,0.7769959614904094,0.6909340921963901,0.5291045571891598,1,knn,uniform,5000,10.0,
harmonic,-0.05998106269326449,0.7768083298475913,0.5978594843482548,0.9030364656084785,1,knn,uniform,5000,10.0,
clustering,0.839935082585507,0.9334585773110694,0.3035317747434414,0.7971191200813814,1,knn,uniform,5000,10.0,
pagerank,0.8495571359476113,0.8985322824333777,-0.10374857490445667,0.7108711434638953,1,knn,uniform,5000,10.0,
degree,0.9548655788582644,0.969147066100323,0.13202229831677287,0.6118360505470162,2,knn,uniform,5000,10.0,
closeness,0.2212124417867013,0.7983434114022583,0.45652416107211075,0.9571921994310112,2,knn,uniform,5000,10.0,
betweenness,0.7871410858735902,0.804228266263296,0.7162420693004614,0.1946385807607902,2,knn,uniform,5000,10.0,
harmonic,0.2976682768561387,0.9155576755119887,0.5546177811753494,0.8309897983283634,2,knn,uniform,5000,10.0,
clustering,0.9326962919969378,0.965170305582294,0.24918386403275258,0.7623712303303389,2,knn,uniform,5000,10.0,
pagerank,0.9499879557853522,0.9631297159034418,-0.1791316764936043,0.7253204131086812,2,knn,uniform,5000,10.0,
degree,0.7350465859671623,0.8432722022752777,0.0707114377843587,0.6989059320397211,1,knn,uniform,5000,15.0,
closeness,0.33551900548098457,0.5833248457362022,0.4744208490630264,0.9816451407528879,1,knn,uniform,5000,15.0,
betweenness,0.6157048831138805,0.6877569189599592,0.6096418325972033,0.6279000351982038,1,knn,uniform,5000,15.0,
harmonic,0.3034441527830882,0.6922968112018564,0.5675662234803944,0.9197679833361466,1,knn,uniform,5000,15.0,
clustering,0.7564456012810605,0.8830773992830784,0.13788439725262758,0.8636677752700482,1,knn,uniform,5000,15.0,
pagerank,0.7249624312535345,0.8230210007302701,-0.21242100573059475,0.7874606574173555,1,knn,uniform,5000,15.0,
degree,0.9301160179970585,0.955787977685202,0.05974686487504625,0.7017641675787254,2,knn,uniform,5000,15.0,
closeness,-0.14304795346607113,0.625711181814026,0.5132024403605293,0.9821822424535774,2,knn,uniform,5000,15.0,
betweenness,0.7153502737697703,0.7215798626113633,0.633211457354321,0.22698270785842914,2,knn,uniform,5000,15.0,
harmonic,0.10950925009032958,0.8872714686816638,0.5890791746599406,0.9333296221110423,2,knn,uniform,5000,15.0,
clustering,0.8768302591317507,0.9599383944199131,0.20528820844018625,0.843760113914567,2,knn,uniform,5000,15.0,
pagerank,0.9226988762239647,0.9472056801759462,-0.29355246249346933,0.7649567590712671,2,knn,uniform,5000,15.0,
degree,0.9790108360111347,0.9856772330751535,0.4706629086377622,0.873007100054841,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.9981790368958366,0.9686702110706322,0.9401383926865348,0.2070249616110333,1,rnn,uniform,5000,,0.05
harmonic,0.9659600434261408,0.9250273080886463,0.261699917178607,0.6350587303196659,1,rnn,uniform,5000,,0.05
clustering,0.9727820269803695,0.9701537285308265,0.5173627483007001,0.6562153177525516,1,rnn,uniform,5000,,0.05
pagerank,0.9649562261532569,0.9733357575421204,0.496441306517516,0.7320263192090126,1,rnn,uniform,5000,,0.05
degree,0.996887875899162,0.9973548370088042,0.4068825790791004,0.9230327711999589,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9996589579956169,0.9906068107326456,0.2325320169932616,0.666146325793032,2,rnn,uniform,5000,,0.05
harmonic,0.9941058526637139,0.9933501200113197,-0.012531705317630381,0.8755955788814347,2,rnn,uniform,5000,,0.05
clustering,0.9950633311994526,0.9943077476779195,0.46280849092249315,0.7597508749158953,2,rnn,uniform,5000,,0.05
pagerank,0.9934520546926239,0.9934741144946626,0.43826145481646384,0.844739413545077,2,rnn,uniform,5000,,0.05
degree,0.9276793055880794,0.9586557089383976,0.24860610469706487,0.9596629970917585,1,rnn,uniform,5000,,0.1
closeness,0.37430173393774624,0.2854921906999296,0.19408241252358294,0.995336727450784,1,rnn,uniform,5000,,0.1
betweenness,0.698001148658659,0.8128318056288891,0.5410472800871134,0.7059110079689651,1,rnn,uniform,5000,,0.1
harmonic,0.5207182701754773,0.7204899412753782,0.2522326746200545,0.9896574267596565,1,rnn,uniform,5000,,0.1
clustering,0.864336814629531,0.914839314276902,0.4649329798015948,0.8902326290779421,1,rnn,uniform,5000,,0.1
pagerank,0.8994833440600454,0.9398978513137441,0.3183356856045128,0.925155199281698,1,rnn,uniform,5000,,0.1
degree,0.9590665962750388,0.9917651752229178,0.18692914940501665,0.974250227200731,2,rnn,uniform,5000,,0.1
closeness,0.012269218291751783,0.866262997263105,0.44759057850974704,0.9962133292765515,2,rnn,uniform,5000,,0.1
betweenness,0.8689836177646928,0.8839613562053789,0.641008211544589,0.7102265077409281,2,rnn,uniform,5000,,0.1
harmonic,0.2449218739656994,0.9638484736901909,0.3399313442794238,0.9905225290732058,2,rnn,uniform,5000,,0.1
clustering,0.9492107646972179,0.9748661967446322,0.27476468311212854,0.9115640185003777,2,rnn,uniform,5000,,0.1
