,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8949541769210716,0.9356328461632841,0.6013135313516544,-0.17757441700170365,1,delaunay,uniform,5000,,
closeness,0.1463276324433986,0.32981806856331436,0.1851885242750727,-0.7828928456815996,1,delaunay,uniform,5000,,
betweenness,0.4140739610740764,0.6218724621236007,0.4102285573206714,-0.17423276888888523,1,delaunay,uniform,5000,,
harmonic,0.3155272622281672,0.5977465067944845,0.33634002029645793,-0.7153736885724786,1,delaunay,uniform,5000,,
clustering,0.9370247461145387,0.9370247461145387,0.6369357600178276,0.21890082427744106,1,delaunay,uniform,5000,,
pagerank,0.9040290349044782,0.936657511395455,0.7192002297497316,-0.22560139896217035,1,delaunay,uniform,5000,,
degree,0.9660866998927121,0.9788566722990378,0.6378550337921045,-0.18049484535058202,2,delaunay,uniform,5000,,
closeness,0.2822258334750259,0.6927391768593684,0.17089704271387285,-0.8634587948352288,2,delaunay,uniform,5000,,
betweenness,0.6389489202644902,0.8008061873159882,0.6358315852395879,-0.08387987002384192,2,delaunay,uniform,5000,,
harmonic,0.3354736397777648,0.7591712823684158,0.23732926606062532,-0.8016944751350097,2,delaunay,uniform,5000,,
clustering,0.9748897863063952,0.9748897863063952,0.6559846771350732,0.22337315341136196,2,delaunay,uniform,5000,,
pagerank,0.9696774192218198,0.979067646957952,0.7879720805257557,-0.23051728171804223,2,delaunay,uniform,5000,,
degree,0.9352112363103753,0.9498130555676266,0.249532590795432,0.5569467803114834,1,knn,uniform,5000,5.0,
closeness,0.1428864526636854,0.7558127275384978,0.3460943317042232,0.9468400325745387,1,knn,uniform,5000,5.0,
betweenness,0.707438678988133,0.7783572948563037,0.6925855405090595,0.38038407960548215,1,knn,uniform,5000,5.0,
harmonic,0.33371477105759906,0.8751175253340293,0.3857116284201815,0.8012355927950858,1,knn,uniform,5000,5.0,
clustering,0.8995911964508645,0.9333938502421714,0.3627458063764526,0.5329475823965257,1,knn,uniform,5000,5.0,
pagerank,0.9283440766076934,0.9405664073786699,0.07630418336421974,0.6516270560365496,1,knn,uniform,5000,5.0,
degree,0.9748635260844103,0.979204892706148,0.22761986473887647,0.5547841036609333,2,knn,uniform,5000,5.0,
