,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.909464203127129,0.9355183737277208,0.6564153645619398,-0.17452834711258694,1,delaunay,uniform,5000,,
closeness,0.2232275636007377,0.5191227291058449,0.2512548549417666,-0.7439115931374263,1,delaunay,uniform,5000,,
betweenness,0.40041366288245545,0.5615036490516383,0.3994323002222133,-0.15064547400285272,1,delaunay,uniform,5000,,
harmonic,0.33642726985354304,0.6751854806256188,0.3164839064511352,-0.6714770016570062,1,delaunay,uniform,5000,,
clustering,0.948451519370865,0.948451519370865,0.7199845112054233,0.21849394240123107,1,delaunay,uniform,5000,,
pagerank,0.9178799698209257,0.937890130918311,0.7618344984252131,-0.213837574822836,1,delaunay,uniform,5000,,
degree,0.9645743556452989,0.9746856910748187,0.6529578495999316,-0.17662050196041648,2,delaunay,uniform,5000,,
closeness,0.35824617662288216,0.6475662081592339,0.3212685999751209,-0.9003502595164794,2,delaunay,uniform,5000,,
betweenness,0.6158034750260631,0.7460412284896617,0.6131560974212039,-0.08448968581112645,2,delaunay,uniform,5000,,
harmonic,0.3990253973380386,0.7595790812915068,0.371065845167079,-0.8302522389778757,2,delaunay,uniform,5000,,
clustering,0.9816791869914685,0.9816791869914685,0.6850747226729115,0.23068379741202047,2,delaunay,uniform,5000,,
pagerank,0.9685528907037673,0.9759164638735986,0.7891894826363733,-0.23081736350233403,2,delaunay,uniform,5000,,
degree,0.9493154653300272,0.9600190627054231,0.21545175742011347,0.5452023826299017,1,knn,uniform,5000,5.0,
closeness,-0.05173609184032246,0.7542638627313138,0.6806318691543352,0.9375055796134264,1,knn,uniform,5000,5.0,
betweenness,0.7271735980771572,0.800010136398652,0.6913101236561793,0.3934987211693899,1,knn,uniform,5000,5.0,
harmonic,0.22853767111527457,0.8714929062145221,0.5648866443501621,0.7434286763721794,1,knn,uniform,5000,5.0,
clustering,0.903620747172574,0.9226872371663709,0.37473815975282604,0.4524361002141789,1,knn,uniform,5000,5.0,
pagerank,0.946143631477194,0.9564760966718417,0.0023113611207455087,0.6627702699806896,1,knn,uniform,5000,5.0,
degree,0.9735302610984992,0.9793853509227212,0.24457832631822368,0.5589048191887189,2,knn,uniform,5000,5.0,
closeness,0.2503815617429006,0.8296434086248832,0.01017890120723113,0.14058627793691042,2,knn,uniform,5000,5.0,
betweenness,0.8834288344619385,0.8918620620851293,0.7771953623687993,0.09159220821089625,2,knn,uniform,5000,5.0,
harmonic,0.45490145385769426,0.909038834817371,0.5801702184602746,0.6621812924207017,2,knn,uniform,5000,5.0,
clustering,0.9637552303454657,0.9767468628222666,0.3420711419310304,0.5577745167580472,2,knn,uniform,5000,5.0,
pagerank,0.9703103488929191,0.9761744828590442,0.03017776391271039,0.6551271356717804,2,knn,uniform,5000,5.0,
degree,0.8748312254167145,0.9200034598445774,0.1210486406398419,0.6766645958418027,1,knn,uniform,5000,10.0,
closeness,0.45749100354030936,0.5650093497912643,0.5777110544635429,0.98091463239771,1,knn,uniform,5000,10.0,
betweenness,0.7237670394747706,0.7847716575343215,0.7095075514094137,0.5751321707721122,1,knn,uniform,5000,10.0,
harmonic,0.4726937191995707,0.7269265940396263,0.6145733267262657,0.9172354815517365,1,knn,uniform,5000,10.0,
clustering,0.8661267401390577,0.9342290129489581,0.22605205843459653,0.8220284110931968,1,knn,uniform,5000,10.0,
pagerank,0.8676891359340053,0.9084363092938621,-0.19163059610317698,0.7444491576696047,1,knn,uniform,5000,10.0,
degree,0.962740651176945,0.9779604059141171,0.15030696340457259,0.6333544369091803,2,knn,uniform,5000,10.0,
closeness,0.3126127556253723,0.7829651095476017,0.5318226440593189,0.9678073282351445,2,knn,uniform,5000,10.0,
betweenness,0.8054952753763909,0.8089567837521634,0.7346187326534351,0.2041985213445573,2,knn,uniform,5000,10.0,
harmonic,0.3462580798873033,0.9209129677287416,0.6828138522151714,0.8593905917155822,2,knn,uniform,5000,10.0,
clustering,0.9219362635749092,0.970199983104446,0.2801146299947677,0.763343159098307,2,knn,uniform,5000,10.0,
pagerank,0.9594702769763843,0.9746202394125942,-0.19381402146560123,0.746094514026741,2,knn,uniform,5000,10.0,
degree,0.8255131536927989,0.8897078685845687,0.09838760248147044,0.6729851370734957,1,knn,uniform,5000,15.0,
closeness,0.20758519166923775,0.463225012123221,0.2769077805106693,0.9845161858273783,1,knn,uniform,5000,15.0,
betweenness,0.6478642903047995,0.7482075215278368,0.6613745527501793,0.6319990171645871,1,knn,uniform,5000,15.0,
harmonic,0.23264489270647773,0.646147623598088,0.3503517921490157,0.9465938705781648,1,knn,uniform,5000,15.0,
clustering,0.7359886542828473,0.8696802556557608,0.19656279509125976,0.8587992631324874,1,knn,uniform,5000,15.0,
pagerank,0.8194324576917171,0.8740313951938867,-0.2573184407545282,0.7970928686043248,1,knn,uniform,5000,15.0,
degree,0.9269898220443329,0.9600767440208362,0.034774335267691636,0.6837532020948992,2,knn,uniform,5000,15.0,
closeness,0.19360742020431373,0.6610264836290369,0.2491386841746015,0.9791129113521442,2,knn,uniform,5000,15.0,
betweenness,0.6749904171955544,0.6770831054188556,0.5798552550331948,0.22782566095850715,2,knn,uniform,5000,15.0,
harmonic,0.3058564471868501,0.8984223414614431,0.5433002805450081,0.9230297254942135,2,knn,uniform,5000,15.0,
clustering,0.9031673677980138,0.9755743882655735,0.20112846719939015,0.846354034481819,2,knn,uniform,5000,15.0,
pagerank,0.9208939251800972,0.9515833765832384,-0.3097373666315467,0.7719364236323685,2,knn,uniform,5000,15.0,
degree,0.9790969797192439,0.985138642289086,0.5079760480999536,0.8413274740586875,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.9166369906918467,0.9274047787277501,0.48972174888020087,0.3695744824091768,1,rnn,uniform,5000,,0.05
harmonic,0.9354354367658075,0.9559827789162563,0.10707618088715547,0.7358758217027771,1,rnn,uniform,5000,,0.05
clustering,0.9671862603157322,0.9642156191769979,0.5691063864105119,0.6159359506022749,1,rnn,uniform,5000,,0.05
pagerank,0.9695082459864797,0.9760163009946515,0.5420487033928291,0.7013394260823713,1,rnn,uniform,5000,,0.05
degree,0.9932607888476722,0.9913831673869398,0.4184680129420735,0.8951090271505109,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.8942459561568118,0.8942459561568118,0.3476969569852215,0.44920000317642994,2,rnn,uniform,5000,,0.05
harmonic,0.9833440529245381,0.979654420496606,0.15585527302419194,0.8592165146521777,2,rnn,uniform,5000,,0.05
