,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.9026043702475979,0.9318178692801532,0.5813451747255381,-0.14761274351477555,1,delaunay,uniform,5000,,
closeness,0.4743680897249685,0.49864220842887047,0.5045738289682893,-0.7820032712323037,1,delaunay,uniform,5000,,
betweenness,0.5011190744595346,0.6430908138368111,0.501928103179544,-0.163152596534722,1,delaunay,uniform,5000,,
harmonic,0.5276241575509895,0.674803034337586,0.5187729756531148,-0.7140286108487325,1,delaunay,uniform,5000,,
clustering,0.9347262923897981,0.9347262923897981,0.6303905210112208,0.18342577945400682,1,delaunay,uniform,5000,,
pagerank,0.9113308072215351,0.9324618974403681,0.7211418440795323,-0.20447737705422625,1,delaunay,uniform,5000,,
degree,0.958881219112253,0.9749797335662342,0.6480667545788823,-0.18024733892919234,2,delaunay,uniform,5000,,
closeness,0.17904292473969047,0.6745386761743523,0.15326153481560104,-0.8628347825333197,2,delaunay,uniform,5000,,
betweenness,0.6128946134878058,0.7305502759907202,0.6098196797400686,-0.07253238168308922,2,delaunay,uniform,5000,,
harmonic,0.2535224299585919,0.7509023613866179,0.24572961006033983,-0.7790487124473989,2,delaunay,uniform,5000,,
clustering,0.9782566447994644,0.9782566447994644,0.6874298801648249,0.2101772701025148,2,delaunay,uniform,5000,,
pagerank,0.9635860752862704,0.9755120675191783,0.7764588067901681,-0.22391807431925487,2,delaunay,uniform,5000,,
degree,0.9219738437239647,0.9363047159180198,0.21497172224438055,0.5415687275996989,1,knn,uniform,5000,5.0,
closeness,0.31591795442146575,0.672802885611681,0.5825897193885886,0.8801427973551116,1,knn,uniform,5000,5.0,
betweenness,0.7963176685900559,0.8318132126225559,0.7387743684623385,0.25017066661466736,1,knn,uniform,5000,5.0,
harmonic,0.48202323064145736,0.821055690180901,0.5472012716386145,0.6135431077995006,1,knn,uniform,5000,5.0,
clustering,0.8919106434254234,0.9102570135183623,0.266625005587221,0.5882255434289181,1,knn,uniform,5000,5.0,
pagerank,0.9138309294202007,0.9264635006703439,0.02800513417779104,0.6411862030900536,1,knn,uniform,5000,5.0,
degree,0.9819982479496292,0.9866185824336406,0.21349095175309407,0.5582476017846039,2,knn,uniform,5000,5.0,
closeness,0.07314589157322939,0.8751054285669609,-0.014751693444502566,0.0658640297642047,2,knn,uniform,5000,5.0,
betweenness,0.8889131133097301,0.896216796078279,0.7945911836680037,0.16737421382555726,2,knn,uniform,5000,5.0,
harmonic,0.3280490044862403,0.9531788468728482,0.45660295599211054,0.6621298233105449,2,knn,uniform,5000,5.0,
clustering,0.9655025652244869,0.9799594940131781,0.3235450327742684,0.5452633283939494,2,knn,uniform,5000,5.0,
pagerank,0.9801548464492194,0.9847265171252905,0.0024008246751046135,0.6654253376581799,2,knn,uniform,5000,5.0,
degree,0.8772965478047867,0.9255981243314069,0.14581892826060971,0.6139783763496194,1,knn,uniform,5000,10.0,
closeness,0.07480898076641071,0.6311511289714677,0.7274770792855021,0.9618061968768836,1,knn,uniform,5000,10.0,
betweenness,0.7286745336783809,0.7979191705967492,0.7230031044981979,0.5115789979870035,1,knn,uniform,5000,10.0,
harmonic,0.21815081755341934,0.7671850389023851,0.6806313077249277,0.8516981511630805,1,knn,uniform,5000,10.0,
clustering,0.8394933243593949,0.9125362197546784,0.19420944567507165,0.7842833556893489,1,knn,uniform,5000,10.0,
pagerank,0.8645418444482824,0.9120775839495525,-0.12938796469707894,0.7216144459519442,1,knn,uniform,5000,10.0,
degree,0.9617736186839628,0.975446988957329,0.14478255872954704,0.6477426970206152,2,knn,uniform,5000,10.0,
closeness,-0.013899447602599084,0.6273127862246785,0.7430269276511481,0.9710695935726052,2,knn,uniform,5000,10.0,
betweenness,0.8506853396792389,0.855922499257993,0.7804387245966216,0.22687532125183266,2,knn,uniform,5000,10.0,
harmonic,0.14717621220363145,0.8594351527528621,0.7354863521628546,0.8665247423420327,2,knn,uniform,5000,10.0,
clustering,0.9338329608673306,0.9624379206069802,0.24935314507526884,0.7819894164942907,2,knn,uniform,5000,10.0,
pagerank,0.9580655022437041,0.970365914519326,-0.19375187007194533,0.7330696013602983,2,knn,uniform,5000,10.0,
degree,0.8470620135148844,0.9104574959684306,0.12154306822232476,0.6683951517392429,1,knn,uniform,5000,15.0,
closeness,-0.010388545828715632,0.6722165004329878,0.6737377467066197,0.9723269844798008,1,knn,uniform,5000,15.0,
betweenness,0.626509918854081,0.7090258502348661,0.6341784030055453,0.5912221505567496,1,knn,uniform,5000,15.0,
harmonic,0.07465344657718888,0.7418963635583853,0.6701863961809433,0.9030349977894472,1,knn,uniform,5000,15.0,
clustering,0.7995655718005898,0.9176530931129617,0.20578723770131918,0.8623891258145235,1,knn,uniform,5000,15.0,
pagerank,0.8346112295425157,0.8941723555281369,-0.20122262631642082,0.7669345056056018,1,knn,uniform,5000,15.0,
degree,0.9346464553353004,0.9607386010040276,0.0641240271679298,0.6914012372368334,2,knn,uniform,5000,15.0,
closeness,0.02722252280252607,0.763901860905697,0.6152488027380311,0.9718605038471404,2,knn,uniform,5000,15.0,
betweenness,0.7639219755076412,0.781533926935289,0.6916576291158092,0.18298594860336678,2,knn,uniform,5000,15.0,
harmonic,0.04390094240715499,0.8750797589090932,0.6980897907439806,0.8839449299119743,2,knn,uniform,5000,15.0,
clustering,0.897398713603664,0.9633605235676204,0.17190385992488694,0.8314576645168954,2,knn,uniform,5000,15.0,
pagerank,0.928368512079237,0.9533045243845002,-0.29221727289433785,0.7707339074567396,2,knn,uniform,5000,15.0,
degree,0.9797127063827203,0.9781613034070828,0.49977814053282454,0.8380057561289179,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.9943387701044599,0.9893827633809696,0.5087402899828881,0.20459845509660135,1,rnn,uniform,5000,,0.05
harmonic,0.9686402514628022,0.9727645611767544,-0.07240163512747225,0.6456912519379665,1,rnn,uniform,5000,,0.05
clustering,0.9803029845162908,0.9803029845162908,0.623632425332281,0.5647534403296455,1,rnn,uniform,5000,,0.05
pagerank,0.9724677378077333,0.9771915508506313,0.5554498241883875,0.6644628395328576,1,rnn,uniform,5000,,0.05
degree,0.9957051632663008,0.9965073600697327,0.4108063018193734,0.8921316753452552,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9990772259398103,0.9972710057147853,0.7850265566984558,0.5490356179096674,2,rnn,uniform,5000,,0.05
harmonic,0.9951712666262744,0.9945758922461552,0.23126329305440074,0.8092957981724567,2,rnn,uniform,5000,,0.05
clustering,0.9939915846940812,0.9939915846940812,0.5468226407546426,0.6752806023400524,2,rnn,uniform,5000,,0.05
pagerank,0.992702470610326,0.9925322983820619,0.50853475583314,0.7998360542540863,2,rnn,uniform,5000,,0.05
degree,0.9489856502718382,0.9775177926587688,0.22075329004434274,0.9808249032468052,1,rnn,uniform,5000,,0.1
closeness,0.13943678206138319,0.5860880883430332,0.2555597202090555,0.9956908103867768,1,rnn,uniform,5000,,0.1
betweenness,0.6969777739258216,0.8030259756120067,0.35541743567826023,0.8370598153267766,1,rnn,uniform,5000,,0.1
harmonic,0.45852844754869815,0.870044637980156,0.3752706777757959,0.9908503499291735,1,rnn,uniform,5000,,0.1
clustering,0.8479444394482188,0.8993657535340704,0.25177632557435914,0.9171215689128267,1,rnn,uniform,5000,,0.1
pagerank,0.9223710113660197,0.9547900684336716,0.26454750060038157,0.965726791108733,1,rnn,uniform,5000,,0.1
degree,0.9711759744547321,0.9951940234800836,0.23500648157249387,0.9676027755262748,2,rnn,uniform,5000,,0.1
closeness,0.08217262240829659,0.8826030034490988,0.3648539324988158,0.9964168635188981,2,rnn,uniform,5000,,0.1
betweenness,0.8780746008758593,0.8953157203338975,0.6769619584940323,0.6613795845129695,2,rnn,uniform,5000,,0.1
harmonic,0.38551770976814614,0.9773127666714652,0.2940001696365704,0.9896853389940325,2,rnn,uniform,5000,,0.1
clustering,0.9587578913530036,0.980094754509593,0.3654479949629076,0.9105176253347338,2,rnn,uniform,5000,,0.1
pagerank,0.9615973668655031,0.987637043216894,0.29999114095731166,0.9437271130423128,2,rnn,uniform,5000,,0.1
degree,0.8554504777684118,0.9775926690007253,0.2280530251372004,0.9845938079912406,1,rnn,uniform,5000,,0.15
closeness,0.37056342338906123,0.6314748118212589,0.3259141607763395,0.99776658422993,1,rnn,uniform,5000,,0.15
betweenness,0.5616839277301311,0.7553393542620528,0.5043223567635455,0.8488563065458965,1,rnn,uniform,5000,,0.15
harmonic,0.46327995488706364,0.9084860001114323,0.160043969455106,0.9960826434863832,1,rnn,uniform,5000,,0.15
clustering,0.7627427603469478,0.918030122104468,0.27771348380132954,0.9680278688387219,1,rnn,uniform,5000,,0.15
pagerank,0.7951191075471138,0.941327493715526,0.2932707441800753,0.9720660331826716,1,rnn,uniform,5000,,0.15
degree,0.8950627448782018,0.9887386141154373,0.15696013042017168,0.9858016624079802,2,rnn,uniform,5000,,0.15
closeness,0.09086975120743401,0.8208004712682829,0.3837781053880489,0.9985649132262555,2,rnn,uniform,5000,,0.15
betweenness,0.8556024724012059,0.8771983657622675,0.5377531713430945,0.7715869710194103,2,rnn,uniform,5000,,0.15
harmonic,0.10772992494036128,0.9479921710653849,0.261496398113559,0.9966514257326,2,rnn,uniform,5000,,0.15
clustering,0.891858122988221,0.9753001905556542,0.2560754006159945,0.9704018760116112,2,rnn,uniform,5000,,0.15
pagerank,0.8846046137523258,0.9720619384922105,0.20630361094077643,0.9768958547789186,2,rnn,uniform,5000,,0.15
degree,0.9192845388394484,0.9485869732598904,0.529740401969702,-0.13647911624953069,1,delaunay,kappa=1,5000,,
closeness,0.2897370244832551,0.5392826451833337,-0.19510588227711373,0.18542696821425075,1,delaunay,kappa=1,5000,,
betweenness,0.4496557886875352,0.6453871164112677,0.455353462110603,-0.17151907343749112,1,delaunay,kappa=1,5000,,
harmonic,0.393423755005474,0.6587498907332913,0.25283930204967553,-0.4546032551536809,1,delaunay,kappa=1,5000,,
clustering,0.9488983306160949,0.9487478296203746,0.6056940536095479,0.17853790884818765,1,delaunay,kappa=1,5000,,
pagerank,0.9269428738206861,0.9500680917392866,0.7316714324302996,-0.23848906164480838,1,delaunay,kappa=1,5000,,
degree,0.9809921057656944,0.9885073599246806,0.5057381572208525,-0.11859796202577486,2,delaunay,kappa=1,5000,,
closeness,0.3590529451647603,0.6682955982575911,-0.2541675218683491,0.3910872877233811,2,delaunay,kappa=1,5000,,
betweenness,0.6792334024616744,0.8175928270060246,0.6807691497623879,-0.13498360519313388,2,delaunay,kappa=1,5000,,
harmonic,0.41652353813279874,0.7452804358694154,0.08266822575729715,-0.5318771242017803,2,delaunay,kappa=1,5000,,
clustering,0.9878140179558605,0.9878140179558605,0.5955761199924334,0.18716449361941587,2,delaunay,kappa=1,5000,,
pagerank,0.983501080458187,0.9888568691257473,0.768388178698076,-0.24738743626750193,2,delaunay,kappa=1,5000,,
degree,0.9392843786917069,0.9531086143776312,0.1804334137840118,0.4841945574488745,1,knn,kappa=1,5000,5.0,
closeness,0.2405139797959084,0.8213589415030109,-0.01572286924959252,-0.06670062095732217,1,knn,kappa=1,5000,5.0,
betweenness,0.8155026616389732,0.8555214075578551,0.8030518478221224,0.3083101976156231,1,knn,kappa=1,5000,5.0,
harmonic,0.3057482309455073,0.9192395550428326,0.21914792633363606,0.6317311045882366,1,knn,kappa=1,5000,5.0,
clustering,0.9230136287194204,0.9446664313658204,0.31627544969383237,0.44441492302870494,1,knn,kappa=1,5000,5.0,
pagerank,0.9353062023130657,0.9467821383549941,0.031206819504115402,0.6017886180641623,1,knn,kappa=1,5000,5.0,
degree,0.9740522200247825,0.981728718173755,0.19085205803974112,0.32040974828250357,2,knn,kappa=1,5000,5.0,
closeness,0.13623892716001534,0.40936132961810123,-0.3052467541122842,-0.1990275318354151,2,knn,kappa=1,5000,5.0,
betweenness,0.91194709472387,0.916262229793506,0.9104526685046311,0.024139633242906598,2,knn,kappa=1,5000,5.0,
harmonic,0.40754641034006267,0.7960403130903806,0.173883178405762,0.21729844422419636,2,knn,kappa=1,5000,5.0,
clustering,0.9678123887902355,0.9807930349853151,0.3677000891359509,0.33346381898275745,2,knn,kappa=1,5000,5.0,
pagerank,0.972336076391336,0.9790805826972088,0.11533635003851092,0.47855312805049127,2,knn,kappa=1,5000,5.0,
degree,0.8926911047628938,0.9241404650881626,0.11023291058604878,0.4264306196622011,1,knn,kappa=1,5000,10.0,
closeness,-0.24523047460226116,0.2735051382592435,-0.04708155993932729,0.2310520279828282,1,knn,kappa=1,5000,10.0,
betweenness,0.7419985626820791,0.8109013027342198,0.7689909297268871,0.3793670812902704,1,knn,kappa=1,5000,10.0,
harmonic,-0.034951514770754186,0.5782715208025377,0.3107107517650387,0.5804526646982945,1,knn,kappa=1,5000,10.0,
clustering,0.832320884120558,0.9228393400631365,0.17460520840211305,0.5443263912082312,1,knn,kappa=1,5000,10.0,
pagerank,0.8828345803782476,0.9114353352280731,-0.05586998947111823,0.6338152667035761,1,knn,kappa=1,5000,10.0,
degree,0.9690241295493054,0.9804058891785108,0.11277192321620226,0.3459366532056777,2,knn,kappa=1,5000,10.0,
closeness,0.4778793744513723,0.7485121853382025,-0.18096358307297292,0.040119640928570885,2,knn,kappa=1,5000,10.0,
betweenness,0.8540084095484388,0.8700552443726236,0.8436132099059911,0.024149335228749694,2,knn,kappa=1,5000,10.0,
harmonic,0.42444933855280437,0.829596046524032,0.08608668354825831,0.574318593529854,2,knn,kappa=1,5000,10.0,
clustering,0.9528442217512314,0.9771853295841466,0.1871975129174073,0.49642566441885916,2,knn,kappa=1,5000,10.0,
pagerank,0.9667030094629327,0.976553173298275,-0.014432772306265983,0.5831609133016113,2,knn,kappa=1,5000,10.0,
degree,0.823866382045755,0.8930819254747762,0.1272751972766288,0.39628116617945586,1,knn,kappa=1,5000,15.0,
closeness,-0.2830970709306643,0.10516172753325431,0.2589678095078324,0.8131616202343767,1,knn,kappa=1,5000,15.0,
betweenness,0.6487847687884418,0.7273819129820266,0.6787393863108208,0.5060651276831217,1,knn,kappa=1,5000,15.0,
harmonic,-0.0011630294472117185,0.3662762168001249,0.34389489693351594,0.6234982832432334,1,knn,kappa=1,5000,15.0,
clustering,0.7554083503704034,0.9175643714733375,0.23080514314693268,0.6464642195425904,1,knn,kappa=1,5000,15.0,
pagerank,0.8079931380725487,0.872557362916213,-0.05729149499750139,0.6698689960044732,1,knn,kappa=1,5000,15.0,
degree,0.9552088813342676,0.9742871427808552,0.08512322640955307,0.33686048624237624,2,knn,kappa=1,5000,15.0,
closeness,0.45087651967979475,0.7989591591308239,-0.11279345955868325,0.33633117361925413,2,knn,kappa=1,5000,15.0,
betweenness,0.7603274085363462,0.7924146582978684,0.7449616375500941,0.020665014981994932,2,knn,kappa=1,5000,15.0,
harmonic,0.34901700960471,0.8615881608392741,0.1771371659140649,0.7184043495343806,2,knn,kappa=1,5000,15.0,
clustering,0.927515792113274,0.9752507975059154,0.1896636416976325,0.5608396926716974,2,knn,kappa=1,5000,15.0,
pagerank,0.9512218451028258,0.9683312850390967,-0.09260437143596392,0.6239262340076019,2,knn,kappa=1,5000,15.0,
degree,0.9853693303691107,0.9784272978536158,0.41980475285190755,0.8959523771092651,1,rnn,kappa=1,5000,,0.05
closeness,,,,,1,rnn,kappa=1,5000,,0.05
betweenness,0.7374524191146518,0.7523169579069355,0.685328135104136,0.29696748465986256,1,rnn,kappa=1,5000,,0.05
harmonic,0.9289163389718715,0.9410088554081626,-0.4147437353796689,0.8750623026447607,1,rnn,kappa=1,5000,,0.05
clustering,0.9872623833866573,0.9872623833866573,0.7174898461665871,0.5875861404834447,1,rnn,kappa=1,5000,,0.05
