,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8906793729372462,0.9265044235703063,0.619437467993339,-0.18244167218475305,1,delaunay,uniform,5000,,
closeness,0.22651249466222612,0.5119780289491085,0.22661421801382736,-0.7488960134723393,1,delaunay,uniform,5000,,
betweenness,0.42980498019413044,0.5758116547487877,0.4307468601434532,-0.15736459378230844,1,delaunay,uniform,5000,,
harmonic,0.35944418140018014,0.6343790157708309,0.3368519921685319,-0.6764969453153274,1,delaunay,uniform,5000,,
clustering,0.9315845359950268,0.9315845359950268,0.650946924435577,0.19643483693736433,1,delaunay,uniform,5000,,
pagerank,0.901251419399119,0.9301847009442481,0.7381060341270536,-0.23019155102524522,1,delaunay,uniform,5000,,
degree,0.9571570948656873,0.9761573192186817,0.6498782257672517,-0.17250092320827953,2,delaunay,uniform,5000,,
closeness,0.33252544580201676,0.6806353974777278,0.2548706964254269,-0.8852192710064065,2,delaunay,uniform,5000,,
betweenness,0.6261582358011037,0.767766471984731,0.622835326478691,-0.04452311650173081,2,delaunay,uniform,5000,,
harmonic,0.34854340286030017,0.758823481055164,0.2769693439779485,-0.8180845766123892,2,delaunay,uniform,5000,,
clustering,0.9760684231289884,0.9760684231289884,0.7069464225234309,0.21248569686507207,2,delaunay,uniform,5000,,
pagerank,0.9620476849812875,0.9772365073408804,0.7823314076733237,-0.21340527089757572,2,delaunay,uniform,5000,,
degree,0.9398894884163617,0.9566554549120132,0.22817538578610347,0.5649819161586245,1,knn,uniform,5000,5.0,
closeness,0.020237234437616654,0.551535647297142,0.237183699008867,0.9440482696577872,1,knn,uniform,5000,5.0,
betweenness,0.6757244650881729,0.7707392771560412,0.6891781752481054,0.32930343397642897,1,knn,uniform,5000,5.0,
harmonic,0.18675947637925555,0.7599850152603084,0.281317869323765,0.7810059087849126,1,knn,uniform,5000,5.0,
clustering,0.8695694579693363,0.9171650952701993,0.3489403361664729,0.5505364216563909,1,knn,uniform,5000,5.0,
pagerank,0.9325937262988573,0.9496287531000681,0.03640970319468615,0.6535142591159164,1,knn,uniform,5000,5.0,
degree,0.9762767969345085,0.9805525645168972,0.22003673684328398,0.5486266008957236,2,knn,uniform,5000,5.0,
closeness,0.216760493571434,0.8356869203347015,-0.04239878591053137,-0.035047086488266904,2,knn,uniform,5000,5.0,
betweenness,0.8701136586531191,0.8743562575122428,0.7758561630349483,0.09109355096517477,2,knn,uniform,5000,5.0,
harmonic,0.3095459366414266,0.933889071655553,0.3674819497347837,0.5154000525144448,2,knn,uniform,5000,5.0,
clustering,0.9740064449184795,0.9777030387154577,0.36027598138139727,0.565922720884343,2,knn,uniform,5000,5.0,
pagerank,0.975280358924365,0.9786780230854535,0.038584091005790494,0.6466763922311074,2,knn,uniform,5000,5.0,
degree,0.8641111513038318,0.9188313473889422,0.09355913229452491,0.6135617524077683,1,knn,uniform,5000,10.0,
closeness,0.05452263187519925,0.6951983069588231,0.7167174809791755,0.9648203242977895,1,knn,uniform,5000,10.0,
betweenness,0.7250572639948255,0.798179905910487,0.7320615818202765,0.3987392419071979,1,knn,uniform,5000,10.0,
harmonic,0.16996232487430132,0.8144075028626813,0.666465486012084,0.875025919445612,1,knn,uniform,5000,10.0,
clustering,0.8236524040325905,0.9131161814642423,0.2746247447598776,0.7420441574351248,1,knn,uniform,5000,10.0,
pagerank,0.8535498594839748,0.9046380983998645,-0.13742952649514484,0.7240061025185716,1,knn,uniform,5000,10.0,
degree,0.9669655656838971,0.9775089776275814,0.12077366380908508,0.6534968782933079,2,knn,uniform,5000,10.0,
closeness,0.2508076148622899,0.6993949297773653,0.4639817659251745,0.9674764578555792,2,knn,uniform,5000,10.0,
betweenness,0.7809635078269581,0.7829388915543412,0.7103102200942973,0.1618092303399314,2,knn,uniform,5000,10.0,
harmonic,0.31688775974872524,0.8690199687123348,0.5934487351916691,0.8384108711406684,2,knn,uniform,5000,10.0,
clustering,0.930964973799598,0.9703324349195648,0.24346054210323884,0.747727804620508,2,knn,uniform,5000,10.0,
pagerank,0.9626194161203188,0.9713341813172003,-0.1901947526400189,0.7260489404856814,2,knn,uniform,5000,10.0,
degree,0.830138426597893,0.8896325898988248,-0.01939747168827512,0.647962213260229,1,knn,uniform,5000,15.0,
closeness,0.18722754573306838,0.6280602823560055,0.4943507722136439,0.9813417713310943,1,knn,uniform,5000,15.0,
betweenness,0.6655704395817563,0.7716141847861195,0.7265557193722774,0.615947011790068,1,knn,uniform,5000,15.0,
harmonic,0.19849652951912689,0.777909785249692,0.6142740556700174,0.9253187785834518,1,knn,uniform,5000,15.0,
clustering,0.6781711586814405,0.8860405238422034,0.13816112678816536,0.813032333577923,1,knn,uniform,5000,15.0,
pagerank,0.8130122423036298,0.8681329723385901,-0.2890481186046812,0.7694272441260775,1,knn,uniform,5000,15.0,
degree,0.931326541194681,0.9625460390343554,0.06513789937856725,0.6829694970204471,2,knn,uniform,5000,15.0,
closeness,0.04687169712885886,0.7451349087875229,0.577678107534744,0.971597585002721,2,knn,uniform,5000,15.0,
betweenness,0.7793915209921056,0.785172822875524,0.7133798087979664,0.22720755778982893,2,knn,uniform,5000,15.0,
harmonic,0.1393453766952074,0.9132308385080397,0.6651531185392747,0.8999941223761752,2,knn,uniform,5000,15.0,
clustering,0.8780537438617118,0.9591140412757768,0.14542557615668514,0.8313868455019239,2,knn,uniform,5000,15.0,
pagerank,0.9238289462902685,0.9542180819897353,-0.2853548444542361,0.7639149459341772,2,knn,uniform,5000,15.0,
degree,0.9838176927875345,0.9818252398165481,0.5069417202090163,0.8387657072107029,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.9578781138643879,0.9416566034982456,0.3530176641660406,0.38892825235020123,1,rnn,uniform,5000,,0.05
harmonic,0.9743697852097957,0.9532038523286952,-0.21243938881530425,0.7567950478672867,1,rnn,uniform,5000,,0.05
clustering,0.970771302392868,0.970771302392868,0.613279710529534,0.5657779279303238,1,rnn,uniform,5000,,0.05
pagerank,0.966396936222016,0.9743602221094684,0.5885417194887878,0.6537403953097609,1,rnn,uniform,5000,,0.05
degree,0.9950378155302213,0.9965960260293845,0.4283586076507663,0.9098648005496415,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9317442270440381,0.9322902514712104,0.1459277240505699,0.4670318481832574,2,rnn,uniform,5000,,0.05
harmonic,0.9797603689211078,0.9849934081794903,-0.00010066126328527221,0.8485612009170331,2,rnn,uniform,5000,,0.05
clustering,0.9919913976058312,0.9919913976058312,0.5010896079110199,0.714316985554097,2,rnn,uniform,5000,,0.05
pagerank,0.9927114121261705,0.992698916583431,0.4865093051005153,0.8171704704443091,2,rnn,uniform,5000,,0.05
degree,0.8558799911378387,0.9453557419499266,0.23250173661778423,0.9668663785677858,1,rnn,uniform,5000,,0.1
closeness,0.3704772822156092,0.7263788407175819,-0.029468720824496933,0.9961750701552737,1,rnn,uniform,5000,,0.1
betweenness,0.6732910857938633,0.7888131207523812,0.4420484286441677,0.7618806543850377,1,rnn,uniform,5000,,0.1
harmonic,0.5923932989466107,0.8380602236505279,0.08236002111857069,0.9921806488571008,1,rnn,uniform,5000,,0.1
clustering,0.8794786848502634,0.9221579551333514,0.3902005235331883,0.9216543653922489,1,rnn,uniform,5000,,0.1
pagerank,0.8664252163434469,0.9366167133048897,0.30719559692914267,0.9419192183275108,1,rnn,uniform,5000,,0.1
degree,0.9769194303018793,0.9944245720430166,0.27157967074880335,0.9690322684548067,2,rnn,uniform,5000,,0.1
closeness,-0.12744758540479856,0.827363348035648,0.5268953743877045,0.996693329512355,2,rnn,uniform,5000,,0.1
betweenness,0.859714151136131,0.8786949175843922,0.6834022288862645,0.6598297240549229,2,rnn,uniform,5000,,0.1
harmonic,0.23338815505207244,0.9635156985263298,0.3661098182959789,0.9886282130652259,2,rnn,uniform,5000,,0.1
clustering,0.9475381449580644,0.9732219653560386,0.3483492963679665,0.8975225623342534,2,rnn,uniform,5000,,0.1
pagerank,0.9687998219327378,0.9863734551454949,0.3233542336707336,0.9451341286592425,2,rnn,uniform,5000,,0.1
