,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8883528276193036,0.9173598735183475,0.5841346054478715,-0.15507330438645975,1,delaunay,uniform,5000,,
closeness,0.3535678239443098,0.47120260322902985,0.415231651243999,-0.7797228652589088,1,delaunay,uniform,5000,,
betweenness,0.40126299230938345,0.6045498287626344,0.40174946370280534,-0.13983318078802914,1,delaunay,uniform,5000,,
harmonic,0.40985628814898517,0.6224681147523625,0.4399784168469695,-0.6849904055592515,1,delaunay,uniform,5000,,
clustering,0.9346550801058136,0.9346550801058136,0.6362414216203448,0.2111498133123835,1,delaunay,uniform,5000,,
pagerank,0.8980766634154602,0.9207782933189403,0.7208493143117031,-0.19528239921742713,1,delaunay,uniform,5000,,
degree,0.9600121638640206,0.9787031955518026,0.6282714789797653,-0.15654926878602826,2,delaunay,uniform,5000,,
closeness,0.33462864633817063,0.725074643678484,0.32130817624576846,-0.8799390078931206,2,delaunay,uniform,5000,,
betweenness,0.613717111691971,0.7719780487984069,0.6099748140563965,-0.06665471472036824,2,delaunay,uniform,5000,,
harmonic,0.35999677833690236,0.7643689709095259,0.3430119697076267,-0.795338768980099,2,delaunay,uniform,5000,,
clustering,0.9764532126694965,0.9764532126694965,0.6806112109467093,0.22085994379035512,2,delaunay,uniform,5000,,
pagerank,0.9642383740307433,0.9789675761432096,0.7790582996826364,-0.20637455183995773,2,delaunay,uniform,5000,,
degree,0.9339185718443013,0.9451426872489501,0.17730447120351178,0.5569708349241502,1,knn,uniform,5000,5.0,
closeness,0.05168988938228454,0.7508389352082006,0.33784263322192243,0.8220844921158855,1,knn,uniform,5000,5.0,
betweenness,0.7365935893245199,0.7982423198614927,0.7106731896070908,0.3316094369316388,1,knn,uniform,5000,5.0,
harmonic,0.2871588366352037,0.871918248664528,0.4662835214971696,0.5957018107335318,1,knn,uniform,5000,5.0,
clustering,0.9225049811935935,0.9431361326711843,0.338458305217469,0.5179658376882458,1,knn,uniform,5000,5.0,
pagerank,0.9270122087860209,0.9372170299462868,0.0008366360267105591,0.6699902355113099,1,knn,uniform,5000,5.0,
degree,0.9772756214384608,0.9840982636225519,0.23300272777120107,0.5283912120934549,2,knn,uniform,5000,5.0,
closeness,0.3463484343349984,0.8016850709661529,0.0070240574103270625,0.060123672143182635,2,knn,uniform,5000,5.0,
betweenness,0.8651100176555198,0.8696495009225114,0.7827507864117889,0.07365114250217228,2,knn,uniform,5000,5.0,
harmonic,0.49370430015076205,0.9252402635393036,0.46605045480630125,0.6488450107684984,2,knn,uniform,5000,5.0,
clustering,0.9611679453085843,0.9696821409236003,0.3247504744375236,0.5052858865904897,2,knn,uniform,5000,5.0,
pagerank,0.9747030015351632,0.981421812297408,0.0338802837244191,0.6458888714375767,2,knn,uniform,5000,5.0,
degree,0.8626893360901089,0.9076087071409342,0.10628624901429436,0.5856963198723215,1,knn,uniform,5000,10.0,
closeness,-0.24628440938518098,0.5358528989808048,0.7875194296775911,0.9645166620558417,1,knn,uniform,5000,10.0,
betweenness,0.6439657626839594,0.7450525076513802,0.6830712841235083,0.44730683460384835,1,knn,uniform,5000,10.0,
harmonic,-0.034107515444281186,0.6941691741343686,0.6637611080900199,0.886520143386611,1,knn,uniform,5000,10.0,
clustering,0.815037804114267,0.9043367417557029,0.3107384410585999,0.7235030458002788,1,knn,uniform,5000,10.0,
pagerank,0.8543705997908315,0.8944071689570412,-0.16551216433615557,0.7226629224117904,1,knn,uniform,5000,10.0,
degree,0.9552109870275423,0.9683556069831787,0.08624475064126363,0.5947950803220503,2,knn,uniform,5000,10.0,
closeness,-0.14968549563170028,0.6783327470237955,0.5854777580568872,0.9750769956350543,2,knn,uniform,5000,10.0,
betweenness,0.8058201496668589,0.8117209378679492,0.7417571100147906,0.15600037303033393,2,knn,uniform,5000,10.0,
harmonic,0.20019911621647374,0.9176367909487911,0.6167027978199062,0.8868217789752648,2,knn,uniform,5000,10.0,
clustering,0.9232821003459998,0.9638874576457683,0.299930264596031,0.7514258918325212,2,knn,uniform,5000,10.0,
pagerank,0.9515810457901671,0.963551171839886,-0.1699122963914102,0.7004511945076392,2,knn,uniform,5000,10.0,
degree,0.8172926354872668,0.889547185196819,0.13606248866149756,0.6738937751073171,1,knn,uniform,5000,15.0,
closeness,0.27863222913576585,0.4414080702596809,0.5483571000305076,0.9742429372438952,1,knn,uniform,5000,15.0,
betweenness,0.6447309641474284,0.7233962651753119,0.6589347595268792,0.5988465248088497,1,knn,uniform,5000,15.0,
harmonic,0.2653969668522757,0.519369948873107,0.5834776010120576,0.9096652163913546,1,knn,uniform,5000,15.0,
clustering,0.7163104356157142,0.9001185890995564,0.17271241110708543,0.8416158081950375,1,knn,uniform,5000,15.0,
pagerank,0.803554261047771,0.8722513307121282,-0.16566393420033598,0.7702183099528483,1,knn,uniform,5000,15.0,
degree,0.9227317246248685,0.9562128841156239,0.03448142859442323,0.6533502200485589,2,knn,uniform,5000,15.0,
