,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
degree,0.8939868289756386,0.9181536616738177,0.6034539869119726,-0.16860567773769836,exp,1.0278389282054778,1,delaunay,uniform,5000,,
pagerank,0.9032971056517616,0.9220257454953154,0.7346845615828484,-0.22946617363361774,exp,1.0209519471060398,1,delaunay,uniform,5000,,
betweenness,0.44385243013681674,0.5876498519523616,0.4427928713690845,-0.21091920466474845,exp,1.3097120166910678,1,delaunay,uniform,5000,,
closeness,-0.07967990695408152,0.39371219548997666,0.046181294931949,-0.29584558305907693,exp,1.7594628642740902,1,delaunay,uniform,5000,,
harmonic,0.21448429170090583,0.5577374835902703,0.27311144975208906,-0.6405242957929913,exp,1.5850743292523484,1,delaunay,uniform,5000,,
clustering,0.9272281150059087,0.9272281150059087,0.6520256063027534,0.22570576467469827,original,1.0,1,delaunay,uniform,5000,,
degree,0.9616887821243434,0.974673273862758,0.6664913969486499,-0.17635369569471285,pieli,1.0107465221809975,2,delaunay,uniform,5000,,
pagerank,0.9663533020126778,0.976362768424752,0.7968921857158279,-0.22253614433910385,pieli,1.007904694447598,2,delaunay,uniform,5000,,
betweenness,0.6202154645529143,0.7082698982775715,0.6170410699352181,-0.042382554503079865,pieli,1.1419987345954365,2,delaunay,uniform,5000,,
closeness,0.3067105990039548,0.5831585028364559,0.3145695924720887,-0.37325158335591013,exp,2.8694427210360507,2,delaunay,uniform,5000,,
harmonic,0.38583390805307594,0.697368660124484,0.3389604980600238,-0.7963027366982952,exp,2.286423512077268,2,delaunay,uniform,5000,,
clustering,0.9798686915831287,0.9798686915831287,0.6960718353309774,0.22680561940392707,original,1.0,2,delaunay,uniform,5000,,
degree,0.9453702780039109,0.9602278330983712,0.25094578017753216,0.5864340413544893,pieli,1.0285921204799424,1,knn,uniform,5000,5.0,
pagerank,0.93929819843968,0.9553466911717436,0.006474144884687216,0.6805417987766418,pieli,1.025564209728366,1,knn,uniform,5000,5.0,
betweenness,0.6320081879671945,0.7211710695076908,0.6220477049734486,0.34880059441724154,pieli,1.1098802923993125,1,knn,uniform,5000,5.0,
closeness,-0.028518207945468214,0.6808454878306676,0.6285609962423493,0.5186654570157492,exp,4.1080285927141,1,knn,uniform,5000,5.0,
harmonic,0.2518134022032639,0.7548042295548345,0.6447448986772757,0.6945926614953266,pieli,2.6382527825140394,1,knn,uniform,5000,5.0,
clustering,0.8893766545811554,0.9262525055460376,0.23989931432187728,0.5315479576101196,exp,1.0387130763877686,1,knn,uniform,5000,5.0,
degree,0.9764757562146306,0.9809131921213026,0.27534863167409873,0.5620749934011061,exp,1.0043905754521514,2,knn,uniform,5000,5.0,
pagerank,0.9748199217913324,0.978805156426759,0.053895928190908354,0.6618562582473233,exp,1.003587353554971,2,knn,uniform,5000,5.0,
betweenness,0.8864619347665648,0.8923556018028403,0.8017447528119923,0.13680369182622149,exp,1.0040927386410397,2,knn,uniform,5000,5.0,
closeness,0.09131209180926445,0.8837537327399925,0.004337702079137288,0.22008831488478378,pieli,3.72300207133496,2,knn,uniform,5000,5.0,
harmonic,0.3961985538821218,0.9579044594023199,0.6242690461063926,0.652894554385824,exp,2.021117795343592,2,knn,uniform,5000,5.0,
clustering,0.9708083540556047,0.9783421128212875,0.321330564953882,0.5564791390436186,exp,1.0048945358172585,2,knn,uniform,5000,5.0,
degree,0.8565896246110118,0.8978940964363823,0.13816447211187788,0.6471688370593532,pieli,1.0480449006578032,1,knn,uniform,5000,10.0,
pagerank,0.8497114359556832,0.88679314151483,-0.17882622588971558,0.7601336898056373,pieli,1.0447537610024584,1,knn,uniform,5000,10.0,
betweenness,0.7124028980528885,0.7899250759193172,0.7128197644373644,0.5423292062781923,pieli,1.120445389084038,1,knn,uniform,5000,10.0,
closeness,0.00432403165885307,0.5602269456059129,0.6688359296475505,0.9803173689780473,pieli,5.326101366682794,1,knn,uniform,5000,10.0,
harmonic,0.1310241634426039,0.7219641425452439,0.5873435819342976,0.9129202568852988,exp,3.660562258711639,1,knn,uniform,5000,10.0,
clustering,0.8408685057357674,0.9011225254244893,0.25987823290972456,0.7708307107772459,pieli,1.113620745263194,1,knn,uniform,5000,10.0,
degree,0.9521061989078978,0.9709873307434789,0.1284710598195287,0.655718504196596,pieli,1.0279036989312602,2,knn,uniform,5000,10.0,
pagerank,0.9477170288622361,0.9654732651074052,-0.19428397098068326,0.7337064569281639,pieli,1.025385464047623,2,knn,uniform,5000,10.0,
betweenness,0.7922010637236574,0.7980799293104927,0.7191270160431419,0.22111510856364058,pieli,1.0039504080131187,2,knn,uniform,5000,10.0,
closeness,-0.09294459704897709,0.7396715586654384,0.6754571605737,0.938245811715061,pieli,5.334604217072785,2,knn,uniform,5000,10.0,
harmonic,0.19420002993902905,0.9132280402759292,0.7119174069940295,0.868400151646413,exp,3.2911794654774056,2,knn,uniform,5000,10.0,
clustering,0.9295781905144866,0.958076599078058,0.23504825759112152,0.7640284014607354,exp,1.030247810829744,2,knn,uniform,5000,10.0,
degree,0.7845383243500543,0.8822172973259353,0.09158351654680028,0.6764904064531423,pieli,1.118728758976591,1,knn,uniform,5000,15.0,
pagerank,0.7752939092314491,0.8624897090041944,-0.2542976605199249,0.7814107714612247,pieli,1.1057266624458801,1,knn,uniform,5000,15.0,
betweenness,0.6336172261718889,0.7122670059878237,0.6489477810295449,0.6316607095348088,pieli,1.180327050520805,1,knn,uniform,5000,15.0,
closeness,0.20261772756495366,0.4292538433800901,0.6539985506353139,0.9744747962937943,pieli,6.624149341369754,1,knn,uniform,5000,15.0,
harmonic,0.249999142738436,0.6092552896210242,0.6284771034556296,0.8963159966111676,pieli,4.730339366668463,1,knn,uniform,5000,15.0,
clustering,0.7231334764950876,0.9207169476957958,0.15219087226316713,0.8662525168194892,exp,1.277549844339503,1,knn,uniform,5000,15.0,
degree,0.93349039044449,0.9664545717603489,0.10076651069941468,0.6673068799381827,pieli,1.0353610228260492,2,knn,uniform,5000,15.0,
pagerank,0.9286170350688945,0.9589967700304867,-0.28302264139046346,0.7773378602375142,pieli,1.0333918586488107,2,knn,uniform,5000,15.0,
betweenness,0.7613715604569493,0.7616000059747603,0.6673763128606384,0.2674115086301804,pieli,1.0059383458382016,2,knn,uniform,5000,15.0,
closeness,0.09951943066359614,0.6776526657628711,0.5600877240535457,0.9712601295681736,pieli,6.814516071696403,2,knn,uniform,5000,15.0,
harmonic,0.23680746826140076,0.8948198838743355,0.6533575234249125,0.8717035440397127,exp,4.348771403713406,2,knn,uniform,5000,15.0,
clustering,0.8835547829749005,0.9769484778339947,0.22274281503593918,0.8488551768781218,pieli,1.1035226883705052,2,knn,uniform,5000,15.0,
degree,0.9864021165109392,0.9868994857471549,0.8531740245786079,0.3521601104214106,exp,1.0031173607914083,1,rnn,uniform,5000,,1.0
pagerank,0.9833496855957133,0.9814781140614504,0.7986409232172611,0.2722756265796139,original,1.0,1,rnn,uniform,5000,,1.0
betweenness,0.9933330485217842,0.9933330485217842,0.7091737159213587,0.16681933694540962,original,1.0,1,rnn,uniform,5000,,1.0
closeness,0.9833077140796185,0.9833077140796185,0.031151246432677065,0.031224459735819533,original,1.0,1,rnn,uniform,5000,,1.0
harmonic,0.9848718422252452,0.9854384824139671,0.47537563739045985,0.5293260003767362,exp,1.0041400095983102,1,rnn,uniform,5000,,1.0
clustering,0.9906462390742758,0.98515865908154,0.9906462390742758,,pieli,1.0023126593149418,1,rnn,uniform,5000,,1.0
degree,0.9988278437574477,0.9988278437574477,0.7567307872730162,0.5069232636359529,original,1.0,2,rnn,uniform,5000,,1.0
pagerank,0.997888079636683,0.9962834313084525,0.7336651836091358,0.3570987632031346,original,1.0,2,rnn,uniform,5000,,1.0
betweenness,0.9989650478757863,0.997621672784121,0.7839527223322348,0.34168781254067626,pieli,1.0004027052270514,2,rnn,uniform,5000,,1.0
closeness,0.9970623088497423,0.9970623088497423,0.016587458771775095,0.017420836410076166,original,1.0,2,rnn,uniform,5000,,1.0
harmonic,0.9988326546219901,0.9988326546219901,0.4344090969990947,0.6740397549492492,original,1.0,2,rnn,uniform,5000,,1.0
clustering,0.9975949787437708,0.9975949787437708,0.997179976834115,0.07024894845265939,original,1.0,2,rnn,uniform,5000,,1.0
degree,0.9692288023331301,0.9841961881798384,0.5523919694298416,0.7747292356923532,exp,1.011402505806203,1,rnn,uniform,5000,,2.0
pagerank,0.9666683805506778,0.9700720283908091,0.6563935460332073,0.5671153500141743,exp,1.0035655070401406,1,rnn,uniform,5000,,2.0
betweenness,0.6300629281974259,0.6439243925183398,0.5153369210879487,0.15130901238031408,pieli,1.0115773547420006,1,rnn,uniform,5000,,2.0
closeness,0.867884608938996,0.8831984345657116,0.7326398109513215,0.43649183947209813,pieli,1.0270698495052932,1,rnn,uniform,5000,,2.0
harmonic,0.9308015171242552,0.9531842646293827,0.2554740285029523,0.644914182184962,pieli,1.0257444394018276,1,rnn,uniform,5000,,2.0
clustering,0.9666530435857807,0.9666530435857807,0.7470232348792398,0.4753427467636406,original,1.0,1,rnn,uniform,5000,,2.0
degree,0.9918329652429051,0.9894514891993589,0.40486045996312103,0.8851680996507081,pieli,1.007377781853601,2,rnn,uniform,5000,,2.0
pagerank,0.9876650576920604,0.9875099696644601,0.5129818455670807,0.7609809184141709,pieli,1.0023916740310712,2,rnn,uniform,5000,,2.0
betweenness,0.7157371577684805,0.7200119949182691,0.3842657687321819,0.49001125161415604,pieli,1.0057601309732382,2,rnn,uniform,5000,,2.0
closeness,0.9472909601624475,0.9524680016417016,0.6911540140718144,0.573500120587648,pieli,1.0315658994453538,2,rnn,uniform,5000,,2.0
harmonic,0.9348287410551006,0.9427925353866058,-0.14791531809007313,0.7862341205141627,pieli,1.0445532017000898,2,rnn,uniform,5000,,2.0
clustering,0.9821047722685661,0.9821047722685661,0.5153269391022031,0.6642067485634738,original,1.0,2,rnn,uniform,5000,,2.0
degree,0.930210353712943,0.9800950515930276,0.3720700894050709,0.928167955498503,exp,1.031083422032813,1,rnn,uniform,5000,,3.0
pagerank,0.9330724958233801,0.9638712570747912,0.47951146615523565,0.8588662917249315,pieli,1.0239021284873018,1,rnn,uniform,5000,,3.0
betweenness,0.7315256647097093,0.809628505908973,0.6949795859071418,0.5385126994206701,exp,1.1096654091581004,1,rnn,uniform,5000,,3.0
closeness,0.1544004767045853,0.7904441898592907,0.39624868036358807,0.9753557938900317,pieli,4.119154135185492,1,rnn,uniform,5000,,3.0
harmonic,0.38098457747893666,0.8961347541829712,0.4401551281558355,0.968225045913539,exp,2.10606238569884,1,rnn,uniform,5000,,3.0
clustering,0.895694892902646,0.9056991115585761,0.5749232492449952,0.7411109384976069,pieli,1.016320418673511,1,rnn,uniform,5000,,3.0
degree,0.9815390980226028,0.9922325314948801,0.24509932491958705,0.9553429464371466,exp,1.0257398366436343,2,rnn,uniform,5000,,3.0
pagerank,0.9732092580622327,0.9850728792025943,0.3346201348599877,0.9193132933832739,pieli,1.0152774200756722,2,rnn,uniform,5000,,3.0
betweenness,0.8805674080659156,0.8987812574223457,0.6969409813802934,0.6095605686999789,exp,1.0196908439788317,2,rnn,uniform,5000,,3.0
closeness,0.388533225470037,0.69871304459612,0.36457666015225515,0.9853549952340681,pieli,4.787517527324536,2,rnn,uniform,5000,,3.0
harmonic,0.6173629467055811,0.9074005996247494,0.2862571319695803,0.9726987211265421,exp,2.046786880117526,2,rnn,uniform,5000,,3.0
clustering,0.9705184265810267,0.9759361201758954,0.39975404478287946,0.8393933357589916,exp,1.003141680928348,2,rnn,uniform,5000,,3.0
degree,0.9288915993786293,0.9538135758024147,0.5492826324252971,-0.12017353473947531,pieli,1.0231546154485656,1,delaunay,kappa=1,5000,,
pagerank,0.9357802110816267,0.9551033399725213,0.7605642150443067,-0.19991000433009176,pieli,1.0172973957453157,1,delaunay,kappa=1,5000,,
betweenness,0.4931702224988752,0.632107935102056,0.4923507937036481,-0.12795014073843874,pieli,1.2683292227932295,1,delaunay,kappa=1,5000,,
closeness,0.15585623283891845,0.552510938201531,-0.06425881980628949,-0.47515080182094227,exp,2.1493051749748253,1,delaunay,kappa=1,5000,,
harmonic,0.32881772568957907,0.6952995147079779,0.13548491853467515,-0.6503358253180618,exp,1.925103018868543,1,delaunay,kappa=1,5000,,
clustering,0.9560855271268793,0.9560855271268793,0.6253528705563968,0.21015101237532413,original,1.0,1,delaunay,kappa=1,5000,,
degree,0.9787702329869634,0.9831263877871963,0.4977749997576169,-0.1091412509427389,pieli,1.0085925303944099,2,delaunay,kappa=1,5000,,
pagerank,0.9812291929646109,0.9840788805124349,0.7835221892991364,-0.242454779626124,exp,1.0057472488777817,2,delaunay,kappa=1,5000,,
betweenness,0.6979694069249558,0.7896275361953944,0.698307159189516,-0.11477461387376432,exp,1.1302686394287322,2,delaunay,kappa=1,5000,,
closeness,0.2201447543944835,0.6699628042981398,-0.08377887048283887,-0.10845790508582531,exp,2.160285134268699,2,delaunay,kappa=1,5000,,
harmonic,0.3662457019205785,0.8001814597571733,0.16078443065199355,-0.6230498984590463,exp,1.8845583698001158,2,delaunay,kappa=1,5000,,
clustering,0.9844206106362368,0.9844206106362368,0.5929922962249228,0.20348983903028225,original,1.0,2,delaunay,kappa=1,5000,,
degree,0.9540818106364475,0.9633017376335025,0.20795760596905943,0.4116900116273954,exp,1.011717190821064,1,knn,kappa=1,5000,5.0,
pagerank,0.9495996291368378,0.9575804459253419,0.06728632490723713,0.5793260674483867,pieli,1.0118734532751044,1,knn,kappa=1,5000,5.0,
betweenness,0.7775544042404601,0.8183392653687793,0.781754031840318,0.18024453009756675,pieli,1.0717151695752367,1,knn,kappa=1,5000,5.0,
closeness,0.34785036267736114,0.7894113487348586,0.09287057160284695,-0.046247036977943565,pieli,2.615662775056366,1,knn,kappa=1,5000,5.0,
harmonic,0.6039808827898703,0.8567021180178425,-0.09037312773152895,0.3535636094250004,exp,2.325889029961048,1,knn,kappa=1,5000,5.0,
clustering,0.9323857824392933,0.9457911206708449,0.33478864445360923,0.3716987138862222,exp,1.0208683683223196,1,knn,kappa=1,5000,5.0,
degree,0.9844010114697251,0.9870657395829938,0.20555877552724905,0.3417051976440899,exp,1.0055493254683605,2,knn,kappa=1,5000,5.0,
pagerank,0.9823495981182129,0.9849242475352564,0.11409234923319062,0.5293342566432466,exp,1.0045736916846566,2,knn,kappa=1,5000,5.0,
betweenness,0.8819247711012073,0.8864344938725488,0.87383797218009,0.033345550232300625,pieli,1.006065730169717,2,knn,kappa=1,5000,5.0,
closeness,0.442774655170661,0.8005161824532608,0.007501236826612259,-0.11425730208063722,pieli,2.2043106313748244,2,knn,kappa=1,5000,5.0,
harmonic,0.562880194267303,0.9340110502427283,0.004049460376016412,0.6663333792737179,exp,1.7508089526332928,2,knn,kappa=1,5000,5.0,
clustering,0.9767219548761261,0.9814654619222366,0.33775183953160187,0.38685990835950235,exp,1.0015770749410389,2,knn,kappa=1,5000,5.0,
degree,0.8761151017002242,0.9121265482715195,0.10625917062074078,0.40014432341839345,pieli,1.0621676155500268,1,knn,kappa=1,5000,10.0,
pagerank,0.861344893024844,0.897689802156119,-0.02862052131514104,0.637604498801203,pieli,1.0570702978976563,1,knn,kappa=1,5000,10.0,
betweenness,0.6949604351957925,0.7414787351452318,0.7143682235877945,0.46053827138002146,pieli,1.1634876235911225,1,knn,kappa=1,5000,10.0,
closeness,0.2887029171662957,-0.013513912091093476,0.17695884514952565,0.15870905476271957,pieli,3.6503913973538498,1,knn,kappa=1,5000,10.0,
harmonic,0.34031878993827214,0.4865329917816233,0.3121305655754182,0.3585366233203838,exp,2.93434449026902,1,knn,kappa=1,5000,10.0,
clustering,0.7172270711400757,0.859701636175741,0.19262497408629176,0.516440067337759,exp,1.155332134895163,1,knn,kappa=1,5000,10.0,
degree,0.9584901303693452,0.9691335833782572,0.12082082919630631,0.26109731600740377,pieli,1.0148315008585231,2,knn,kappa=1,5000,10.0,
pagerank,0.95386291085041,0.9634679271908032,0.043313924031492215,0.5195741348577018,pieli,1.0135633626341405,2,knn,kappa=1,5000,10.0,
betweenness,0.7738554226902736,0.7766383089933803,0.770251889822795,0.06601757817861668,pieli,1.0045651235050705,2,knn,kappa=1,5000,10.0,
closeness,-0.08352812842796911,-0.07118527058478313,-0.12400664446246053,0.010647141582166939,pieli,2.2076620704359065,2,knn,kappa=1,5000,10.0,
harmonic,0.096421655535864,0.4460877080919411,0.237593060763996,0.2781795485481552,exp,2.3967424324349484,2,knn,kappa=1,5000,10.0,
clustering,0.9287858216225414,0.9612025148650842,0.17295194505070494,0.4588264190183273,pieli,1.034083751935894,2,knn,kappa=1,5000,10.0,
degree,0.6980964757392818,0.8046798702487994,0.08694193790454269,0.6173299127730858,exp,1.0920186764628046,1,knn,kappa=1,5000,15.0,
pagerank,0.6793141786432983,0.775695792850136,-0.14492232739651392,0.7580208831225133,exp,1.0864964809938555,1,knn,kappa=1,5000,15.0,
betweenness,0.42549043317096336,0.5471151800893185,0.4369044909037151,0.7066747950757961,pieli,1.1982098933272527,1,knn,kappa=1,5000,15.0,
closeness,0.1382845879082538,0.21371444465112,0.5235032408207339,0.940583241068503,pieli,3.5009432465703982,1,knn,kappa=1,5000,15.0,
harmonic,-0.030808463593666072,0.5408431676886942,0.3194373866584483,0.8374887944088655,exp,2.858490494255544,1,knn,kappa=1,5000,15.0,
clustering,0.6933934319620909,0.8514473997955918,0.08736052681327272,0.8767321094699587,pieli,1.2909505087098905,1,knn,kappa=1,5000,15.0,
degree,0.902205513544316,0.9386188018415771,0.06940477988494295,0.31396102319873503,pieli,1.0359740642856132,2,knn,kappa=1,5000,15.0,
pagerank,0.8940479686405713,0.9303123675296293,-0.06525554355652904,0.6258366130475719,pieli,1.0375027227717044,2,knn,kappa=1,5000,15.0,
betweenness,0.6989640369250291,0.7207727287051182,0.6740229695726511,0.18894112118081072,pieli,1.036377700020124,2,knn,kappa=1,5000,15.0,
