,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
degree,0.8856747683529673,0.9365048445245114,0.6272385360600801,-0.19590603909798623,pieli,1.0427691322559813,1,delaunay,uniform,5000,,
pagerank,0.8954883851705184,0.9376609086346164,0.7348599601702803,-0.23005892191285385,pieli,1.0344857664176277,1,delaunay,uniform,5000,,
betweenness,0.3813112505363243,0.5382703155792259,0.38193883008436946,-0.16101543893221787,exp,1.3441376272180359,1,delaunay,uniform,5000,,
closeness,0.23939348183449405,0.5789050897366794,0.2968506446623683,-0.26451907375704814,exp,1.9478931381134013,1,delaunay,uniform,5000,,
harmonic,0.332198666426582,0.6768415309059068,0.4081932187690392,-0.6444742123810168,exp,1.7074691185330677,1,delaunay,uniform,5000,,
clustering,0.9056568389896956,0.9056568389896956,0.65301024350382,0.2216885863857594,original,1.0,1,delaunay,uniform,5000,,
degree,0.9570964322656692,0.9773680139925364,0.6380793445137027,-0.18301012167781405,pieli,1.0211609362800644,2,delaunay,uniform,5000,,
pagerank,0.9612611954613832,0.9780524283502392,0.770627084706764,-0.22944717231861284,exp,1.0162892156198395,2,delaunay,uniform,5000,,
betweenness,0.6390585010134862,0.7861033441534804,0.6370002530146524,-0.06584226192291623,exp,1.2386850599369192,2,delaunay,uniform,5000,,
closeness,0.295584296558283,0.6924680493256825,0.2800558532673336,-0.30641882804267473,exp,2.5843500063401437,2,delaunay,uniform,5000,,
harmonic,0.3924955121354493,0.7538297041192329,0.3663909772978595,-0.8038948242664906,exp,2.175011809170286,2,delaunay,uniform,5000,,
clustering,0.9772448654537131,0.9772448654537131,0.6772391631754833,0.22644445546103617,original,1.0,2,delaunay,uniform,5000,,
degree,0.9525710781236262,0.9564814984939343,0.29610051831613515,0.5726097533921252,pieli,1.0204093833122085,1,knn,uniform,5000,5.0,
pagerank,0.9452985781691015,0.9490958627878223,0.07377613720203766,0.6697607633922139,pieli,1.0173567168500464,1,knn,uniform,5000,5.0,
betweenness,0.6587060592423566,0.7401432007957394,0.6765073137575566,0.3502822643666854,exp,1.0898896525994985,1,knn,uniform,5000,5.0,
