,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c
degree,Piecewise Linear Fit,0.999999893990217,0.12684705218355516,0.31989603361859514,1.0,0.8194444444444444,1.000608635388218,0.25369410432263995,-0.5704791998746436,0.29857336425338005,,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0027777777777777814,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,4.808415251244068e-07,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,
closeness,Michaelis-Menten Fit,0.9999999063293027,0.005195990689817812,-0.11379382399872438,0.21388888888888888,0.5194805194805194,1.0013701812863638,,,,,0.1949326601075618,0.005326832974877004,0.7496123988253379,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,
clustering,Piecewise Linear Fit,,0.0,0.0,1.0,0.5083333333333333,,0.11617354639304062,0.0,0.0,,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,41,360,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,0.4225352112676056,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,30,142,,,
pagerank,Exponential Saturation Fit,0.9999755682379976,8.655490749870995e-05,-0.4120358313945279,1.0,0.09154929577464789,1.0031701673337987,,,,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,30,142,0.0043408040060042615,8008.178594992665,0.0030971058616771443
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,1.1748103048485889e-05,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,30,142,,,
closeness,Piecewise Linear Fit,0.9999999999430157,0.0004837461661245046,-0.45944465718084654,0.352112676056338,0.06,1.0475715137581179,0.0009674923322491744,585.6717153442714,0.3333333333333323,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,30,142,,,
clustering,Piecewise Linear Fit,0.999994125726538,0.11850007104788861,-1.85523216378959,1.0,0.7394366197183099,1.0133676681226302,0.23700014214436968,0.48772985587226647,-0.02664303611764846,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,30,142,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,0.171875,,,,glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,11,128,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0078124999999999905,,,,glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,11,128,,,
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,9.92063492063492e-07,,,,glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,11,128,,,
closeness,Michaelis-Menten Fit,0.9999929934725857,9.999925992855506e-07,-0.17948539242018444,0.1484375,0.15789473684210525,1.0009089113863365,,,,,0.2916721599972878,1.000000000000027e-06,0.6666848459414187,glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,11,128,,,
clustering,Piecewise Linear Fit,0.9999918167533072,0.11737716178840382,-1.7845556025492815,1.0,0.828125,1.0094491572731072,0.2347543236365865,0.39270446771483736,-0.02026483590005295,,,,,glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,11,128,,,
degree,Michaelis-Menten Fit,0.9999994839431419,0.005435384902536908,-0.20978758905233272,1.0,0.3612512613521695,1.006829489363684,,,,,1.1916528200001626,0.005587092785001436,2.213425326255539,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,3267,1982,,,
pagerank,Exponential Saturation Fit,0.9999994430637662,0.0020512869604674923,-0.09622340780792579,1.0,0.052976791120080725,1.0024019977036693,,,,,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,3267,1982,8.902138114533078e-05,337.9078942120455,0.0004180657944583368
betweenness,Piecewise Linear Fit,0.9999986759453241,0.1107654934726448,-0.8118568422384539,1.0,0.7108980827447023,1.0210966199153817,0.22153098766022405,0.03098619613893732,0.000795392881738519,,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,3267,1982,,,
closeness,Piecewise Linear Fit,0.9999999551699581,0.05225158556830209,0.24732461655663934,0.9742684157416751,0.35525634386328325,1.003563016299844,0.10450317111904332,-0.5950931644156626,0.15681824315879486,,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,3267,1982,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.375331154998158,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,3267,1982,,,
degree,Michaelis-Menten Fit,0.9999999813442485,0.004040504906935688,-0.38543821243691884,1.0,0.29418886198547217,1.0150040544166132,,,,,2.5977514497931904,0.004110319027119441,2.0532531931152636,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,5501,2478,,,
pagerank,Exponential Saturation Fit,0.9999938575049049,0.0022981471735212676,-0.15215714161014302,1.0,0.06053268765133172,1.0078492270009656,,,,,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,5501,2478,0.00010750560296379926,301.6109056736841,0.0002995187788410795
betweenness,Piecewise Linear Fit,0.9999992688057903,0.07753749059493291,-0.9811449196893733,1.0,0.4979822437449556,1.0229314950977524,0.15507498162394356,0.03572516213269034,5.3232978964235476e-05,,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,5501,2478,,,
closeness,Piecewise Linear Fit,0.9999999075145656,0.044787077288263276,0.252841157194696,0.9620661824051655,0.3158557046979866,1.0074239361559914,0.08957415456896589,-1.1847409128230928,0.26292044037856166,,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,5501,2478,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.4594740588081992,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,5501,2478,,,
degree,Piecewise Linear Fit,0.999999788501612,0.07004660708607041,0.5279645656891743,1.0,0.5324165029469549,1.040170759639397,0.1400932141676015,-3.086209052058959,0.6256348774449274,,,,,glioma_mibitof:CHOP_907_R11C2_whole_cell.tiff,85,509,,,
pagerank,Exponential Saturation Fit,0.9999999669937267,0.054668740663326554,0.3229066938437492,1.0,0.7445972495088409,1.0263596072519008,,,,,,,,glioma_mibitof:CHOP_907_R11C2_whole_cell.tiff,85,509,-0.001425125986235591,12.636373040749346,0.0029124601816950552
betweenness,Piecewise Linear Fit,0.9999998200451774,0.05938892207013178,0.9816923074930093,1.0,0.4774066797642436,1.0035682931038867,0.118777394282439,-2.6403418514467942e-05,3.165322268460882e-06,,,,,glioma_mibitof:CHOP_907_R11C2_whole_cell.tiff,85,509,,,
closeness,Piecewise Linear Fit,0.9999993610223948,0.06715694328527795,-0.0677421662209438,0.2888015717092338,0.6870748299319728,1.0097903878881005,0.1343138865849823,0.9310255246447751,0.8604575893405497,,,,,glioma_mibitof:CHOP_907_R11C2_whole_cell.tiff,85,509,,,
clustering,Piecewise Linear Fit,0.9999998728182493,0.0632772257490344,0.9999999759768107,1.0,0.5029469548133595,1.0053314042120702,0.12655445145668293,-0.30579140025347534,0.038699263334089413,,,,,glioma_mibitof:CHOP_907_R11C2_whole_cell.tiff,85,509,,,
degree,Exponential Saturation Fit,0.9999973924921585,0.0022059103364939488,-0.3212948841075599,1.0,0.06186344775556394,1.0078581039356613,,,,,,,,glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,4397,2651,1.637944352408768,314.2227356351094,1.7300014200080969
pagerank,Exponential Saturation Fit,0.9999984285576835,0.0020346130394347387,-0.12658032335844693,1.0,0.058091286307053944,1.0039897326850027,,,,,,,,glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,4397,2651,8.533367535829165e-05,340.67706991805886,0.00029440633623989057
betweenness,Piecewise Linear Fit,0.9999999780680745,0.204356337160145,-1.08407112875027,1.0,0.9603923047906451,1.0297363988134705,0.4087126758331392,0.02701608991531474,-0.00042815375306925595,,,,,glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,4397,2651,,,
closeness,Michaelis-Menten Fit,0.9999994303733548,0.1352402118197461,0.5742325889992365,0.959637872500943,1.0,1.0235175546918804,,,,,-0.32204136354895846,0.29495696813424405,0.27754346273233205,glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,4397,2651,,,
clustering,Exponential Saturation Fit,0.9999993347418932,0.00032631867053163806,-0.4541949279966413,1.0,0.01848359109769898,1.0021606522478554,,,,,,,,glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,4397,2651,0.25254566509503407,2124.1419592532125,0.15174179232240462
degree,Piecewise Linear Fit,0.9999998658583678,0.033939386250179816,0.1913168432932032,1.0,0.3076923076923077,1.0078313823171943,0.067878772499116,-5.458119644472,1.1535093293168848,,,,,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,586,1378,,,
pagerank,Piecewise Linear Fit,0.9999999620307725,0.024975511421464956,0.09415982329866918,1.0,0.24455732946298983,1.002018441121778,0.04995102113789965,-0.002929626755520431,0.0008502404681455737,,,,,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,586,1378,,,
betweenness,Piecewise Linear Fit,0.999999618371476,0.05049044643545807,0.48513771050091603,1.0,0.4056603773584906,1.0062350129666413,0.10098045373186722,-2.299519779055657e-05,3.5541851948499345e-06,,,,,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,586,1378,,,
closeness,Michaelis-Menten Fit,0.9999999654075229,0.23067920962989866,-0.10509194825957066,0.5740203193033382,1.0,1.004731461895624,,,,,1.3334379415988682,3.799852610237575,0.6498720831796433,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,586,1378,,,
clustering,Piecewise Linear Fit,0.9999997808129779,0.014602932961101345,0.687867038964772,1.0,0.1676342525399129,1.0141317649978356,0.029205865921450226,-3.881355074108083,0.1390776035411732,,,,,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,586,1378,,,
degree,Piecewise Linear Fit,0.9999996923858525,0.07843136817956445,0.1922544506713992,1.0,0.5721231766612642,1.0068375259019748,0.1568627363518027,-2.141111191121711,1.0414095652210646,,,,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,,,
pagerank,Piecewise Linear Fit,0.9999999503692696,0.08135768871022558,0.09184839338394671,1.0,0.5850891410048622,1.0021767627895977,0.16271536015644253,-0.0009425121435812465,0.0009115411148409527,,,,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,,,
betweenness,Piecewise Linear Fit,0.9999998366758528,0.08186321171174848,0.42548918747545184,1.0,0.5858995137763371,1.002831200045512,0.16372548352224067,-1.7419534480399985e-05,4.777422875172863e-06,,,,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,,,
closeness,Piecewise Linear Fit,0.9999997372262139,0.0828431367750312,-0.11406392741215986,0.5307941653160454,0.6229007633587786,1.0095996445384077,0.16568627356817534,0.9147331982367611,0.5885793757092281,,,,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,,,
clustering,Exponential Saturation Fit,0.9999997221943565,0.004967551657170991,0.5493191243089677,1.0,0.12155591572123177,1.0037839059476588,,,,,,,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,504,1234,-0.0963591490711931,139.5349720414332,0.13588737929979353
degree,Michaelis-Menten Fit,0.9999999723076959,0.08474067659488926,0.528089524019117,1.0,1.0,1.0130158249575696,,,,,-0.41224679519596047,0.12890735503492853,0.4731420697613376,glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,66,450,,,
pagerank,Piecewise Linear Fit,0.9999999860529478,0.13189515932898382,0.2323888777527603,1.0,0.8111111111111111,1.0086693033646443,0.26379031193031205,-0.003920984303926615,0.0027425614876044548,,,,,glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,66,450,,,
betweenness,Michaelis-Menten Fit,0.9999865400528294,0.0021533482064063966,0.8564940607566557,1.0,0.2511111111111111,1.0184285727776947,,,,,-3.2351248699091193e-06,0.0021721259291722977,3.490769357971253e-06,glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,66,450,,,
closeness,Exponential Saturation Fit,0.999996859377944,0.0018997392124538858,-0.12086573102416735,0.25555555555555554,0.19130434782608696,1.0109503913012179,,,,,,,,glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,66,450,0.1993032354178418,364.8643853399553,0.724830366212163
clustering,Piecewise Linear Fit,0.9999998230050078,0.0308982796458439,0.9999999959176618,1.0,0.3,1.004144120952244,0.061796559276099165,-0.39642063799786204,0.02449743145430733,,,,,glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,66,450,,,
degree,Piecewise Linear Fit,0.9999994216935968,0.07920941110190513,0.20406438201502575,1.0,0.6074766355140186,1.0045114415339529,0.15841882219729697,-2.432223853929923,1.1367444149240191,,,,,glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,190,428,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.002336448598130843,,,,glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,190,428,,,
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,3.3403763546804243e-06,,,,glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,190,428,,,
closeness,Piecewise Linear Fit,0.9999999431808039,0.04007337396736787,-0.06604002439600236,0.5771028037383178,0.41295546558704455,1.003402921015898,0.08014674794057816,1.3718225104629505,0.7774543080150631,,,,,glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,190,428,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.13909657320872273,,,,glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,190,428,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,0.6083445491251682,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,226,743,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0013458950201884247,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,226,743,,,
betweenness,Exponential Saturation Fit,0.999999997983876,0.005790817112315169,-1.4478326493569464,1.0,0.14939434724091522,1.0000182066788164,,,,,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,226,743,2.103644228219846e-06,119.6894382867098,-3.253916644688069e-07
closeness,Constant Fit,,0,0,0.4670255720053836,0.0,,,,,0.7944152661967768,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,226,743,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.01547779273216689,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,226,743,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,0.8213457076566125,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,354,862,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0011600928074245937,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,354,862,,,
betweenness,Piecewise Linear Fit,0.9999995994724847,0.0992228626616952,-0.545985132758773,1.0,0.6368909512761021,1.0009384077849115,0.1984467528063487,1.9313772916939798e-05,1.5935171908318973e-06,,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,354,862,,,
closeness,Constant Fit,,0,0,0.5696055684454756,0.0,,,,,0.737459490444475,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,354,862,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.041376643464810514,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,354,862,,,
degree,Piecewise Linear Fit,0.9999997189228185,0.02043539792229592,0.2064089019567913,1.0,0.20829406220546653,1.0029625379306546,0.04087079584395865,-6.454741438597795,0.7709532766060236,,,,,glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,288,1061,,,
pagerank,Piecewise Linear Fit,0.9999998053893034,0.023061824163931932,0.16525121477546353,1.0,0.23091423185673893,1.0058029671647966,0.04612364772502173,-0.007651032759479309,0.0012441954205642894,,,,,glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,288,1061,,,
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,8.614501510787094e-07,,,,glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,288,1061,,,
closeness,Piecewise Linear Fit,0.9999999921191196,0.08521057757569732,0.04454557084281749,0.3892554194156456,0.576271186440678,1.0007752553141442,0.1704211551099656,-0.41135594584925084,0.8219287110697401,,,,,glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,288,1061,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.02070373861137292,,,,glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,288,1061,,,
degree,Piecewise Linear Fit,0.9999997053154605,0.0664657624612503,0.21562751635048072,1.0,0.47566909975669097,1.0092397728174558,0.13293152491774032,-2.7925410040817287,1.0463907484508104,,,,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,319,822,,,
pagerank,Piecewise Linear Fit,0.9999999673654691,0.07296768609321293,0.13813285142279708,1.0,0.49878345498783455,1.0074206836062802,0.14593536621504108,-0.0024439117707445992,0.0014693053068990573,,,,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,319,822,,,
betweenness,Piecewise Linear Fit,0.9999998367205001,0.0812728451690529,0.34351899006009834,1.0,0.5352798053527981,1.0006104555806978,0.16254413553518993,-1.0454424073745997e-05,3.322981678318108e-06,,,,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,319,822,,,
closeness,Piecewise Linear Fit,0.9999998319939112,0.0795621054851744,-0.04286345242201525,0.5389294403892944,0.5733634311512416,1.0004289317228832,0.1591242110088529,0.4132663217689679,0.734214629955271,,,,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,319,822,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.052108678021086784,,,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,319,822,,,
degree,Piecewise Linear Fit,0.9999676757741301,0.05452866985093546,0.5755248617227382,1.0,0.5798816568047337,1.0711831873647215,0.10905733970045321,-7.6924353940844465,1.1482856374817068,,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,51,169,,,
pagerank,Piecewise Linear Fit,0.9999784782276773,0.05739160478684878,0.36637776048884335,1.0,0.591715976331361,1.057002912225153,0.11478320930048351,-0.04201219300392332,0.008992188416436661,,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,51,169,,,
betweenness,Piecewise Linear Fit,0.9999983434266921,0.06345881264528415,0.7863101269207811,1.0,0.6035502958579881,1.004444243433493,0.1269175567187491,-0.0001850871492168958,2.6682723207725703e-05,,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,51,169,,,
closeness,Constant Fit,,0,0,0.4260355029585799,0.0,,,,,0.8592151675485009,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,51,169,,,
clustering,Piecewise Linear Fit,0.9999965661564951,0.042826457710942324,0.7678641100004026,1.0,0.514792899408284,1.0225494167345899,0.08565291541798749,-2.1978237330643675,0.2167052949385079,,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,51,169,,,
degree,Piecewise Linear Fit,0.9999998243773953,0.02734279376593801,0.17930946727056202,1.0,0.25663026521060844,1.0042595048537877,0.05468558753090264,-5.618163538603477,1.0103266955567376,,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,482,1282,,,
pagerank,Piecewise Linear Fit,0.9999998950504014,0.029456092276634586,0.1482067932402226,1.0,0.2698907956318253,1.0069424581082358,0.05891218320058531,-0.004355207103311905,0.0009938844897239704,,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,482,1282,,,
betweenness,Piecewise Linear Fit,0.9999990541338263,0.0860292178558775,-0.9924035421771692,1.0,0.5811232449297972,1.003610352118925,0.17205881813410506,4.499173117602883e-05,2.9578009077136794e-08,,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,482,1282,,,
closeness,Piecewise Linear Fit,0.9999998306700376,0.08805554712653013,0.049044717938431855,0.5101404056162246,0.6299694189602446,1.0004244373956768,0.17611109420686102,-0.3811963441644326,0.7179715027184627,,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,482,1282,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.016640665626625063,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,482,1282,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,0.27380952380952384,,,,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,46,336,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0029761904761904804,,,,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,46,336,,,
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,5.652783430561209e-07,,,,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,46,336,,,
closeness,Piecewise Linear Fit,0.9999995729321765,0.015743706477206933,-0.23993977589878807,0.24702380952380953,0.3253012048192771,1.0179969228881511,0.03148741295469681,11.128980805985588,0.5550193623037484,,,,,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,46,336,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.026785714285714284,,,,glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,46,336,,,
degree,Exponential Saturation Fit,0.999997480223036,0.004385173638136231,-0.31927814822021006,1.0,0.0916030534351145,1.003325309731546,,,,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,498,786,0.6292704591099825,158.06607391164314,0.6708228460851228
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0012722646310432569,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,498,786,,,
betweenness,Piecewise Linear Fit,0.9999999164460899,0.06909657469816642,0.3663692566846043,1.0,0.46564885496183206,1.001212070980491,0.13819278653642675,-3.808443618726554e-05,9.814083638303414e-06,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,498,786,,,
closeness,Constant Fit,,0,0,0.7188295165394402,0.0,,,,,0.7600475367367473,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,498,786,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.19105173876166243,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,498,786,,,
degree,Michaelis-Menten Fit,0.9999986458795858,0.03271435280460847,0.7039732540320036,1.0,1.0,1.041242359615248,,,,,-0.4844845416812976,0.03784245555141906,0.5437333165615654,glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,57,499,,,
pagerank,Michaelis-Menten Fit,0.9999991821220828,0.03320411144878033,0.39101136910405937,1.0,1.0,1.0327758336400221,,,,,-0.00200566025928391,0.03849932899039153,0.003304079619926882,glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,57,499,,,
betweenness,Piecewise Linear Fit,0.9999993423386954,0.02536772280740605,0.999832053904423,1.0,0.280561122244489,1.0111151613116,0.05073501337636056,-1.173783716709097e-05,5.955193416546844e-07,,,,,glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,57,499,,,
closeness,Piecewise Linear Fit,0.9999997903636233,0.028270196007376857,-0.04736096412609154,0.20641282565130262,0.49514563106796117,1.0105654144074543,0.05654039201828851,1.5995408347798077,0.9095613341482416,,,,,glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,57,499,,,
clustering,Piecewise Linear Fit,0.9999999857566007,0.08987980705703436,0.9999999966503719,1.0,0.6132264529058116,1.0020946446810821,0.1797596140101808,-0.17303229966342437,0.031104219400884887,,,,,glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,57,499,,,
degree,Exponential Saturation Fit,0.9999986802026107,0.0029505898133888645,-0.26851441758437816,1.0,0.0834272829763247,1.0055902893153026,,,,,,,,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,2838,1774,1.3792863564231155,234.91817715297333,1.8787223658152092
pagerank,Piecewise Linear Fit,0.9999946113160697,0.004511463756535469,-0.1368693345276573,1.0,0.06820744081172492,1.0072025847100283,0.009022927572395258,0.015209492979975262,0.00043271560068318106,,,,,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,2838,1774,,,
betweenness,Piecewise Linear Fit,0.9999985237695037,0.07261986614068527,-0.7777760282948042,1.0,0.5112739571589628,1.0105915829720769,0.14523975734772795,0.0005794209747189746,1.2022209084219071e-05,,,,,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,2838,1774,,,
closeness,Piecewise Linear Fit,0.9999996126603983,0.07951770394066608,0.0906907925896538,0.9301014656144306,0.5484848484848485,1.0024323372499164,0.15903540784362374,-0.42175051102193634,0.40332755923882024,,,,,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,2838,1774,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.4323439337813633,,,,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,2838,1774,,,
degree,Piecewise Linear Fit,0.9999999455794628,0.05805752128736334,0.3230381075340504,1.0,0.4904109589041096,1.0187689323785025,0.11611504257152423,-3.6257733070960465,0.8621398774528054,,,,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,208,730,,,
pagerank,Exponential Saturation Fit,0.9999999606426928,0.07637629265202664,0.21762584578947317,1.0,0.9082191780821918,1.011264817082762,,,,,,,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,208,730,-0.0006250543944607285,8.913656748590665,0.0017268643905579651
betweenness,Piecewise Linear Fit,0.9999996660715628,0.0400928693213811,0.444669258591933,1.0,0.3904109589041096,1.0031406054103942,0.08018521324547931,-1.526192488121144e-05,1.987897585794668e-06,,,,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,208,730,,,
closeness,Constant Fit,,0,0,0.4246575342465753,0.0,,,,,0.8146627702889563,,,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,208,730,,,
clustering,Piecewise Linear Fit,0.9999997378390668,0.052598962512354366,0.8608503445664568,1.0,0.4684931506849315,1.0146980688984224,0.1051979250098359,-0.7073158786615695,0.08042190846617206,,,,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,208,730,,,
degree,Piecewise Linear Fit,0.9999988916856809,0.026197835304899154,0.15629562792928967,1.0,0.24969249692496925,1.0014756908938653,0.052395670608679765,-4.684174932991138,0.9078635233237473,,,,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,285,813,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0012300123001230013,,,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,285,813,,,
betweenness,Piecewise Linear Fit,0.9999999556515763,0.1725363190733435,-0.44600831321669504,1.0,0.9274292742927429,1.0013095539701158,0.3450812411651297,4.011064726234614e-06,8.595795182609275e-07,,,,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,285,813,,,
closeness,Piecewise Linear Fit,0.9999999492811729,0.1653581901037175,0.06420564924513024,0.4932349323493235,0.9002493765586035,1.0032248341301693,0.3307163800976045,-0.30111638812418423,0.8253010934951798,,,,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,285,813,,,
clustering,Piecewise Linear Fit,0.9999989715120766,0.01427777639933274,0.6801780698746136,1.0,0.17343173431734318,1.0123397772491145,0.028555552797927923,-3.871639768588823,0.1365488996379384,,,,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,285,813,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,0.4139715394566624,,,,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,160,773,,,
