,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
degree,0.8899735593630668,0.9063223228685319,0.6128781128312286,-0.18277675646445873,exp,1.0415031687913567,1,delaunay,uniform,5000,,
pagerank,0.9002633427806437,0.9105939879771898,0.7261638495711713,-0.22629128093041648,exp,1.0331115410633889,1,delaunay,uniform,5000,,
betweenness,0.47829605248928186,0.591222206241526,0.4713904167737951,-0.1262704545191327,exp,1.3605366902060516,1,delaunay,uniform,5000,,
closeness,0.014656118875741104,0.5210720822333749,-0.005807774231449479,-0.2910121889085421,exp,2.090791944738142,1,delaunay,uniform,5000,,
harmonic,0.23314572847862677,0.6380458292101621,0.18099711637190938,-0.7252044600897906,exp,1.7700206897341333,1,delaunay,uniform,5000,,
clustering,0.9233766023157775,0.9233766023157775,0.6382029941465954,0.2345010791333953,original,1.0,1,delaunay,uniform,5000,,
degree,0.9659941486949557,0.9771992716791915,0.6461329593438582,-0.18375296482351533,exp,1.012528727471521,2,delaunay,uniform,5000,,
pagerank,0.9699941397977075,0.9782067883905675,0.7837028800573804,-0.23988013363342667,exp,1.0091440322224385,2,delaunay,uniform,5000,,
betweenness,0.6200966895223051,0.759493864083971,0.6186401933682761,-0.07526564311416667,exp,1.2229730210002159,2,delaunay,uniform,5000,,
closeness,0.3391672122694998,0.6522327189998615,0.31748159491100014,-0.290155361649941,exp,2.799324851705497,2,delaunay,uniform,5000,,
harmonic,0.424309199619057,0.748147517217528,0.37408335552545974,-0.7817043688962646,exp,2.2161555449344976,2,delaunay,uniform,5000,,
clustering,0.9828316522714664,0.9828316522714664,0.6688503471379321,0.22656704368730796,original,1.0,2,delaunay,uniform,5000,,
degree,0.9348549798435136,0.9588719823376588,0.21922073930394664,0.5484878523492389,pieli,1.0226027601481384,1,knn,uniform,5000,5.0,
pagerank,0.9285577822140355,0.950735200951836,0.03199852674011327,0.6522403947834579,pieli,1.0212777017986117,1,knn,uniform,5000,5.0,
betweenness,0.7091703898484807,0.7793988828094937,0.6487093715441679,0.23959072606999732,pieli,1.0941783410405677,1,knn,uniform,5000,5.0,
closeness,0.23973317832280788,0.7308619571629817,0.5980852517855447,0.44384930898966635,pieli,4.20023848965128,1,knn,uniform,5000,5.0,
harmonic,0.3714497513465981,0.803378092203683,0.615017812728966,0.7050654529939505,pieli,2.881854675643311,1,knn,uniform,5000,5.0,
clustering,0.8853039188046932,0.917030049038867,0.25938627974003003,0.5225815780064564,exp,1.0197727570720585,1,knn,uniform,5000,5.0,
degree,0.9789554031229937,0.9845630306952412,0.23445046729230729,0.5492033550477832,exp,1.007014552003418,2,knn,uniform,5000,5.0,
pagerank,0.9766437195268455,0.9818586332133032,0.03421674414982929,0.6544519518288123,exp,1.0064869798906233,2,knn,uniform,5000,5.0,
betweenness,0.8440810038553177,0.8497660510359256,0.7402007070751173,0.10960534696207919,pieli,1.0052510065603102,2,knn,uniform,5000,5.0,
closeness,0.11339228156788785,0.8496622574629706,-0.019151062165263327,0.09677324044559805,pieli,4.319630083066303,2,knn,uniform,5000,5.0,
harmonic,0.3522979001010686,0.9268943522783762,0.5368506486332016,0.6163596912606545,exp,2.258547513464469,2,knn,uniform,5000,5.0,
clustering,0.9671202596493429,0.9754170035504651,0.26503334530782335,0.5641110212084497,pieli,1.0064333088781705,2,knn,uniform,5000,5.0,
degree,0.8638626419696775,0.8948215001334427,0.03993125045815535,0.5934113430974713,pieli,1.041078015374738,1,knn,uniform,5000,10.0,
pagerank,0.8539068585432315,0.8814963272138667,-0.18700588444784055,0.6982965247913354,pieli,1.0358769387842028,1,knn,uniform,5000,10.0,
betweenness,0.6065786533019617,0.6895363195402077,0.6382657593657131,0.5194440138801444,pieli,1.0928597255179182,1,knn,uniform,5000,10.0,
closeness,-0.08137331335828887,0.619976178040343,0.6062606309067693,0.9540158928386278,pieli,5.3734844977456,1,knn,uniform,5000,10.0,
harmonic,0.0638793666217278,0.7526993404464948,0.6181947751598604,0.8838489013469419,exp,3.5295425294826748,1,knn,uniform,5000,10.0,
clustering,0.8254420381636133,0.9137984682023397,0.27758713773626165,0.7546779739476235,pieli,1.09829765433259,1,knn,uniform,5000,10.0,
degree,0.9492700005506585,0.9661555236244967,0.1313074447384091,0.6351785503133074,pieli,1.0139118125318733,2,knn,uniform,5000,10.0,
