,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
degree,0.8860117258740419,0.8860117258740419,0.5856744258429787,-0.16829716227055141,original,1.0,1,delaunay,uniform,5000,,
pagerank,0.896219384563468,0.9257120601092952,0.7194330303862032,-0.2103796939106694,exp,1.0355841304378683,1,delaunay,uniform,5000,,
betweenness,0.47506967335666245,0.6726700001574322,0.4790229378115496,-0.17567062407099568,exp,1.4547070755749836,1,delaunay,uniform,5000,,
closeness,0.16838193364200793,0.4563857531148944,0.22491585370458028,-0.30145084640850894,exp,1.9584834655143606,1,delaunay,uniform,5000,,
harmonic,0.3087896250408073,0.5941146780647447,0.3773956877215179,-0.5781073007881201,exp,1.6926447352448584,1,delaunay,uniform,5000,,
clustering,0.9284072415767228,0.9284072415767228,0.6392762648899599,0.2158865874461975,original,1.0,1,delaunay,uniform,5000,,
degree,0.9589339782138513,0.970267081112617,0.6314920388259668,-0.16890626343104626,exp,1.0108384291269998,2,delaunay,uniform,5000,,
pagerank,0.9633238892435271,0.9720461550043595,0.7761827791142037,-0.22082936749336218,exp,1.0079717911878787,2,delaunay,uniform,5000,,
betweenness,0.6017892799140401,0.6559126951975681,0.599610253267629,-0.09034468865821862,pieli,1.1122175897523667,2,delaunay,uniform,5000,,
closeness,0.35090892958684095,0.6605242239814585,0.41730144348940645,-0.30499393861876306,exp,2.4034986572441213,2,delaunay,uniform,5000,,
harmonic,0.34096273825440365,0.7492702254712525,0.3382099054708131,-0.741623602964633,exp,2.102214073016354,2,delaunay,uniform,5000,,
clustering,0.9750043328808268,0.9750043328808268,0.6721081691352517,0.22114986532327918,original,1.0,2,delaunay,uniform,5000,,
degree,0.9469123818896772,0.9577969364008914,0.2034571611199305,0.5539228783671418,pieli,1.0297292169122427,1,knn,uniform,5000,5.0,
pagerank,0.9403101647466702,0.9500729502872864,0.017499719255340947,0.638366663556243,pieli,1.027947555619937,1,knn,uniform,5000,5.0,
betweenness,0.6805487963761512,0.7542711460225588,0.6814650883306166,0.19674544517771506,pieli,1.079079418482569,1,knn,uniform,5000,5.0,
closeness,0.27135400468665394,0.629767115419005,-0.019843216738548046,0.16838285132544123,pieli,4.423469522477968,1,knn,uniform,5000,5.0,
harmonic,0.45173288751566365,0.8522569104357562,0.5029440250795317,0.5731614596711723,exp,2.49959075625924,1,knn,uniform,5000,5.0,
clustering,0.8586590998716281,0.9016619954414324,0.2949665931378529,0.4742351843020896,pieli,1.0454761846580816,1,knn,uniform,5000,5.0,
degree,0.9731573355115114,0.9813479219428062,0.23258335636942468,0.5396491761482666,exp,1.0102490413294292,2,knn,uniform,5000,5.0,
pagerank,0.9701401352580976,0.978013459523412,0.03718537363475279,0.6577409934794092,exp,1.0099493721033919,2,knn,uniform,5000,5.0,
betweenness,0.8767525931560365,0.8815159344229342,0.797870853149043,0.10036436567745172,pieli,1.0084088927249604,2,knn,uniform,5000,5.0,
closeness,0.35529047288969884,0.911705130546806,-0.0007858676033152441,0.044016053850620726,pieli,3.4296748366585885,2,knn,uniform,5000,5.0,
harmonic,0.492618084648596,0.9520931174973559,0.6448243894865292,0.45085583636600085,exp,2.1084603275943774,2,knn,uniform,5000,5.0,
clustering,0.9582746465663938,0.9697356467490528,0.2994268395475249,0.5834916121618842,pieli,1.0125316387344938,2,knn,uniform,5000,5.0,
degree,0.8562176449909318,0.9155670806784234,0.1119506753999126,0.6063929696642594,pieli,1.0360377473661078,1,knn,uniform,5000,10.0,
pagerank,0.8405682876274354,0.8992489269607336,-0.1250137715963595,0.7319438492549974,pieli,1.0353667037278456,1,knn,uniform,5000,10.0,
betweenness,0.6360406850386007,0.7154612330148227,0.638991612425411,0.5869681493424427,pieli,1.163763622128527,1,knn,uniform,5000,10.0,
closeness,0.24670810384916794,0.5279631909369572,0.6393604365324735,0.9805181009322732,pieli,5.784812616776061,1,knn,uniform,5000,10.0,
harmonic,0.2747923850857275,0.7198687810408315,0.6263413855957558,0.8878046168319861,pieli,3.975339485926344,1,knn,uniform,5000,10.0,
clustering,0.791662967769643,0.9093605654989778,0.2171638492771606,0.8156730384833732,pieli,1.1955655213783905,1,knn,uniform,5000,10.0,
degree,0.9501443107121966,0.9714691892361633,0.14270215698426142,0.6193225939513385,pieli,1.0191902948156586,2,knn,uniform,5000,10.0,
pagerank,0.9467733569489859,0.967284518811404,-0.17669193325928562,0.7295110595299454,pieli,1.0184312298411333,2,knn,uniform,5000,10.0,
betweenness,0.8023989069442488,0.806758181213217,0.7339076808056859,0.235120146011305,pieli,1.0078714295815019,2,knn,uniform,5000,10.0,
closeness,0.23631027635507537,0.7727234985907561,0.549607987669325,0.9189362086389342,pieli,6.167723850761166,2,knn,uniform,5000,10.0,
harmonic,0.3036748001055258,0.9116517788443319,0.6531530362071724,0.8219506029357093,exp,3.7727009485032976,2,knn,uniform,5000,10.0,
clustering,0.9082735385593361,0.9733457334924088,0.2872788106607947,0.7906300688432987,exp,1.0603758637732503,2,knn,uniform,5000,10.0,
degree,0.8178126184961867,0.8804899470631405,0.029804708814165172,0.6157694683701469,pieli,1.1033323408000735,1,knn,uniform,5000,15.0,
pagerank,0.8061290165259056,0.8612479926624723,-0.26674510078128283,0.7774148262106046,pieli,1.0889855758333375,1,knn,uniform,5000,15.0,
betweenness,0.5174295547745869,0.6086390822668302,0.543017691742389,0.5640534927197582,pieli,1.108917380159603,1,knn,uniform,5000,15.0,
closeness,-0.08706221665133579,0.26618744714818554,0.709616886511838,0.963975870418394,pieli,5.588825031845747,1,knn,uniform,5000,15.0,
harmonic,0.042267328494930534,0.49426330959997633,0.6786178416880395,0.8856177260666914,exp,4.451142162046885,1,knn,uniform,5000,15.0,
clustering,0.738613572813515,0.8858829467597397,0.21142439192028226,0.802933327024244,exp,1.2115536785087142,1,knn,uniform,5000,15.0,
degree,0.9222769501822405,0.9583737944232494,0.0758270020644482,0.6817100593965978,pieli,1.0366082631562314,2,knn,uniform,5000,15.0,
pagerank,0.9157589241244342,0.9499266737745775,-0.29702520679941713,0.7789332358824822,pieli,1.0345052391320475,2,knn,uniform,5000,15.0,
betweenness,0.7465762777565516,0.7501763468615487,0.673261064572305,0.20645054391418136,pieli,1.0060699936451278,2,knn,uniform,5000,15.0,
closeness,0.3257936064382051,0.7929402487316004,0.6250382485153436,0.9648643978379072,pieli,5.27506762116227,2,knn,uniform,5000,15.0,
harmonic,0.25030328386032186,0.914417786038835,0.7200579875035044,0.8414110394988021,exp,3.8450592657847733,2,knn,uniform,5000,15.0,
clustering,0.871925419781667,0.9609717058206844,0.22020962134275826,0.8329266497991465,pieli,1.0879399771553588,2,knn,uniform,5000,15.0,
degree,0.9980745339516119,0.9980745339516119,0.8627191739575472,0.2758487850905627,original,1.0,1,rnn,uniform,5000,,1.0
pagerank,0.9948950145485872,0.993244581213048,0.8250365271996776,0.19033795058194453,original,1.0,1,rnn,uniform,5000,,1.0
betweenness,1.0,0.9942010721830875,0.894792960217842,0.03965277721128918,pieli,1.0010677409548006,1,rnn,uniform,5000,,1.0
closeness,0.9923838009338061,0.9923838009338061,0.03284686004114888,0.03303882503585989,original,1.0,1,rnn,uniform,5000,,1.0
harmonic,0.9979167280109809,0.9979167280109809,0.5509504726577102,0.3722903092060621,original,1.0,1,rnn,uniform,5000,,1.0
clustering,1.0,1.0,1.0,,original,1.0,1,rnn,uniform,5000,,1.0
degree,0.9976471843858603,0.997018453378483,0.7485034712512033,0.5177336862515027,pieli,1.0002422370123334,2,rnn,uniform,5000,,1.0
pagerank,0.9981687364735718,0.9966065602042551,0.7236963442063318,0.4107383594815073,original,1.0,2,rnn,uniform,5000,,1.0
betweenness,0.9989951303618514,0.9989951303618514,0.6953501409064788,0.3434217547760738,original,1.0,2,rnn,uniform,5000,,1.0
closeness,0.9978949491881735,0.9978949491881735,0.017707235002766254,0.019348258813464227,original,1.0,2,rnn,uniform,5000,,1.0
harmonic,0.9965907830844769,0.9965907830844769,0.3687663783159701,0.6508715908033228,original,1.0,2,rnn,uniform,5000,,1.0
clustering,0.9965358367818072,0.9944414029507228,0.9963201267444757,0.07068981886806217,exp,1.0009646760538837,2,rnn,uniform,5000,,1.0
degree,0.9695700265872492,0.9838769887940523,0.5185192979812869,0.8233557778104738,pieli,1.0112864517927247,1,rnn,uniform,5000,,2.0
pagerank,0.9657299954279692,0.9624469710657695,0.6169146375349928,0.6232430693971719,original,1.0,1,rnn,uniform,5000,,2.0
betweenness,0.6258045411418868,0.6432891777598941,0.07181382830752397,0.18212821722677097,pieli,1.0079815301435975,1,rnn,uniform,5000,,2.0
closeness,0.8634663052744043,0.895308339300533,0.6771476208688197,0.33349164155208116,pieli,1.0270411246337872,1,rnn,uniform,5000,,2.0
harmonic,0.7197949726481873,0.7955542427905005,0.06659088068143879,0.6226317590414366,exp,1.0578670896910032,1,rnn,uniform,5000,,2.0
clustering,0.9396486362916099,0.9396486362916099,0.7014175617150689,0.5476910326159331,original,1.0,1,rnn,uniform,5000,,2.0
degree,0.9909553994292868,0.9909553994292868,0.38217320149895395,0.8859817267595309,original,1.0,2,rnn,uniform,5000,,2.0
pagerank,0.9896312493682511,0.9890296907489653,0.5111981487222941,0.7481781949423046,exp,1.0016596922079435,2,rnn,uniform,5000,,2.0
betweenness,0.9449090775482092,0.9466269486408575,0.29804965932947614,0.35521840029612567,pieli,1.001883210185181,2,rnn,uniform,5000,,2.0
closeness,0.9814951900454756,0.9771755947241261,0.7370544560755128,0.46785599341598566,pieli,1.0073069380170172,2,rnn,uniform,5000,,2.0
harmonic,0.969975415230518,0.2145042643386639,-0.22798229639579026,0.7756222216979133,exp,1.0128909862565936,2,rnn,uniform,5000,,2.0
clustering,0.9851070303521481,0.9839365371506162,0.5468129201016074,0.644301137282053,pieli,1.0014607636640112,2,rnn,uniform,5000,,2.0
degree,0.9465655409418441,0.981991665629536,0.3183733682597349,0.9334023356214922,pieli,1.0418406997254483,1,rnn,uniform,5000,,3.0
pagerank,0.9310353882321609,0.9586101174911347,0.4430882216144302,0.8776164180027192,pieli,1.0524810655143313,1,rnn,uniform,5000,,3.0
betweenness,0.7414732764824175,0.8136287972522287,0.6470246910022122,0.6287477219123117,exp,1.142745286026657,1,rnn,uniform,5000,,3.0
closeness,0.11559192997742841,0.39993071989372136,0.22136887969967037,0.957743786862783,pieli,4.528125349548299,1,rnn,uniform,5000,,3.0
harmonic,0.4022431171494112,0.818719555211967,0.23095959565783464,0.9574602287119056,exp,1.8055599578911605,1,rnn,uniform,5000,,3.0
clustering,0.9062371738438525,0.9427984731551498,0.5681434402663215,0.7705230240753833,exp,1.0493640415597765,1,rnn,uniform,5000,,3.0
degree,0.9781052354230366,0.9808338824608924,0.23380208057349933,0.9562765883381356,exp,1.0278958722191665,2,rnn,uniform,5000,,3.0
pagerank,0.97158644111439,0.9833207580924987,0.3305422643524629,0.9119733587557863,pieli,1.009749067326673,2,rnn,uniform,5000,,3.0
betweenness,0.8483450575245346,0.8741473399266115,0.6822107872049554,0.6092819675817693,exp,1.0270589308435583,2,rnn,uniform,5000,,3.0
closeness,0.5590303227232504,0.5450201524370248,0.39389723656919007,0.995540487430238,exp,5.502593109470557,2,rnn,uniform,5000,,3.0
harmonic,0.769135208243076,0.7770574070667545,0.3371703608311028,0.9845922036906345,exp,2.6048934582502623,2,rnn,uniform,5000,,3.0
clustering,0.9474042964495687,0.9567009519958388,0.3700541278642119,0.8426678300630667,exp,1.0112510604113378,2,rnn,uniform,5000,,3.0
degree,0.8962775272396226,0.9290648337899472,0.48354193407638757,-0.12160357971820471,pieli,1.0393617319333248,1,delaunay,kappa=1,5000,,
pagerank,0.903874329496625,0.9299780723085089,0.7297702798466095,-0.2462169060446659,pieli,1.0313843708508912,1,delaunay,kappa=1,5000,,
betweenness,0.4411808318251208,0.5898817481491254,0.44640282337899007,-0.16801994822253416,pieli,1.3368295954147382,1,delaunay,kappa=1,5000,,
closeness,0.4224641584119649,0.5180733514130154,0.4112743477032909,-0.2905131963340407,exp,1.5814023282291632,1,delaunay,kappa=1,5000,,
harmonic,0.44730617056688204,0.6219727558138282,0.27644491888823086,-0.32620093691112095,exp,1.4639594845285753,1,delaunay,kappa=1,5000,,
clustering,0.9370972851932442,0.9370972851932442,0.5861448182982305,0.1881490853654812,original,1.0,1,delaunay,kappa=1,5000,,
degree,0.9797996603846824,0.9900669047986429,0.5196364020747679,-0.12764526428116493,pieli,1.0120540564072047,2,delaunay,kappa=1,5000,,
pagerank,0.9820397765728948,0.989748702971259,0.7822572461199735,-0.2534376602357845,exp,1.0087606516251746,2,delaunay,kappa=1,5000,,
betweenness,0.7173813145159669,0.8587061092215142,0.7177817818417496,-0.10756201809561494,exp,1.2005615674086663,2,delaunay,kappa=1,5000,,
closeness,0.20987316053435384,0.7296486306008831,-0.032144308796910076,-0.28595257652883144,exp,2.4407115643959303,2,delaunay,kappa=1,5000,,
harmonic,0.3853219842472486,0.835204680502862,0.06163876148810771,-0.7581027086953172,exp,2.0370670506919173,2,delaunay,kappa=1,5000,,
clustering,0.9889844999466382,0.9889844999466382,0.5889740669520513,0.2001984297835031,original,1.0,2,delaunay,kappa=1,5000,,
degree,0.9454153951915213,0.9556483991363207,0.17906485901238722,0.402154222970983,exp,1.0136270760597597,1,knn,kappa=1,5000,5.0,
pagerank,0.9402246531089056,0.9496698130248202,0.05907357912054544,0.5685926930101222,pieli,1.0119362400425786,1,knn,kappa=1,5000,5.0,
betweenness,0.7429184154721724,0.7961890076558165,0.7575925482143574,0.19821926660281353,pieli,1.0555104013400722,1,knn,kappa=1,5000,5.0,
closeness,0.07400295463457615,0.6081345165096206,-0.017123813864786227,-0.06275404301435251,pieli,2.840031229062435,1,knn,kappa=1,5000,5.0,
harmonic,0.4454695410939516,0.8184832267459943,0.1970978609750182,0.39684624203541163,exp,2.412586578679897,1,knn,kappa=1,5000,5.0,
clustering,0.9121830782297833,0.9304911077766833,0.2456466326083415,0.43466359422156653,pieli,1.0200019338012976,1,knn,kappa=1,5000,5.0,
degree,0.9829788303366571,0.9879807246415091,0.18026914377913578,0.3744685847325712,exp,1.0035461834652197,2,knn,kappa=1,5000,5.0,
pagerank,0.9816372189381014,0.9860671295697787,0.05543490149101051,0.5714668552708031,exp,1.0032946840527146,2,knn,kappa=1,5000,5.0,
betweenness,0.9042736069842421,0.9042953153705954,0.8918830321782109,0.04940848670900862,pieli,1.0002930383849826,2,knn,kappa=1,5000,5.0,
closeness,0.4686069381325093,0.8843133804117471,-0.09399387691173405,-0.13831179760358195,pieli,2.4957913109611356,2,knn,kappa=1,5000,5.0,
harmonic,0.5750072794036519,0.9618315781811051,0.0804572944100141,0.7261672827501338,exp,1.7212699826590894,2,knn,kappa=1,5000,5.0,
clustering,0.9797368588001149,0.9804000507010089,0.2912512352913591,0.42522183166198974,pieli,1.001901519212056,2,knn,kappa=1,5000,5.0,
degree,0.9026628307463287,0.9386166003631708,0.09583037223410681,0.5090452928481695,pieli,1.0495468672107284,1,knn,kappa=1,5000,10.0,
pagerank,0.8944451828528759,0.9266634483782417,-0.12592562633653276,0.6925997286531763,pieli,1.0445648752058518,1,knn,kappa=1,5000,10.0,
betweenness,0.7679198004134864,0.8174468787946244,0.7765761960050851,0.42528035722881535,pieli,1.0703792766737963,1,knn,kappa=1,5000,10.0,
closeness,0.43295775887126187,0.625877555737619,-0.22628744610639134,0.8926378060794431,pieli,5.602227989457748,1,knn,kappa=1,5000,10.0,
harmonic,0.25291454598932456,0.8267319897772822,0.21555803482653357,0.8475957584380741,exp,3.850399244659921,1,knn,kappa=1,5000,10.0,
clustering,0.8536350673482682,0.9351167040656871,0.2218004489035277,0.6376849010820426,pieli,1.0987022050042143,1,knn,kappa=1,5000,10.0,
degree,0.9513806406242298,0.9653267151444073,0.12338676166942447,0.2729345867923521,pieli,1.0138252411726822,2,knn,kappa=1,5000,10.0,
pagerank,0.9470439811565619,0.9597702285416965,0.02617934237882178,0.5434901082004187,pieli,1.01278180903931,2,knn,kappa=1,5000,10.0,
betweenness,0.8148449880982126,0.8226927778487791,0.8119699383427266,0.056925174906271796,pieli,1.0071856416749028,2,knn,kappa=1,5000,10.0,
closeness,-0.0067223793167231535,-0.07364027232150298,-0.10320094771069413,0.06474823785463732,pieli,2.2585247911729978,2,knn,kappa=1,5000,10.0,
harmonic,0.26875489584428114,0.3931423516688236,0.41280600838063297,0.1881636219371085,exp,2.512297626065478,2,knn,kappa=1,5000,10.0,
clustering,0.9192341559215729,0.9566293268961235,0.14812080854932824,0.48811143058195033,exp,1.0419766197644886,2,knn,kappa=1,5000,10.0,
degree,0.8184190825098917,0.8853171798574142,0.048243201378252554,0.44221632157452845,pieli,1.0881862184444346,1,knn,kappa=1,5000,15.0,
pagerank,0.8029204340562006,0.8608051224352099,-0.13187789518149265,0.670280702548017,pieli,1.0764624157970701,1,knn,kappa=1,5000,15.0,
betweenness,0.6000751649108919,0.684056385528491,0.6280912398978469,0.47628686517287405,pieli,1.0732429283934362,1,knn,kappa=1,5000,15.0,
closeness,-0.23055994135463942,0.5402247927230439,-0.18070895737712897,0.8844528263372604,pieli,2.9397583947788255,1,knn,kappa=1,5000,15.0,
harmonic,-0.06757109971438069,0.6472141752711151,0.00509384702244816,0.7623675867065134,exp,3.128628200435622,1,knn,kappa=1,5000,15.0,
clustering,0.7710969938654239,0.901588317456176,0.20122512061869718,0.6277103429280159,exp,1.1296877897675242,1,knn,kappa=1,5000,15.0,
degree,0.9298065029040006,0.9563920674437841,0.08418610119701367,0.2701622833448263,pieli,1.0251369293434884,2,knn,kappa=1,5000,15.0,
pagerank,0.9218799713770005,0.9481149145418587,-0.017900270919538844,0.55817814013182,pieli,1.0244501702100304,2,knn,kappa=1,5000,15.0,
betweenness,0.7042681796924474,0.7065177145856122,0.6902549541746702,0.0639642579160269,pieli,1.0017385165792692,2,knn,kappa=1,5000,15.0,
closeness,-0.0002709932509886402,0.1419477568605032,0.24153070893359332,0.4210445416990916,pieli,2.024279893409003,2,knn,kappa=1,5000,15.0,
harmonic,0.15146445189823504,0.4229143055364459,0.23021045246471433,0.2780252617475977,exp,2.464161391934498,2,knn,kappa=1,5000,15.0,
clustering,0.8990061503270068,0.9588098458357004,0.18552628783469405,0.5589835967867715,exp,1.094322189410366,2,knn,kappa=1,5000,15.0,
degree,0.9962682421320384,0.9948435331426164,0.624162817076511,0.7028646661703313,pieli,1.0018148206571196,1,rnn,kappa=1,5000,,1.0
pagerank,0.9901374114797888,0.9871640410764788,0.7098415412412356,0.4737483885385083,original,1.0,1,rnn,kappa=1,5000,,1.0
betweenness,0.9978489785145939,0.9950176712217906,0.595728825868986,0.34300763789981414,pieli,1.0026762626589643,1,rnn,kappa=1,5000,,1.0
closeness,0.9802098492796999,0.9777935749427283,0.005525302944080511,-0.054020452846915486,pieli,1.0086482932825032,1,rnn,kappa=1,5000,,1.0
harmonic,0.9950026001647974,0.9889162933699477,-0.11813233592789968,0.7824544068627408,pieli,1.009623365212084,1,rnn,kappa=1,5000,,1.0
clustering,0.9972854081214554,0.9972854081214554,0.9709962160263316,0.3067951866001838,original,1.0,1,rnn,kappa=1,5000,,1.0
degree,0.9993975726658338,0.998225786267029,0.5831495937818567,0.7489051303519489,pieli,1.0019912513465683,2,rnn,kappa=1,5000,,1.0
pagerank,0.9988002111445071,0.9968506302595925,0.6360305885172584,0.5712228673302803,original,1.0,2,rnn,kappa=1,5000,,1.0
betweenness,0.9993704059186902,0.9883257375778903,0.7070884170469223,0.3829758604358695,pieli,1.005179118792817,2,rnn,kappa=1,5000,,1.0
closeness,0.998423343435212,0.8032713866168397,0.05322368777318716,-0.00029898455385986983,exp,1.0027846319444105,2,rnn,kappa=1,5000,,1.0
harmonic,0.9985519817501641,0.9732048092965238,-0.09294420895138096,0.8209488375859091,pieli,1.0057619908643871,2,rnn,kappa=1,5000,,1.0
clustering,0.9995906442879847,0.9995906442879847,0.96778193980528,0.37002300242358666,original,1.0,2,rnn,kappa=1,5000,,1.0
degree,0.9675055691521133,0.9830382595456577,0.29340137646135345,0.9331234530173309,exp,1.012261565567934,1,rnn,kappa=1,5000,,2.0
pagerank,0.9705416252903979,0.9795609309274067,0.49702371196543627,0.8055637656197082,pieli,1.009283302022408,1,rnn,kappa=1,5000,,2.0
betweenness,0.7585828093837791,0.7327316543551519,0.6734450576396626,0.4531574751433114,exp,1.05317014674508,1,rnn,kappa=1,5000,,2.0
closeness,0.975786205777347,0.960496162349345,0.5857759232269681,0.6953081728600379,exp,1.0104865877109297,1,rnn,kappa=1,5000,,2.0
harmonic,0.9481121669062663,0.9570967032826184,-0.018639508383369474,0.9469277873197295,exp,1.0581784343263252,1,rnn,kappa=1,5000,,2.0
clustering,0.9454160233837885,0.9512951386725694,0.5388319144348159,0.6552060544654059,exp,1.0048560038067675,1,rnn,kappa=1,5000,,2.0
degree,0.9983969478031344,0.9791807921316181,0.22662575582931704,0.9894148304195822,pieli,1.0238209759253403,2,rnn,kappa=1,5000,,2.0
pagerank,0.99280282331179,0.9897706770788944,0.16752268521275915,0.9609924216847847,original,1.0,2,rnn,kappa=1,5000,,2.0
betweenness,0.9316564557313555,0.9328363842047989,0.6632000725266101,0.8448032496543056,exp,1.0169337809883123,2,rnn,kappa=1,5000,,2.0
closeness,0.9816848839010612,0.9532363709594733,0.0067526759479553475,0.949706617198724,exp,1.031916843202523,2,rnn,kappa=1,5000,,2.0
harmonic,0.9983955850119304,0.9635777994019807,-0.24942673537517404,0.9922893650162157,exp,1.0467279171195258,2,rnn,kappa=1,5000,,2.0
clustering,0.9888364833672563,0.8173833080051504,0.10416156557494424,0.934470330545081,exp,1.000500397640291,2,rnn,kappa=1,5000,,2.0
degree,0.9696194930951454,0.8661788658571397,0.23814710698367034,0.9737954820329002,exp,1.1789128940422664,1,rnn,kappa=1,5000,,3.0
pagerank,0.9199186822551667,0.9683003610193013,0.3467107551929637,0.9345080916268624,pieli,1.05009329573186,1,rnn,kappa=1,5000,,3.0
betweenness,0.6796600147386727,0.7963322175282164,0.5628482444782047,0.7031883898703515,pieli,1.1768727461380153,1,rnn,kappa=1,5000,,3.0
closeness,0.9105002913045257,0.44713436581859173,-0.326973497113204,0.9980659090235171,pieli,6.622466999425772,1,rnn,kappa=1,5000,,3.0
