,original vs. on crop,original vs. corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,model,relative_likelihood,cap_radius,graph_type,coord_type,n,k,radius_factor
degree,0.8818072682516729,0.9390013728387383,0.5860577814851337,-0.14935314296653235,exp,1.0469835714793874,1,delaunay,uniform,5000,,
pagerank,0.8911879316389426,0.9391757676676595,0.7334778608810626,-0.21227897157793663,exp,1.0376347553753544,1,delaunay,uniform,5000,,
betweenness,0.4317678255693509,0.6591908508033557,0.4291782578878556,-0.1434699887910207,exp,1.4918170205743366,1,delaunay,uniform,5000,,
closeness,0.3681992760975188,0.34046036174414757,0.5137748421770184,-0.40997281354515147,exp,2.1012664751021766,1,delaunay,uniform,5000,,
harmonic,0.3994336169392245,0.6088855431521256,0.467930321157913,-0.6822896017044663,exp,1.8138952077860977,1,delaunay,uniform,5000,,
clustering,0.9287991258119896,0.9287991258119896,0.6636180017525111,0.2246401394837627,original,1.0,1,delaunay,uniform,5000,,
degree,0.9605012488875881,0.9605012488875881,0.6416053951055014,-0.18186177563043598,original,1.0,2,delaunay,uniform,5000,,
pagerank,0.9645756112995094,0.9768792141904898,0.7811764254544529,-0.23167514705818124,exp,1.011244559996337,2,delaunay,uniform,5000,,
betweenness,0.577350313838976,0.74176897026689,0.575394839530488,-0.07322565562619529,pieli,1.2592224649133328,2,delaunay,uniform,5000,,
closeness,0.4123396693645247,0.6366623139140526,0.3767555847420607,-0.347549568862668,exp,2.4502789474952924,2,delaunay,uniform,5000,,
harmonic,0.4648817181456794,0.7156661389099996,0.4164409970309205,-0.8386651353007124,exp,2.0735998099955073,2,delaunay,uniform,5000,,
clustering,0.9711050737756162,0.9713623350763363,0.6754834462176351,0.22843559167335853,pieli,1.0005431674903555,2,delaunay,uniform,5000,,
degree,0.922790485686984,0.9387839206155403,0.16845800118252796,0.508473217697397,pieli,1.0168478427398064,1,knn,uniform,5000,5.0,
