,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes
degree,Constant Fit,,0,0,1.0,0.0,,5.972461273666093,,,,,,,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0005737234652897303,,,,,,,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
betweenness,Michaelis-Menten Fit,0.9999979595081168,1.7011498155862993e-05,0.921486162646995,1.0,0.01778542742398164,1.7773936775821193,,-0.12666059222513504,1.7012665813234752e-05,0.1320520223642488,,,,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
closeness,Exponential Saturation Fit,0.9999779439096397,0.028486274635836036,0.08000854240317973,1.0,0.4624211130235227,1.4594313485294321,,,,,-0.012650405627131142,24.33246959517065,0.0853813030141442,,,,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
clustering,Piecewise Linear Fit,0.9999998984583337,0.02189147618279557,0.0355864864617323,1.0,0.2197360872059667,1.0020179360541526,,,,,,,,0.04378295235949886,-0.7186685611102948,0.4578307492146481,glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,5205,1743
degree,Constant Fit,,0,0,1.0,0.0,,5.964396284829721,,,,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0007739938080495358,,,,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
betweenness,Michaelis-Menten Fit,0.9999997736954225,4.307840746684943e-05,0.8900761441723409,1.0,0.01934984520123839,1.547248917608862,,-0.11166321845217761,4.308625752587313e-05,0.11854758636318813,,,,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
closeness,Exponential Saturation Fit,0.9999801114140825,0.03441778282894627,0.08419492083378419,1.0,0.4852941176470588,1.3836833277005065,,,,,-0.014561519539142366,20.137090241660477,0.09374894500011483,,,,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
clustering,Piecewise Linear Fit,0.9999999974085463,0.050258598098191186,0.025992552581662356,1.0,0.3397832817337461,1.000654028625772,,,,,,,,0.1005171961514246,-0.2235816204660107,0.4435491452989725,glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,3853,1292
degree,Constant Fit,,0,0,1.0,0.0,,5.963927855711423,,,,,,,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,4464,1497
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0006680026720106881,,,,,,,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,4464,1497
betweenness,Michaelis-Menten Fit,0.9999929893912606,6.544550826233624e-05,0.8703097248274685,1.0,0.03006012024048096,1.3520153838734792,,-0.08129438597058285,6.546293914025004e-05,0.08733984619252794,,,,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,4464,1497
closeness,Exponential Saturation Fit,0.9999959904415252,0.007942675544168548,0.04877018281998503,1.0,0.16032064128256512,1.1033644258391146,,,,,-0.008210887873036272,87.26872813630133,0.08828482766434162,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,4464,1497
clustering,Exponential Saturation Fit,0.9999999996175893,0.0773971165788096,0.026899065304585166,1.0,0.8730794923179692,1.0002178954511807,,,,,-0.024161069596452815,8.784723803395648,0.4550423270804913,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,4464,1497
degree,Constant Fit,,0,0,1.0,0.0,,5.953833470733718,,,,,,,,,,glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,3611,1213
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0008244023083264633,,,,,,,,,,glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,3611,1213
betweenness,Michaelis-Menten Fit,0.9999999994180063,5.107172578922303e-06,0.876548189081898,1.0,0.020610057708161583,1.55186530023181,,-0.1001021700440283,5.107293187421318e-06,0.10715002892235378,,,,,,,glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,3611,1213
closeness,Piecewise Linear Fit,0.9998950599485898,0.003606499127619158,0.047492165179015444,1.0,0.0651277823577906,1.0500836161683065,,,,,,,,0.00721299825460825,-1.1447829458006016,0.09106212818506522,glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,3611,1213
clustering,Constant Fit,,0,0,1.0,0.0,,0.4303864222248394,,,,,,,,,,glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,3611,1213
degree,Constant Fit,,0,0,1.0,0.0,,5.977878985035784,,,,,,,,,,glioma_mibitof:CHOP_1101_R4C1_whole_cell.tiff,9188,3074
pagerank,Constant Fit,,0,0,1.0,0.0,,0.00032530904359141186,,,,,,,,,,glioma_mibitof:CHOP_1101_R4C1_whole_cell.tiff,9188,3074
betweenness,Michaelis-Menten Fit,0.999999913126893,7.341455631943154e-06,0.9244810019875992,1.0,0.012036434612882238,1.4963526974237085,,-0.10577397976080989,7.341698148584512e-06,0.11009239329983962,,,,,,,glioma_mibitof:CHOP_1101_R4C1_whole_cell.tiff,9188,3074
closeness,Exponential Saturation Fit,0.9999883025005163,0.028544916624918013,0.07324231551496453,1.0,0.4222511385816526,1.2039606815658113,,,,,-0.008765116289860186,24.281964115763465,0.0642176609517769,,,,glioma_mibitof:CHOP_1101_R4C1_whole_cell.tiff,9188,3074
clustering,Piecewise Linear Fit,0.9999999426915559,0.021302770122556755,0.0404900196375755,1.0,0.1724137931034483,1.0021346788697811,,,,,,,,0.0426055402400643,-0.8438178916149239,0.4619284826744748,glioma_mibitof:CHOP_1101_R4C1_whole_cell.tiff,9188,3074
degree,Constant Fit,,0,0,1.0,0.0,,5.973931933381608,,,,,,,,,,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,4125,1381
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0007241129616220132,,,,,,,,,,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,4125,1381
betweenness,Michaelis-Menten Fit,0.9996606906574692,8.14145012701714e-05,0.9108539541850564,1.0,0.03041274438812455,1.5997915952818322,,-0.12435701548503475,8.144188070682308e-05,0.13042054839279213,,,,,,,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,4125,1381
closeness,Exponential Saturation Fit,0.9999300942943922,0.04185901857565565,0.09850428743636065,1.0,0.6053584359160029,1.7250365281598643,,,,,-0.017319229539230853,16.551206363624406,0.09653879197022833,,,,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,4125,1381
clustering,Piecewise Linear Fit,0.9999997873230024,0.03308969337185672,0.03889786306668306,1.0,0.277335264301231,1.0041645771613108,,,,,,,,0.06617938673078662,-0.511950441949157,0.4524470643603916,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,4125,1381
degree,Piecewise Linear Fit,0.99999998087233,0.0642949040264194,-0.02582308002000682,1.0,0.4499396863691194,1.0002464649706755,,,,,,,,0.12858980805830242,2.3536559103451995,5.70885903680417,glioma_mibitof:Brainiaqc_R1C1_whole_cell.tiff,2462,829
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0012062726176115806,,,,,,,,,,glioma_mibitof:Brainiaqc_R1C1_whole_cell.tiff,2462,829
betweenness,Piecewise Linear Fit,0.9930276422638779,0.0001930993316959441,0.8182696791241365,1.0,0.026537997587454766,1.3096477133447797,,,,,,,,0.000386198663391701,-206.21639818658966,0.08848421563990323,glioma_mibitof:Brainiaqc_R1C1_whole_cell.tiff,2462,829
closeness,Piecewise Linear Fit,0.9999999999998778,0.2368321630671416,-0.07052583800845293,1.0,0.9987937273823885,1.1010396272719845,,,,,,,,0.4736643276884987,0.030476102221533605,0.09512379550524257,glioma_mibitof:Brainiaqc_R1C1_whole_cell.tiff,2462,829
clustering,Constant Fit,,0,0,1.0,0.0,,0.43824171405594814,,,,,,,,,,glioma_mibitof:Brainiaqc_R1C1_whole_cell.tiff,2462,829
degree,Constant Fit,,0,0,1.0,0.0,,5.98342365317182,,,,,,,,,,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,9385,3137
pagerank,Exponential Saturation Fit,0.9999952393420568,0.0006326897370340032,0.10661144748557272,1.0,0.023908192540643927,1.0070342040611537,,,,,-7.584591461530533e-05,1095.558309945964,0.00039363477692451167,,,,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,9385,3137
betweenness,Exponential Saturation Fit,0.9999979764945353,0.00023727933987560034,0.9188083467871836,1.0,0.015301243226012113,1.2635123506734551,,,,,-0.08944425997912156,2921.228548770237,0.09339618709842486,,,,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,9385,3137
closeness,Exponential Saturation Fit,0.9999971958511749,0.04236394743168831,0.08576445917173563,1.0,0.5125916480714058,1.2383788029159941,,,,,-0.01147444597231477,16.35164992833931,0.07260133103025587,,,,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,9385,3137
clustering,Piecewise Linear Fit,0.999999995900006,0.0402089881742556,0.023260332970033333,1.0,0.25470194453299333,1.0005522715078505,,,,,,,,0.08041797631675757,-0.2532559629178447,0.4479742340076788,glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,9385,3137
degree,Constant Fit,,0,0,1.0,0.0,,5.938931297709924,,,,,,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,2334,786
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0012722646310432567,,,,,,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,2334,786
betweenness,Michaelis-Menten Fit,0.9999799015967189,7.6851033487739e-06,0.8122336206923227,1.0,0.027989821882951654,1.3681039643475454,,-0.08038602530392236,7.68535557009582e-06,0.08967608777246211,,,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,2334,786
closeness,Piecewise Linear Fit,0.9998308113443124,0.005293310061109134,0.044842732675024775,1.0,0.06997455470737914,1.0593604765446527,,,,,,,,0.010586620121023434,-0.8860466525151514,0.10928052657345048,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,2334,786
clustering,Piecewise Linear Fit,0.9999999796070262,0.08290435636744285,0.041609112413532955,1.0,0.5368956743002544,1.0020914314500802,,,,,,,,0.16580871266118097,-0.22496390082753118,0.46688132703216356,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,2334,786
degree,Constant Fit,,0,0,1.0,0.0,,5.982765695527288,,,,,,,,,,glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,7290,2437
pagerank,Constant Fit,,0,0,1.0,0.0,,0.00041034058268362735,,,,,,,,,,glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,7290,2437
betweenness,Michaelis-Menten Fit,0.9999992615349377,6.086280962818019e-06,0.9387963112351478,1.0,0.008617152236356175,1.8067933619483385,,-0.14108212546626625,6.086429784717931e-06,0.1456791834073154,,,,,,,glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,7290,2437
closeness,Exponential Saturation Fit,0.9999217868622262,0.046772372352539754,0.11158905317654398,1.0,0.6544932293803857,1.880921383037658,,,,,-0.015881002103912405,14.806129487478405,0.07904912466174592,,,,glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,7290,2437
clustering,Piecewise Linear Fit,0.9999996215111101,0.01787328052079879,0.05545494961719513,1.0,0.17111202297907263,1.0054362096419278,,,,,,,,0.0357465610390412,-1.3983268960076247,0.4756772362387172,glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,7290,2437
degree,Constant Fit,,0,0,1.0,0.0,,5.9871350816427515,,,,,,,,,,glioma_mibitof:Brainiaqc_R8C3_whole_cell.tiff,12100,4042
pagerank,Constant Fit,,0,0,1.0,0.0,,0.00024740227610094015,,,,,,,,,,glioma_mibitof:Brainiaqc_R8C3_whole_cell.tiff,12100,4042
betweenness,Exponential Saturation Fit,0.9999924237085318,0.00016377687877144748,0.9408563880842573,1.0,0.009153884215734785,1.595979950948946,,,,,-0.11969876893221573,4232.265180500054,0.12346098893310682,,,,glioma_mibitof:Brainiaqc_R8C3_whole_cell.tiff,12100,4042
closeness,Exponential Saturation Fit,0.9999777988310226,0.04851910716112555,0.10400781359201594,1.0,0.5512122711528946,1.5271764802188357,,,,,-0.01156650470474883,14.267979137725307,0.0613333745168599,,,,glioma_mibitof:Brainiaqc_R8C3_whole_cell.tiff,12100,4042
clustering,Piecewise Linear Fit,0.9999999933913262,0.02948172588756518,0.030738669054794623,1.0,0.1788718456209797,1.001263606928983,,,,,,,,0.058963451762225776,-0.4569194734959707,0.45170623117982217,glioma_mibitof:Brainiaqc_R8C3_whole_cell.tiff,12100,4042
degree,Piecewise Linear Fit,0.9999998242084902,0.03966698848713534,-0.02827303024429474,1.0,0.38082191780821917,1.001888128409396,,,,,,,,0.07933397697617257,4.170619151739707,5.6859320077275735,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,2167,730
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0013698630136986301,,,,,,,,,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,2167,730
betweenness,Exponential Saturation Fit,0.9999990168859262,0.00014048376136705212,0.8279151465312203,1.0,0.038356164383561646,1.4045377051272583,,,,,-0.08623406465393761,4934.002157790635,0.09519607987939467,,,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,2167,730
closeness,Michaelis-Menten Fit,0.9999990928959658,0.0018508356190158539,0.06197861970736549,1.0,0.2328767123287671,1.1129331330154282,,-0.013815582451200379,0.0018648599847783743,0.1179154707804267,,,,,,,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,2167,730
clustering,Piecewise Linear Fit,0.9999997227860642,0.03875926464358232,0.049738770468446346,1.0,0.3767123287671233,1.0067249063306787,,,,,,,,0.07751852927352652,-0.568394837152791,0.4649559881001674,glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,2167,730
degree,Constant Fit,,0,0,1.0,0.0,,5.975782038345106,,,,,,,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,5922,1982
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0005045408678102925,,,,,,,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,5922,1982
betweenness,Michaelis-Menten Fit,0.9999998763362727,1.1273354166513347e-05,0.9164609531432238,1.0,0.012108980827447022,1.5031243783537203,,-0.11531033017898248,1.1273989072382812e-05,0.12056243176192957,,,,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,5922,1982
closeness,Exponential Saturation Fit,0.9999954557982919,0.042849720375046425,0.10447292576546309,1.0,0.6059535822401615,1.4345774664958744,,,,,-0.016068471263128815,16.139802482762768,0.08480409361098411,,,,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,5922,1982
clustering,Piecewise Linear Fit,0.9999999717106501,0.02706910839733877,0.04174995593667341,1.0,0.18264379414732593,1.0026380156335843,,,,,,,,0.05413821678674993,-0.6829071762800839,0.46125713473026286,glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,5922,1982
degree,Constant Fit,,0,0,1.0,0.0,,5.982280431432974,,,,,,,,,,glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,7765,2596
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0003852080123266564,,,,,,,,,,glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,7765,2596
betweenness,Michaelis-Menten Fit,0.9999796445918946,7.147463297932453e-05,0.9360794489514157,1.0,0.017334360554699536,1.6767853758464397,,-0.12719893041150535,7.149550115201293e-05,0.13152264451879658,,,,,,,glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,7765,2596
closeness,Exponential Saturation Fit,0.9999473980030638,0.0435893488044698,0.10109515370700824,1.0,0.5978428351309707,1.7393731743427232,,,,,-0.01381432732647863,15.892198771596602,0.07519920710578351,,,,glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,7765,2596
clustering,Piecewise Linear Fit,0.9999999372528539,0.029872673979983937,0.03437418455229107,1.0,0.21918335901386748,1.0015868222050175,,,,,,,,0.059745347948239894,-0.5094202133475174,0.4579262516750231,glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,7765,2596
degree,Constant Fit,,0,0,1.0,0.0,,5.974229176254027,,,,,,,,,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,6491,2173
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0004601932811780948,,,,,,,,,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,6491,2173
betweenness,Michaelis-Menten Fit,0.9998637107171656,1.3936756509107977e-06,0.9137173292053236,1.0,0.011965025310630465,1.4411281681354529,,-0.09819209061971294,1.393683436522787e-06,0.10282796125671276,,,,,,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,6491,2173
closeness,Exponential Saturation Fit,0.9999914078675197,0.01220080985602464,0.057831213294330115,1.0,0.26092959042797975,1.1077931406579156,,,,,-0.008990667171919058,56.81157233507977,0.0822272940099396,,,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,6491,2173
clustering,Constant Fit,,0,0,1.0,0.0,,0.4379845827843988,,,,,,,,,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,6491,2173
degree,Constant Fit,,0,0,1.0,0.0,,5.979822437449556,,,,,,,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,7409,2478
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0004035512510088781,,,,,,,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,7409,2478
betweenness,Exponential Saturation Fit,0.9999943470508468,0.0002975392374289857,0.8982488501179928,1.0,0.023002421307506054,1.2469855490259458,,,,,-0.08103645397816654,2329.5992413753247,0.08562624681994463,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,7409,2478
closeness,Exponential Saturation Fit,0.9999806749860012,0.03208190104969795,0.09054132590736494,1.0,0.4556093623890234,1.3333215738292508,,,,,-0.012941907716823556,21.60448140301962,0.07793789291998826,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,7409,2478
clustering,Piecewise Linear Fit,0.9999999631161731,0.03548702785426753,0.025816373431862497,1.0,0.2764326069410815,1.0009791575366795,,,,,,,,0.07097405568614783,-0.31703010484545724,0.4470380847395059,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,7409,2478
degree,Piecewise Linear Fit,0.9999999262130597,0.08037902602093437,-0.034498935302864055,1.0,0.5497076023391813,1.0015574655953092,,,,,,,,0.160758052048307,2.496854321904477,5.616723029457068,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1007,342
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0029239766081871343,,,,,,,,,,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1007,342
betweenness,Exponential Saturation Fit,0.9962759446030083,5.155553895682126e-05,0.6919290252789759,1.0,0.04678362573099415,1.2295163271106162,,,,,-0.06666453530857125,13444.66949788881,0.08150522528711521,,,,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1007,342
closeness,Piecewise Linear Fit,0.9999999999998674,0.24126298757176906,-0.06609596773494654,1.0,0.9970760233918129,1.1209829775551698,,,,,,,,0.4825259763608785,0.03963768711132048,0.13512207081378247,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1007,342
clustering,Constant Fit,,0,0,1.0,0.0,,0.43530817785203746,,,,,,,,,,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,1007,342
degree,Constant Fit,,0,0,1.0,0.0,,5.978354978354979,,,,,,,,,,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,6905,2310
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0004329004329004329,,,,,,,,,,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,6905,2310
betweenness,Michaelis-Menten Fit,0.9999524288630158,4.1535047692371605e-05,0.9300904244857382,1.0,0.01948051948051948,1.6460278497083107,,-0.12407198173799945,4.1541992985956516e-05,0.12872410974939272,,,,,,,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,6905,2310
closeness,Exponential Saturation Fit,0.999981764572674,0.04637947812521409,0.09598089288291273,1.0,0.6298701298701299,1.634691994312858,,,,,-0.013403673705559598,14.932202958918705,0.0764806504040928,,,,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,6905,2310
clustering,Piecewise Linear Fit,0.999999838937791,0.02166105036436378,0.043263181713717194,1.0,0.1961038961038961,1.0038165906570715,,,,,,,,0.043322100723825946,-0.8838162154369286,0.46165431846343236,glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,6905,2310
degree,Piecewise Linear Fit,0.9999999200268788,0.07262021463887024,-0.024133440013806965,1.0,0.5551102204408818,1.0000891679440287,,,,,,,,0.14524042928517986,1.9521461355586467,5.732460338218491,glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,1477,499
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0020040080160320635,,,,,,,,,,glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,1477,499
betweenness,Exponential Saturation Fit,0.9999983031050771,0.0002176931362661252,0.8058772247627811,1.0,0.052104208416833664,1.473861944762091,,,,,-0.09272383669504569,3184.056206489942,0.10389167211476218,,,,glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,1477,499
closeness,Exponential Saturation Fit,0.9999976512918857,0.005556338429739051,0.047149406232997765,1.0,0.20040080160320642,1.1162773506609194,,,,,-0.011767418442475698,124.74891474357854,0.13067232670254628,,,,glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,1477,499
clustering,Piecewise Linear Fit,0.9999998930813042,0.06575073388050041,0.035199075487191006,1.0,0.5170340681362725,1.0019949868742202,,,,,,,,0.1315014677045084,-0.23277676378608708,0.4501247043236439,glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,1477,499
degree,Constant Fit,,0,0,1.0,0.0,,5.98796992481203,,,,,,,,,,glioma_mibitof:Brainiaqc_R8C5_whole_cell.tiff,11946,3990
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0002506265664160401,,,,,,,,,,glioma_mibitof:Brainiaqc_R8C5_whole_cell.tiff,11946,3990
betweenness,Michaelis-Menten Fit,0.9999714804244753,3.546866764910967e-05,0.9498964409978472,1.0,0.012531328320802004,1.4680552445225257,,-0.12125696507092971,3.5473896254260665e-05,0.12444572279892611,,,,,,,glioma_mibitof:Brainiaqc_R8C5_whole_cell.tiff,11946,3990
closeness,Michaelis-Menten Fit,0.9999704848537705,0.024493615310046832,0.12713460304916427,1.0,1.0,1.4602690769498012,,-0.0168211196841138,0.02726925477330878,0.07056696730514635,,,,,,,glioma_mibitof:Brainiaqc_R8C5_whole_cell.tiff,11946,3990
clustering,Piecewise Linear Fit,0.9999999113700855,0.012095738765371214,0.04289231637201373,1.0,0.13734335839598996,1.0028077356280196,,,,,,,,0.024191477529201765,-1.5701686131286516,0.4617837620210507,glioma_mibitof:Brainiaqc_R8C5_whole_cell.tiff,11946,3990
degree,Constant Fit,,0,0,1.0,0.0,,5.979575805184603,,,,,,,,,,glioma_mibitof:CHOP_1101_R3C3_whole_cell.tiff,7612,2546
pagerank,Exponential Saturation Fit,0.9999963500797118,3.7063910154392385e-05,0.08974991531609101,1.0,0.009426551453260016,1.0052542206316157,,,,,-7.731566396913555e-05,18701.43951553041,0.0004693861213754007,,,,glioma_mibitof:CHOP_1101_R3C3_whole_cell.tiff,7612,2546
betweenness,Piecewise Linear Fit,0.999999843153199,0.00010323186444816493,0.9218555242162485,1.0,0.009819324430479183,1.4670244100634888,,,,,,,,0.00020646372889629138,-536.7734104701556,0.11552145210282537,glioma_mibitof:CHOP_1101_R3C3_whole_cell.tiff,7612,2546
closeness,Michaelis-Menten Fit,0.9999757639936526,0.03217471265145241,0.10213972204402398,1.0,1.0,1.201386340345672,,-0.015301014644098145,0.03747192695864812,0.07627403487512546,,,,,,,glioma_mibitof:CHOP_1101_R3C3_whole_cell.tiff,7612,2546
clustering,Michaelis-Menten Fit,0.9999999969905035,0.04869878432938223,0.023795157195720867,1.0,1.0,1.000255838093935,,-0.023275297262230432,0.06195506917837029,0.4407286715091655,,,,,,,glioma_mibitof:CHOP_1101_R3C3_whole_cell.tiff,7612,2546
degree,Constant Fit,,0,0,1.0,0.0,,5.977003484320558,,,,,,,,,,glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,8577,2870
pagerank,Constant Fit,,0,0,1.0,0.0,,0.00034843205574912887,,,,,,,,,,glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,8577,2870
betweenness,Michaelis-Menten Fit,0.9999999563495102,7.720953313375029e-06,0.9135396570641395,1.0,0.011846689895470384,1.3079062785314324,,-0.09267827293759756,7.721193582334817e-06,0.0970624480388935,,,,,,,glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,8577,2870
closeness,Exponential Saturation Fit,0.9999723123929765,0.028290311337198858,0.08600649073385448,1.0,0.4522648083623693,1.2031730980002242,,,,,-0.011164149403212576,24.50103613497091,0.0704846515676861,,,,glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,8577,2870
clustering,Piecewise Linear Fit,0.9999998766906905,0.01593600990071988,0.046215337212310637,1.0,0.1372822299651568,1.0026910457137128,,,,,,,,0.03187201979897886,-1.2951231046928362,0.4672244894251643,glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,8577,2870
degree,Piecewise Linear Fit,0.9999998404516435,0.024975514201629898,-0.02722252553277293,1.0,0.2390158172231986,1.0017665205607682,,,,,,,,0.04995102840404428,6.367864515992305,5.683205300183369,glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,3388,1138
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0008787346221441123,,,,,,,,,,glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,3388,1138
betweenness,Michaelis-Menten Fit,0.9999999935643628,7.90928601246644e-06,0.8351188713522774,1.0,0.0210896309314587,1.3455027181493908,,-0.08007060535080848,7.90954097297797e-06,0.08797353011496585,,,,,,,glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,3388,1138
closeness,Exponential Saturation Fit,0.9999948150985615,0.013751774938310654,0.04659216500105985,1.0,0.26362038664323373,1.1463278373071428,,,,,-0.008158480774766058,50.40419843317641,0.09163130809840689,,,,glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,3388,1138
clustering,Piecewise Linear Fit,0.9999998597393807,0.026519351297460598,0.03749581257634562,1.0,0.2469244288224956,1.0032568229483856,,,,,,,,0.05303870258631982,-0.6166223620502749,0.4524657910072064,glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,3388,1138
degree,Piecewise Linear Fit,0.9999999314194219,0.033488167004780786,-0.01826480297222831,1.0,0.29797191887675506,1.0014084603478588,,,,,,,,0.06697633401164654,3.2120031058622276,5.781582180972107,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,3819,1282
pagerank,Constant Fit,,0,0,1.0,0.0,,0.0007800312012480501,,,,,,,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,3819,1282
betweenness,Michaelis-Menten Fit,0.999999998100649,1.7157748154184308e-06,0.8844747876770785,1.0,0.01950078003120125,1.6772879459873558,,-0.10773478823329424,1.7157869446862022e-06,0.11477024394710601,,,,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,3819,1282
