,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,dataset,num_edges,num_nodes,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c
degree,Piecewise Linear Fit,0.9999998078241333,0.08232083037782462,0.06664701962695284,1.0,0.6041397153945667,1.0001528633025862,0.1646416607444748,-1.4733518928784815,1.9411371398433472,,,,,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,690,773,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.00129366106080207,,,,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,690,773,,,
betweenness,Piecewise Linear Fit,0.9999997888368313,0.12495834713050984,0.47077598047756447,1.0,0.7787839586028461,1.0056791108723024,0.24991657136742104,-0.0002033602214284361,7.938949203694379e-05,,,,,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,690,773,,,
closeness,Piecewise Linear Fit,0.9999988490490516,0.1083333323126302,-0.13024740985264194,0.8576972833117723,0.7285067873303167,1.0096622228712169,0.2166666646611704,0.6033625465071921,0.4364827505900501,,,,,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,690,773,,,
clustering,Exponential Saturation Fit,0.9999999888834228,0.020917983703316118,0.17742427509374542,1.0,0.39715394566623546,1.0002249199973092,,,,,-0.08568372109119118,33.13641613831989,0.284307420944605,glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,690,773,,,
degree,Exponential Saturation Fit,0.999996947797031,0.005258697268485872,-0.30205951661958064,1.0,0.10178117048346055,1.0070279601329513,,,,,1.1784055882181275,131.809675493007,1.3614154174535726,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786,,,
pagerank,Michaelis-Menten Fit,0.9999988413101176,0.002841330725808731,-0.12345433273484138,1.0,0.2010178117048346,1.0030634410450596,,,,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786,0.0002855554711855453,0.002876234471138089,0.0010075566859489866
betweenness,Piecewise Linear Fit,0.9999998734704133,0.11683674780494899,0.4322579345138555,1.0,0.7086513994910941,1.004488079795,0.2336733156663258,-0.00012985931799775816,5.0272452677985234e-05,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786,,,
closeness,Piecewise Linear Fit,0.9999997647593463,0.009231128180183287,0.13622251377772931,0.8982188295165394,0.07790368271954674,1.0056110842441088,0.018462256360178668,-9.825573863705069,0.7565318322750503,,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.4513177026535805,,,,glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,972,786,,,
degree,Exponential Saturation Fit,0.9999999589981118,0.06685358838505992,-0.5646869175739918,1.0,0.8028169014084507,1.0197036173421246,,,,,0.8630554721074081,10.221060230593116,0.3293745558163476,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,62,142,,,
pagerank,Michaelis-Menten Fit,0.9999990064665072,0.09587992008363162,-0.24443990638647062,1.0,1.0,1.0045808902150624,,,,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,62,142,0.004600488318238075,0.16660393476099403,0.005194286598040742
betweenness,Piecewise Linear Fit,0.9999987357540499,0.0841535253625888,-1.2450060968885996,1.0,0.5985915492957746,1.0035298099328773,0.16830708692766735,0.00046490462835942887,-7.699180677226912e-06,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,62,142,,,
closeness,Michaelis-Menten Fit,0.99981917283016,9.999953145556762e-07,-0.4166875842623781,0.5070422535211268,0.05555555555555555,1.0287989777311806,,,,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,62,142,0.48923023080971806,1.0000000000000002e-06,0.3424308883040073
clustering,Piecewise Linear Fit,0.9999983363465087,0.07480314950397064,-0.7298443743759856,1.0,0.5140845070422535,1.0090025185133575,0.14960629901987516,1.2536305866785424,0.034711486587661065,,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,62,142,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,3.230889235569423,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,2071,1282,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0007800312012480501,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,2071,1282,,,
betweenness,Piecewise Linear Fit,0.9999989697284389,0.03427534493268298,-0.8942758154152792,1.0,0.2995319812792512,1.0109156157166175,0.0685506898906614,0.2710001186583767,0.0010981310050887688,,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,2071,1282,,,
closeness,Constant Fit,,0,0,0.96801872074883,0.0,,,,,0.0944052646241052,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,2071,1282,,,
clustering,Piecewise Linear Fit,0.9999998669445637,0.03823529327269017,0.23377374575694443,1.0,0.31903276131045244,1.0185285422782724,0.07647058654182201,-2.1490547334435472,0.43366232202822436,,,,,glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,2071,1282,,,
degree,Exponential Saturation Fit,0.9999970131774292,0.008660073077248179,-0.27490473508884244,1.0,0.1911170928667564,1.0106095563144066,,,,,0.9224757018840792,80.03941471031968,1.21657192115677,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,764,743,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0013458950201884255,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,764,743,,,
betweenness,Piecewise Linear Fit,0.9999989522432826,0.027505938930040424,-1.1491559229251083,1.0,0.253028263795424,1.0022951001269085,0.05501187922251871,0.004037753128307049,-1.4415486299620302e-05,,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,764,743,,,
closeness,Piecewise Linear Fit,0.9999758896075464,0.01699745079508452,0.18342088780180216,0.8977119784656796,0.18140929535232383,1.014186663666398,0.03399490158961361,-6.120335726256761,0.6711961821975742,,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,764,743,,,
clustering,Michaelis-Menten Fit,0.9999999412294666,0.009118941197616555,-0.4103865078459183,1.0,0.6164199192462988,1.0028849291474655,,,,,,,,glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,764,743,0.17919563467636568,0.009470239148525449,0.12629493653525692
degree,Constant Fit,,0,0,1.0,0.0,,,,,3.6869565217391305,,,,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,2756,1495,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.0006688963210702341,,,,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,2756,1495,,,
betweenness,Michaelis-Menten Fit,0.9999999310660967,0.12040614214651317,-0.7244382873028995,1.0,1.0,1.0231666130263457,,,,,,,,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,2756,1495,0.04550111737651783,0.2351170360589518,0.005861655104388792
closeness,Michaelis-Menten Fit,0.9999997868271773,0.24678842211210764,-0.2451767453894103,0.9852842809364548,1.0,1.0001714645590412,,,,,,,,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,2756,1495,1625.8440680913795,32502.764351861886,0.03800546675310996
clustering,Exponential Saturation Fit,0.9999999647808457,0.010217391955996408,0.2637938173552924,1.0,0.22608695652173913,1.0199515071718024,,,,,-0.21969605372508336,67.83993253858885,0.5262642565932107,glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,2756,1495,,,
degree,Michaelis-Menten Fit,0.9999966354083897,0.0011202038501021431,-0.16365194638300057,1.0,0.13933236574746008,1.004660127043622,,,,,,,,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,2291,1378,0.9512105584547592,0.0011253368595854202,2.4250386576507017
pagerank,Piecewise Linear Fit,0.9999987646044964,0.005454689036505682,-0.11126453985917072,1.0,0.09724238026124818,1.0111470872246622,0.010909378153857698,0.013493966479058034,0.0005879295960285655,,,,,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,2291,1378,,,
betweenness,Piecewise Linear Fit,0.9999999990129707,0.2357530690476108,-0.7770867145563518,1.0,0.9956458635703919,1.0657151686617297,0.4715061386240698,0.08915716898153216,0.006029483215589823,,,,,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,2291,1378,,,
closeness,Constant Fit,,0,0,0.9833091436865021,0.0,,,,,0.057049750775355186,,,,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,2291,1378,,,
clustering,Michaelis-Menten Fit,0.9999999772279836,0.023430627123755675,0.17944153061022183,1.0,1.0,1.0067964260910922,,,,,,,,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,2291,1378,-0.14442029967304026,0.025901819911366374,0.45085090622719437
degree,Piecewise Linear Fit,0.9999991057089561,0.10062720225020086,-0.12109979904492336,1.0,0.6519721577726219,1.0070953899358055,0.20125440450749194,2.8385293302296533,2.0730268422907856,,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,1049,862,,,
pagerank,Michaelis-Menten Fit,0.9999992643115484,0.0017128691095864281,-0.11841076547797044,1.0,0.17981438515081208,1.0023772009822633,,,,,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,1049,862,0.00024970159826940533,0.0017252949914112019,0.0009261773116750912
betweenness,Piecewise Linear Fit,0.9999996918623507,0.012745097779451037,-0.7474610844216759,1.0,0.14849187935034802,1.0032427397837689,0.0254901960237021,0.005484120981463576,2.361505773047172e-05,,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,1049,862,,,
closeness,Constant Fit,,0,0,0.9164733178654292,0.0,,,,,0.4111860671107871,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,1049,862,,,
clustering,Piecewise Linear Fit,0.9999998128988071,0.07352941361676266,-0.16033094188898747,1.0,0.4988399071925754,1.00245512620712,0.14705882725573452,0.6621543299429942,0.2549829443106532,,,,,glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,1049,862,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,1.2714285714285714,,,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,267,420,,,
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.002380952380952381,,,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,267,420,,,
betweenness,Piecewise Linear Fit,0.9999993632366369,0.13448047459734846,-0.5172709398546451,1.0,0.8142857142857143,1.0020226956966267,0.2689612306986464,9.554428976364574e-05,1.1990794956735456e-05,,,,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,267,420,,,
closeness,Constant Fit,,0,0,0.6857142857142857,0.0,,,,,0.6873147548177059,,,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,267,420,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.17285714285714285,,,,glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,267,420,,,
degree,Michaelis-Menten Fit,0.99999090256982,0.0072181368167157775,-0.37949400577586406,1.0,0.5195482189400521,1.0156001886350947,,,,,,,,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,3316,1151,3.4213579131098237,0.0074370332043373994,2.7553312504148515
pagerank,Exponential Saturation Fit,0.9999997767298794,0.0016898386971974455,-0.1957319934613637,1.0,0.059079061685490875,1.0133310248021568,,,,,0.00028741629292715424,410.1852051218294,0.0005905005750418552,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,3316,1151,,,
betweenness,Piecewise Linear Fit,0.9999996065901979,0.022251754344554356,-0.7509518610205563,1.0,0.19287576020851432,1.0040681761057908,0.04450351019723653,0.0029509109297230617,2.1776625284124808e-05,,,,,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,3316,1151,,,
closeness,Piecewise Linear Fit,0.9999994513348084,0.023975346668391743,0.17338593908876823,0.9582971329278888,0.21214868540344514,1.0117565452831603,0.047950693335314376,-3.263949888670824,0.5295846426215512,,,,,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,3316,1151,,,
clustering,Exponential Saturation Fit,0.9999999897239454,0.14620063665476563,-0.06097262179881652,1.0,1.0,1.0008393642036566,,,,,0.09133880305796248,3.7168111574176885,0.5897268027277199,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,3316,1151,,,
degree,Exponential Saturation Fit,0.9999986291813634,0.004980074631092951,-0.248241304252457,1.0,0.11695906432748537,1.00600942168622,,,,,0.9674185895142511,139.18409497900547,1.4648354738152698,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,1014,855,,,
pagerank,Piecewise Linear Fit,0.9999980368258489,0.006281560199366268,-0.09936231210759246,1.0,0.09590643274853801,1.0022331656651762,0.01256312047253499,0.017022629801120653,0.0009692204935463576,,,,,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,1014,855,,,
betweenness,Piecewise Linear Fit,0.9999999834302413,0.051197696387328996,-0.7119264263108134,1.0,0.3508771929824561,1.002651065931976,0.10239539515260836,0.00430603578622892,8.920642360333993e-05,,,,,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,1014,855,,,
closeness,Michaelis-Menten Fit,0.9999998537545838,0.0177614920821309,0.19916113074586989,0.8970760233918129,0.9361147327249022,1.0061243905211092,,,,,,,,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,1014,855,-0.17738689022142437,0.01913529547624485,0.5141447083926264
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.2731662489557226,,,,glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,1014,855,,,
degree,Michaelis-Menten Fit,0.9999980425554185,0.08881227543828835,0.35898239186812103,1.0,1.0,1.0310896258602775,,,,,,,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,261,464,-1.078469094205411,0.1413487385902996,1.5753955761908547
pagerank,Michaelis-Menten Fit,0.9999936203324976,0.23894755426132244,0.3299017246982374,1.0,1.0,1.0264951753967222,,,,,,,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,261,464,-181.25010940746662,68610.41513625861,0.0025446277686556724
betweenness,Piecewise Linear Fit,0.9999999875765772,0.1482444961551024,0.713140579048006,1.0,0.8577586206896551,1.009192769973661,0.2964884997689655,-6.019577015779251e-05,2.1436835346296864e-05,,,,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,261,464,,,
closeness,Piecewise Linear Fit,0.9999999543077398,0.06391222010344971,-0.07511381661383419,0.709051724137931,0.574468085106383,1.0057309984640226,0.1278244402223525,0.8271671353345267,0.6509470105753844,,,,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,261,464,,,
clustering,Piecewise Linear Fit,0.9999990417540776,0.029130006680446664,0.5056987175256182,1.0,0.32112068965517243,1.013412563072083,0.0582600133585468,-2.482810091077367,0.21534277943804261,,,,,glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,261,464,,,
degree,Michaelis-Menten Fit,0.999999838790936,0.004408770228855668,-0.41745967737016554,1.0,0.3099273607748184,1.0238043831125514,,,,,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,12233,2478,6.149414604600028,0.004492021600851805,4.250441617354114
pagerank,Exponential Saturation Fit,0.9999596538226309,0.0025500564485657,-0.17722555035671145,1.0,0.06658595641646489,1.0212480930988872,,,,,0.0001227618597051044,271.8160871950728,0.0002849625904114841,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,12233,2478,,,
betweenness,Michaelis-Menten Fit,0.9999999763154844,0.14437973617999622,-0.8051821562847294,1.0,1.0,1.0332583243045208,,,,,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,12233,2478,0.013958060104566843,0.36731270402691585,0.0009529209563190126
closeness,Piecewise Linear Fit,0.9999997722954793,0.0947167226153239,0.33926220949176566,0.9911218724778047,0.5977198697068404,1.0172022650700991,0.1894334451804861,-0.3776456516213434,0.14120213992354744,,,,,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,12233,2478,,,
clustering,Exponential Saturation Fit,0.9999998159978092,0.007111472809013596,0.07941436629008759,1.0,0.14245359160613397,1.004553124334363,,,,,-0.09814563533765774,97.46886477584421,0.6670065739567433,glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,12233,2478,,,
degree,Exponential Saturation Fit,0.999951751211466,0.010420020084627552,-0.3898628458049299,1.0,0.1721879815100154,1.0317928754894512,,,,,4.4366977119963495,66.52071444276629,3.4717262046261856,glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,9864,2596,,,
pagerank,Piecewise Linear Fit,0.9999995414860382,0.00783447231211475,-0.12556264132342213,1.0,0.07280431432973807,1.0174755900624846,0.01566894490704869,0.0055402692384203195,0.0003022795850597336,,,,,glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,9864,2596,,,
betweenness,Michaelis-Menten Fit,0.9999999988481857,0.20008504088009815,-0.9263254817132895,1.0,1.0,1.0953219680342692,,,,,,,,glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,9864,2596,0.05735967361910815,1.0939082967815827,0.0007054121172323546
closeness,Piecewise Linear Fit,0.9999999494546457,0.04018057795223168,0.3661375837947927,0.9969183359013868,0.2867078825347759,1.0137063326567712,0.08036115589373317,-0.7489277546678492,0.11228098985835579,,,,,glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,9864,2596,,,
clustering,Piecewise Linear Fit,0.9999998882327442,0.015181194903581652,0.09509491674521336,1.0,0.12403697996918336,1.0091126065532048,0.03036238980638019,-3.877310302910358,0.677845903258572,,,,,glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,9864,2596,,,
degree,Constant Fit,,0,0,1.0,0.0,,,,,1.9900249376558603,,,,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,798,802,,,
pagerank,Michaelis-Menten Fit,0.9999998194272635,9.999950921753902e-07,-0.11762059408137598,1.0,0.028678304239401497,1.0010894722931825,,,,,,,,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,798,802,0.00026404705467480445,1.0000000000001306e-06,0.0009904268457244746
betweenness,Piecewise Linear Fit,0.9999999506801023,0.039666988365907915,-0.6303089387848095,1.0,0.34538653366583544,1.0047216228136089,0.0793339869771892,0.0007743395384720987,1.801544518484789e-05,,,,,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,798,802,,,
closeness,Michaelis-Menten Fit,0.9999995226874173,0.00025278339167571884,0.16058980809996504,0.8890274314214464,0.06311360448807854,1.003013019731264,,,,,,,,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,798,802,-0.18331592025876858,0.00025304887860068685,0.6620685537018648
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.2623025768911056,,,,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,798,802,,,
degree,Piecewise Linear Fit,0.9999635472879931,0.06382460309617356,0.4908210081262973,1.0,0.6035502958579881,1.0661791312758204,0.12764920619121456,-11.270929674540662,2.184993873804712,,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,110,169,,,
pagerank,Piecewise Linear Fit,0.9999800621583066,0.05441176489514542,0.2442671149468747,1.0,0.5680473372781065,1.033942709284514,0.10882352941060146,-0.028661200670177956,0.007943937318212633,,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,110,169,,,
betweenness,Constant Fit,,0,0,1.0,0.0,,,,,0.0003340740328303663,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,110,169,,,
closeness,Piecewise Linear Fit,0.9999975375300011,0.1010597687445951,-0.15358667734157486,0.6153846153846154,0.75,1.0128183552930994,0.20211953750813375,1.06695724068945,0.5942295718101507,,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,110,169,,,
clustering,Piecewise Linear Fit,0.9999773121209038,0.04640496800986944,0.740848338977872,1.0,0.5266272189349113,1.0960308737437654,0.09280993601767275,-4.491978243281022,0.4898168799703565,,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,110,169,,,
degree,Michaelis-Menten Fit,0.9999994934428661,0.006797354462953249,-0.24668375048058178,1.0,0.4774520856820744,1.0115341697620663,,,,,,,,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,5816,1774,2.7500896236200374,0.006992144463745492,4.139759130955124
pagerank,Piecewise Linear Fit,0.999983413121613,0.005534126219341031,-0.11583991141149817,1.0,0.08004509582863585,1.0126933675854495,0.011068252542243903,0.01068757887218901,0.00045144104109034485,,,,,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,5816,1774,,,
betweenness,Piecewise Linear Fit,0.9999906465034629,0.09201218819683156,-1.2914106588720773,1.0,0.6189402480270575,1.034940427328339,0.18402437652315748,0.14210994967134236,-0.002950603943887895,,,,,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,5816,1774,,,
closeness,Piecewise Linear Fit,0.9999974791413441,0.03396634061237451,0.4048202366383738,0.9864712514092446,0.27714285714285714,1.0131709765466204,0.06793268122058194,-1.6302167899464068,0.1921554303492437,,,,,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,5816,1774,,,
clustering,Michaelis-Menten Fit,0.9999998213652456,0.009918379318756236,0.06737690334798918,1.0,0.6516347237880497,1.0015558480872337,,,,,,,,glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,5816,1774,-0.08549301731851851,0.010338641704434739,0.6631358898700356
degree,Michaelis-Menten Fit,0.9999930749247726,0.00021720013591195402,-0.4582630050883493,1.0,0.09166666666666666,1.0044757388003194,,,,,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,164,360,0.5953163719754999,0.00021739186844279383,0.3517222824698658
pagerank,Constant Fit,,0,0,1.0,0.0,,,,,0.002777777777777778,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,164,360,,,
betweenness,Piecewise Linear Fit,0.9999997183472914,0.03598883696769911,-0.7887396338068086,1.0,0.3638888888888889,1.000574968483291,0.07197772473600489,0.00014168664247605597,1.3657320207057784e-06,,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,164,360,,,
closeness,Constant Fit,,0,0,0.6111111111111112,0.0,,,,,0.7886355781104997,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,164,360,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.11388888888888889,,,,glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,164,360,,,
degree,Michaelis-Menten Fit,0.9999991619523497,0.0014528843310222075,-0.1336997203037179,1.0,0.16350555918901244,1.0016794949608634,,,,,,,,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,3019,1529,0.9464230885226966,0.0014616193765248737,3.0569596789017583
pagerank,Exponential Saturation Fit,0.9999960706545808,0.0024014291462366244,-0.09752885301913539,1.0,0.09417920209287116,1.0056492687890422,,,,,0.00011723105048387301,288.6390916971125,0.0005423914439879114,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,3019,1529,,,
betweenness,Piecewise Linear Fit,0.9999995000974143,0.1383920479248717,-1.0718616247542356,1.0,0.8149117069980379,1.05424359633351,0.2767840964284569,0.04782748032458525,-0.0004437588193179073,,,,,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,3019,1529,,,
closeness,Piecewise Linear Fit,0.9999998075430908,0.04282329114257647,0.38667870374768226,0.9914977109221713,0.3502638522427441,1.0164050473380912,0.08564658227888867,-1.3672276685794775,0.2099647899303638,,,,,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,3019,1529,,,
clustering,Exponential Saturation Fit,0.9999987163277946,0.01033397743965518,0.17060427404429032,1.0,0.2197514715500327,1.0115206955578377,,,,,-0.19884625240910786,67.07457850672137,0.6821935565058007,glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,3019,1529,,,
degree,Michaelis-Menten Fit,0.999999125937782,0.0008008656829004654,-0.1858749658852221,1.0,0.12054120541205413,1.001041575619254,,,,,,,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,885,813,0.6939450051984573,0.0008035325125642007,1.517199816490259
pagerank,Exponential Saturation Fit,0.9999995724085742,0.004349039741517372,-0.08224192135903474,1.0,0.13653136531365315,1.0006702764209117,,,,,0.0001888473215965856,159.37924052867683,0.0010536970922904083,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,885,813,,,
betweenness,Michaelis-Menten Fit,0.9999995217905795,0.24130249964001116,-0.5307102810769285,1.0,1.0,1.0090388286883505,,,,,,,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,885,813,3.4464598035162446,17241.822601156262,4.2650960686294106e-05
closeness,Piecewise Linear Fit,0.9999991335495447,0.01815505394837348,0.1516491333192249,0.9052890528905289,0.1983695652173913,1.008683035795817,0.0363101078958632,-4.10862463113144,0.5664665393529386,,,,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,885,813,,,
clustering,Piecewise Linear Fit,0.9999994360113296,0.03115679590644043,0.13708436564885612,1.0,0.2829028290282903,1.0003248929818642,0.062313591808007635,-1.2786897627644063,0.3304629223444125,,,,,glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,885,813,,,
degree,Michaelis-Menten Fit,0.999998432754653,0.24217049563527043,-0.12359824625664406,1.0,1.0,1.0098516502501025,,,,,,,,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,2355,1381,109287.17011985423,60270.95085557935,3.1136626160259295
pagerank,Exponential Saturation Fit,0.9999938017534395,0.0028541716890851977,-0.12487183770515176,1.0,0.09847936278059377,1.00775892253465,,,,,0.00016246760809331142,242.85384362261982,0.00056930357328316,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,2355,1381,,,
betweenness,Piecewise Linear Fit,0.9999999999999476,0.24217146821412253,-0.7378072221883117,1.0,0.999275887038378,1.0303871738720145,0.4843429373572685,0.05213462912581248,0.004486700517660734,,,,,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,2355,1381,,,
closeness,Michaelis-Menten Fit,0.9999999236516491,0.23071547879037818,0.5823325012187434,0.9840695148443157,1.0,1.0089602743486439,,,,,,,,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,2355,1381,-1.0918630541081222,4.877160920701859,0.13400815944995065
clustering,Piecewise Linear Fit,0.9999996489466405,0.017507631166619183,0.15476068344763536,1.0,0.1781317885590152,1.0058283341904362,0.03501526233223583,-3.4926602552237176,0.45626282041586214,,,,,glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,2355,1381,,,
degree,Piecewise Linear Fit,0.9999999999996211,0.2449919528014089,-0.20479573375195478,1.0,0.9966216216216216,1.0060728048561682,0.4899839056342976,1.5565024421783615,1.4806739028909706,,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,513,592,,,
pagerank,Exponential Saturation Fit,0.9999988673493205,1.6973340044051366e-06,-0.15916246953806917,1.0,0.02364864864864865,1.0006929455541107,,,,,0.000466911207801203,408373.9349989968,0.0012333198025129,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,513,592,,,
betweenness,Piecewise Linear Fit,0.9999996359918848,0.07220820399916329,0.6970171939800871,1.0,0.5236486486486487,1.0099142521016267,0.14441636663765317,-0.000349163579865584,6.138436303926844e-05,,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,513,592,,,
closeness,Piecewise Linear Fit,0.9999994077392556,0.07280663462016951,-0.09387055705537384,0.8209459459459459,0.522633744855967,1.008425590068248,0.14561326925660387,0.8952648214585655,0.6291921906697474,,,,,glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,513,592,,,
