,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.9072068413035344,0.9529905887129384,0.6007326321478219,-0.1792459767186942,1,delaunay,uniform,5000,,
closeness,0.34568011170465185,0.42427781751378746,0.41417233954054333,-0.7797506862883603,1,delaunay,uniform,5000,,
betweenness,0.4136699095392078,0.6236731586179669,0.40958647476120713,-0.1324804862089555,1,delaunay,uniform,5000,,
harmonic,0.4184026808247232,0.6273719023824227,0.4121363317942718,-0.6944997169273843,1,delaunay,uniform,5000,,
clustering,0.930228224899734,0.9295718466633125,0.6500348010389693,0.2512779913690029,1,delaunay,uniform,5000,,
pagerank,0.9177912974199247,0.9551411722482424,0.7255285450036588,-0.2179844243024554,1,delaunay,uniform,5000,,
degree,0.9618969289139545,0.9757786461999591,0.6309800709911643,-0.1700281351310008,2,delaunay,uniform,5000,,
closeness,0.358616294450555,0.5797449437245838,0.3388779086892257,-0.8975778578779536,2,delaunay,uniform,5000,,
betweenness,0.5860318026588105,0.7438590867875667,0.5812361231017306,-0.05955446620311217,2,delaunay,uniform,5000,,
harmonic,0.4143671603580228,0.7309895166218136,0.36525424287302266,-0.8290182725206796,2,delaunay,uniform,5000,,
clustering,0.9758791468251544,0.9758791468251544,0.6748652483238403,0.22991493182800432,2,delaunay,uniform,5000,,
pagerank,0.9660896659289036,0.9762159515214222,0.7741376066605947,-0.20857793530803687,2,delaunay,uniform,5000,,
degree,0.9139977342023211,0.9377109955238523,0.24685810516097065,0.5238209576620336,1,knn,uniform,5000,5.0,
closeness,0.37161403471263765,0.7777724525115847,0.043905454148962075,0.11322120380414522,1,knn,uniform,5000,5.0,
betweenness,0.7717182961378883,0.8164424019458572,0.7369181961545179,0.3554868122393268,1,knn,uniform,5000,5.0,
harmonic,0.3679876947141846,0.8846301110440138,0.5191859416442737,0.6175146212255099,1,knn,uniform,5000,5.0,
clustering,0.8850402527360467,0.9138253643580676,0.3810238212875914,0.4830181815207022,1,knn,uniform,5000,5.0,
pagerank,0.9109345276078663,0.9305940580124714,0.06704899250462147,0.6275564416017738,1,knn,uniform,5000,5.0,
degree,0.9737026436190938,0.9799650888572348,0.2548017796228996,0.5606390788393084,2,knn,uniform,5000,5.0,
closeness,0.40362609676437955,0.8756509640410752,-0.018104134149607484,0.08876642585434248,2,knn,uniform,5000,5.0,
betweenness,0.8759927593372256,0.88133031197632,0.7858405645591895,0.13305721224050687,2,knn,uniform,5000,5.0,
harmonic,0.5084560147479922,0.9360802253066768,0.5601331245622865,0.6515563591780444,2,knn,uniform,5000,5.0,
clustering,0.9555708246927597,0.9687046304013276,0.3106679321160034,0.5793889390683844,2,knn,uniform,5000,5.0,
pagerank,0.9723307424256661,0.9786892855747263,0.028937149612449916,0.6705943534233187,2,knn,uniform,5000,5.0,
degree,0.8705881907712787,0.924335702810265,0.12042122015194068,0.6480804582387809,1,knn,uniform,5000,10.0,
closeness,-0.2168961724560859,0.584859576197325,0.49171314923762555,0.9745136847449754,1,knn,uniform,5000,10.0,
betweenness,0.6822291723704693,0.7516139896655316,0.6933107894855939,0.5776234581721895,1,knn,uniform,5000,10.0,
harmonic,0.09136816653830504,0.8069229211985641,0.5118022535137142,0.9036959537063627,1,knn,uniform,5000,10.0,
clustering,0.8297546141448047,0.9030823897995355,0.22285810742082637,0.807450636567421,1,knn,uniform,5000,10.0,
pagerank,0.8581617183297072,0.9087623816035683,-0.18927857020805863,0.7440668896308493,1,knn,uniform,5000,10.0,
degree,0.94084491680101,0.9638462417310065,0.11033198911555839,0.6312022503684851,2,knn,uniform,5000,10.0,
closeness,0.2937264610585235,0.7326844104109557,0.46073828156940455,0.9742394660354678,2,knn,uniform,5000,10.0,
betweenness,0.7971821292899839,0.8016940883953607,0.7276134495203685,0.20272018183019244,2,knn,uniform,5000,10.0,
harmonic,0.37826690571980515,0.9007449794640799,0.6578331762483327,0.8848954187631146,2,knn,uniform,5000,10.0,
clustering,0.906409138904277,0.9648553664974111,0.2624589895923388,0.7823004602482634,2,knn,uniform,5000,10.0,
pagerank,0.9373870892051641,0.9594932760056825,-0.179152038097355,0.7203158113992536,2,knn,uniform,5000,10.0,
degree,0.8652901637800322,0.9105085902191372,0.07696917512301998,0.6804722164002474,1,knn,uniform,5000,15.0,
