,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8938913517013696,0.9245724139152172,0.5788729154974952,-0.1581987768737832,1,delaunay,uniform,5000,,
closeness,0.36730037172287655,0.5001075767998979,0.389274628823014,-0.7712276467099928,1,delaunay,uniform,5000,,
betweenness,0.39375772855359714,0.5515723943756554,0.39302771989131347,-0.18372572774856338,1,delaunay,uniform,5000,,
harmonic,0.4692926467204991,0.6384174538166476,0.4783368502233735,-0.6910728254337553,1,delaunay,uniform,5000,,
clustering,0.9391535097099115,0.9391535097099115,0.6533209640146929,0.22426849651520508,1,delaunay,uniform,5000,,
pagerank,0.9039021775464458,0.9274338824258497,0.7316845911098777,-0.22730868233021184,1,delaunay,uniform,5000,,
degree,0.9538772754382263,0.9710537815851736,0.6315455656959365,-0.16558012547103076,2,delaunay,uniform,5000,,
closeness,0.3578254546020359,0.666176385161273,0.344972208801465,-0.9128284274322075,2,delaunay,uniform,5000,,
betweenness,0.5821901240280452,0.698177234648993,0.5793840954856808,-0.07162577431802705,2,delaunay,uniform,5000,,
harmonic,0.4016913036462329,0.7566844164519543,0.38642315773996855,-0.8408995827732026,2,delaunay,uniform,5000,,
clustering,0.9733825084598738,0.9733825084598738,0.685535921689838,0.23784446710956192,2,delaunay,uniform,5000,,
pagerank,0.9587339321210999,0.972397617638068,0.7736622941622422,-0.21935560772245782,2,delaunay,uniform,5000,,
degree,0.9422938929135105,0.9570309272851667,0.16833590549368221,0.5704517395684096,1,knn,uniform,5000,5.0,
closeness,0.36485319939466915,0.6259454524740355,-0.007157616636969482,-0.0056064625469114185,1,knn,uniform,5000,5.0,
betweenness,0.7662676714736318,0.8166548761647702,0.720666777219821,0.20941347544574007,1,knn,uniform,5000,5.0,
harmonic,0.44939385905370133,0.7925128365479609,0.3847409157534861,0.5746119351058857,1,knn,uniform,5000,5.0,
clustering,0.8981304832233553,0.9200759388138608,0.2687256334982885,0.49077692863396305,1,knn,uniform,5000,5.0,
pagerank,0.9340247710391028,0.9473950042923888,0.018750624572884306,0.6407488111019856,1,knn,uniform,5000,5.0,
degree,0.979835621051546,0.9833120955281893,0.2232078582074956,0.5649594961723254,2,knn,uniform,5000,5.0,
closeness,0.13710515479791718,0.8087342252074827,-0.04357688769803156,0.04253017186577396,2,knn,uniform,5000,5.0,
betweenness,0.8590166963875467,0.8657286591729587,0.7542693170568853,0.14099938197179623,2,knn,uniform,5000,5.0,
harmonic,0.34549760355758147,0.9203242130658404,0.46763752682348975,0.6396377756000742,2,knn,uniform,5000,5.0,
clustering,0.9665295469687768,0.9763326402195945,0.3288475089248782,0.5821054300670634,2,knn,uniform,5000,5.0,
pagerank,0.9776438509182639,0.9816906415876936,0.003945871646563227,0.6726888369874224,2,knn,uniform,5000,5.0,
degree,0.8565399120069975,0.8957341274769188,0.03295477418132649,0.6545356474012887,1,knn,uniform,5000,10.0,
closeness,0.1574343020370885,0.6825119034935678,0.41719349096517444,0.9813207221741989,1,knn,uniform,5000,10.0,
betweenness,0.6256527028797261,0.7239444800612873,0.6659623021889738,0.5912145961789844,1,knn,uniform,5000,10.0,
harmonic,0.19945172051167914,0.8185002105307834,0.5704671704914306,0.9138657834666581,1,knn,uniform,5000,10.0,
clustering,0.8167680562533606,0.9127685613204832,0.22493826218312457,0.7518009623361371,1,knn,uniform,5000,10.0,
pagerank,0.8424299849940718,0.8763610034881035,-0.2178227075996927,0.718526600588806,1,knn,uniform,5000,10.0,
degree,0.953415487226815,0.9729774021555742,0.11665219169358634,0.6398387220171697,2,knn,uniform,5000,10.0,
closeness,-0.18579780386663042,0.7138415306831931,0.6716314405524756,0.9818594209311383,2,knn,uniform,5000,10.0,
betweenness,0.8408063918116271,0.846218544186538,0.7663733834304798,0.22720833196937995,2,knn,uniform,5000,10.0,
harmonic,0.15987734323313751,0.8941128174118379,0.6730958421614395,0.9026738478144487,2,knn,uniform,5000,10.0,
clustering,0.9310030122347746,0.9653515002489561,0.26070704450091864,0.761609484053877,2,knn,uniform,5000,10.0,
pagerank,0.9488813727362492,0.9686721879055593,-0.20704966943037528,0.7372631843665747,2,knn,uniform,5000,10.0,
degree,0.8280609766826789,0.8938093940779954,0.014632610880416442,0.690083899345361,1,knn,uniform,5000,15.0,
closeness,0.15970734880798534,0.49276230168950197,0.3575434134978148,0.9773201030289502,1,knn,uniform,5000,15.0,
betweenness,0.6474884609310354,0.7214661210838272,0.6615741748581225,0.5479404421897529,1,knn,uniform,5000,15.0,
harmonic,0.2194451054747389,0.6947925210403731,0.4945776875805077,0.9207061122675402,1,knn,uniform,5000,15.0,
clustering,0.7535710679582446,0.9133167191559292,0.17297922287620968,0.828480089369832,1,knn,uniform,5000,15.0,
pagerank,0.8113095709591176,0.8717808011802723,-0.24888036877629047,0.7656755811120807,1,knn,uniform,5000,15.0,
degree,0.9166756098241391,0.9503471524794944,0.04516595094915735,0.6726655310094298,2,knn,uniform,5000,15.0,
closeness,-0.21492003977962437,0.6075627160534454,0.5828598763387219,0.9784703517855831,2,knn,uniform,5000,15.0,
betweenness,0.705665044588965,0.7103094627168175,0.6289573739290821,0.21385974425414694,2,knn,uniform,5000,15.0,
harmonic,0.0601384721822183,0.8657145924792213,0.6454478971439724,0.9223624780178517,2,knn,uniform,5000,15.0,
clustering,0.8960722953571162,0.9566054983954125,0.15235999577466025,0.8380998126653075,2,knn,uniform,5000,15.0,
pagerank,0.9125901711125114,0.9431417899929835,-0.3026803046053761,0.7755398272963056,2,knn,uniform,5000,15.0,
degree,0.9885948219463454,0.9923402455281629,0.46394852969721595,0.8308768095379853,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.9974827155466015,0.9809759741875268,0.0021913390334619316,0.33671599287560805,1,rnn,uniform,5000,,0.05
harmonic,0.9867284417042506,0.9844608170140827,-0.1368107479776277,0.6648521027081653,1,rnn,uniform,5000,,0.05
clustering,0.9823549193503041,0.9823549193503041,0.655454915743337,0.586591782295488,1,rnn,uniform,5000,,0.05
pagerank,0.9749405207871631,0.9815071399725251,0.5680831099126812,0.646050736288486,1,rnn,uniform,5000,,0.05
degree,0.9930411022612303,0.9957502758028776,0.4416608318320203,0.8947642387861199,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9758177178545067,0.9764566713390246,0.43316259218250946,0.6078102167708529,2,rnn,uniform,5000,,0.05
harmonic,0.9821128978587278,0.9861764494258141,0.1889848012666555,0.8321060165026894,2,rnn,uniform,5000,,0.05
clustering,0.9915681875207152,0.9915681875207152,0.5249809789296005,0.6891453430138408,2,rnn,uniform,5000,,0.05
pagerank,0.9919096728008223,0.9928362924657066,0.5341314809114891,0.7926970343834421,2,rnn,uniform,5000,,0.05
degree,0.9372876380559645,0.9742177488152368,0.22225366041610845,0.9795091122941268,1,rnn,uniform,5000,,0.1
closeness,,,,,1,rnn,uniform,5000,,0.1
betweenness,0.6857490243531519,0.7917251506703648,0.4171690169375578,0.7695036630821244,1,rnn,uniform,5000,,0.1
harmonic,0.3706686072893733,0.7484402010494733,0.17933844467608057,0.9925574088774707,1,rnn,uniform,5000,,0.1
clustering,0.8615346625427046,0.8827456960047535,0.3113440473449359,0.9394643055247188,1,rnn,uniform,5000,,0.1
pagerank,0.9165229703507669,0.9508772378693021,0.27573064592354524,0.9567943887369244,1,rnn,uniform,5000,,0.1
degree,0.9703249669163877,0.9919396032321138,0.19789496181424723,0.9699054799513209,2,rnn,uniform,5000,,0.1
closeness,0.35406135994420557,0.7594340820268639,0.5076941421339786,0.9966421780271829,2,rnn,uniform,5000,,0.1
betweenness,0.8741651093949494,0.889614396493996,0.6927311877579785,0.6620394380671658,2,rnn,uniform,5000,,0.1
harmonic,0.4579605821438144,0.9381999979071538,0.3452220996761244,0.9903125843618379,2,rnn,uniform,5000,,0.1
clustering,0.9562032239875207,0.971962754297669,0.3565556092571619,0.900323477916827,2,rnn,uniform,5000,,0.1
pagerank,0.9657229676942444,0.985696705201772,0.29339096789712826,0.9445653063515711,2,rnn,uniform,5000,,0.1
degree,0.7936936047236194,0.9596842979221433,0.12039933113412835,0.991354467895049,1,rnn,uniform,5000,,0.15
closeness,0.06869659985937059,0.5737244683167333,0.41645866738266746,0.998573105441003,1,rnn,uniform,5000,,0.15
betweenness,0.5597435416350726,0.7520932846263091,0.4359396713030416,0.914594988694093,1,rnn,uniform,5000,,0.15
harmonic,0.2715025703918811,0.7820473381925523,0.31204036800318424,0.9977143516765619,1,rnn,uniform,5000,,0.15
clustering,0.6960896221923244,0.9076530811830936,0.18640373496090218,0.9825841533809934,1,rnn,uniform,5000,,0.15
pagerank,0.763949523901085,0.925500910932683,0.14290260959830278,0.9865658416622002,1,rnn,uniform,5000,,0.15
degree,0.8999201339727039,0.9893067699897999,0.16047775375514467,0.983710866798936,2,rnn,uniform,5000,,0.15
closeness,0.058422049077198654,0.7625630112453887,0.5433807049719724,0.9984330760430571,2,rnn,uniform,5000,,0.15
betweenness,0.8343143298904634,0.8617251008699152,0.5399526213238214,0.7669800707910339,2,rnn,uniform,5000,,0.15
harmonic,0.15509255216151388,0.9452577732325929,0.36508980626261944,0.996395712125222,2,rnn,uniform,5000,,0.15
clustering,0.8701960682739716,0.9686566244121154,0.25108585989435633,0.968926007112612,2,rnn,uniform,5000,,0.15
pagerank,0.9023469830438888,0.9729715382522408,0.20867344992625356,0.9737364095648626,2,rnn,uniform,5000,,0.15
degree,0.9119588113970187,0.946580947618864,0.5234063058192736,-0.14505658201242272,1,delaunay,kappa=1,5000,,
closeness,0.2183708431954635,0.4592620128182766,-0.10457356370111431,0.09533861751131217,1,delaunay,kappa=1,5000,,
betweenness,0.4828990048459722,0.7701396524461259,0.48461653438089075,-0.15957838624884862,1,delaunay,kappa=1,5000,,
harmonic,0.3513951011323293,0.6442061383959926,0.08970118138512923,-0.3228734744041513,1,delaunay,kappa=1,5000,,
clustering,0.9491724302244312,0.9491724302244312,0.5876965309142433,0.2136621102566114,1,delaunay,kappa=1,5000,,
pagerank,0.9210566145225789,0.9476857639466604,0.7296364132717199,-0.2467219824992673,1,delaunay,kappa=1,5000,,
degree,0.9568695425646755,0.9755010272734204,0.45766056698690966,-0.1088780205817605,2,delaunay,kappa=1,5000,,
closeness,0.29789840099812903,0.553250548392489,-0.040323530741094134,0.3069075013640142,2,delaunay,kappa=1,5000,,
betweenness,0.6467640078066936,0.8041296682841149,0.6468616004299923,-0.10077585098240806,2,delaunay,kappa=1,5000,,
harmonic,0.34440640341987994,0.6807696013948346,0.059876350512209325,-0.3303982823372664,2,delaunay,kappa=1,5000,,
clustering,0.9723041046857483,0.9723041046857483,0.5743178092427135,0.17742182667061968,2,delaunay,kappa=1,5000,,
pagerank,0.9610653391832262,0.975662375054219,0.7625337887749436,-0.26459388944460704,2,delaunay,kappa=1,5000,,
degree,0.9548400870946377,0.9656940926216533,0.21855236662075056,0.4855460782051352,1,knn,kappa=1,5000,5.0,
closeness,0.2649891057822548,0.761195374607933,0.013409745145834191,-0.038673064485376656,1,knn,kappa=1,5000,5.0,
betweenness,0.7902565972196667,0.8236930162637555,0.7725850766286022,0.27145526767668604,1,knn,kappa=1,5000,5.0,
harmonic,0.2949066463866553,0.8746099635013523,0.19758468031512838,0.5621503315251721,1,knn,kappa=1,5000,5.0,
clustering,0.9323410925700846,0.9518787890440519,0.3558611525295408,0.46642381062056315,1,knn,kappa=1,5000,5.0,
pagerank,0.9492108988908028,0.9593204696567463,0.028358293233186532,0.6342699189194129,1,knn,kappa=1,5000,5.0,
degree,0.9851913213287552,0.9871194704454361,0.19389686928009034,0.3469286855736297,2,knn,kappa=1,5000,5.0,
closeness,0.2080189834524851,0.5680023273577453,-0.44867895349725784,-0.1637105722360676,2,knn,kappa=1,5000,5.0,
betweenness,0.8963512584365948,0.8998855042377034,0.8901315712566925,0.07397619500544204,2,knn,kappa=1,5000,5.0,
harmonic,0.4339885803012712,0.855876445441261,0.2963392731824271,0.4368649786380655,2,knn,kappa=1,5000,5.0,
clustering,0.9806837913191362,0.9887213298122419,0.3602403117858155,0.3385781021963711,2,knn,kappa=1,5000,5.0,
pagerank,0.983410908792798,0.985181385928664,0.07916315681890504,0.5359517517712031,2,knn,kappa=1,5000,5.0,
degree,0.9268551509795401,0.9496767758290989,0.13291448588899807,0.3850891935019517,1,knn,kappa=1,5000,10.0,
closeness,-0.39198967539427143,0.31646718044166045,-0.09204942772436826,0.1879960606317268,1,knn,kappa=1,5000,10.0,
betweenness,0.6537786050386589,0.7305204070418079,0.689664302591239,0.3590659786499478,1,knn,kappa=1,5000,10.0,
harmonic,-0.09066062926696798,0.5800106031271541,0.09464087497416557,0.544919742570527,1,knn,kappa=1,5000,10.0,
clustering,0.8350100855687939,0.923669460741577,0.21636769157758273,0.4700586233588195,1,knn,kappa=1,5000,10.0,
pagerank,0.918738677056604,0.941530454991674,-0.06593972432779233,0.6650425510312319,1,knn,kappa=1,5000,10.0,
degree,0.9591799007517032,0.9730955606833629,0.13040997424952738,0.3116952630044713,2,knn,kappa=1,5000,10.0,
closeness,0.39455950980390686,0.5965731968601254,-0.19281819512881915,0.04867938645425951,2,knn,kappa=1,5000,10.0,
betweenness,0.8136011994384466,0.832202290195291,0.8015134800905035,0.0437344982061483,2,knn,kappa=1,5000,10.0,
harmonic,0.39276272271697754,0.7660951328043193,0.1104969758451706,0.6182491329903237,2,knn,kappa=1,5000,10.0,
clustering,0.9446797247210925,0.9742069153133641,0.2148732750916496,0.4643614789612711,2,knn,kappa=1,5000,10.0,
pagerank,0.95681124400734,0.9684102381108923,0.00635628111432514,0.5692822176615644,2,knn,kappa=1,5000,10.0,
