,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8980806329573998,0.9327124816753753,0.6342489625325249,-0.1649673011814662,1,delaunay,uniform,5000,,
closeness,0.33978945626684504,0.36873836826465756,0.3436107866391518,-0.8074246782896901,1,delaunay,uniform,5000,,
betweenness,0.42916943147547476,0.5830823673537453,0.42601281147477355,-0.1656309588025846,1,delaunay,uniform,5000,,
harmonic,0.4328712581714371,0.6321608324805618,0.3731812390497071,-0.7464870408079364,1,delaunay,uniform,5000,,
clustering,0.9353283446539713,0.9353283446539713,0.6617591175293135,0.2305436812692658,1,delaunay,uniform,5000,,
pagerank,0.9061952146798441,0.9309555901388158,0.7424040603189042,-0.2082522732331069,1,delaunay,uniform,5000,,
degree,0.9644419549071217,0.9768213025513138,0.6516569869982547,-0.16886067065998256,2,delaunay,uniform,5000,,
closeness,0.3544890694871794,0.7534211245070541,0.2662213656574518,-0.8671810599015439,2,delaunay,uniform,5000,,
betweenness,0.6324821759516087,0.7359426664220226,0.6316188639664357,-0.09334898838285804,2,delaunay,uniform,5000,,
harmonic,0.4152899184039204,0.7815136303676447,0.33877320354597906,-0.802046801434845,2,delaunay,uniform,5000,,
clustering,0.9765438071773043,0.9771424607316841,0.6780873963142555,0.23716409211991196,2,delaunay,uniform,5000,,
pagerank,0.9680734620989485,0.977370714195654,0.7874148194858481,-0.21562197747140438,2,delaunay,uniform,5000,,
degree,0.9207343675663804,0.9432045761320268,0.18825303718973113,0.5321553432950745,1,knn,uniform,5000,5.0,
closeness,0.38967767888062665,0.6738434852321477,0.5346926567142756,0.8554273816813974,1,knn,uniform,5000,5.0,
betweenness,0.7094470731508402,0.774677840913139,0.6854299142537083,0.2535004726467166,1,knn,uniform,5000,5.0,
harmonic,0.45573736410552024,0.8140709853249916,0.5067284422865865,0.6186009959949533,1,knn,uniform,5000,5.0,
clustering,0.8544448240641977,0.9257091041170242,0.21890427422869013,0.5272642115357618,1,knn,uniform,5000,5.0,
pagerank,0.91162890476049,0.9347390112599507,0.040775673975772316,0.6347943940239462,1,knn,uniform,5000,5.0,
degree,0.9801804455633492,0.9846447293333362,0.22088205181693382,0.5766003211422137,2,knn,uniform,5000,5.0,
closeness,-0.24718763840439106,0.7794481863683503,0.007540586188341438,0.09816205464815789,2,knn,uniform,5000,5.0,
betweenness,0.8913227948791504,0.8998784952972052,0.7975592887429375,0.09435545482598218,2,knn,uniform,5000,5.0,
harmonic,0.19755440114192058,0.9213205221159608,0.4886523344926682,0.5883169677662595,2,knn,uniform,5000,5.0,
clustering,0.9647100628497007,0.9753940045671398,0.2909588856812334,0.5693813280553685,2,knn,uniform,5000,5.0,
pagerank,0.9774389750366528,0.981700695124332,0.010489627521571386,0.6487240991531383,2,knn,uniform,5000,5.0,
degree,0.8634894274300604,0.9089240085608101,0.0660412587208062,0.6611023336406034,1,knn,uniform,5000,10.0,
closeness,-0.21486107648840586,0.6197961386231607,0.6309372811130731,0.9736422004270615,1,knn,uniform,5000,10.0,
betweenness,0.6512130626709639,0.7485353644761393,0.6613491656813419,0.47370647725409043,1,knn,uniform,5000,10.0,
harmonic,0.06603792930160321,0.78813417401294,0.6308796335056968,0.9026922938739144,1,knn,uniform,5000,10.0,
clustering,0.7982998417409812,0.8921705416919684,0.2264611788139776,0.7540447243382487,1,knn,uniform,5000,10.0,
pagerank,0.8525662068931642,0.8939514177034396,-0.24738438141359656,0.7669183060389568,1,knn,uniform,5000,10.0,
degree,0.9503575922895668,0.9725859214152536,0.12281444378412576,0.6544468021523772,2,knn,uniform,5000,10.0,
closeness,0.14293665747519502,0.6607834535930741,0.535727140613675,0.9606944457660289,2,knn,uniform,5000,10.0,
betweenness,0.8212938516049251,0.8218920077108587,0.7610334460143515,0.18822905837222667,2,knn,uniform,5000,10.0,
harmonic,0.36014229878210086,0.8922446854927955,0.6567662615794014,0.809499702177512,2,knn,uniform,5000,10.0,
clustering,0.9278360683986773,0.9669965536917142,0.27255341283052936,0.7527122217601863,2,knn,uniform,5000,10.0,
pagerank,0.9462330752479586,0.9676256245954717,-0.21116787924863228,0.7445457952428713,2,knn,uniform,5000,10.0,
degree,0.8124039961844707,0.886143528310043,0.03740331263678725,0.6502703304278308,1,knn,uniform,5000,15.0,
closeness,0.17349349102291003,0.5976566675478496,0.4228581805420861,0.969694603778777,1,knn,uniform,5000,15.0,
betweenness,0.6567678008837025,0.7371246141680401,0.6861230208322997,0.5624062449679533,1,knn,uniform,5000,15.0,
harmonic,0.2165495069158508,0.6637300288533862,0.5149268690766579,0.8970672974046197,1,knn,uniform,5000,15.0,
clustering,0.6889269853562606,0.8782241223656633,0.22591091360092308,0.8174730206609803,1,knn,uniform,5000,15.0,
pagerank,0.796948667970274,0.8644608733606772,-0.25146831593744967,0.7716453729696291,1,knn,uniform,5000,15.0,
degree,0.9329224235973816,0.9625063877695497,0.10166858301966479,0.6863989990787552,2,knn,uniform,5000,15.0,
closeness,0.05331422465438625,0.7658956272177605,0.48157133977641187,0.9752726691538625,2,knn,uniform,5000,15.0,
betweenness,0.8076506931961873,0.8093067162081276,0.744312796845504,0.2171046153813208,2,knn,uniform,5000,15.0,
harmonic,0.20275007123980204,0.8908577504640754,0.5618119951562393,0.8732481393201249,2,knn,uniform,5000,15.0,
clustering,0.8943481390565358,0.9653794051491469,0.19206717211817756,0.8502800304504796,2,knn,uniform,5000,15.0,
pagerank,0.9266986867086346,0.9546445808877915,-0.2883052210015207,0.776604780024085,2,knn,uniform,5000,15.0,
degree,0.9768890185908109,0.9812670068432985,0.4867457723543987,0.8557199964614715,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.9967966355699887,0.989943558601765,0.19856481881499688,0.32056071512927736,1,rnn,uniform,5000,,0.05
harmonic,0.9756103837317449,0.9702591074223379,-0.2287925386300149,0.7539674862041086,1,rnn,uniform,5000,,0.05
clustering,0.9622405350407396,0.9622405350407396,0.5768432054395183,0.5776600713920987,1,rnn,uniform,5000,,0.05
pagerank,0.9650137155874507,0.9747319602471584,0.5552216702642538,0.7165571680664902,1,rnn,uniform,5000,,0.05
degree,0.995853630096223,0.9943413281908233,0.44386601491693023,0.8891141099729815,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9226637939110883,0.9080561663876434,0.7328134188532331,0.6111948848369831,2,rnn,uniform,5000,,0.05
harmonic,0.9694408701996492,0.9418715372932889,0.3376998494534723,0.819493960956147,2,rnn,uniform,5000,,0.05
clustering,0.9899048538038914,0.9899048538038914,0.5372074458062667,0.6902003303658356,2,rnn,uniform,5000,,0.05
pagerank,0.992247190185643,0.9940479637184579,0.5337255632069994,0.7813306206605372,2,rnn,uniform,5000,,0.05
degree,0.9327035458192059,0.9830997942287141,0.1332354067431084,0.9839534776343732,1,rnn,uniform,5000,,0.1
closeness,0.14463728022471803,0.8525453417284383,0.33223152829657504,0.9957580023979637,1,rnn,uniform,5000,,0.1
betweenness,0.7156323408857805,0.8130711381180462,0.28832496105875965,0.8752884567688852,1,rnn,uniform,5000,,0.1
harmonic,0.42388973570432054,0.944876395822369,0.29022924038391207,0.9924158309707368,1,rnn,uniform,5000,,0.1
clustering,0.8655278388547523,0.9302838192887637,0.24736649740527802,0.947274089351918,1,rnn,uniform,5000,,0.1
pagerank,0.916760486825915,0.9633542849600696,0.19288486638148467,0.9697330649608717,1,rnn,uniform,5000,,0.1
degree,0.965557043193803,0.9870725528899338,0.22944594254106135,0.96391557606112,2,rnn,uniform,5000,,0.1
closeness,0.5922831621003687,0.8218092611208055,0.38050898539589384,0.9962315070672563,2,rnn,uniform,5000,,0.1
betweenness,0.8770154067407485,0.8948516956660759,0.6554372689809788,0.6083994933684505,2,rnn,uniform,5000,,0.1
harmonic,0.6624751936241471,0.9162837994763049,0.3218188286889514,0.9900920113749461,2,rnn,uniform,5000,,0.1
clustering,0.9462143271500143,0.9755124181249535,0.398174187209295,0.8849447642428744,2,rnn,uniform,5000,,0.1
pagerank,0.9613989477659401,0.982507401819251,0.32158021416608756,0.9332003482692313,2,rnn,uniform,5000,,0.1
degree,0.7894906310932828,0.8899588315441396,0.14071381005775546,0.9982243985162065,1,rnn,uniform,5000,,0.15
closeness,0.2164877660762682,0.4815665159125622,-0.004874818843509146,0.9995839966423785,1,rnn,uniform,5000,,0.15
betweenness,0.5855939447322032,0.7901009596343934,0.2835315481208524,0.9790525559208951,1,rnn,uniform,5000,,0.15
harmonic,0.45956811989047575,0.6803456174759368,0.050651661344007004,0.9995076704618082,1,rnn,uniform,5000,,0.15
clustering,0.733472521520752,0.8893581922966696,0.018944222588596283,0.9966415268231958,1,rnn,uniform,5000,,0.15
pagerank,0.7177199125436124,0.8911427523405814,0.10793121846287596,0.996250036853474,1,rnn,uniform,5000,,0.15
degree,0.929638188557817,0.9737394091327505,0.11939570850776932,0.9888797579701967,2,rnn,uniform,5000,,0.15
closeness,0.5119435272822964,0.8614516476843156,0.12458103038695799,0.9988304140655957,2,rnn,uniform,5000,,0.15
betweenness,0.8208789052018932,0.8515265454841807,0.4322775075825513,0.7823802126008845,2,rnn,uniform,5000,,0.15
harmonic,0.6221192516244012,0.9104234312828903,0.12770018353509646,0.9975708956613891,2,rnn,uniform,5000,,0.15
clustering,0.8822919439980312,0.974096832993842,0.27794562451985083,0.9711835194970524,2,rnn,uniform,5000,,0.15
pagerank,0.9051341302393288,0.971524678046374,0.2013730374281023,0.9774415444175953,2,rnn,uniform,5000,,0.15
degree,0.831059575213408,0.8685193395618133,0.5390656077372233,-0.14275631120252757,1,delaunay,kappa=1,5000,,
closeness,0.4346070571803606,0.5293031953698228,0.6831252844914584,-0.364652205185951,1,delaunay,kappa=1,5000,,
betweenness,0.38853705529520277,0.41331100283982247,0.40054655169965003,-0.1729330448436736,1,delaunay,kappa=1,5000,,
harmonic,0.5257947082688552,0.644823578764474,0.5394082485330303,-0.31206433782740356,1,delaunay,kappa=1,5000,,
clustering,0.9106128891385483,0.9106128891385483,0.6066123296661541,0.2262620665930688,1,delaunay,kappa=1,5000,,
pagerank,0.8402888264970705,0.8720674416598315,0.7067458325907334,-0.2437230003571387,1,delaunay,kappa=1,5000,,
degree,0.9753264542687068,0.9825302353246791,0.5134971356479308,-0.12982377489032212,2,delaunay,kappa=1,5000,,
closeness,0.1938364155248115,0.7233314501374198,-0.06742859404264545,0.25637199130412536,2,delaunay,kappa=1,5000,,
betweenness,0.7195831436360125,0.7769237709309765,0.719013545255125,-0.1118007516193142,2,delaunay,kappa=1,5000,,
harmonic,0.3769943868164013,0.8362877799294375,0.12021044491918387,-0.792485361156699,2,delaunay,kappa=1,5000,,
clustering,0.9835897553907014,0.9835897553907014,0.5878433895448838,0.18645986867801567,2,delaunay,kappa=1,5000,,
pagerank,0.9778733051102169,0.983531891827762,0.7895815948464051,-0.2782688867180886,2,delaunay,kappa=1,5000,,
