,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8913398824425078,0.9311500318568653,0.59191995677721,-0.143161065771146,1,delaunay,uniform,5000,,
closeness,0.4825836529843452,0.610101379660465,0.4321495947302867,-0.8212610118272015,1,delaunay,uniform,5000,,
betweenness,0.4433092584025865,0.6409713114084128,0.44239742227908696,-0.14664819734032294,1,delaunay,uniform,5000,,
harmonic,0.4303986127722841,0.697819638541842,0.3774199288560297,-0.7569033400839824,1,delaunay,uniform,5000,,
clustering,0.931211287893368,0.931211287893368,0.640115896603201,0.1806405776702681,1,delaunay,uniform,5000,,
pagerank,0.9019915789612006,0.9332957963392744,0.7138783016799148,-0.18290189340625446,1,delaunay,uniform,5000,,
degree,0.96640525508357,0.9777187807552569,0.6558926691620123,-0.16737936391302843,2,delaunay,uniform,5000,,
closeness,0.11851674187164149,0.6523365337046636,0.08022338034925977,-0.9037199427490613,2,delaunay,uniform,5000,,
betweenness,0.6291011817428778,0.7334480685799886,0.6249816387624287,-0.07196528566721022,2,delaunay,uniform,5000,,
harmonic,0.2917723285975906,0.7524404844428716,0.2724717227119826,-0.836392668923438,2,delaunay,uniform,5000,,
clustering,0.984109467586677,0.984109467586677,0.7105922943544297,0.22561172845672153,2,delaunay,uniform,5000,,
pagerank,0.9711004840991521,0.9795228395819426,0.7864781129252787,-0.20212889784436516,2,delaunay,uniform,5000,,
degree,0.9187509802578291,0.9446287755139572,0.23778375704304555,0.5540656245740199,1,knn,uniform,5000,5.0,
closeness,0.14973318651143666,0.7065313363138596,-0.08813105800392157,0.03381171854860852,1,knn,uniform,5000,5.0,
betweenness,0.7316821013950816,0.7872677314517267,0.6806922688442933,0.39342226860492063,1,knn,uniform,5000,5.0,
harmonic,0.26795320442904713,0.8190916128344946,0.44731319228128485,0.6811162124478563,1,knn,uniform,5000,5.0,
clustering,0.8716475331457325,0.8951898137003715,0.30165767820092504,0.5097966069001889,1,knn,uniform,5000,5.0,
pagerank,0.9133075614111578,0.9364037537853436,0.03238417611895503,0.6444389090135474,1,knn,uniform,5000,5.0,
degree,0.9758868257026272,0.9825627305911049,0.23002135150351663,0.5594044197615322,2,knn,uniform,5000,5.0,
closeness,0.20966463005736155,0.8617730380707554,0.0018528291090163075,0.16300612839708,2,knn,uniform,5000,5.0,
betweenness,0.8797551698549649,0.8886348055733466,0.7984443528930073,0.1601811639316667,2,knn,uniform,5000,5.0,
harmonic,0.4761019881081091,0.9512552772357259,0.44605576711351,0.6879055359259998,2,knn,uniform,5000,5.0,
clustering,0.9601797099580311,0.971154056659945,0.31266936921865396,0.550326944158372,2,knn,uniform,5000,5.0,
pagerank,0.9739736725612267,0.9800388167606726,0.01972204755477244,0.6620258000052852,2,knn,uniform,5000,5.0,
degree,0.8478359337853258,0.9059894906166989,0.11224225142079883,0.5991667475365834,1,knn,uniform,5000,10.0,
closeness,-0.2450335813010212,0.40611824294529114,0.7304203230993285,0.9610087576124436,1,knn,uniform,5000,10.0,
betweenness,0.5731448133822944,0.6750656941334787,0.6203980288103621,0.48677972821802773,1,knn,uniform,5000,10.0,
harmonic,-0.035527035960674976,0.6978221243015132,0.6466147449725801,0.8491621957955477,1,knn,uniform,5000,10.0,
clustering,0.7958598064290121,0.8972890171163599,0.2654646482862081,0.7187158310001911,1,knn,uniform,5000,10.0,
pagerank,0.8361192382481558,0.8922602553282881,-0.13858823813612745,0.713174656165611,1,knn,uniform,5000,10.0,
degree,0.9398213521139642,0.9620072836385155,0.12975855830380195,0.6294524820513062,2,knn,uniform,5000,10.0,
closeness,0.07119728862027169,0.8170162345964858,0.5093457647030339,0.9721893966116106,2,knn,uniform,5000,10.0,
betweenness,0.8255479560661259,0.8294504961859834,0.7654236546187667,0.14896260383320503,2,knn,uniform,5000,10.0,
harmonic,0.21207130116243045,0.9251938961789299,0.6297082817135914,0.8685502646191758,2,knn,uniform,5000,10.0,
clustering,0.9191519395878354,0.9575646646639047,0.2740648614337404,0.7721838971800179,2,knn,uniform,5000,10.0,
pagerank,0.9375105931951566,0.9573698046030994,-0.19080932012451243,0.7248586165146267,2,knn,uniform,5000,10.0,
degree,0.807789221869253,0.8760351872019021,0.005439508498375153,0.702658905016977,1,knn,uniform,5000,15.0,
closeness,0.13269032071992187,0.5362571235253875,0.4469895568177806,0.9824605626664833,1,knn,uniform,5000,15.0,
betweenness,0.5978667255772605,0.6810591037488724,0.6144964234247786,0.5904119519203019,1,knn,uniform,5000,15.0,
harmonic,0.18414605892448277,0.6463828524505362,0.5481807329150375,0.9283476512776865,1,knn,uniform,5000,15.0,
clustering,0.6749275634983053,0.8463446884046193,0.19326915977946657,0.8450596818781734,1,knn,uniform,5000,15.0,
pagerank,0.7915214583660001,0.8569371559533819,-0.2787282793018529,0.7735697665445804,1,knn,uniform,5000,15.0,
degree,0.9328972745480589,0.9580663741702267,0.08385441199078751,0.6703616288929736,2,knn,uniform,5000,15.0,
closeness,-0.09312964310704223,0.6656299580941962,0.5355855137857357,0.9754920481533668,2,knn,uniform,5000,15.0,
betweenness,0.7196988778848477,0.7235546277865031,0.642978145787744,0.2360505804730282,2,knn,uniform,5000,15.0,
harmonic,0.0915020393864851,0.8506309475268798,0.6073537502632609,0.8873589356102416,2,knn,uniform,5000,15.0,
clustering,0.8794948780311745,0.9587936304442757,0.16291478610039176,0.8362647741606104,2,knn,uniform,5000,15.0,
pagerank,0.9276939622112754,0.9519307912683477,-0.291358577317164,0.7697111015166226,2,knn,uniform,5000,15.0,
degree,0.9781977682402124,0.9836512979975399,0.48166464592506714,0.8340319448775193,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.9032712588716444,0.9047667838268418,0.6702669451433827,0.41379301673902813,1,rnn,uniform,5000,,0.05
harmonic,0.9582602617369779,0.9726250252914913,-0.04920305117057598,0.7590228342562372,1,rnn,uniform,5000,,0.05
clustering,0.9601698124678549,0.9601698124678549,0.5966775336140278,0.57972312922899,1,rnn,uniform,5000,,0.05
pagerank,0.9679660070972054,0.9755190687026143,0.5191685100109271,0.6536529297421276,1,rnn,uniform,5000,,0.05
degree,0.9913369648298735,0.9899799477559253,0.42963897699352804,0.8851899824808428,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9933696548558667,0.9912866475058746,0.7088108068999235,0.4815547626135941,2,rnn,uniform,5000,,0.05
harmonic,0.982456311639305,0.9813433386716421,0.17096551799579562,0.8014563830419827,2,rnn,uniform,5000,,0.05
clustering,0.9939466299612671,0.9922912529589677,0.5292694937588253,0.6812448944765965,2,rnn,uniform,5000,,0.05
pagerank,0.989409627531966,0.9925274015384001,0.5175865968247926,0.7820148635997819,2,rnn,uniform,5000,,0.05
degree,0.9164144063452184,0.975914029599892,0.3396225423157456,0.9529744050286915,1,rnn,uniform,5000,,0.1
closeness,-0.1723840934593265,0.5647251586272704,0.4088309248130229,0.9930409325587257,1,rnn,uniform,5000,,0.1
betweenness,0.7052450076019607,0.810165540154556,0.5916379915989322,0.690790855434382,1,rnn,uniform,5000,,0.1
harmonic,0.18007139872411476,0.8539795753685442,0.3097996008988292,0.9834355110156293,1,rnn,uniform,5000,,0.1
clustering,0.897351683277795,0.9458541383885024,0.5247318365416894,0.8461706820959288,1,rnn,uniform,5000,,0.1
pagerank,0.9025095153970328,0.964065413262134,0.4031371467691719,0.9155679598915419,1,rnn,uniform,5000,,0.1
degree,0.9495404903682116,0.987284524444163,0.24211440426447156,0.963243699630677,2,rnn,uniform,5000,,0.1
closeness,0.3892927873025839,0.8612478036442794,0.39008823773118606,0.9970407829888668,2,rnn,uniform,5000,,0.1
betweenness,0.8628114165979397,0.8781012604197366,0.6541009486921645,0.6309225588631295,2,rnn,uniform,5000,,0.1
harmonic,0.4808685675757694,0.9356315612180996,0.37299334455642796,0.9911580594005653,2,rnn,uniform,5000,,0.1
clustering,0.9496396219464505,0.976511373756118,0.3843434775815566,0.9045471783084986,2,rnn,uniform,5000,,0.1
pagerank,0.9593151720471589,0.981471179340117,0.3084884588802791,0.9386149882873203,2,rnn,uniform,5000,,0.1
degree,0.8703179180000082,0.9285828949063014,0.19960351108540159,0.9858778634514287,1,rnn,uniform,5000,,0.15
closeness,0.35925004218079193,0.4710610965335525,0.403475145387887,0.9980615241802921,1,rnn,uniform,5000,,0.15
betweenness,0.5252752621492451,0.7591996926850116,0.5337899774864305,0.8583478588130959,1,rnn,uniform,5000,,0.15
harmonic,0.6474949809005943,0.6714104966893528,0.3179777898327042,0.9969247101328111,1,rnn,uniform,5000,,0.15
clustering,0.6218888707990805,0.8658868158871817,0.2523910054334632,0.9706287694868623,1,rnn,uniform,5000,,0.15
pagerank,0.8302675247997272,0.9086027052583665,0.24738981608081445,0.9769733665896971,1,rnn,uniform,5000,,0.15
degree,0.8826985118167083,0.9837965799856703,0.12047061307435833,0.9843751263634457,2,rnn,uniform,5000,,0.15
closeness,0.12790301999630457,0.8350864399379656,0.2243035865823763,0.9985638086542916,2,rnn,uniform,5000,,0.15
betweenness,0.831785720667227,0.8624705734651885,0.547262486701082,0.7407261639369419,2,rnn,uniform,5000,,0.15
harmonic,0.27455924058150555,0.9519896153511052,0.1721111692407221,0.9967619241421086,2,rnn,uniform,5000,,0.15
clustering,0.8702660693571699,0.966940037809191,0.24152804498032465,0.9659284569609099,2,rnn,uniform,5000,,0.15
pagerank,0.885480755132857,0.9657053565780649,0.19855303054649825,0.9730114939556225,2,rnn,uniform,5000,,0.15
degree,0.9305829185270231,0.94823134822608,0.5256710457357836,-0.13646192660415937,1,delaunay,kappa=1,5000,,
closeness,0.30444711337027364,0.40863857670847925,-0.07171372712924405,0.026511654994763916,1,delaunay,kappa=1,5000,,
betweenness,0.5124569878217324,0.6850150095051433,0.5138124879323195,-0.1687465005766933,1,delaunay,kappa=1,5000,,
harmonic,0.4510988038878521,0.6346482426389357,0.2030613417992322,-0.4187676394822487,1,delaunay,kappa=1,5000,,
clustering,0.9570362429953483,0.9570362429953483,0.623698053812903,0.21087532791109131,1,delaunay,kappa=1,5000,,
pagerank,0.9381733623779487,0.952248071423543,0.754718148853273,-0.23573774749867482,1,delaunay,kappa=1,5000,,
degree,0.9733982949647124,0.9810177313922213,0.4761985445114228,-0.10894984848081031,2,delaunay,kappa=1,5000,,
closeness,0.27914455422171314,0.7402812410276356,-0.10667637385732884,0.3632802923261782,2,delaunay,kappa=1,5000,,
