,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.908814371744189,0.9394673740703887,0.6259871238162065,-0.15772565934416743,1,delaunay,uniform,5000,,
closeness,0.38036640057070986,0.4968571269562126,0.3633004565612209,-0.8117935038995829,1,delaunay,uniform,5000,,
betweenness,0.4368196497131941,0.6292830853001254,0.42996152062267967,-0.13855599369205326,1,delaunay,uniform,5000,,
harmonic,0.431536409325265,0.6680844982845291,0.40488294376209855,-0.7363123437737151,1,delaunay,uniform,5000,,
clustering,0.9542150938101865,0.9542150938101865,0.6935944793541091,0.21610020346926423,1,delaunay,uniform,5000,,
pagerank,0.9182614759592523,0.94197121270561,0.7506126611272668,-0.1959671736768249,1,delaunay,uniform,5000,,
degree,0.9632087699312137,0.9750357628802201,0.6477317223863586,-0.1805929507512293,2,delaunay,uniform,5000,,
closeness,0.33177104262392415,0.6499976469455859,0.29443182850775085,-0.8686307636924504,2,delaunay,uniform,5000,,
betweenness,0.6364556576890341,0.7703908967175555,0.6352705205449396,-0.06640479179752509,2,delaunay,uniform,5000,,
harmonic,0.3783222120664077,0.7603403847330165,0.3505225267492069,-0.7695993327372903,2,delaunay,uniform,5000,,
clustering,0.9801363394840513,0.9801363394840513,0.6747255348515009,0.23217667238799966,2,delaunay,uniform,5000,,
pagerank,0.9669831413938144,0.9757333578856101,0.7854173870172652,-0.21504234453253596,2,delaunay,uniform,5000,,
degree,0.9347696403301873,0.9477287816609905,0.20550552905063635,0.5372433478810484,1,knn,uniform,5000,5.0,
closeness,0.14143026938795078,0.5393372552190311,0.5551248838003902,0.8952614258284868,1,knn,uniform,5000,5.0,
betweenness,0.7205170903294895,0.7939923129744726,0.6936275054606569,0.4060167685806839,1,knn,uniform,5000,5.0,
harmonic,0.20925599808791426,0.7980831650481389,0.3903241138728704,0.6932962436157402,1,knn,uniform,5000,5.0,
clustering,0.8934220322861264,0.9226491800692147,0.30054595110692517,0.47844966463778604,1,knn,uniform,5000,5.0,
pagerank,0.9271377388328979,0.9371969239158723,-0.0161767884367123,0.6606123491443839,1,knn,uniform,5000,5.0,
degree,0.9742403314888075,0.9785661847456562,0.20918703753117307,0.5515595775779192,2,knn,uniform,5000,5.0,
closeness,0.41500973462769836,0.7846839924663345,0.016929058813202176,0.08577638658170988,2,knn,uniform,5000,5.0,
betweenness,0.8672783180382105,0.8716496347272196,0.7659946219235793,0.08392145601818554,2,knn,uniform,5000,5.0,
harmonic,0.5742757435486161,0.8966231748412997,0.4654273813817942,0.6272598195410166,2,knn,uniform,5000,5.0,
clustering,0.9443172137630722,0.9486640612909493,0.2668295170988676,0.5466329474020076,2,knn,uniform,5000,5.0,
pagerank,0.9717705457076165,0.9755963214821817,0.012286824972525244,0.6604460029519443,2,knn,uniform,5000,5.0,
degree,0.8798411025651441,0.9293229069571405,0.10212830817959395,0.62337757328408,1,knn,uniform,5000,10.0,
closeness,0.46028584488573493,0.5812013306198178,0.6098198041779526,0.9627728392704897,1,knn,uniform,5000,10.0,
betweenness,0.7436022433849261,0.7955738874484651,0.7369235461034395,0.45787663113539334,1,knn,uniform,5000,10.0,
harmonic,0.4408248274992288,0.6755788961063633,0.6603699966187981,0.8073517957293364,1,knn,uniform,5000,10.0,
clustering,0.7723924700157789,0.9047898066273046,0.2851905937855752,0.7622696593215271,1,knn,uniform,5000,10.0,
pagerank,0.8650502903034085,0.9107758648857204,-0.11963923451724327,0.7209168122613978,1,knn,uniform,5000,10.0,
degree,0.9473713906657374,0.9663032198829138,0.11830838983075687,0.612919796976108,2,knn,uniform,5000,10.0,
closeness,0.11410057027116274,0.7517520523105319,0.5497819045398762,0.9767556097289538,2,knn,uniform,5000,10.0,
betweenness,0.8045678246170095,0.8079367750181288,0.7313946169541812,0.21041454098450743,2,knn,uniform,5000,10.0,
harmonic,0.2876879511544754,0.9019688977076676,0.6748252690064898,0.8686508796203527,2,knn,uniform,5000,10.0,
clustering,0.9274681989066671,0.9619896484768954,0.2515957303786735,0.7768331379769233,2,knn,uniform,5000,10.0,
pagerank,0.9420100215924315,0.9595917137772836,-0.1813758304122166,0.7231379567842193,2,knn,uniform,5000,10.0,
degree,0.8155910759759768,0.8897342588123978,0.05345103752730812,0.6842767712515966,1,knn,uniform,5000,15.0,
closeness,0.08267852409727391,0.5253352951008361,0.677271298224315,0.9740698083012505,1,knn,uniform,5000,15.0,
betweenness,0.6820657904632539,0.7480066527294797,0.699412132328484,0.6010107628768052,1,knn,uniform,5000,15.0,
harmonic,0.17947560135844515,0.6358401536982553,0.7061488473363525,0.8966507280441179,1,knn,uniform,5000,15.0,
clustering,0.7350359814473162,0.8692922197885233,0.12663819175632748,0.8312869754519393,1,knn,uniform,5000,15.0,
pagerank,0.7929021020307285,0.8602489209114642,-0.2464950256083176,0.761289947339805,1,knn,uniform,5000,15.0,
degree,0.9315215016280696,0.9581939712461317,0.05949750696758223,0.6555955589558254,2,knn,uniform,5000,15.0,
closeness,0.13515278123291752,0.7751701551559536,0.598822505896703,0.965751788814821,2,knn,uniform,5000,15.0,
betweenness,0.7678160311239675,0.7708450312571276,0.701835180369005,0.2550024837895144,2,knn,uniform,5000,15.0,
harmonic,0.2618580856755353,0.9056978972155335,0.691343084906098,0.8745924245400625,2,knn,uniform,5000,15.0,
clustering,0.9033778578296692,0.9635655195574435,0.21469755673714852,0.8402394808973858,2,knn,uniform,5000,15.0,
pagerank,0.9250011842184479,0.949652202833905,-0.2519531440201652,0.7359221369122524,2,knn,uniform,5000,15.0,
degree,0.9769406863510282,0.9879057208087553,0.49332871458104394,0.8366822207946571,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.9587344805357059,0.9627581740334091,0.1322488358823262,0.39509754667903524,1,rnn,uniform,5000,,0.05
harmonic,0.9457185724447188,0.965726793218958,-0.15816014060094857,0.726682008816221,1,rnn,uniform,5000,,0.05
clustering,0.9796631515930029,0.9796631515930029,0.5786240589845077,0.6094721910631704,1,rnn,uniform,5000,,0.05
pagerank,0.965492588907237,0.9750072364530039,0.5238303502893388,0.7196559573227367,1,rnn,uniform,5000,,0.05
degree,0.9939479580650996,0.993876776837069,0.42861069182413136,0.89853086670202,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9953339968611635,0.99191896462777,0.3096468039442245,0.5091372400092053,2,rnn,uniform,5000,,0.05
harmonic,0.9814160362012716,0.9856926729470691,0.038480802576507246,0.8314859310358105,2,rnn,uniform,5000,,0.05
clustering,0.9875622228538863,0.9872368373253442,0.536819457012182,0.679349068869687,2,rnn,uniform,5000,,0.05
pagerank,0.9885595678550032,0.9892458540801514,0.5249789552370538,0.8005985970302943,2,rnn,uniform,5000,,0.05
degree,0.9378717965891186,0.9840457616204563,0.07751687985176949,0.988147336378119,1,rnn,uniform,5000,,0.1
closeness,0.031351175480088075,0.7605826927905259,0.0893639734412649,0.9974481718544547,1,rnn,uniform,5000,,0.1
betweenness,0.6681891724034057,0.7911527625471374,0.1672476520309812,0.8751924548273665,1,rnn,uniform,5000,,0.1
harmonic,0.28654632733020124,0.9323265723309939,0.0660459549744005,0.995436861738491,1,rnn,uniform,5000,,0.1
clustering,0.871685383475087,0.9304199699706763,0.24294304291332602,0.9592936405539013,1,rnn,uniform,5000,,0.1
pagerank,0.9064075265844962,0.9562844525710166,0.16499230266024534,0.978453896642264,1,rnn,uniform,5000,,0.1
degree,0.9754202769690525,0.991305414363999,0.23601894003622323,0.9703870237129664,2,rnn,uniform,5000,,0.1
closeness,-0.011939052500495966,0.7854877023620769,0.39842364719275936,0.9965823053022734,2,rnn,uniform,5000,,0.1
betweenness,0.8469776741090032,0.8679617302711651,0.6881610017487957,0.6954647664836159,2,rnn,uniform,5000,,0.1
harmonic,0.3195960992254745,0.9517383892452191,0.3094920398810435,0.9887696671959282,2,rnn,uniform,5000,,0.1
clustering,0.9470750514109172,0.9589042675289275,0.3478691337145411,0.9083340120013459,2,rnn,uniform,5000,,0.1
pagerank,0.9676768233440252,0.9835167231673362,0.30078973618374205,0.9445952700001745,2,rnn,uniform,5000,,0.1
degree,0.8377625181321322,0.9635320261724012,0.1717831665529364,0.9888549165653708,1,rnn,uniform,5000,,0.15
closeness,0.028023676816902265,0.6517687313208095,0.28185259245560124,0.997804146005362,1,rnn,uniform,5000,,0.15
betweenness,0.5947790734845528,0.7898896415454839,0.4280264831324987,0.864352068848568,1,rnn,uniform,5000,,0.15
harmonic,0.20780830069930223,0.8615640853343416,0.20854520338555382,0.9967089805191824,1,rnn,uniform,5000,,0.15
clustering,0.6938426115173904,0.8905218745358683,0.17098114784067292,0.9708879528058165,1,rnn,uniform,5000,,0.15
pagerank,0.8085572871472375,0.9245965008834769,0.22190822385393372,0.9795950334579206,1,rnn,uniform,5000,,0.15
degree,0.9388594256169038,0.9931935136805428,0.18290015919241698,0.9880466273486983,2,rnn,uniform,5000,,0.15
closeness,0.0358449171275457,0.8602712105087517,0.3481209565601937,0.9985009280911845,2,rnn,uniform,5000,,0.15
betweenness,0.8638523599255126,0.8901133393443605,0.5093753573316138,0.7841760270505943,2,rnn,uniform,5000,,0.15
harmonic,0.23210028771401603,0.9461584772988021,0.21462684929083936,0.996562482015092,2,rnn,uniform,5000,,0.15
clustering,0.8857763073261851,0.968624307698743,0.26373103176394214,0.9688397010236951,2,rnn,uniform,5000,,0.15
pagerank,0.9259355672667673,0.9800634225840603,0.22791921610988586,0.9785526090333824,2,rnn,uniform,5000,,0.15
degree,0.9200800901657155,0.9418438373715394,0.5141077595674384,-0.12314769219773636,1,delaunay,kappa=1,5000,,
closeness,0.5385101344626512,0.4760963769506354,-0.028328302036846595,0.09651513563759286,1,delaunay,kappa=1,5000,,
betweenness,0.4475906599390448,0.6373045146937747,0.45414145872203016,-0.1396693383558771,1,delaunay,kappa=1,5000,,
harmonic,0.5105253395371935,0.6976315194497816,0.41992226776390323,-0.44496855611364466,1,delaunay,kappa=1,5000,,
clustering,0.9543835001081178,0.9543835001081178,0.5871209314138333,0.1742405854486107,1,delaunay,kappa=1,5000,,
pagerank,0.9281022117041916,0.9444290172219185,0.7629217596167759,-0.24611399142283694,1,delaunay,kappa=1,5000,,
degree,0.9786647644045675,0.9855204283722772,0.5284920549986964,-0.11607516934734875,2,delaunay,kappa=1,5000,,
closeness,0.5911102403938041,0.6651094599344437,-0.19393999049782795,0.36684783836675605,2,delaunay,kappa=1,5000,,
betweenness,0.6867265594296461,0.7724549627890382,0.6866077502251214,-0.09548721378386223,2,delaunay,kappa=1,5000,,
harmonic,0.5928818495094712,0.798258152696773,0.33462479571557113,-0.6964782879988403,2,delaunay,kappa=1,5000,,
clustering,0.9874520178148309,0.9874520178148309,0.6144718418766949,0.18628480690471294,2,delaunay,kappa=1,5000,,
pagerank,0.9811817100390351,0.9864106715834285,0.7935117260553672,-0.2543499349179106,2,delaunay,kappa=1,5000,,
degree,0.9497528662273704,0.9620281345784787,0.259716943056461,0.4891654343837132,1,knn,kappa=1,5000,5.0,
closeness,0.41762908462778997,0.5080265439587676,-0.06014200329985216,0.014620823999328722,1,knn,kappa=1,5000,5.0,
betweenness,0.7847825588568766,0.8232448551500283,0.7531427083659308,0.3153902964636689,1,knn,kappa=1,5000,5.0,
harmonic,0.4739446493635901,0.8024111913159979,0.1715810654817888,0.6572022553554391,1,knn,kappa=1,5000,5.0,
clustering,0.9264725149594268,0.9451884594172024,0.3204256980381477,0.4918425955770545,1,knn,kappa=1,5000,5.0,
