,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8799371349655258,0.9341742492782787,0.5788060073333963,-0.1704864486289831,1,delaunay,uniform,5000,,
closeness,0.18164801645170264,0.5470564669208166,0.18776869694478693,-0.7361744957030805,1,delaunay,uniform,5000,,
betweenness,0.4004192455261122,0.6271819879633211,0.3971550451683207,-0.17466609454445509,1,delaunay,uniform,5000,,
harmonic,0.3449976211678127,0.6521909131822456,0.3615791194386771,-0.6905362196905168,1,delaunay,uniform,5000,,
clustering,0.9310963353517225,0.9310963353517225,0.6535367700198276,0.20500456064336012,1,delaunay,uniform,5000,,
pagerank,0.8905224017229671,0.9352383144287573,0.7114455359604326,-0.2272009994383405,1,delaunay,uniform,5000,,
degree,0.9553021295064033,0.9692670104914225,0.634748246694853,-0.16923725235693104,2,delaunay,uniform,5000,,
closeness,0.3008510603846024,0.6455265419966619,0.27219062057110677,-0.8943419934176582,2,delaunay,uniform,5000,,
betweenness,0.591617640386363,0.7609031150721766,0.5890434412573977,-0.07432208905252917,2,delaunay,uniform,5000,,
harmonic,0.3616559510413804,0.7322054281417887,0.336963909261525,-0.8208037738629741,2,delaunay,uniform,5000,,
clustering,0.9747518576638486,0.9747518576638486,0.6677514554136359,0.24277501463018752,2,delaunay,uniform,5000,,
pagerank,0.9598053705125736,0.9701775585697103,0.769416752840745,-0.21503876408878175,2,delaunay,uniform,5000,,
degree,0.9459792177427173,0.9596796850469949,0.24207477825330231,0.5674653422843821,1,knn,uniform,5000,5.0,
closeness,0.23334806542948525,0.5648909208772773,0.03140460910914017,0.13112294215759018,1,knn,uniform,5000,5.0,
betweenness,0.7578078293544277,0.8136412127948556,0.7265641790606605,0.18533219712503182,1,knn,uniform,5000,5.0,
harmonic,0.46962909257720215,0.8262103387761235,0.600620588632623,0.6324487061817861,1,knn,uniform,5000,5.0,
clustering,0.9173203279712637,0.9479388574654887,0.38739737244898864,0.5348989020370034,1,knn,uniform,5000,5.0,
pagerank,0.9414584367948506,0.9549824524439156,0.025334440167945827,0.6629282604040134,1,knn,uniform,5000,5.0,
degree,0.9751218872692717,0.9828474186943756,0.21090124905595709,0.5616652144128744,2,knn,uniform,5000,5.0,
closeness,0.18656257332663462,0.7732469747689004,0.026579796026802858,0.015700983713321168,2,knn,uniform,5000,5.0,
betweenness,0.873988281108279,0.8790620409827672,0.7720503738036713,0.09971723420613315,2,knn,uniform,5000,5.0,
harmonic,0.5185392176494932,0.8957156223676819,0.486272206103608,0.659046072379151,2,knn,uniform,5000,5.0,
clustering,0.9639623401818941,0.9731590584415536,0.3200580165498338,0.5551398977328976,2,knn,uniform,5000,5.0,
pagerank,0.9718049599431511,0.9781586763138889,6.169943145959214e-05,0.6530533643542136,2,knn,uniform,5000,5.0,
degree,0.8555025558994863,0.902917736375261,0.06670918866256123,0.6383484462079959,1,knn,uniform,5000,10.0,
closeness,0.06190994464733506,0.5506665415862158,0.5330493470050581,0.9759081652790678,1,knn,uniform,5000,10.0,
betweenness,0.6409519654156214,0.712387452388015,0.6405268445964418,0.5641027251884236,1,knn,uniform,5000,10.0,
harmonic,0.20239043122750386,0.755036836403244,0.5750358310900141,0.8997895956177924,1,knn,uniform,5000,10.0,
clustering,0.7755626581939479,0.8909185299835678,0.23421377784614478,0.7842968063034832,1,knn,uniform,5000,10.0,
pagerank,0.8404512201392889,0.8868941433128611,-0.19772014356579493,0.7291391252825017,1,knn,uniform,5000,10.0,
degree,0.9593396520794324,0.9712272755112168,0.09700839587929813,0.6618363493594523,2,knn,uniform,5000,10.0,
closeness,0.07409986338552205,0.7607441914987311,0.4963956320896287,0.9684584629933652,2,knn,uniform,5000,10.0,
betweenness,0.8086202248392802,0.814150506534718,0.733058527556562,0.19268705806994327,2,knn,uniform,5000,10.0,
harmonic,0.2683706423479407,0.9151827010889793,0.5981169819661398,0.883398824601466,2,knn,uniform,5000,10.0,
clustering,0.9411623815382131,0.9723659352472465,0.25458731798066214,0.7649098547728718,2,knn,uniform,5000,10.0,
pagerank,0.956071017477902,0.9693830404756032,-0.24625692005513614,0.7478469073572714,2,knn,uniform,5000,10.0,
degree,0.7982238223471261,0.8907402364297454,-0.009873954370622837,0.6249197645777564,1,knn,uniform,5000,15.0,
closeness,0.17596305525246764,0.6970872844048115,0.633692847446149,0.9730879193940167,1,knn,uniform,5000,15.0,
betweenness,0.6957478984029466,0.7696666576394509,0.7118937199711557,0.617428856974441,1,knn,uniform,5000,15.0,
harmonic,0.2311489662793815,0.7878221024986285,0.6894087007723194,0.8919670182901831,1,knn,uniform,5000,15.0,
clustering,0.6743647116655054,0.9161790076084521,0.19153640618531698,0.8343511133184245,1,knn,uniform,5000,15.0,
pagerank,0.7812695404778375,0.8682644140630869,-0.23549259403678505,0.7417113780952262,1,knn,uniform,5000,15.0,
degree,0.9378376437367918,0.9648906583543939,0.04653984822468675,0.6726641490170331,2,knn,uniform,5000,15.0,
closeness,0.25652102607869015,0.7399660058815729,0.3278800726202499,0.9760901828799342,2,knn,uniform,5000,15.0,
betweenness,0.753713167376864,0.758394829614008,0.6834937857135467,0.23026903338509497,2,knn,uniform,5000,15.0,
harmonic,0.32940647850848415,0.8950182175782327,0.5795307582439074,0.9062063432064077,2,knn,uniform,5000,15.0,
clustering,0.8921833096745564,0.957721721398971,0.20757117547409867,0.8423145252833589,2,knn,uniform,5000,15.0,
pagerank,0.9332031152867817,0.9595102544960518,-0.31649486603591426,0.7769812177966473,2,knn,uniform,5000,15.0,
degree,0.9770082733132858,0.986488346643357,0.5183892907759177,0.8279252463836406,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.8657620889915338,0.8738319807591831,0.6693265088278781,0.3313951732257318,1,rnn,uniform,5000,,0.05
harmonic,0.9437946412810329,0.9588871550853757,0.02427875391674346,0.7326406493999513,1,rnn,uniform,5000,,0.05
clustering,0.9833413511357547,0.979518048714211,0.6609205533580053,0.5974751717292925,1,rnn,uniform,5000,,0.05
pagerank,0.982327116777618,0.9860026074442274,0.5883612188726451,0.6830421665201419,1,rnn,uniform,5000,,0.05
degree,0.9916791878802171,0.9893703339009344,0.4203746731437045,0.895304385253566,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.7655407976546308,0.7506131339490887,0.23885249090925242,0.500547751796304,2,rnn,uniform,5000,,0.05
