,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8805960632227996,0.9242195764995905,0.5899433938487719,-0.15903999037282593,1,delaunay,uniform,5000,,
closeness,0.3420560583580086,0.5939100557392722,0.32803350546480736,-0.8194320289906853,1,delaunay,uniform,5000,,
betweenness,0.41494167447971286,0.6550585268790388,0.41693303690884,-0.17390567970731552,1,delaunay,uniform,5000,,
harmonic,0.40133619900442125,0.6900848093755175,0.3938681131995526,-0.7338243735269587,1,delaunay,uniform,5000,,
clustering,0.9233866128418569,0.9228932685197185,0.6401505332633045,0.2113462977296857,1,delaunay,uniform,5000,,
pagerank,0.8919811877169774,0.9272455086194522,0.6983856013874532,-0.18478555419833625,1,delaunay,uniform,5000,,
degree,0.9647221224429803,0.9647221224429803,0.63480093422619,-0.1736740023021307,2,delaunay,uniform,5000,,
closeness,0.16380741465052584,0.6205992827791452,0.11435425589246223,-0.8599668972241641,2,delaunay,uniform,5000,,
betweenness,0.5828807433034493,0.7066910161989777,0.581550423096159,-0.09136271953860575,2,delaunay,uniform,5000,,
harmonic,0.3006624002720203,0.7488614839744474,0.259952355654003,-0.7418795908290206,2,delaunay,uniform,5000,,
clustering,0.9812422567229931,0.9812422567229931,0.6979398232832631,0.21493684604510646,2,delaunay,uniform,5000,,
pagerank,0.9693069142783648,0.9814828780456184,0.7758219139503946,-0.21540057766310453,2,delaunay,uniform,5000,,
degree,0.9255186585990649,0.9422693091673887,0.24457990174207098,0.5190541823134032,1,knn,uniform,5000,5.0,
closeness,-0.01905839348869507,0.5161930368278236,0.47277224580136934,0.9380622494578597,1,knn,uniform,5000,5.0,
betweenness,0.6833559483282445,0.7577768783318697,0.682933841990581,0.3248063805254846,1,knn,uniform,5000,5.0,
harmonic,0.09831313974651597,0.7019747188338052,0.6288696396637414,0.7611601856785188,1,knn,uniform,5000,5.0,
clustering,0.8371576001197254,0.8680471035111565,0.28524362109126034,0.43370134257088977,1,knn,uniform,5000,5.0,
pagerank,0.9176468425135348,0.9323970092929932,0.0792956609010744,0.6175872186390206,1,knn,uniform,5000,5.0,
degree,0.9735881003196472,0.979086091703306,0.20118962946039715,0.5601420923427786,2,knn,uniform,5000,5.0,
closeness,0.39610786353408645,0.7448071732394808,-0.004898509185160365,0.049681906495694636,2,knn,uniform,5000,5.0,
betweenness,0.8560468676370834,0.8594773422170041,0.7648563614809756,0.053677355249572255,2,knn,uniform,5000,5.0,
harmonic,0.5255932684817686,0.9264468954558757,0.46274063165940316,0.6650422223697932,2,knn,uniform,5000,5.0,
clustering,0.9685383295184323,0.9769742307428255,0.344104572128499,0.5330051308607563,2,knn,uniform,5000,5.0,
pagerank,0.9719342254883574,0.976940291542186,-0.0036412451370152043,0.6546308399613254,2,knn,uniform,5000,5.0,
degree,0.8860210823016441,0.9244988481160028,0.10392409032500785,0.609969379832061,1,knn,uniform,5000,10.0,
closeness,0.11042385610935007,0.4406449551015271,0.4535540075038353,0.9670758642354373,1,knn,uniform,5000,10.0,
betweenness,0.6570746493038373,0.7392814603973297,0.6646323014141466,0.5223466575435893,1,knn,uniform,5000,10.0,
harmonic,0.194692322053936,0.7704697775265749,0.6052246488764055,0.8748441453867994,1,knn,uniform,5000,10.0,
clustering,0.802029566792406,0.9016121982621464,0.21684410964871353,0.7609110433304221,1,knn,uniform,5000,10.0,
pagerank,0.8755502307860679,0.9063890750621568,-0.14738099140789068,0.7170248986236774,1,knn,uniform,5000,10.0,
degree,0.9546404278567129,0.971861414068863,0.10060743900322976,0.6300355182048819,2,knn,uniform,5000,10.0,
closeness,0.13122146076716973,0.7602361288510683,0.5084265668476287,0.9693019277865751,2,knn,uniform,5000,10.0,
betweenness,0.7478774425550969,0.749117080742631,0.6757934200335021,0.17853036690011626,2,knn,uniform,5000,10.0,
harmonic,0.26853086918694963,0.8921860708054553,0.6849180045197489,0.838338701166327,2,knn,uniform,5000,10.0,
clustering,0.9457063295691137,0.9701054850591246,0.23527242699632928,0.7375951908277,2,knn,uniform,5000,10.0,
pagerank,0.9509053127278295,0.9667276638384776,-0.2160252393932373,0.7292131645276276,2,knn,uniform,5000,10.0,
degree,0.8391567695072553,0.9037892503818588,0.12283621346077135,0.7198055353503547,1,knn,uniform,5000,15.0,
closeness,0.1711257234764682,0.5740097688868944,0.39428353066474875,0.9886773086506384,1,knn,uniform,5000,15.0,
betweenness,0.635777035623822,0.7227330504724159,0.660924507561192,0.6567485954360347,1,knn,uniform,5000,15.0,
harmonic,0.10445753578867917,0.7560324977259534,0.5969575441503998,0.9507233035423102,1,knn,uniform,5000,15.0,
clustering,0.6792960924430247,0.886254665647973,0.11452666346715948,0.8437582718533061,1,knn,uniform,5000,15.0,
pagerank,0.8244424881387533,0.886167665116038,-0.2351425916375276,0.8011645464102842,1,knn,uniform,5000,15.0,
degree,0.9249821573782306,0.9578356568287175,0.051373262750238236,0.673757486612313,2,knn,uniform,5000,15.0,
closeness,0.10844078456909605,0.7968000559425993,0.5028951817368614,0.9715219379447113,2,knn,uniform,5000,15.0,
betweenness,0.7740608343721188,0.8024042379944437,0.7076120252504363,0.1929108847307268,2,knn,uniform,5000,15.0,
harmonic,0.22622053338772402,0.9026086848081558,0.6274024615499867,0.8915699326155447,2,knn,uniform,5000,15.0,
clustering,0.8837233011667815,0.958490386319195,0.18035371623446916,0.8296030998786259,2,knn,uniform,5000,15.0,
pagerank,0.9193002805930848,0.9492253448243351,-0.29696619220040077,0.7691733499481845,2,knn,uniform,5000,15.0,
degree,0.9705745028533936,0.9755787226906303,0.40231052129602934,0.8420205679231894,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
betweenness,0.9880121762267533,0.988059419340877,0.200427719504707,0.22962612467434723,1,rnn,uniform,5000,,0.05
harmonic,0.9309683203326463,0.9456516574706573,-0.15086241764912045,0.7084946289800641,1,rnn,uniform,5000,,0.05
clustering,0.965060121864796,0.965060121864796,0.49213549353214836,0.6478822851226134,1,rnn,uniform,5000,,0.05
pagerank,0.9604811464017943,0.9670496533133565,0.43442854427817396,0.7189643124283249,1,rnn,uniform,5000,,0.05
degree,0.9933169410271885,0.9962551288260002,0.42808864017824017,0.9031918816790504,2,rnn,uniform,5000,,0.05
closeness,,,,,2,rnn,uniform,5000,,0.05
betweenness,0.9983377037281626,0.9926836909663204,0.10544931887958196,0.44839725997973556,2,rnn,uniform,5000,,0.05
harmonic,0.9898635439220208,0.992310930503485,-0.10832793344124429,0.8302805632188376,2,rnn,uniform,5000,,0.05
clustering,0.980151939163908,0.9812499264389134,0.5093872641010716,0.6891575874990512,2,rnn,uniform,5000,,0.05
pagerank,0.9845885297991896,0.9898413863010606,0.4908299737996568,0.8096167635816435,2,rnn,uniform,5000,,0.05
degree,0.9070575745746461,0.9716084257703619,0.19513108867033674,0.971240749291006,1,rnn,uniform,5000,,0.1
closeness,0.3246900690819402,0.6465552202325642,0.3201088393933595,0.9963526547559789,1,rnn,uniform,5000,,0.1
betweenness,0.7349561193932057,0.8377893465600452,0.42051962268830895,0.8140193969077714,1,rnn,uniform,5000,,0.1
harmonic,0.44863601736908676,0.8756363891544114,0.28923422246782426,0.9924679610678201,1,rnn,uniform,5000,,0.1
clustering,0.8691086048443131,0.8942855489684456,0.34425526473604595,0.9294296118883928,1,rnn,uniform,5000,,0.1
pagerank,0.8928418383288863,0.9579294812846479,0.2926877284302367,0.9501216486873525,1,rnn,uniform,5000,,0.1
degree,0.9769414010709174,0.9925298257122662,0.250611871433443,0.9688127315765476,2,rnn,uniform,5000,,0.1
closeness,0.09281140803514171,0.9286749896067379,0.49211372944280796,0.9959175780524203,2,rnn,uniform,5000,,0.1
betweenness,0.8831255437948025,0.8989489786734606,0.7069582861718159,0.6327143475151006,2,rnn,uniform,5000,,0.1
harmonic,0.3806159758079765,0.9783785703623538,0.307924359821221,0.9873956647565028,2,rnn,uniform,5000,,0.1
clustering,0.93911399773508,0.9674978142291855,0.37143857614515374,0.900761575344178,2,rnn,uniform,5000,,0.1
pagerank,0.9697177695785946,0.9863921009737684,0.3240766062539937,0.9409498615666048,2,rnn,uniform,5000,,0.1
degree,0.8288321446059326,0.9657766245322933,0.23508969052758966,0.9906709252662047,1,rnn,uniform,5000,,0.15
closeness,-0.05926173277371434,0.6037999887315586,0.16455826884457503,0.9986260846499797,1,rnn,uniform,5000,,0.15
betweenness,0.5495715098077745,0.7610153244495693,0.2666889642814784,0.9267553701526254,1,rnn,uniform,5000,,0.15
harmonic,0.09455013250146413,0.8444194932159721,0.23142517409417612,0.997691365293162,1,rnn,uniform,5000,,0.15
clustering,0.6620072570667005,0.8952890748998578,0.22160269048031817,0.9826994135642029,1,rnn,uniform,5000,,0.15
pagerank,0.8119952523061089,0.93320913310516,0.26038840717830714,0.9852251315337408,1,rnn,uniform,5000,,0.15
degree,0.9445243407363901,0.9799449037675392,0.1642418425135685,0.9884528125867563,2,rnn,uniform,5000,,0.15
closeness,0.48745650857173,0.861382851215647,0.2786381031964508,0.9987798898221064,2,rnn,uniform,5000,,0.15
betweenness,0.8514425768225131,0.880431083421913,0.5117328661837048,0.79120268549236,2,rnn,uniform,5000,,0.15
harmonic,0.6130096823050636,0.8947048405507017,0.24894113236325943,0.9973167112553658,2,rnn,uniform,5000,,0.15
clustering,0.8942411769186942,0.9732354213480704,0.28919058863212677,0.9717268772410962,2,rnn,uniform,5000,,0.15
pagerank,0.9276852386748007,0.9751084067144282,0.22445653662845133,0.9777051125939091,2,rnn,uniform,5000,,0.15
degree,0.9198516866328572,0.9445797528736471,0.493550740958409,-0.11876033499816387,1,delaunay,kappa=1,5000,,
closeness,0.09548167277751332,0.5321154179326328,-0.18369101853378342,0.1527985621838329,1,delaunay,kappa=1,5000,,
betweenness,0.5154133203411568,0.608934212827815,0.518227862201492,-0.16436296512228718,1,delaunay,kappa=1,5000,,
harmonic,0.2627254050300041,0.6663000066269765,0.1919138144623911,-0.26624663915898833,1,delaunay,kappa=1,5000,,
clustering,0.9629720694514796,0.9629720694514796,0.6286319860231239,0.1869907665867387,1,delaunay,kappa=1,5000,,
pagerank,0.9281862377370381,0.9482609534125237,0.7476337407152254,-0.2372074347085591,1,delaunay,kappa=1,5000,,
degree,0.9733485360669766,0.9797658975868391,0.49194226922287204,-0.1143675157729466,2,delaunay,kappa=1,5000,,
closeness,0.2756291470047576,0.6436074591655478,-0.31955146700211445,0.38744356964204774,2,delaunay,kappa=1,5000,,
betweenness,0.6649978623547828,0.7566843803914888,0.6650472589840339,-0.08762476753770014,2,delaunay,kappa=1,5000,,
harmonic,0.397890525826927,0.8132275155280241,0.17630068352865147,-0.505313986603125,2,delaunay,kappa=1,5000,,
clustering,0.9835317342745833,0.9835317342745833,0.6161081387221874,0.17390495070001147,2,delaunay,kappa=1,5000,,
pagerank,0.9762770969468924,0.9810919329194372,0.7685268327320656,-0.24571563187939005,2,delaunay,kappa=1,5000,,
degree,0.9505075661040625,0.9638763390257243,0.2265889275439982,0.4292593674893321,1,knn,kappa=1,5000,5.0,
closeness,0.04500852333742293,0.6408289855016671,0.06879497692055968,-0.14183909918153842,1,knn,kappa=1,5000,5.0,
betweenness,0.7390277026128702,0.7849076059216408,0.7455364487273333,0.2739237227012053,1,knn,kappa=1,5000,5.0,
harmonic,0.2390377762298051,0.7787913598448701,-0.05146485340432058,0.44136247808816087,1,knn,kappa=1,5000,5.0,
clustering,0.9347503496022675,0.9450035313200118,0.3625768900579126,0.4318192180389018,1,knn,kappa=1,5000,5.0,
pagerank,0.9457174386891064,0.9594171193089649,0.109659291095396,0.5794962047917177,1,knn,kappa=1,5000,5.0,
degree,0.980267929162671,0.9864593528302636,0.2122396943028353,0.33927451162081584,2,knn,kappa=1,5000,5.0,
closeness,0.5041611626948174,0.6891148676090462,-0.1759835578521716,-0.29293249530857446,2,knn,kappa=1,5000,5.0,
betweenness,0.8707682906767021,0.8705966274557178,0.8619622990694092,0.07324585853781466,2,knn,kappa=1,5000,5.0,
harmonic,0.5709163150517698,0.8935918827415816,0.03957569533606817,0.6314083628233299,2,knn,kappa=1,5000,5.0,
clustering,0.9689367085078433,0.9732931355142141,0.3395436367082129,0.4020244325820008,2,knn,kappa=1,5000,5.0,
pagerank,0.977932702123971,0.9836817241350249,0.0958160899475271,0.5438352326722946,2,knn,kappa=1,5000,5.0,
degree,0.9157661252748062,0.9449749011717541,0.12075448693871188,0.5689255783100233,1,knn,kappa=1,5000,10.0,
closeness,0.6437740633711009,0.5408584138142676,-0.26848959245441445,0.9754737348975001,1,knn,kappa=1,5000,10.0,
betweenness,0.7766855033414689,0.82005319844446,0.7795973402599957,0.4188634734297673,1,knn,kappa=1,5000,10.0,
harmonic,0.4196058287665985,0.829954650270002,0.1929411074272053,0.9214334233286993,1,knn,kappa=1,5000,10.0,
clustering,0.880490438762537,0.9479169315064543,0.26930307729904357,0.6865908952829498,1,knn,kappa=1,5000,10.0,
pagerank,0.9076929795723763,0.9353645812336485,-0.17163911935396586,0.7142687431332677,1,knn,kappa=1,5000,10.0,
degree,0.966898460637934,0.9792580221178023,0.12934446210202916,0.3383241811804796,2,knn,kappa=1,5000,10.0,
closeness,0.5263085832592942,0.769631696658002,-0.093515103354528,0.19208386474523373,2,knn,kappa=1,5000,10.0,
betweenness,0.8423286482452894,0.8627900206406711,0.8212198237229762,0.05096751553400546,2,knn,kappa=1,5000,10.0,
harmonic,0.43588831335540135,0.861079481209388,0.08280417219679098,0.7907140936616821,2,knn,kappa=1,5000,10.0,
clustering,0.9622610280664046,0.9784841468096673,0.2597659551836698,0.5036335306074753,2,knn,kappa=1,5000,10.0,
pagerank,0.964164154949004,0.9746941185189555,-0.02681586360598876,0.6054810257670671,2,knn,kappa=1,5000,10.0,
degree,0.8398834221676782,0.8919305718530341,0.11667570000846926,0.3303457245670409,1,knn,kappa=1,5000,15.0,
closeness,-0.2712716035156959,-0.22775453832509593,0.5702204260123274,0.7397211908706498,1,knn,kappa=1,5000,15.0,
betweenness,0.6000208709035483,0.6935563001250258,0.6442801881286624,0.523415464541725,1,knn,kappa=1,5000,15.0,
harmonic,-0.09042635106204097,0.22832953573952627,0.3795217608239816,0.5280416201348024,1,knn,kappa=1,5000,15.0,
clustering,0.711025123519212,0.8725025111285718,0.2669391308365452,0.6963017924931658,1,knn,kappa=1,5000,15.0,
