,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.9047152837745431,0.9291869650153208,0.6429284688082849,-0.1730996046104858,1,delaunay,uniform,5000,,
closeness,0.2137886464595664,0.45710636059772036,0.1987987397034239,-0.7824288343022547,1,delaunay,uniform,5000,,
betweenness,0.4652587885583769,0.5571408747892981,0.46768350787732993,-0.17210232046665233,1,delaunay,uniform,5000,,
harmonic,0.37215757926354465,0.596694017767087,0.35604463039609885,-0.7070946513562653,1,delaunay,uniform,5000,,
clustering,0.9324642040603897,0.9324642040603897,0.6570273270500089,0.25352100422194646,1,delaunay,uniform,5000,,
pagerank,0.9142147695553783,0.9327524181366724,0.7475397166103752,-0.20706830709179297,1,delaunay,uniform,5000,,
degree,0.9585449276688537,0.9772880381588387,0.6271227433921676,-0.1734963807628213,2,delaunay,uniform,5000,,
closeness,0.3280157878638466,0.5574712934654812,0.2681482604380153,-0.853238801132093,2,delaunay,uniform,5000,,
betweenness,0.6124110277214082,0.7663924068991386,0.6094354865540542,-0.0774117122142913,2,delaunay,uniform,5000,,
harmonic,0.373886547601113,0.7399848115730058,0.29053012997372396,-0.7644653884622465,2,delaunay,uniform,5000,,
clustering,0.9722999467079061,0.9722999467079061,0.672379731949269,0.2307458199878865,2,delaunay,uniform,5000,,
pagerank,0.9630195521466987,0.9790490519619676,0.7705479270700656,-0.22498909478626283,2,delaunay,uniform,5000,,
degree,0.934421109801085,0.9477131985091064,0.2045138553594017,0.5207574737769065,1,knn,uniform,5000,5.0,
closeness,0.22274708900197365,0.6437069964193656,-0.04681014432083076,0.17432491787574933,1,knn,uniform,5000,5.0,
betweenness,0.7359372481883896,0.7855672483500571,0.6956841177280486,0.30676015914761223,1,knn,uniform,5000,5.0,
harmonic,0.31216725600828266,0.7705098655187722,0.5739071271557297,0.7421840183042234,1,knn,uniform,5000,5.0,
clustering,0.873981800001572,0.9158242087223256,0.31702480978835673,0.5213742301343439,1,knn,uniform,5000,5.0,
pagerank,0.9304827702793237,0.942668621260856,0.05869494324877603,0.6165595413340912,1,knn,uniform,5000,5.0,
degree,0.9746298785065935,0.9818022324531267,0.2046564249601755,0.5613302110602115,2,knn,uniform,5000,5.0,
closeness,0.42448637708590375,0.7979563559864179,0.7184200092537127,0.9296575109876575,2,knn,uniform,5000,5.0,
betweenness,0.8709984054069856,0.8784319959405725,0.8058268440224863,0.09418468160667395,2,knn,uniform,5000,5.0,
harmonic,0.5777749045568732,0.9014365150642976,0.6882424537449399,0.6664185274879649,2,knn,uniform,5000,5.0,
clustering,0.957062490250242,0.9701103993380829,0.3122367364657487,0.5365271124016956,2,knn,uniform,5000,5.0,
pagerank,0.9715285142542245,0.9783320544656495,-0.003486121735175691,0.6688654138410962,2,knn,uniform,5000,5.0,
degree,0.8567609759034388,0.904481941918466,0.06288392823546807,0.6303015640466537,1,knn,uniform,5000,10.0,
closeness,0.12503643727277075,0.6590939881062142,0.6139992894464827,0.9662775143759353,1,knn,uniform,5000,10.0,
betweenness,0.6038230186443796,0.6879146174950127,0.6256012423169861,0.5343329572507252,1,knn,uniform,5000,10.0,
harmonic,0.13367975355284187,0.7059085041835903,0.6702626525648511,0.8794125351814969,1,knn,uniform,5000,10.0,
clustering,0.8078084563568759,0.9085980917264999,0.19307231679887232,0.744280047802229,1,knn,uniform,5000,10.0,
