,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.9288793038626583,0.9426890234408598,0.6552841072558646,-0.17828357634040104,1,delaunay,uniform,5000,,
closeness,0.11593575319116997,0.37699162732263625,0.17521540113439268,-0.7283024633221085,1,delaunay,uniform,5000,,
betweenness,0.4969142259756354,0.6742689440634959,0.49305648909418376,-0.12998016896743486,1,delaunay,uniform,5000,,
harmonic,0.3084183704104422,0.6444320103588114,0.3011494083777829,-0.6613871407181703,1,delaunay,uniform,5000,,
clustering,0.9539420494121105,0.9539420494121105,0.671762935389873,0.20127329736926397,1,delaunay,uniform,5000,,
pagerank,0.9359683811961639,0.9447699880707939,0.7624156000733107,-0.21256991274604695,1,delaunay,uniform,5000,,
degree,0.9616903559270651,0.9723921532857598,0.6514456349313096,-0.17590573992353356,2,delaunay,uniform,5000,,
closeness,0.17095630517718452,0.6996032771375997,0.15590041126955856,-0.8833959446531531,2,delaunay,uniform,5000,,
betweenness,0.5934499270749254,0.7402457747571464,0.5912251142540859,-0.08347025532220284,2,delaunay,uniform,5000,,
harmonic,0.3019367304953597,0.7865696250317921,0.30421974014751596,-0.7972836562957512,2,delaunay,uniform,5000,,
clustering,0.9791332220032649,0.9791332220032649,0.662080716281287,0.2060977137285832,2,delaunay,uniform,5000,,
pagerank,0.9663995542106101,0.9742268368835206,0.7843706186471398,-0.21806334006830563,2,delaunay,uniform,5000,,
degree,0.9353836692029822,0.9561061453335304,0.24373261002024402,0.5703467209313928,1,knn,uniform,5000,5.0,
closeness,0.3270763697988094,0.732694265092416,0.03962749579000596,0.20838210087992515,1,knn,uniform,5000,5.0,
betweenness,0.6913091427892544,0.7552929490719458,0.6648332110058107,0.3704263472118937,1,knn,uniform,5000,5.0,
harmonic,0.4339304358890943,0.8529430849940052,0.45897387738606493,0.572339970769265,1,knn,uniform,5000,5.0,
clustering,0.8851477857090299,0.9166381368750907,0.32913852321452974,0.5280193902195138,1,knn,uniform,5000,5.0,
pagerank,0.9281311922813611,0.948095992102842,0.05817869848605554,0.6457202152907262,1,knn,uniform,5000,5.0,
degree,0.9742840637459904,0.9823793929139752,0.21211418152546124,0.5716266709919444,2,knn,uniform,5000,5.0,
closeness,0.4146334357025713,0.8677848199198436,0.035768503527607465,0.09048015701418227,2,knn,uniform,5000,5.0,
betweenness,0.8899224832027466,0.8950096418488409,0.7989640899520547,0.12726709109132966,2,knn,uniform,5000,5.0,
harmonic,0.47670215891073775,0.9565047178215871,0.5099425440651201,0.6413255275804164,2,knn,uniform,5000,5.0,
clustering,0.960979826115202,0.9735950029397373,0.30497397901735745,0.554135234962972,2,knn,uniform,5000,5.0,
pagerank,0.9715935480477987,0.9788118662097263,-0.00705176386131455,0.6725060005748653,2,knn,uniform,5000,5.0,
