,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.896013839141302,0.9315727249104832,0.639726745840223,-0.19380226559567476,1,delaunay,uniform,5000,,
closeness,0.34166815759428015,0.4837466677765757,0.3676501982822251,-0.8319313197476168,1,delaunay,uniform,5000,,
betweenness,0.38325635052454216,0.5968068574991668,0.3795751435198724,-0.14913117779979307,1,delaunay,uniform,5000,,
harmonic,0.37914384492276243,0.6297595478155537,0.3945491903180697,-0.7541196963956427,1,delaunay,uniform,5000,,
clustering,0.9277666569018872,0.9277666569018872,0.6264011115660966,0.2154738603483634,1,delaunay,uniform,5000,,
pagerank,0.9075315426662453,0.9344603471388649,0.7420580077721357,-0.21920089530645417,1,delaunay,uniform,5000,,
degree,0.9702832440301704,0.979352335855759,0.6834267278053049,-0.20040753041824377,2,delaunay,uniform,5000,,
closeness,0.3735955585068588,0.5372768855892662,0.3644104763392065,-0.9051910614001636,2,delaunay,uniform,5000,,
betweenness,0.6153434938649622,0.732214733925178,0.6123202976666478,-0.08087700458553018,2,delaunay,uniform,5000,,
harmonic,0.42251595808804454,0.7033781227698909,0.40666659940734606,-0.8275561366343853,2,delaunay,uniform,5000,,
clustering,0.9861952615344984,0.9861952615344984,0.7056350757851648,0.23882152078670146,2,delaunay,uniform,5000,,
pagerank,0.974042006166546,0.9804720826371004,0.7941065603220576,-0.23694398336711162,2,delaunay,uniform,5000,,
degree,0.9199378387682446,0.9403418818127265,0.2107956535526819,0.542468185138287,1,knn,uniform,5000,5.0,
closeness,0.27707925317513615,0.6566836252428022,0.5731527740438987,0.9378005267707639,1,knn,uniform,5000,5.0,
betweenness,0.7339818054605655,0.7910488079706832,0.7113719241273374,0.29527307607263464,1,knn,uniform,5000,5.0,
harmonic,0.5161209040429,0.86888442584407,0.43454907304866053,0.7633199957611467,1,knn,uniform,5000,5.0,
clustering,0.8741413863259331,0.913932612541015,0.28504528722472094,0.5417001612533725,1,knn,uniform,5000,5.0,
pagerank,0.9111830147004377,0.9302852241283106,0.012688115296375315,0.6284629455619504,1,knn,uniform,5000,5.0,
degree,0.975235892317347,0.9802997962965019,0.23284519810464996,0.5688270748590528,2,knn,uniform,5000,5.0,
closeness,0.2439872334898865,0.8287305408379715,0.6791869235288239,0.892918139279654,2,knn,uniform,5000,5.0,
betweenness,0.8861888547323451,0.8920767353542781,0.7923895855489115,0.07548572857284847,2,knn,uniform,5000,5.0,
harmonic,0.425833744687511,0.924039671625386,0.6102523556564019,0.553260010733166,2,knn,uniform,5000,5.0,
clustering,0.9619958581263912,0.9715883379232997,0.3252320915452328,0.5832562971486623,2,knn,uniform,5000,5.0,
pagerank,0.973054355457506,0.9775200709993301,0.009072148304560062,0.6664220907264633,2,knn,uniform,5000,5.0,
degree,0.8790339310211583,0.9316563647088371,0.16931764477577999,0.6576414175626657,1,knn,uniform,5000,10.0,
closeness,0.2609599723245809,0.574957409507546,0.4670249417595072,0.9721593375150489,1,knn,uniform,5000,10.0,
betweenness,0.7210178328509838,0.7878530596540856,0.7190005409042871,0.5117914055967354,1,knn,uniform,5000,10.0,
harmonic,0.4169720857591863,0.7866397412749974,0.633066408992017,0.8879158801168481,1,knn,uniform,5000,10.0,
clustering,0.806117588576393,0.9106264969212348,0.18506179324810024,0.7521923629963672,1,knn,uniform,5000,10.0,
pagerank,0.8645307518507142,0.9166972776779282,-0.11984131809342147,0.7435228595245467,1,knn,uniform,5000,10.0,
degree,0.9517919053993247,0.972362039531836,0.14481347201722766,0.6490586290934472,2,knn,uniform,5000,10.0,
closeness,0.3613371244184756,0.8357956137628993,0.6651167642063469,0.9570248223139176,2,knn,uniform,5000,10.0,
betweenness,0.846871654074159,0.8518065004689687,0.7882341315274989,0.16966862143194456,2,knn,uniform,5000,10.0,
harmonic,0.3930728861565621,0.938080853425817,0.6776397231509664,0.8412675052501271,2,knn,uniform,5000,10.0,
clustering,0.9280442577717387,0.9783964722500812,0.23942854308789913,0.7903014460500154,2,knn,uniform,5000,10.0,
pagerank,0.9477344942058743,0.9671762527061306,-0.18450896628716656,0.728852649421594,2,knn,uniform,5000,10.0,
degree,0.8459765193093918,0.9100035832708315,0.0982691943122547,0.6868044184820175,1,knn,uniform,5000,15.0,
closeness,0.21576299866611748,0.6607987156065429,0.5267175045821781,0.9772918037954637,1,knn,uniform,5000,15.0,
betweenness,0.6718961390327837,0.7558814209297784,0.6892271726698707,0.6094674504763176,1,knn,uniform,5000,15.0,
harmonic,0.2829329263080692,0.7364911514458086,0.5502806228538242,0.9293279520935878,1,knn,uniform,5000,15.0,
clustering,0.7575575856459502,0.9064654531526906,0.13293727613478343,0.8321876232412196,1,knn,uniform,5000,15.0,
pagerank,0.8334317084279097,0.8943729656633628,-0.22662291154415568,0.7820559015824187,1,knn,uniform,5000,15.0,
degree,0.9374551535275567,0.9662008066975534,0.09605065632203696,0.7099988604360042,2,knn,uniform,5000,15.0,
closeness,0.21608393785826258,0.746600370976988,0.5347332802033402,0.9804304101506325,2,knn,uniform,5000,15.0,
betweenness,0.7603196987870687,0.7624614767761253,0.6655720789020327,0.2628146748151996,2,knn,uniform,5000,15.0,
harmonic,0.2121217600112389,0.9027665339078946,0.620347474244886,0.9085591768142143,2,knn,uniform,5000,15.0,
clustering,0.8892626201505981,0.9710105654128195,0.1759415051198347,0.8531438320340257,2,knn,uniform,5000,15.0,
pagerank,0.9311492382851988,0.9592327859498974,-0.30556748157957364,0.7787954032268355,2,knn,uniform,5000,15.0,
degree,0.983889151922739,0.9906171746966965,0.5256963047849766,0.8070790899313733,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
