,original vs. on crop,original vs. BOSPORUS corrected on crop,original vs. SERN corrected on crop,on crop vs. SERN values,cap_radius,graph_type,coord_type,n,k,radius
degree,0.8953530977619906,0.9263802982405553,0.6038050618946711,-0.15549679797582583,1,delaunay,uniform,5000,,
closeness,0.5422745568520663,0.5629760483397589,0.15998193039437508,-0.05879744233405558,1,delaunay,uniform,5000,,
betweenness,0.4971434592386977,0.5821998723953792,0.4953802754168629,-0.14174854399999975,1,delaunay,uniform,5000,,
harmonic,0.5050878475308367,0.6747485277733873,0.5087751533652658,-0.685920539584139,1,delaunay,uniform,5000,,
clustering,0.9428933555699706,0.9428933555699706,0.6556940268560225,0.2261481739588149,1,delaunay,uniform,5000,,
pagerank,0.904252445932092,0.9291855122087018,0.7263033897392323,-0.19090480313178088,1,delaunay,uniform,5000,,
degree,0.9637668334288858,0.9783515131024942,0.6582457586809253,-0.18465571998986552,2,delaunay,uniform,5000,,
closeness,0.10777601012884527,0.6069293483947631,0.11594828912375743,-0.8686265920941572,2,delaunay,uniform,5000,,
betweenness,0.60067565130414,0.7715042073682983,0.597096067906278,-0.09307931598091505,2,delaunay,uniform,5000,,
harmonic,0.2637311784126769,0.7339761209112308,0.25438305470761174,-0.7578938703884973,2,delaunay,uniform,5000,,
clustering,0.9764534411737824,0.9764534411737824,0.6811087181497842,0.22365447312196826,2,delaunay,uniform,5000,,
pagerank,0.9680036797297271,0.9790463026102846,0.7901120320799557,-0.2339442997133018,2,delaunay,uniform,5000,,
degree,0.9360240743309924,0.9541777199585365,0.20460382244126948,0.5644571300406072,1,knn,uniform,5000,5.0,
closeness,-0.022771130575333434,0.48531411577582306,0.4422564877451537,0.9271879027946885,1,knn,uniform,5000,5.0,
betweenness,0.7502411696536286,0.7936688779486447,0.6899532179757047,0.32046243825727344,1,knn,uniform,5000,5.0,
harmonic,0.14143497929707993,0.7530605773146483,0.43522221166474273,0.648524658456965,1,knn,uniform,5000,5.0,
clustering,0.9080573778132435,0.927126246335672,0.3416333735282052,0.4859646092527439,1,knn,uniform,5000,5.0,
pagerank,0.9318839334937875,0.9475712104034786,0.028333112152437317,0.6451925584058298,1,knn,uniform,5000,5.0,
degree,0.9806294992369093,0.9839816230652465,0.21469871549149824,0.5489504225714958,2,knn,uniform,5000,5.0,
closeness,0.09641260090953883,0.8228306364477096,-0.05488900344151294,0.020578029678606162,2,knn,uniform,5000,5.0,
betweenness,0.8802126079283583,0.8856252515654595,0.8070286650028913,0.16727105010581841,2,knn,uniform,5000,5.0,
harmonic,0.27006200133922886,0.9074084050163091,0.42915710580422706,0.6011330740816403,2,knn,uniform,5000,5.0,
clustering,0.9427715488489206,0.9605805621239207,0.3256528579299035,0.5408788582465442,2,knn,uniform,5000,5.0,
pagerank,0.9781803283900797,0.9813941398936501,0.02332772827060205,0.6565974646732297,2,knn,uniform,5000,5.0,
degree,0.8691888560259309,0.9105828579646743,0.08210892304664377,0.6249878292879121,1,knn,uniform,5000,10.0,
closeness,0.16063520342212864,0.5483292868161104,0.7904520314452423,0.9511978322834301,1,knn,uniform,5000,10.0,
betweenness,0.6991387301873033,0.7683354946731917,0.7052358786938773,0.39560736124857887,1,knn,uniform,5000,10.0,
harmonic,0.26337152055373864,0.7455288227356601,0.746840273417702,0.822019718753237,1,knn,uniform,5000,10.0,
clustering,0.8035547546835757,0.9149152231792903,0.2516527557739017,0.7663148196384785,1,knn,uniform,5000,10.0,
pagerank,0.8556787477092074,0.8947995800497381,-0.15116303783464635,0.7154048345400649,1,knn,uniform,5000,10.0,
degree,0.95528020181056,0.9705189281492808,0.11080887752691515,0.6420593245976427,2,knn,uniform,5000,10.0,
closeness,0.2903216791180676,0.717702630800128,0.5696454899742562,0.9603823466636775,2,knn,uniform,5000,10.0,
betweenness,0.7867216557480969,0.790400427448421,0.7227302313994821,0.1639562413314206,2,knn,uniform,5000,10.0,
harmonic,0.34053263037824844,0.9115405236798834,0.6787747694353223,0.8210224444218907,2,knn,uniform,5000,10.0,
clustering,0.9423800472184669,0.9675402854720083,0.26591858756077047,0.760948950113931,2,knn,uniform,5000,10.0,
pagerank,0.9514220673725968,0.9644742072623516,-0.1917544069158824,0.7304494044557343,2,knn,uniform,5000,10.0,
degree,0.7693647567425781,0.8624945698971165,0.049505125165830804,0.6751633064578348,1,knn,uniform,5000,15.0,
closeness,0.5394281885593578,0.6478157800496257,0.5792363527933311,0.9747216835107955,1,knn,uniform,5000,15.0,
betweenness,0.7260843859311611,0.7863809813354576,0.7179309671579517,0.5497320224810931,1,knn,uniform,5000,15.0,
harmonic,0.43856509581424663,0.7612218874397914,0.6186905187579084,0.9006747175378761,1,knn,uniform,5000,15.0,
clustering,0.74527296051557,0.8903391890496205,0.1254028857363713,0.8537209170724064,1,knn,uniform,5000,15.0,
pagerank,0.7573422605418011,0.8410381773573732,-0.20338739752450935,0.750336767203217,1,knn,uniform,5000,15.0,
degree,0.9235965082939745,0.961819404149301,0.049381239936988335,0.6612198470693411,2,knn,uniform,5000,15.0,
closeness,0.40303848618594906,0.767200313755816,0.4438026152794041,0.9735260157774477,2,knn,uniform,5000,15.0,
betweenness,0.7691143098390636,0.7715638205046969,0.7004660416527342,0.191125219530567,2,knn,uniform,5000,15.0,
harmonic,0.4312958774110089,0.892275842792225,0.6635457229459637,0.8811997586098463,2,knn,uniform,5000,15.0,
clustering,0.873996855592138,0.9661136341260528,0.1849802601830604,0.8425663369910568,2,knn,uniform,5000,15.0,
pagerank,0.91517384468911,0.9542951012004857,-0.26587877167992335,0.7490215578702057,2,knn,uniform,5000,15.0,
degree,0.9897693934639863,0.9901812795352565,0.4331058131809762,0.8706138589952414,1,rnn,uniform,5000,,0.05
closeness,,,,,1,rnn,uniform,5000,,0.05
